#latency,cnt,cdf
0,526776,0.105405
10,166336,0.138687
20,68760,0.152446
30,32667,0.158982
40,18173,0.162619
50,23478,0.167316
60,29437,0.173207
70,33471,0.179904
80,28969,0.185700
90,26288,0.190960
100,28212,0.196606
110,37938,0.204197
120,32217,0.210643
130,30972,0.216840
140,24509,0.221745
150,21561,0.226059
160,29926,0.232047
170,32931,0.238636
180,46264,0.247893
190,37115,0.255320
200,30715,0.261466
210,29238,0.267316
220,35810,0.274481
230,37937,0.282072
240,33224,0.288720
250,31071,0.294937
260,30644,0.301069
270,30126,0.307097
280,29619,0.313023
290,28843,0.318795
300,28953,0.324588
310,28165,0.330224
320,28016,0.335830
330,27523,0.341337
340,27232,0.346786
350,26617,0.352112
360,26135,0.357341
370,25734,0.362490
380,25561,0.367605
390,25536,0.372714
400,24796,0.377676
410,24279,0.382534
420,24163,0.387369
430,23558,0.392083
440,23197,0.396724
450,23120,0.401350
460,22499,0.405852
470,22585,0.410372
480,22194,0.414812
490,21733,0.419161
500,21531,0.423469
510,21101,0.427691
520,20648,0.431823
530,20504,0.435926
540,20262,0.439980
550,20107,0.444003
560,19828,0.447971
570,19347,0.451842
580,19108,0.455665
590,18953,0.459458
600,18578,0.463175
610,18334,0.466844
620,18223,0.470490
630,17899,0.474071
640,17664,0.477606
650,17549,0.481117
660,17379,0.484595
670,17043,0.488005
680,16916,0.491390
690,16808,0.494753
700,16692,0.498093
710,16364,0.501367
720,16397,0.504648
730,15989,0.507847
740,15632,0.510975
750,15565,0.514090
760,15372,0.517166
770,15138,0.520195
780,15190,0.523234
790,14855,0.526206
800,14626,0.529133
810,14712,0.532077
820,14561,0.534990
830,14430,0.537878
840,14272,0.540733
850,14018,0.543538
860,13724,0.546284
870,13662,0.549018
880,13725,0.551764
890,13297,0.554425
900,13296,0.557085
910,13212,0.559729
920,13099,0.562350
930,12770,0.564905
940,12795,0.567466
950,12728,0.570012
960,12653,0.572544
970,12503,0.575046
980,12179,0.577483
990,12093,0.579903
1000,12218,0.582347
1010,11982,0.584745
1020,12061,0.587158
1030,11838,0.589527
1040,11585,0.591845
1050,11621,0.594170
1060,11566,0.596485
1070,11328,0.598751
1080,11180,0.600988
1090,11077,0.603205
1100,11249,0.605456
1110,11011,0.607659
1120,10918,0.609843
1130,10904,0.612025
1140,10947,0.614216
1150,10630,0.616343
1160,10451,0.618434
1170,10620,0.620559
1180,10539,0.622668
1190,10240,0.624717
1200,10192,0.626756
1210,10041,0.628765
1220,10336,0.630833
1230,9968,0.632828
1240,9864,0.634801
1250,10081,0.636819
1260,9871,0.638794
1270,9663,0.640727
1280,9588,0.642646
1290,9415,0.644530
1300,9293,0.646389
1310,9413,0.648273
1320,9345,0.650142
1330,9342,0.652012
1340,9096,0.653832
1350,9110,0.655655
1360,9023,0.657460
1370,9114,0.659284
1380,8839,0.661052
1390,8781,0.662809
1400,8830,0.664576
1410,8733,0.666324
1420,8651,0.668055
1430,8507,0.669757
1440,8634,0.671484
1450,8573,0.673200
1460,8411,0.674883
1470,8439,0.676571
1480,8169,0.678206
1490,8148,0.679836
1500,8178,0.681473
1510,7990,0.683071
1520,8213,0.684715
1530,7872,0.686290
1540,7901,0.687871
1550,7819,0.689435
1560,7728,0.690982
1570,7633,0.692509
1580,7626,0.694035
1590,7537,0.695543
1600,7523,0.697048
1610,7406,0.698530
1620,7339,0.699999
1630,7408,0.701481
1640,7251,0.702932
1650,7407,0.704414
1660,7204,0.705856
1670,7217,0.707300
1680,7041,0.708709
1690,7167,0.710143
1700,7038,0.711551
1710,7057,0.712963
1720,6873,0.714338
1730,6923,0.715723
1740,6838,0.717092
1750,6745,0.718441
1760,6832,0.719808
1770,6791,0.721167
1780,6496,0.722467
1790,6535,0.723775
1800,6680,0.725111
1810,6503,0.726412
1820,6582,0.727729
1830,6417,0.729013
1840,6453,0.730305
1850,6436,0.731592
1860,6598,0.732913
1870,6543,0.734222
1880,6395,0.735501
1890,6348,0.736772
1900,6386,0.738049
1910,6282,0.739306
1920,6258,0.740559
1930,6203,0.741800
1940,6131,0.743027
1950,6038,0.744235
1960,5991,0.745434
1970,5900,0.746614
1980,6029,0.747820
1990,5871,0.748995
2000,5907,0.750177
2010,5937,0.751365
2020,5737,0.752513
2030,5824,0.753678
2040,5845,0.754848
2050,5668,0.755982
2060,5742,0.757131
2070,5645,0.758261
2080,5742,0.759409
2090,5562,0.760522
2100,5446,0.761612
2110,5450,0.762703
2120,5348,0.763773
2130,5446,0.764862
2140,5376,0.765938
2150,5331,0.767005
2160,5388,0.768083
2170,5200,0.769123
2180,5261,0.770176
2190,5128,0.771202
2200,5244,0.772251
2210,5279,0.773308
2220,5112,0.774331
2230,5176,0.775366
2240,5251,0.776417
2250,5062,0.777430
2260,5069,0.778444
2270,5087,0.779462
2280,4984,0.780459
2290,4992,0.781458
2300,5078,0.782474
2310,4799,0.783435
2320,4973,0.784430
2330,4885,0.785407
2340,4897,0.786387
2350,4763,0.787340
2360,4848,0.788310
2370,4764,0.789263
2380,4747,0.790213
2390,4712,0.791156
2400,4722,0.792101
2410,4785,0.793058
2420,4604,0.793979
2430,4660,0.794912
2440,4616,0.795836
2450,4622,0.796760
2460,4619,0.797685
2470,4467,0.798578
2480,4560,0.799491
2490,4462,0.800384
2500,4381,0.801260
2510,4403,0.802141
2520,4413,0.803024
2530,4476,0.803920
2540,4367,0.804794
2550,4335,0.805661
2560,4338,0.806529
2570,4272,0.807384
2580,4240,0.808232
2590,4252,0.809083
2600,4347,0.809953
2610,4238,0.810801
2620,4151,0.811632
2630,4140,0.812460
2640,4178,0.813296
2650,4073,0.814111
2660,4073,0.814926
2670,4019,0.815730
2680,4025,0.816535
2690,4080,0.817352
2700,3912,0.818135
2710,4077,0.818950
2720,4022,0.819755
2730,4003,0.820556
2740,3868,0.821330
2750,3905,0.822111
2760,3876,0.822887
2770,4081,0.823704
2780,3973,0.824499
2790,3876,0.825274
2800,3850,0.826044
2810,3747,0.826794
2820,3833,0.827561
2830,3864,0.828334
2840,3915,0.829118
2850,3733,0.829865
2860,3829,0.830631
2870,3738,0.831379
2880,3671,0.832113
2890,3744,0.832862
