#latency,cnt,cdf
0,186200,0.097987
10,6313,0.101309
20,169,0.101398
30,297,0.101554
40,7515,0.105509
50,1252,0.106168
60,390,0.106373
70,1049,0.106925
80,11040,0.112735
90,2962,0.114294
100,3408,0.116087
110,172912,0.207081
120,129800,0.275388
130,14666,0.283106
140,40276,0.304301
150,222284,0.421277
160,3691,0.423219
170,1403,0.423957
180,51599,0.451111
190,41876,0.473148
200,246708,0.602977
210,31670,0.619643
220,31804,0.636380
230,5305,0.639172
240,44639,0.662663
250,75900,0.702605
260,11117,0.708455
270,11549,0.714532
280,57174,0.744620
290,31806,0.761358
300,16141,0.769852
310,24963,0.782989
320,41291,0.804718
330,38003,0.824717
340,51769,0.851960
350,22801,0.863959
360,25156,0.877197
370,70624,0.914363
380,13007,0.921207
390,21245,0.932387
400,4752,0.934888
410,8568,0.939397
420,42573,0.961801
430,15844,0.970139
440,14419,0.977727
450,9892,0.982932
460,10298,0.988352
470,1024,0.988890
480,714,0.989266
490,218,0.989381
500,1216,0.990021
510,9924,0.995243
520,3389,0.997027
530,2228,0.998199
540,249,0.998330
550,249,0.998461
560,91,0.998509
570,41,0.998531
580,34,0.998549
590,35,0.998567
600,47,0.998592
610,93,0.998641
620,46,0.998665
630,36,0.998684
640,20,0.998694
650,13,0.998701
660,17,0.998710
670,21,0.998721
680,23,0.998733
690,19,0.998743
700,17,0.998752
710,15,0.998760
720,21,0.998771
730,14,0.998779
740,17,0.998788
750,24,0.998800
760,16,0.998809
770,11,0.998814
780,17,0.998823
790,20,0.998834
800,15,0.998842
810,18,0.998851
820,21,0.998862
830,27,0.998876
840,14,0.998884
850,16,0.998892
860,13,0.998899
870,14,0.998906
880,15,0.998914
890,24,0.998927
900,18,0.998936
910,16,0.998945
920,25,0.998958
930,22,0.998970
940,21,0.998981
950,19,0.998991
960,24,0.999003
970,24,0.999016
980,22,0.999027
990,21,0.999039
1000,26,0.999052
1010,7,0.999056
1020,21,0.999067
1030,12,0.999073
1040,11,0.999079
1050,18,0.999089
1060,15,0.999096
1070,11,0.999102
1080,9,0.999107
1090,13,0.999114
1100,6,0.999117
1110,12,0.999123
1120,7,0.999127
1130,12,0.999133
1140,13,0.999140
1150,5,0.999143
1160,6,0.999146
1170,10,0.999151
1180,8,0.999155
1190,6,0.999159
1200,5,0.999161
1210,7,0.999165
1220,9,0.999170
1230,8,0.999174
1240,9,0.999179
1250,9,0.999183
1260,8,0.999187
1270,7,0.999191
1280,6,0.999194
1290,4,0.999196
1300,8,0.999201
1310,8,0.999205
1320,9,0.999210
1330,6,0.999213
1340,4,0.999215
1350,5,0.999217
1360,6,0.999221
1370,3,0.999222
1380,4,0.999224
1390,4,0.999226
1400,4,0.999229
1410,7,0.999232
1420,6,0.999235
