#latency,cnt,cdf
0,1,0.000000
10,16,0.000009
20,19,0.000018
30,6115,0.003076
40,7928,0.007039
50,974,0.007527
60,738,0.007896
70,10026,0.012908
80,13905,0.019861
90,11765,0.025743
100,7760,0.029623
110,134321,0.096784
120,292429,0.242998
130,36057,0.261027
140,17983,0.270018
150,274769,0.407403
160,11541,0.413173
170,9887,0.418117
180,52027,0.444131
190,89976,0.489118
200,243078,0.610658
210,63494,0.642404
220,62108,0.673459
230,3879,0.675398
240,4040,0.677418
250,21827,0.688331
260,17671,0.697167
270,13004,0.703669
280,32282,0.719810
290,59903,0.749762
300,16441,0.757982
310,17950,0.766957
320,51868,0.792891
330,32820,0.809301
340,64210,0.841406
350,24222,0.853517
360,34056,0.870545
370,65914,0.903502
380,23878,0.915441
390,21791,0.926337
400,5413,0.929043
410,8904,0.933495
420,26827,0.946908
430,36800,0.965308
440,15427,0.973022
450,7364,0.976704
460,18156,0.985782
470,2890,0.987227
480,781,0.987617
490,417,0.987826
500,337,0.987994
510,8720,0.992355
520,5551,0.995130
530,4832,0.997546
540,615,0.997854
550,182,0.997944
560,284,0.998087
570,108,0.998141
580,42,0.998161
590,55,0.998189
600,43,0.998210
610,158,0.998290
620,124,0.998352
630,90,0.998397
640,37,0.998415
650,32,0.998431
660,24,0.998443
670,21,0.998453
680,31,0.998469
690,28,0.998483
700,25,0.998496
710,16,0.998504
720,17,0.998512
730,20,0.998522
740,12,0.998528
750,14,0.998535
760,21,0.998546
770,24,0.998558
780,18,0.998567
790,15,0.998574
800,24,0.998586
810,23,0.998598
820,21,0.998608
830,17,0.998617
840,20,0.998626
850,28,0.998640
860,23,0.998652
870,15,0.998659
880,21,0.998670
890,27,0.998684
900,17,0.998692
910,13,0.998698
920,20,0.998708
930,11,0.998714
940,17,0.998722
950,11,0.998728
960,12,0.998734
970,19,0.998743
980,14,0.998751
990,10,0.998756
1000,15,0.998763
1010,17,0.998771
1020,13,0.998778
1030,12,0.998784
1040,14,0.998791
1050,17,0.998800
1060,16,0.998807
1070,13,0.998814
1080,10,0.998819
1090,10,0.998824
1100,17,0.998833
1110,6,0.998836
1120,8,0.998839
1130,10,0.998845
1140,19,0.998854
1150,9,0.998859
1160,10,0.998864
1170,4,0.998865
1180,9,0.998870
1190,12,0.998876
1200,9,0.998881
1210,11,0.998886
1220,7,0.998890
1230,10,0.998895
1240,9,0.998899
1250,6,0.998902
1260,12,0.998908
1270,12,0.998914
1280,7,0.998918
1290,11,0.998923
1300,9,0.998927
1310,9,0.998932
1320,9,0.998936
1330,9,0.998941
1340,7,0.998945
1350,8,0.998949
1360,6,0.998951
1370,9,0.998956
1380,3,0.998958
1390,3,0.998959
1400,3,0.998960
1410,11,0.998966
1420,13,0.998972
1430,5,0.998975
1440,4,0.998977
1450,10,0.998982
1460,7,0.998986
1470,15,0.998993
1480,6,0.998996
1490,8,0.999000
1500,7,0.999004
1510,3,0.999005
1520,8,0.999009
1530,2,0.999010
1540,3,0.999012
1550,7,0.999015
1560,7,0.999018
1570,7,0.999022
1580,8,0.999026
1590,7,0.999030
1600,13,0.999036
1610,7,0.999039
1620,4,0.999041
1630,9,0.999046
1640,6,0.999049
1650,2,0.999050
1660,11,0.999056
1670,7,0.999059
1680,5,0.999062
1690,5,0.999064
1700,8,0.999068
1710,14,0.999075
1720,2,0.999076
1730,8,0.999080
1740,5,0.999083
1750,11,0.999088
1760,11,0.999093
1770,8,0.999098
1780,4,0.999099
1790,7,0.999103
1800,8,0.999107
1810,11,0.999112
1820,20,0.999123
1830,17,0.999131
1840,15,0.999138
1850,18,0.999147
1860,17,0.999156
1870,29,0.999170
1880,28,0.999184
1890,23,0.999196
1900,22,0.999207
1910,15,0.999214
1920,14,0.999222
1930,11,0.999227
1940,8,0.999231
1950,8,0.999235
1960,6,0.999238
1970,5,0.999241
1980,14,0.999247
1990,12,0.999254
2000,15,0.999261
2010,15,0.999268
2020,3,0.999270
2030,9,0.999274
2040,9,0.999279
2050,8,0.999283
2060,10,0.999288
2070,5,0.999291
2080,9,0.999295
2090,6,0.999298
2100,9,0.999303
2110,2,0.999304
2120,7,0.999307
2130,7,0.999310
2140,3,0.999312
2150,5,0.999314
2160,13,0.999321
2170,5,0.999323
2180,5,0.999326
2190,5,0.999328
2200,9,0.999333
2210,11,0.999339
2220,7,0.999342
2230,10,0.999347
2240,6,0.999350
2250,12,0.999356
2260,11,0.999362
2270,10,0.999367
2280,7,0.999370
2290,9,0.999375
2300,8,0.999379
2310,6,0.999381
2320,10,0.999386
2330,6,0.999390
2340,8,0.999394
2350,3,0.999395
2360,10,0.999400
2370,9,0.999404
2380,7,0.999408
2390,7,0.999412
2400,13,0.999418
2410,7,0.999421
2420,2,0.999422
2430,7,0.999426
2440,7,0.999430
2450,4,0.999431
2460,11,0.999437
2470,6,0.999440
2480,6,0.999443
2490,12,0.999449
2500,7,0.999452
2510,9,0.999457
2520,4,0.999459
2530,3,0.999461
2540,8,0.999465
2550,7,0.999468
2560,4,0.999470
2570,8,0.999474
2580,4,0.999476
2590,4,0.999478
2600,7,0.999481
2610,8,0.999485
2620,4,0.999488
2630,3,0.999489
2640,4,0.999491
2650,7,0.999494
2660,7,0.999498
2670,5,0.999501
2680,6,0.999503
2690,4,0.999506
2700,4,0.999507
2710,8,0.999511
2730,3,0.999513
2740,9,0.999518
2750,11,0.999523
2760,3,0.999524
2770,7,0.999528
2780,7,0.999532
2790,4,0.999533
2800,6,0.999537
2810,2,0.999538
2820,2,0.999538
2830,5,0.999541
2840,5,0.999543
2850,8,0.999547
2860,11,0.999553
2870,3,0.999555
2880,3,0.999556
2890,1,0.999556
2900,2,0.999557
2910,9,0.999562
2920,1,0.999563
2930,1,0.999563
2940,4,0.999565
2950,4,0.999567
2960,6,0.999570
2970,4,0.999572
2980,2,0.999573
2990,8,0.999577
3000,2,0.999578
3010,5,0.999581
3020,5,0.999583
3030,3,0.999584
3040,8,0.999588
3050,3,0.999590
3060,6,0.999593
3070,4,0.999595
3080,5,0.999597
3090,7,0.999601
3100,6,0.999604
3110,5,0.999606
3120,3,0.999608
3130,6,0.999611
3140,5,0.999614
3150,7,0.999617
