#latency,cnt,cdf
0,552685,0.290815
10,15913,0.299188
20,418,0.299408
30,188,0.299507
40,8012,0.303722
50,2543,0.305061
60,145,0.305137
70,513,0.305407
80,5518,0.308310
90,2601,0.309679
100,2529,0.311010
110,119236,0.373750
120,155762,0.455709
130,10197,0.461075
140,25078,0.474271
150,220062,0.590064
160,3776,0.592051
170,1079,0.592619
180,65951,0.627321
190,82498,0.670730
200,298190,0.827633
210,28428,0.842592
220,22994,0.854691
230,4518,0.857068
240,53234,0.885079
250,90617,0.932760
260,3765,0.934741
270,2476,0.936044
280,10714,0.941682
290,8399,0.946101
300,3090,0.947727
310,4328,0.950005
320,9723,0.955121
330,6315,0.958443
340,12567,0.965056
350,4735,0.967548
360,5148,0.970256
370,15625,0.978478
380,4245,0.980712
390,8950,0.985421
400,1082,0.985990
410,1789,0.986932
420,8438,0.991372
430,3349,0.993134
440,2946,0.994684
450,1638,0.995546
460,2201,0.996704
470,212,0.996816
480,198,0.996920
490,63,0.996953
500,169,0.997042
510,2122,0.998158
520,474,0.998408
530,483,0.998662
540,62,0.998695
550,47,0.998719
560,34,0.998737
570,22,0.998749
580,26,0.998762
590,23,0.998775
600,22,0.998786
610,35,0.998805
620,24,0.998817
630,21,0.998828
640,17,0.998837
650,15,0.998845
660,26,0.998859
670,12,0.998865
680,14,0.998872
690,15,0.998880
700,8,0.998884
710,12,0.998891
720,13,0.998898
730,14,0.998905
740,17,0.998914
750,16,0.998922
760,7,0.998926
770,11,0.998932
780,13,0.998939
790,7,0.998942
800,15,0.998950
810,7,0.998954
820,12,0.998960
830,8,0.998964
840,8,0.998969
850,7,0.998972
860,10,0.998978
870,10,0.998983
880,13,0.998990
890,6,0.998993
900,18,0.999002
910,13,0.999009
920,10,0.999014
930,11,0.999020
940,10,0.999026
950,13,0.999032
960,6,0.999035
970,11,0.999041
980,13,0.999048
990,13,0.999055
1000,8,0.999059
1010,15,0.999067
1020,11,0.999073
1030,10,0.999078
1040,14,0.999085
1050,11,0.999091
1060,12,0.999098
1070,15,0.999106
1080,14,0.999113
1090,15,0.999121
1100,5,0.999123
1110,10,0.999129
1120,7,0.999132
1130,5,0.999135
1140,7,0.999139
1150,6,0.999142
1160,3,0.999143
1170,12,0.999150
1180,11,0.999155
1190,10,0.999161
1200,6,0.999164
1210,8,0.999168
1220,7,0.999172
1230,9,0.999177
1240,13,0.999183
1250,2,0.999184
1260,7,0.999188
1270,4,0.999190
1280,6,0.999193
1290,7,0.999197
1300,4,0.999199
1310,4,0.999201
1320,6,0.999204
1330,8,0.999209
1340,4,0.999211
1350,8,0.999215
1360,6,0.999218
1370,3,0.999220
1380,6,0.999223
1390,6,0.999226
1400,2,0.999227
1410,3,0.999229
1420,4,0.999231
1430,4,0.999233
1440,5,0.999235
1450,4,0.999238
1460,8,0.999242
1470,7,0.999245
1480,4,0.999248
1490,4,0.999250
1500,4,0.999252
1510,6,0.999255
1520,5,0.999258
1530,8,0.999262
1540,3,0.999263
1550,3,0.999265
1560,3,0.999267
1570,8,0.999271
1580,3,0.999272
1590,6,0.999275
1600,4,0.999278
1610,5,0.999280
1620,6,0.999283
1630,1,0.999284
1640,2,0.999285
1650,4,0.999287
1660,6,0.999290
1670,2,0.999291
1680,3,0.999293
1690,2,0.999294
1700,6,0.999297
1710,6,0.999300
1720,3,0.999302
1730,6,0.999305
1740,2,0.999306
1750,7,0.999310
1760,1,0.999310
1770,5,0.999313
1780,6,0.999316
1790,4,0.999318
1800,4,0.999320
1810,8,0.999324
1820,7,0.999328
1830,13,0.999335
1840,9,0.999340
1850,5,0.999342
1860,9,0.999347
1870,6,0.999350
1880,9,0.999355
1890,5,0.999358
1900,15,0.999365
1910,2,0.999366
1920,8,0.999371
1930,7,0.999374
1940,8,0.999379
1950,8,0.999383
1960,7,0.999386
1970,8,0.999391
1980,13,0.999398
1990,9,0.999402
2000,6,0.999405
2010,3,0.999407
2020,5,0.999410
2030,7,0.999413
2040,4,0.999415
2050,5,0.999418
2060,3,0.999420
2070,5,0.999422
2080,4,0.999424
2090,2,0.999425
2100,6,0.999429
2110,3,0.999430
2120,2,0.999431
2130,2,0.999432
2140,4,0.999434
2150,5,0.999437
2160,6,0.999440
2170,8,0.999444
2180,6,0.999448
2190,4,0.999450
2200,2,0.999451
2210,3,0.999452
2220,1,0.999453
2230,2,0.999454
2240,5,0.999456
2250,5,0.999459
2260,6,0.999462
2270,2,0.999463
2280,4,0.999465
2290,4,0.999467
2300,4,0.999470
2310,8,0.999474
2320,2,0.999475
2330,4,0.999477
2340,2,0.999478
2350,2,0.999479
2360,4,0.999481
2370,2,0.999482
2380,1,0.999483
2390,4,0.999485
2410,4,0.999487
2420,1,0.999488
2430,4,0.999490
2440,3,0.999491
2450,7,0.999495
2460,4,0.999497
2470,2,0.999498
2490,5,0.999501
2500,3,0.999502
2510,1,0.999503
2520,4,0.999505
2530,2,0.999506
2540,2,0.999507
2550,1,0.999507
2560,3,0.999509
2570,6,0.999512
2580,2,0.999513
2590,3,0.999515
2600,2,0.999516
2610,1,0.999516
2620,3,0.999518
2630,3,0.999520
2640,1,0.999520
2650,3,0.999522
2660,1,0.999522
2670,3,0.999524
2680,1,0.999524
2690,2,0.999525
2700,1,0.999526
2710,2,0.999527
2720,3,0.999529
2730,2,0.999530
2740,1,0.999530
2750,1,0.999531
2760,4,0.999533
2770,4,0.999535
2780,6,0.999538
2790,1,0.999539
2800,2,0.999540
2810,4,0.999542
2820,3,0.999543
2830,3,0.999545
2840,4,0.999547
2860,1,0.999547
2870,2,0.999549
2880,4,0.999551
2890,2,0.999552
2900,1,0.999552
2910,2,0.999553
2920,2,0.999554
2930,2,0.999555
2940,1,0.999556
2950,4,0.999558
2960,4,0.999560
2970,3,0.999562
2980,2,0.999563
2990,2,0.999564
3000,1,0.999564
3020,1,0.999565
3040,4,0.999567
3050,4,0.999569
3080,2,0.999570
3090,2,0.999571
3100,4,0.999573
3110,1,0.999574
3120,3,0.999575
3130,2,0.999576
3140,2,0.999577
3150,3,0.999579
3180,2,0.999580
3200,3,0.999582
3210,2,0.999583
3220,1,0.999583
3230,5,0.999586
3240,4,0.999588
3250,2,0.999589
3260,5,0.999592
3270,3,0.999593
3280,3,0.999595
3290,1,0.999595
3300,1,0.999596
3310,3,0.999597
3320,2,0.999599
3330,4,0.999601
3340,3,0.999602
3360,2,0.999603
3370,3,0.999605
3380,1,0.999605
3390,1,0.999606
3400,1,0.999606
3410,4,0.999609
3420,1,0.999609
3430,3,0.999611
3440,5,0.999613
3450,1,0.999614
3460,4,0.999616
3470,2,0.999617
3480,3,0.999619
3490,3,0.999620
3500,1,0.999621
3510,3,0.999622
3520,1,0.999623
3530,2,0.999624
3540,1,0.999624
3550,3,0.999626
3570,3,0.999627
3580,4,0.999630
3590,3,0.999631
3600,1,0.999632
3610,1,0.999632
3620,3,0.999634
3630,3,0.999635
3640,4,0.999637
3650,5,0.999640
3660,1,0.999641
3680,2,0.999642
3690,3,0.999643
3700,3,0.999645
3710,3,0.999646
3720,2,0.999647
3730,3,0.999649
3740,2,0.999650
3750,1,0.999651
3760,2,0.999652
3770,3,0.999653
3780,1,0.999654
3790,4,0.999656
3810,2,0.999657
3820,2,0.999658
3830,3,0.999660
3840,3,0.999661
3850,3,0.999663
3860,3,0.999664
3870,1,0.999665
3880,1,0.999665
3890,2,0.999666
3900,2,0.999667
3910,3,0.999669
3930,1,0.999670
3940,2,0.999671
3970,3,0.999672
3980,1,0.999673
3990,1,0.999673
4000,1,0.999674
4010,4,0.999676
4020,2,0.999677
4030,2,0.999678
4040,2,0.999679
4050,1,0.999680
4070,3,0.999681
4080,1,0.999682
4090,3,0.999683
4110,1,0.999684
4120,1,0.999684
4130,3,0.999686
4140,2,0.999687
4150,2,0.999688
4170,2,0.999689
4180,2,0.999690
4210,3,0.999692
4220,1,0.999692
4230,1,0.999693
4260,2,0.999694
4270,1,0.999694
4280,2,0.999695
4290,1,0.999696
4300,2,0.999697
4310,3,0.999699
4320,4,0.999701
4340,2,0.999702
4350,2,0.999703
4380,2,0.999704
4390,1,0.999704
4400,2,0.999705
4420,4,0.999707
4430,2,0.999708
4440,1,0.999709
4450,6,0.999712
4460,1,0.999713
4470,2,0.999714
4480,3,0.999715
4490,1,0.999716
4500,1,0.999716
4520,1,0.999717
4530,5,0.999720
4540,4,0.999722
4550,4,0.999724
4560,5,0.999726
4570,4,0.999729
4580,7,0.999732
4590,4,0.999734
4600,21,0.999745
4610,5,0.999748
4620,7,0.999752
4630,16,0.999760
4640,12,0.999766
4650,3,0.999768
4660,5,0.999771
4670,8,0.999775
4680,11,0.999781
4690,6,0.999784
4700,6,0.999787
4710,5,0.999790
4720,6,0.999793
4730,4,0.999795
4740,2,0.999796
4750,9,0.999801
4760,3,0.999802
4770,4,0.999804
4780,7,0.999808
4790,8,0.999812
4800,7,0.999816
4810,13,0.999823
4820,18,0.999832
4830,7,0.999836
4840,4,0.999838
4850,12,0.999844
4860,8,0.999848
4870,6,0.999852
4880,14,0.999859
4890,12,0.999865
4900,6,0.999868
4910,12,0.999875
4920,9,0.999879
4930,12,0.999886
4940,10,0.999891
4950,3,0.999893
4960,8,0.999897
4970,14,0.999904
4980,13,0.999911
4990,7,0.999915
5000,4,0.999917
5010,6,0.999920
5020,5,0.999923
5030,2,0.999924
5040,4,0.999926
5050,4,0.999928
5060,4,0.999930
5070,2,0.999931
5080,6,0.999934
5090,3,0.999936
5100,5,0.999938
5110,5,0.999941
5120,1,0.999942
5130,4,0.999944
5140,6,0.999947
5150,5,0.999950
5160,2,0.999951
5190,4,0.999953
5200,2,0.999954
5210,1,0.999954
5230,1,0.999955
5250,2,0.999956
5270,1,0.999956
5280,2,0.999957
5300,1,0.999958
5310,1,0.999958
5320,2,0.999959
5360,2,0.999961
5370,1,0.999961
5380,2,0.999962
5420,1,0.999963
5440,2,0.999964
5450,1,0.999964
5460,1,0.999965
5470,3,0.999966
5480,2,0.999967
5500,1,0.999968
5510,2,0.999969
5530,3,0.999971
5540,2,0.999972
5550,2,0.999973
5560,3,0.999974
5580,1,0.999975
5600,2,0.999976
