#latency,cnt,cdf
0,1395485,0.139574
10,216382,0.161216
20,33127,0.164529
30,6946,0.165224
40,2446,0.165468
50,24370,0.167906
60,47710,0.172678
70,52366,0.177915
80,49557,0.182872
90,43287,0.187201
100,49198,0.192122
110,71852,0.199309
120,58817,0.205191
130,59211,0.211114
140,43009,0.215415
150,38557,0.219272
160,63255,0.225598
170,71415,0.232741
180,99617,0.242705
190,73824,0.250088
200,58321,0.255921
210,56398,0.261562
220,78100,0.269374
230,84803,0.277856
240,67214,0.284578
250,64000,0.290979
260,63128,0.297293
270,62841,0.303578
280,61702,0.309750
290,61049,0.315856
300,60458,0.321903
310,60588,0.327963
320,60066,0.333970
330,59826,0.339954
340,59061,0.345861
350,57762,0.351638
360,56929,0.357332
370,57339,0.363067
380,55843,0.368653
390,55229,0.374176
400,55163,0.379694
410,53781,0.385073
420,53281,0.390402
430,52840,0.395687
440,52093,0.400897
450,51520,0.406050
460,50967,0.411148
470,50542,0.416203
480,49922,0.421196
490,49265,0.426123
500,48504,0.430974
510,47928,0.435768
520,47574,0.440526
530,47259,0.445253
540,46641,0.449918
550,45754,0.454494
560,45592,0.459054
570,44749,0.463530
580,44255,0.467956
590,43851,0.472342
600,43417,0.476685
610,42981,0.480984
620,42287,0.485213
630,41839,0.489398
640,41528,0.493551
650,40945,0.497647
660,40503,0.501698
670,39912,0.505690
680,39748,0.509665
690,39436,0.513609
700,38702,0.517480
710,38587,0.521340
720,38153,0.525156
730,37546,0.528911
740,37062,0.532618
750,36939,0.536312
760,36314,0.539944
770,36285,0.543573
780,35504,0.547125
790,35172,0.550642
800,34947,0.554138
810,34866,0.557625
820,34178,0.561043
830,34036,0.564448
840,33775,0.567826
850,33136,0.571140
860,32865,0.574427
870,32790,0.577707
880,32377,0.580945
890,31818,0.584127
900,31738,0.587302
910,31232,0.590425
920,30802,0.593506
930,30694,0.596576
940,30524,0.599629
950,29742,0.602604
960,30017,0.605606
970,29419,0.608548
980,29204,0.611469
990,28933,0.614363
1000,28675,0.617231
1010,28635,0.620095
1020,28080,0.622904
1030,27570,0.625661
1040,27428,0.628405
1050,27091,0.631114
1060,27016,0.633816
1070,26950,0.636512
1080,26505,0.639163
1090,26175,0.641781
1100,25868,0.644368
1110,25593,0.646928
1120,25471,0.649475
1130,24930,0.651969
1140,24755,0.654445
1150,24331,0.656878
1160,24276,0.659306
1170,24186,0.661725
1180,23650,0.664091
1190,23628,0.666454
1200,23846,0.668839
1210,23079,0.671147
1220,23207,0.673468
1230,23253,0.675794
1240,22473,0.678042
1250,22422,0.680284
1260,22103,0.682495
1270,21865,0.684682
1280,21817,0.686864
1290,21592,0.689024
1300,21543,0.691178
1310,21489,0.693328
1320,21000,0.695428
1330,20690,0.697497
1340,20663,0.699564
1350,20787,0.701643
1360,20202,0.703664
1370,19687,0.705633
1380,19942,0.707627
1390,19869,0.709615
1400,19181,0.711533
1410,19123,0.713446
1420,19052,0.715351
1430,19012,0.717253
1440,18826,0.719136
1450,18738,0.721010
1460,18516,0.722862
1470,18143,0.724676
1480,18018,0.726479
1490,17791,0.728258
1500,17505,0.730009
1510,17496,0.731759
1520,17581,0.733517
1530,17371,0.735255
1540,17046,0.736959
1550,16825,0.738642
1560,16762,0.740319
1570,16686,0.741988
1580,16468,0.743635
1590,16228,0.745258
1600,16326,0.746891
1610,16234,0.748514
1620,16052,0.750120
1630,15700,0.751690
1640,15750,0.753266
1650,15607,0.754826
1660,15224,0.756349
1670,15170,0.757866
1680,15149,0.759382
1690,14862,0.760868
1700,14973,0.762366
1710,14863,0.763852
1720,14735,0.765326
1730,14422,0.766768
1740,14484,0.768217
1750,14369,0.769654
1760,14189,0.771073
1770,14133,0.772487
1780,13875,0.773875
1790,13781,0.775253
1800,13766,0.776630
1810,13597,0.777990
1820,13444,0.779335
1830,13338,0.780669
1840,13249,0.781994
1850,13217,0.783316
1860,13256,0.784642
1870,12901,0.785932
1880,12862,0.787218
1890,12785,0.788497
1900,12602,0.789757
1910,12381,0.790996
1920,12342,0.792230
1930,12355,0.793466
1940,12226,0.794689
1950,12149,0.795904
1960,11987,0.797103
1970,12166,0.798320
1980,12085,0.799528
1990,11581,0.800687
2000,11780,0.801865
2010,11817,0.803047
2020,11454,0.804192
2030,11368,0.805329
2040,11382,0.806468
2050,11285,0.807596
2060,11175,0.808714
2070,11029,0.809817
2080,10871,0.810905
2090,10799,0.811985
2100,10841,0.813069
2110,10763,0.814145
2120,10704,0.815216
2130,10662,0.816282
2140,10468,0.817329
2150,10397,0.818369
2160,10338,0.819403
2170,10231,0.820427
2180,10185,0.821445
2190,10194,0.822465
2200,9978,0.823463
2210,10049,0.824468
2220,9705,0.825439
2230,9782,0.826417
2240,9688,0.827386
2250,9719,0.828358
2260,9548,0.829313
2270,9697,0.830283
2280,9490,0.831232
2290,9445,0.832177
2300,9307,0.833108
2310,9176,0.834025
2320,9074,0.834933
2330,9163,0.835849
2340,8991,0.836749
2350,8983,0.837647
2360,8924,0.838540
2370,8846,0.839424
2380,8712,0.840296
2390,8643,0.841160
2400,8675,0.842028
2410,8529,0.842881
2420,8614,0.843742
2430,8391,0.844582
2440,8506,0.845432
2450,8196,0.846252
2460,8195,0.847072
2470,8249,0.847897
2480,8225,0.848720
2490,8153,0.849535
2500,7892,0.850324
2510,7954,0.851120
2520,7905,0.851911
2530,7960,0.852707
2540,7733,0.853480
2550,7900,0.854270
2560,7758,0.855046
2570,7531,0.855799
2580,7520,0.856552
2590,7380,0.857290
2600,7490,0.858039
2610,7366,0.858776
2620,7259,0.859502
2630,7354,0.860237
2640,7348,0.860972
2650,7357,0.861708
2660,7217,0.862430
2670,7033,0.863133
2680,7051,0.863838
2690,7162,0.864555
2700,7103,0.865265
2710,6983,0.865964
2720,7001,0.866664
2730,7097,0.867374
2740,6877,0.868061
2750,6703,0.868732
2760,6719,0.869404
2770,6709,0.870075
2780,6719,0.870747
2790,6580,0.871405
2800,6587,0.872064
2810,6650,0.872729
2820,6456,0.873375
2830,6638,0.874039
2840,6401,0.874679
2850,6295,0.875308
2860,6299,0.875938
2870,6394,0.876578
2880,6311,0.877209
2890,6315,0.877841
2900,6184,0.878459
2910,6138,0.879073
2920,6212,0.879695
2930,6014,0.880296
2940,5953,0.880892
2950,6004,0.881492
2960,6014,0.882093
2970,5969,0.882690
2980,5814,0.883272
2990,5918,0.883864
3000,5888,0.884453
3010,5775,0.885030
3020,5695,0.885600
3030,5755,0.886176
3040,5711,0.886747
3050,5550,0.887302
3060,5469,0.887849
3070,5525,0.888402
3080,5510,0.888953
3090,5515,0.889504
3100,5463,0.890051
3110,5362,0.890587
3120,5334,0.891120
3130,5455,0.891666
3140,5354,0.892202
3150,5343,0.892736
3160,5232,0.893259
3170,5318,0.893791
3180,5168,0.894308
3190,5092,0.894817
3200,5069,0.895324
3210,5174,0.895842
3220,5141,0.896356
3230,5056,0.896862
3240,5017,0.897363
3250,4964,0.897860
3260,4947,0.898355
3270,4963,0.898851
3280,4934,0.899345
3290,4772,0.899822
3300,4819,0.900304
3310,4800,0.900784
3320,4765,0.901261
3330,4844,0.901745
3340,4803,0.902225
3350,4712,0.902697
3360,4684,0.903165
3370,4796,0.903645
3380,4743,0.904119
3390,4590,0.904578
3400,4551,0.905034
3410,4651,0.905499
3420,4506,0.905949
3430,4457,0.906395
3440,4526,0.906848
3450,4425,0.907290
3460,4455,0.907736
3470,4368,0.908173
3480,4324,0.908605
3490,4425,0.909048
3500,4352,0.909483
3510,4338,0.909917
3520,4408,0.910358
3530,4329,0.910791
3540,4385,0.911230
3550,4341,0.911664
3560,4238,0.912088
3570,4258,0.912513
3580,4113,0.912925
3590,4164,0.913341
3600,4139,0.913755
3610,4030,0.914158
3620,4035,0.914562
3630,4075,0.914970
3640,4019,0.915372
3650,4031,0.915775
3660,4103,0.916185
3670,3949,0.916580
3680,3950,0.916975
3690,3809,0.917356
3700,3870,0.917743
3710,3891,0.918132
3720,3756,0.918508
3730,3770,0.918885
3740,3916,0.919277
3750,3778,0.919655
3760,3860,0.920041
3770,3712,0.920412
3780,3689,0.920781
3790,3789,0.921160
3800,3771,0.921537
3810,3543,0.921891
3820,3665,0.922258
3830,3628,0.922621
3840,3624,0.922983
3850,3578,0.923341
3860,3549,0.923696
3870,3480,0.924044
3880,3503,0.924395
3890,3532,0.924748
3900,3527,0.925101
3910,3439,0.925445
3920,3373,0.925782
3930,3475,0.926129
3940,3357,0.926465
3950,3363,0.926802
3960,3384,0.927140
3970,3350,0.927475
3980,3356,0.927811
3990,3417,0.928153
4000,3217,0.928474
4010,3268,0.928801
4020,3159,0.929117
4030,3205,0.929438
4040,3195,0.929757
4050,3241,0.930081
4060,3177,0.930399
4070,3216,0.930721
4080,3071,0.931028
4090,3099,0.931338
4100,3172,0.931655
4110,3086,0.931964
4120,3144,0.932278
4130,3078,0.932586
4140,3052,0.932891
4150,3129,0.933204
4160,3087,0.933513
4170,3025,0.933816
4180,3043,0.934120
4190,3021,0.934422
4200,3005,0.934723
4210,2979,0.935021
4220,2980,0.935319
4230,3003,0.935619
4240,2868,0.935906
4250,2974,0.936203
4260,2900,0.936493
4270,2802,0.936774
4280,2841,0.937058
4290,2889,0.937347
4300,2834,0.937630
4310,2819,0.937912
4320,2761,0.938188
4330,2762,0.938465
4340,2801,0.938745
4350,2748,0.939020
4360,2751,0.939295
4370,2747,0.939569
4380,2709,0.939840
4390,2786,0.940119
4400,2746,0.940394
4410,2745,0.940668
4420,2772,0.940946
4430,2773,0.941223
4440,2611,0.941484
4450,2602,0.941744
4460,2727,0.942017
4470,2587,0.942276
4480,2616,0.942537
4490,2575,0.942795
4500,2645,0.943060
4510,2571,0.943317
4520,2527,0.943569
4530,2477,0.943817
4540,2530,0.944070
4550,2521,0.944322
4560,2534,0.944576
4570,2464,0.944822
4580,2477,0.945070
4590,2446,0.945315
4600,2496,0.945564
4610,2481,0.945812
4620,2496,0.946062
4630,2410,0.946303
4640,2410,0.946544
4650,2411,0.946785
4660,2383,0.947024
4670,2372,0.947261
4680,2358,0.947497
4690,2439,0.947741
4700,2351,0.947976
4710,2434,0.948219
4720,2312,0.948451
4730,2397,0.948690
4740,2381,0.948928
4750,2367,0.949165
4760,2342,0.949399
4770,2351,0.949634
4780,2294,0.949864
4790,2324,0.950096
4800,2285,0.950325
4810,2291,0.950554
4820,2213,0.950775
4830,2219,0.950997
4840,2323,0.951230
4850,2266,0.951456
4860,2254,0.951682
4870,2256,0.951907
4880,2222,0.952130
4890,2264,0.952356
4900,2250,0.952581
4910,2210,0.952802
4920,2225,0.953025
4930,2098,0.953235
4940,2123,0.953447
4950,2169,0.953664
4960,2263,0.953890
4970,2109,0.954101
4980,2162,0.954317
4990,2085,0.954526
5000,2044,0.954730
5010,2061,0.954936
5020,2178,0.955154
5030,2110,0.955365
5040,2089,0.955574
5050,2065,0.955781
5060,2113,0.955992
5070,2013,0.956194
5080,1966,0.956390
5090,2048,0.956595
5100,2000,0.956795
5110,1951,0.956990
5120,2089,0.957199
5130,1989,0.957398
5140,1932,0.957591
5150,1938,0.957785
5160,2035,0.957989
5170,1947,0.958183
5180,1988,0.958382
5190,1880,0.958570
5200,1957,0.958766
5210,1937,0.958960
5220,1962,0.959156
5230,1922,0.959348
5240,1866,0.959535
5250,1938,0.959729
5260,1850,0.959914
5270,1841,0.960098
5280,1854,0.960283
5290,1786,0.960462
5300,1907,0.960653
5310,1915,0.960844
5320,1819,0.961026
5330,1777,0.961204
5340,1822,0.961386
5350,1778,0.961564
5360,1734,0.961737
5370,1881,0.961925
5380,1762,0.962102
5390,1816,0.962283
5400,1831,0.962466
5410,1801,0.962647
5420,1755,0.962822
5430,1722,0.962994
5440,1755,0.963170
5450,1706,0.963340
5460,1707,0.963511
5470,1743,0.963686
5480,1687,0.963854
5490,1677,0.964022
5500,1644,0.964186
5510,1671,0.964354
5520,1714,0.964525
5530,1640,0.964689
5540,1624,0.964851
5550,1651,0.965017
5560,1595,0.965176
5570,1669,0.965343
5580,1695,0.965513
5590,1656,0.965678
5600,1605,0.965839
5610,1582,0.965997
5620,1565,0.966154
5630,1657,0.966319
5640,1529,0.966472
5650,1627,0.966635
5660,1592,0.966794
5670,1606,0.966955
5680,1512,0.967106
5690,1564,0.967262
5700,1518,0.967414
5710,1559,0.967570
5720,1528,0.967723
5730,1484,0.967871
5740,1525,0.968024
5750,1456,0.968170
5760,1481,0.968318
5770,1474,0.968465
5780,1458,0.968611
5790,1473,0.968758
5800,1470,0.968905
5810,1413,0.969047
5820,1474,0.969194
5830,1397,0.969334
5840,1462,0.969480
5850,1448,0.969625
5860,1433,0.969768
5870,1414,0.969910
5880,1424,0.970052
5890,1373,0.970189
5900,1412,0.970331
5910,1408,0.970471
5920,1381,0.970609
5930,1396,0.970749
5940,1387,0.970888
5950,1354,0.971023
