#latency,cnt,cdf
0,15921,0.001676
10,107,0.001687
20,76,0.001695
30,65,0.001702
40,24,0.001705
50,47298,0.006683
60,88726,0.016023
70,97676,0.026305
80,89998,0.035779
90,85198,0.044747
100,94008,0.054643
110,126398,0.067948
120,108682,0.079388
130,111980,0.091176
140,82698,0.099881
150,77310,0.108019
160,90289,0.117523
170,98577,0.127900
180,147403,0.143416
190,105612,0.154534
200,91731,0.164190
210,90388,0.173704
220,100026,0.184234
230,100142,0.194775
240,92737,0.204537
250,91049,0.214121
260,91710,0.223775
270,92255,0.233486
280,91934,0.243164
290,90651,0.252706
300,88380,0.262010
310,88392,0.271314
320,87661,0.280542
330,86182,0.289614
340,84403,0.298498
350,83006,0.307236
360,81622,0.315828
370,80720,0.324325
380,79459,0.332689
390,78781,0.340982
400,78399,0.349235
410,77741,0.357418
420,77107,0.365535
430,76116,0.373547
440,74629,0.381403
450,73108,0.389099
460,72340,0.396713
470,70489,0.404133
480,69938,0.411495
490,69068,0.418766
500,68221,0.425947
510,67119,0.433012
520,66686,0.440032
530,66792,0.447063
540,66602,0.454074
550,65396,0.460958
560,64604,0.467758
570,63650,0.474458
580,62720,0.481061
590,61745,0.487560
600,61195,0.494002
610,59502,0.500265
620,59221,0.506499
630,57825,0.512586
640,57534,0.518642
650,57051,0.524648
660,56313,0.530576
670,56124,0.536484
680,55430,0.542318
690,54740,0.548081
700,53961,0.553761
710,53151,0.559356
720,52122,0.564842
730,51009,0.570212
740,50946,0.575575
750,49687,0.580805
760,48920,0.585955
770,48280,0.591037
780,48031,0.596093
790,47983,0.601144
800,47687,0.606163
810,46890,0.611099
820,46555,0.616000
830,45845,0.620826
840,45100,0.625573
850,44682,0.630277
860,43445,0.634850
870,42805,0.639356
880,42395,0.643818
890,41437,0.648180
900,41785,0.652579
910,41021,0.656897
920,40300,0.661139
930,40543,0.665407
940,39397,0.669554
950,39005,0.673660
960,38618,0.677725
970,37911,0.681716
980,37223,0.685634
990,36844,0.689512
1000,36233,0.693326
1010,35478,0.697061
1020,35193,0.700765
1030,34478,0.704395
1040,34449,0.708021
1050,34249,0.711626
1060,33847,0.715189
1070,33721,0.718739
1080,33205,0.722234
1090,32767,0.725683
1100,32353,0.729089
1110,32131,0.732471
1120,31080,0.735743
1130,30526,0.738956
1140,30272,0.742143
1150,29987,0.745299
1160,29448,0.748399
1170,29223,0.751475
1180,29273,0.754557
1190,28931,0.757602
1200,28625,0.760615
1210,28172,0.763581
1220,27733,0.766500
1230,27188,0.769362
1240,26646,0.772167
1250,26277,0.774933
1260,25812,0.777650
1270,25407,0.780325
1280,25296,0.782987
1290,25091,0.785629
1300,24948,0.788255
1310,24500,0.790834
1320,24374,0.793400
1330,23916,0.795917
1340,24075,0.798451
1350,23629,0.800939
1360,23154,0.803376
1370,22661,0.805761
1380,22314,0.808110
1390,21841,0.810409
1400,21881,0.812713
1410,21372,0.814962
1420,21338,0.817208
1430,20935,0.819412
1440,20903,0.821613
1450,20787,0.823801
1460,20160,0.825923
1470,20205,0.828050
1480,20011,0.830156
1490,19327,0.832191
1500,19282,0.834220
1510,18977,0.836218
1520,18502,0.838166
1530,18240,0.840086
1540,17978,0.841978
1550,17804,0.843852
1560,17714,0.845717
1570,17728,0.847583
1580,17519,0.849427
1590,17257,0.851244
1600,17119,0.853046
1610,16704,0.854804
1620,16437,0.856534
1630,16490,0.858270
1640,15957,0.859950
1650,15624,0.861594
1660,15545,0.863231
1670,15263,0.864837
1680,15384,0.866457
1690,15074,0.868044
1700,14914,0.869614
1710,14951,0.871187
1720,14581,0.872722
1730,14384,0.874236
1740,14175,0.875728
1750,14154,0.877218
1760,13993,0.878691
1770,13661,0.880129
1780,13450,0.881545
1790,13273,0.882942
1800,13314,0.884344
1810,12905,0.885702
1820,12980,0.887069
1830,12904,0.888427
1840,12632,0.889757
1850,12451,0.891067
1860,12393,0.892372
1870,12235,0.893660
1880,11756,0.894897
1890,11904,0.896150
1900,11823,0.897395
1910,11710,0.898628
1920,11119,0.899798
1930,11299,0.900987
1940,10992,0.902144
1950,11126,0.903316
1960,11057,0.904480
1970,10740,0.905610
1980,10718,0.906738
1990,10399,0.907833
2000,10359,0.908923
2010,10009,0.909977
2020,10075,0.911038
2030,9874,0.912077
2040,9712,0.913099
2050,9667,0.914117
2060,9405,0.915107
2070,9411,0.916098
2080,9283,0.917075
2090,9124,0.918035
2100,9393,0.919024
2110,8985,0.919970
2120,8991,0.920916
2130,8929,0.921856
2140,8939,0.922797
2150,8620,0.923704
2160,8383,0.924587
2170,8316,0.925462
2180,8204,0.926326
2190,8194,0.927188
2200,8130,0.928044
