#latency,cnt,cdf
0,611,0.000122
10,237,0.000170
20,130,0.000196
30,83,0.000212
40,56,0.000224
50,6875,0.001600
60,17978,0.005198
70,24336,0.010070
80,27920,0.015659
90,26180,0.020899
100,29069,0.026718
110,39352,0.034595
120,39286,0.042459
130,40292,0.050524
140,37404,0.058011
150,35697,0.065157
160,36251,0.072413
170,37424,0.079905
180,42925,0.088497
190,42187,0.096942
200,40804,0.105109
210,40536,0.113223
220,40894,0.121409
230,41149,0.129646
240,40567,0.137766
250,40743,0.145922
260,41503,0.154230
270,41017,0.162440
280,40429,0.170533
290,40835,0.178707
300,39772,0.186668
310,39762,0.194627
320,39611,0.202556
330,38980,0.210359
340,38965,0.218159
350,38130,0.225791
360,37992,0.233396
370,37586,0.240920
380,36724,0.248271
390,36239,0.255525
400,35728,0.262676
410,35772,0.269837
420,34835,0.276810
430,34318,0.283679
440,33836,0.290452
450,33102,0.297078
460,32680,0.303620
470,32212,0.310068
480,31952,0.316464
490,31527,0.322775
500,31048,0.328990
510,30853,0.335165
520,30136,0.341198
530,30084,0.347220
540,29379,0.353101
550,28837,0.358873
560,28619,0.364602
570,28304,0.370267
580,27953,0.375863
590,27501,0.381368
600,27362,0.386845
610,27191,0.392287
620,26941,0.397680
630,26503,0.402985
640,25981,0.408186
650,25879,0.413366
660,25675,0.418506
670,25269,0.423564
680,25123,0.428593
690,24506,0.433498
700,24431,0.438388
710,24510,0.443295
720,24200,0.448139
730,23823,0.452908
740,23622,0.457636
750,23305,0.462301
760,23229,0.466951
770,23094,0.471574
780,23094,0.476196
790,22529,0.480706
800,22318,0.485173
810,22258,0.489629
820,21944,0.494021
830,21729,0.498371
840,21609,0.502696
850,21486,0.506997
860,21114,0.511224
870,21151,0.515457
880,21012,0.519663
890,20840,0.523835
900,20519,0.527942
910,20105,0.531967
920,19893,0.535949
930,19802,0.539913
940,19280,0.543772
950,19372,0.547650
960,19151,0.551483
970,19143,0.555315
980,18970,0.559112
990,18701,0.562856
1000,18570,0.566573
1010,18328,0.570241
1020,18359,0.573916
1030,18024,0.577524
1040,17923,0.581112
1050,17713,0.584658
1060,17777,0.588216
1070,17454,0.591710
1080,17456,0.595204
1090,17202,0.598647
1100,17267,0.602104
1110,16958,0.605498
1120,16628,0.608827
1130,16578,0.612145
1140,16508,0.615450
1150,16455,0.618743
1160,16188,0.621984
1170,16291,0.625245
1180,15892,0.628426
1190,15856,0.631600
1200,15695,0.634741
1210,15836,0.637911
1220,15576,0.641029
1230,15456,0.644123
1240,15155,0.647157
1250,15187,0.650197
1260,15083,0.653216
1270,15124,0.656243
1280,14913,0.659228
1290,14813,0.662194
1300,14627,0.665121
1310,14581,0.668040
1320,14518,0.670946
1330,14265,0.673802
1340,14000,0.676604
1350,14112,0.679429
1360,13964,0.682224
1370,13695,0.684965
1380,13534,0.687675
1390,13536,0.690384
1400,13634,0.693113
1410,13067,0.695729
1420,12917,0.698314
1430,12904,0.700897
1440,12795,0.703459
1450,12449,0.705951
1460,12400,0.708433
1470,12068,0.710848
1480,12096,0.713270
1490,11800,0.715632
1500,11733,0.717980
1510,11530,0.720288
1520,11460,0.722582
1530,11237,0.724831
1540,11362,0.727106
1550,10986,0.729305
1560,10856,0.731478
1570,10835,0.733647
1580,10414,0.735731
1590,10395,0.737812
1600,10374,0.739889
1610,10273,0.741945
1620,10132,0.743973
1630,9930,0.745961
1640,9940,0.747951
1650,9782,0.749909
1660,9611,0.751833
1670,9659,0.753766
1680,9447,0.755657
1690,9312,0.757521
1700,9363,0.759395
1710,9222,0.761241
1720,9116,0.763066
1730,9001,0.764868
1740,8959,0.766661
1750,8785,0.768420
1760,8812,0.770183
1770,8641,0.771913
1780,8647,0.773644
1790,8428,0.775331
1800,8364,0.777005
1810,8293,0.778665
1820,8142,0.780295
1830,8115,0.781919
1840,8395,0.783600
1850,8063,0.785214
1860,7954,0.786806
1870,8049,0.788417
1880,7838,0.789986
1890,7832,0.791554
1900,7792,0.793114
1910,7488,0.794613
1920,7449,0.796104
1930,7437,0.797592
1940,7433,0.799080
1950,7261,0.800534
1960,7306,0.801996
1970,7371,0.803472
1980,7155,0.804904
1990,7144,0.806334
2000,7010,0.807737
2010,6997,0.809138
2020,7096,0.810558
2030,6695,0.811898
2040,6847,0.813269
2050,6680,0.814606
2060,6577,0.815922
2070,6491,0.817222
2080,6490,0.818521
2090,6351,0.819792
2100,6359,0.821065
2110,6316,0.822329
2120,6224,0.823575
2130,6195,0.824815
2140,6023,0.826021
2150,6115,0.827245
2160,6025,0.828451
2170,5974,0.829647
2180,5918,0.830831
2190,5937,0.832020
