#latency,cnt,cdf
20,2,0.000000
30,75,0.000008
50,10830,0.001091
60,2290924,0.230183
70,87056,0.238889
80,2164796,0.455368
90,22580,0.457626
100,213006,0.478927
110,1369234,0.615850
120,661995,0.682050
130,263793,0.708429
140,24064,0.710836
150,164886,0.727324
160,9690,0.728293
170,128240,0.741117
180,334934,0.774611
190,253906,0.800001
200,295898,0.829591
210,215289,0.851120
220,74541,0.858574
230,328762,0.891450
240,110442,0.902494
250,70312,0.909526
260,209147,0.930440
270,124889,0.942929
280,161809,0.959110
290,39981,0.963108
300,72429,0.970351
310,41175,0.974469
320,106496,0.985118
330,55901,0.990708
340,37124,0.994421
350,3639,0.994784
360,2374,0.995022
370,1134,0.995135
380,11101,0.996245
390,24325,0.998678
400,862,0.998764
410,1412,0.998905
420,3807,0.999286
430,999,0.999386
440,42,0.999390
450,39,0.999394
460,40,0.999398
470,1871,0.999585
480,2066,0.999792
490,41,0.999796
500,28,0.999799
510,19,0.999801
520,27,0.999803
530,30,0.999806
540,33,0.999810
550,34,0.999813
560,29,0.999816
570,30,0.999819
580,25,0.999821
590,23,0.999824
600,19,0.999825
610,21,0.999828
620,20,0.999830
630,11,0.999831
640,22,0.999833
650,15,0.999834
660,17,0.999836
670,15,0.999838
680,19,0.999839
690,15,0.999841
700,17,0.999843
710,24,0.999845
720,11,0.999846
730,18,0.999848
740,12,0.999849
750,12,0.999850
760,11,0.999852
770,13,0.999853
780,11,0.999854
790,14,0.999855
800,10,0.999856
810,21,0.999858
820,6,0.999859
830,14,0.999860
840,9,0.999861
850,13,0.999863
860,14,0.999864
870,11,0.999865
880,12,0.999866
890,10,0.999867
900,15,0.999869
910,13,0.999870
920,14,0.999871
930,14,0.999873
940,21,0.999875
950,20,0.999877
960,21,0.999879
970,8,0.999880
980,13,0.999881
990,8,0.999882
1000,11,0.999883
1010,9,0.999884
1020,13,0.999885
1030,5,0.999886
1040,13,0.999887
1050,13,0.999888
1060,15,0.999890
1070,11,0.999891
1080,13,0.999892
1090,9,0.999893
1100,17,0.999895
1110,8,0.999896
1120,3,0.999896
1130,11,0.999897
1140,12,0.999898
1150,8,0.999899
1160,15,0.999901
1170,9,0.999901
1180,12,0.999903
1190,8,0.999904
1200,6,0.999904
1210,4,0.999905
1220,9,0.999905
1230,4,0.999906
1240,3,0.999906
1250,6,0.999907
1260,2,0.999907
1270,7,0.999908
1280,10,0.999909
1290,8,0.999909
1300,4,0.999910
1310,2,0.999910
1320,5,0.999910
1330,2,0.999911
1340,3,0.999911
1350,2,0.999911
1360,5,0.999912
1370,4,0.999912
1380,4,0.999913
1390,9,0.999913
1400,4,0.999914
1410,4,0.999914
1420,1,0.999914
1430,4,0.999915
1440,6,0.999915
1450,4,0.999916
1460,1,0.999916
1470,1,0.999916
1480,5,0.999916
1490,4,0.999917
1500,5,0.999917
1520,5,0.999918
1530,3,0.999918
1540,1,0.999918
1550,3,0.999919
1560,2,0.999919
1570,4,0.999919
1580,2,0.999919
1590,3,0.999920
1600,4,0.999920
1610,3,0.999920
1620,4,0.999921
1630,3,0.999921
1640,4,0.999921
1650,4,0.999922
1660,5,0.999922
1670,4,0.999923
1680,6,0.999923
1690,1,0.999923
1700,1,0.999924
1710,5,0.999924
1720,5,0.999924
1730,5,0.999925
1740,7,0.999926
1750,5,0.999926
1760,1,0.999926
1770,2,0.999927
1780,1,0.999927
1790,4,0.999927
1800,2,0.999927
1810,4,0.999928
1820,3,0.999928
1830,7,0.999929
1840,3,0.999929
1850,4,0.999929
1860,6,0.999930
1870,4,0.999930
1880,5,0.999931
1890,7,0.999932
1900,5,0.999932
1910,2,0.999932
1920,3,0.999933
1930,3,0.999933
1940,6,0.999933
1950,5,0.999934
1960,1,0.999934
1970,3,0.999934
1980,1,0.999934
1990,2,0.999935
2000,9,0.999936
2010,2,0.999936
2020,5,0.999936
2030,1,0.999936
2040,3,0.999937
2050,2,0.999937
2060,1,0.999937
2070,4,0.999937
2080,3,0.999938
2090,2,0.999938
2100,6,0.999938
2110,3,0.999939
2120,3,0.999939
2130,4,0.999939
2140,6,0.999940
2160,3,0.999940
2170,7,0.999941
2180,2,0.999941
2190,4,0.999942
2200,4,0.999942
2210,3,0.999942
2220,3,0.999943
2230,1,0.999943
2240,1,0.999943
2250,1,0.999943
2260,3,0.999943
2270,4,0.999944
2280,5,0.999944
2290,6,0.999945
2300,1,0.999945
2310,3,0.999945
2320,2,0.999945
2330,3,0.999946
2340,4,0.999946
2350,2,0.999946
2360,5,0.999947
2370,1,0.999947
2380,2,0.999947
2390,2,0.999947
2400,5,0.999948
2410,2,0.999948
2430,1,0.999948
2440,1,0.999948
2460,5,0.999949
2470,6,0.999949
2490,4,0.999950
2500,3,0.999950
2510,3,0.999950
2520,4,0.999951
2530,3,0.999951
2540,4,0.999951
2560,3,0.999952
2570,2,0.999952
2580,2,0.999952
2590,2,0.999952
2600,1,0.999952
2610,5,0.999953
2620,5,0.999953
2630,1,0.999953
2640,2,0.999954
2650,4,0.999954
2660,2,0.999954
2670,2,0.999954
2680,4,0.999955
2690,8,0.999956
2700,5,0.999956
2710,5,0.999957
2720,1,0.999957
2730,5,0.999957
2740,4,0.999958
2750,4,0.999958
2760,4,0.999958
2770,4,0.999959
2780,2,0.999959
2790,2,0.999959
2800,2,0.999959
2810,2,0.999960
2830,1,0.999960
2840,7,0.999960
2850,2,0.999961
2860,2,0.999961
2870,3,0.999961
2890,1,0.999961
2900,5,0.999962
2910,1,0.999962
2920,7,0.999963
2930,2,0.999963
2940,2,0.999963
2950,3,0.999963
2960,5,0.999964
2970,3,0.999964
2980,4,0.999964
2990,4,0.999965
3000,6,0.999965
3010,3,0.999966
3030,2,0.999966
3040,3,0.999966
3050,6,0.999967
3060,2,0.999967
3070,2,0.999967
3080,8,0.999968
3090,3,0.999968
3100,1,0.999968
3110,5,0.999969
3120,3,0.999969
3130,5,0.999970
3140,2,0.999970
3150,4,0.999970
3160,2,0.999970
3170,3,0.999971
3180,5,0.999971
3190,5,0.999972
3200,5,0.999972
3210,5,0.999973
