#latency,cnt,cdf
40,52,0.000027
50,3,0.000029
60,1453,0.000794
70,1293,0.001474
80,43991,0.024626
90,3210,0.026315
100,5977,0.029461
110,343053,0.210004
120,141794,0.284628
130,33134,0.302066
140,135778,0.373524
150,260955,0.510860
160,3129,0.512507
170,1164,0.513119
180,366,0.513312
190,5630,0.516275
200,222539,0.633393
210,90768,0.681163
220,69766,0.717880
230,2374,0.719129
240,6656,0.722632
250,29112,0.737953
260,10719,0.743595
270,9810,0.748757
280,57391,0.778961
290,24107,0.791649
300,14853,0.799465
310,25431,0.812849
320,33418,0.830437
330,36826,0.849818
340,39545,0.870629
350,25833,0.884225
360,22531,0.896083
370,56678,0.925911
380,12305,0.932387
390,15261,0.940419
400,4239,0.942650
410,7540,0.946618
420,36730,0.965948
430,14082,0.973360
440,14317,0.980894
450,10806,0.986581
460,7088,0.990312
470,652,0.990655
480,453,0.990893
490,131,0.990962
500,1148,0.991566
510,7402,0.995462
520,4432,0.997794
530,1757,0.998719
540,187,0.998817
550,167,0.998905
560,88,0.998952
570,24,0.998964
580,24,0.998977
590,36,0.998996
600,48,0.999021
610,80,0.999063
620,56,0.999093
630,29,0.999108
640,10,0.999113
650,10,0.999118
660,25,0.999132
670,21,0.999143
680,17,0.999152
690,16,0.999160
700,20,0.999171
710,19,0.999181
720,16,0.999189
730,17,0.999198
740,11,0.999204
750,13,0.999211
760,23,0.999223
770,18,0.999232
780,20,0.999243
790,13,0.999250
800,15,0.999257
810,16,0.999266
820,24,0.999278
830,24,0.999291
840,19,0.999301
850,20,0.999312
860,19,0.999322
870,25,0.999335
880,22,0.999346
890,13,0.999353
900,20,0.999364
910,21,0.999375
920,11,0.999381
930,13,0.999387
940,14,0.999395
950,8,0.999399
960,9,0.999404
970,10,0.999409
980,15,0.999417
990,16,0.999425
1000,12,0.999432
1010,13,0.999438
1020,9,0.999443
1030,7,0.999447
1040,5,0.999449
1050,10,0.999455
1060,7,0.999458
1070,10,0.999464
1080,7,0.999467
1090,3,0.999469
1100,10,0.999474
1110,5,0.999477
1120,7,0.999481
1130,8,0.999485
1140,8,0.999489
1150,3,0.999491
1160,9,0.999495
1170,8,0.999499
1180,9,0.999504
1190,8,0.999508
1200,8,0.999513
1210,7,0.999516
1220,8,0.999521
1230,8,0.999525
1240,8,0.999529
1250,2,0.999530
1260,12,0.999536
1270,3,0.999538
1280,11,0.999544
1290,9,0.999548
1300,1,0.999549
1310,5,0.999552
1320,5,0.999554
1330,8,0.999558
1340,3,0.999560
1350,6,0.999563
1360,9,0.999568
1370,6,0.999571
1380,8,0.999575
1390,3,0.999577
1400,2,0.999578
1410,4,0.999580
1420,2,0.999581
1430,2,0.999582
1440,8,0.999586
1450,2,0.999587
1460,4,0.999590
1470,2,0.999591
1480,1,0.999591
1490,4,0.999593
1510,3,0.999595
1520,4,0.999597
1530,4,0.999599
1540,3,0.999601
1550,2,0.999602
1560,6,0.999605
1570,8,0.999609
1580,1,0.999609
1590,1,0.999610
1600,4,0.999612
1610,7,0.999616
1620,1,0.999616
1630,6,0.999619
1640,2,0.999621
1660,3,0.999622
1670,1,0.999623
1680,4,0.999625
1690,3,0.999626
1700,7,0.999630
1710,1,0.999631
1720,4,0.999633
1730,10,0.999638
1740,3,0.999640
1750,4,0.999642
1760,3,0.999643
1770,2,0.999644
1780,4,0.999646
1790,3,0.999648
1800,1,0.999648
1810,3,0.999650
1820,3,0.999652
1830,2,0.999653
1840,2,0.999654
1850,2,0.999655
1860,4,0.999657
1870,3,0.999658
1880,3,0.999660
1890,4,0.999662
1900,4,0.999664
1910,3,0.999666
1930,5,0.999668
1940,3,0.999670
1950,3,0.999672
1960,4,0.999674
1970,4,0.999676
1980,3,0.999677
1990,4,0.999680
2000,1,0.999680
2010,2,0.999681
2020,3,0.999683
2030,4,0.999685
2040,1,0.999685
2050,2,0.999686
2060,2,0.999687
2070,2,0.999688
2080,3,0.999690
2090,3,0.999692
2100,3,0.999693
2120,4,0.999695
2130,2,0.999696
2140,5,0.999699
2160,1,0.999699
2170,2,0.999701
2180,1,0.999701
2190,5,0.999704
2200,4,0.999706
2210,4,0.999708
2220,4,0.999710
2230,6,0.999713
2240,2,0.999714
2250,4,0.999716
2260,3,0.999718
2270,5,0.999721
2280,3,0.999722
2290,1,0.999723
2300,1,0.999723
2310,5,0.999726
2320,3,0.999727
2330,2,0.999728
2340,6,0.999732
2350,4,0.999734
2360,2,0.999735
2370,5,0.999737
2390,5,0.999740
2400,2,0.999741
2410,5,0.999744
2420,1,0.999744
2430,4,0.999746
2440,3,0.999748
2450,4,0.999750
2460,1,0.999751
2470,5,0.999753
2480,3,0.999755
2490,3,0.999756
2500,1,0.999757
2510,4,0.999759
2520,6,0.999762
2530,3,0.999764
2540,1,0.999764
2550,7,0.999768
2560,3,0.999770
2570,3,0.999771
2580,3,0.999773
2590,1,0.999773
2600,7,0.999777
2610,2,0.999778
2620,6,0.999781
2630,3,0.999783
2640,2,0.999784
2650,2,0.999785
2660,3,0.999786
2670,3,0.999788
2680,1,0.999788
2690,3,0.999790
2700,1,0.999791
2710,7,0.999794
2720,5,0.999797
2730,2,0.999798
2740,4,0.999800
2750,7,0.999804
2760,1,0.999804
2770,3,0.999806
2780,5,0.999808
2790,1,0.999809
2800,4,0.999811
2810,4,0.999813
2820,4,0.999815
2830,1,0.999816
2840,3,0.999817
2850,2,0.999818
2860,3,0.999820
2870,9,0.999825
2880,2,0.999826
2890,5,0.999828
2900,6,0.999832
2910,2,0.999833
2920,3,0.999834
2940,5,0.999837
2950,3,0.999838
2960,5,0.999841
2970,1,0.999842
2980,4,0.999844
2990,3,0.999845
3000,4,0.999847
3010,4,0.999849
3020,2,0.999851
3030,1,0.999851
3040,2,0.999852
3050,4,0.999854
3060,2,0.999855
3070,5,0.999858
3080,2,0.999859
3090,2,0.999860
3100,3,0.999862
3110,1,0.999862
3120,4,0.999864
3130,2,0.999865
3140,1,0.999866
3150,3,0.999867
3160,2,0.999868
3170,4,0.999871
3180,2,0.999872
3190,4,0.999874
3200,2,0.999875
3210,3,0.999876
3230,3,0.999878
3240,3,0.999879
3250,5,0.999882
3260,2,0.999883
3280,3,0.999885
3290,2,0.999886
3300,1,0.999886
3310,9,0.999891
3320,3,0.999893
3330,3,0.999894
3340,3,0.999896
3350,4,0.999898
3360,3,0.999900
3370,1,0.999900
3380,6,0.999903
3390,3,0.999905
3400,1,0.999905
3410,6,0.999908
3420,2,0.999909
3430,3,0.999911
3440,2,0.999912
3450,5,0.999915
3460,3,0.999916
3470,3,0.999918
3480,1,0.999918
3500,3,0.999920
3510,4,0.999922
3520,4,0.999924
3530,2,0.999925
3540,2,0.999926
3550,5,0.999929
3570,5,0.999932
3580,3,0.999933
3590,2,0.999934
3600,2,0.999935
3610,2,0.999936
3620,3,0.999938
3630,3,0.999940
3640,3,0.999941
3650,3,0.999943
3660,4,0.999945
3670,1,0.999945
3680,2,0.999946
3690,2,0.999947
3700,3,0.999949
3720,1,0.999949
3730,2,0.999951
3740,1,0.999951
3750,2,0.999952
3780,1,0.999953
3790,1,0.999953
3800,1,0.999954
3810,3,0.999955
3820,2,0.999956
3830,1,0.999957
3840,1,0.999957
3850,2,0.999958
3890,1,0.999959
3910,1,0.999959
3930,1,0.999960
3980,1,0.999961
4000,2,0.999962
4030,1,0.999962
4050,1,0.999963
4070,2,0.999964
4090,1,0.999964
4100,1,0.999965
4110,1,0.999965
4120,1,0.999966
4150,1,0.999966
4160,1,0.999967
4190,2,0.999968
4210,1,0.999968
4250,1,0.999969
4270,1,0.999969
4280,1,0.999970
4300,1,0.999971
4330,1,0.999971
4340,2,0.999972
4370,2,0.999973
4410,1,0.999974
4420,1,0.999974
4430,1,0.999975
4440,2,0.999976
4460,1,0.999976
4560,1,0.999977
4570,1,0.999977
4580,1,0.999978
4600,1,0.999978
4630,1,0.999979
4640,1,0.999979
4680,1,0.999980
4690,1,0.999981
4710,1,0.999981
4730,1,0.999982
4740,1,0.999982
4840,1,0.999983
4860,1,0.999983
4870,1,0.999984
4880,1,0.999984
4890,1,0.999985
4900,2,0.999986
4920,1,0.999986
4930,1,0.999987
4980,1,0.999987
5000,1,0.999988
5030,3,0.999989
5040,1,0.999990
5080,1,0.999991
5110,1,0.999991
5140,1,0.999992
5150,1,0.999992
5190,2,0.999993
5200,1,0.999994
5210,2,0.999995
5310,1,0.999995
5400,1,0.999996
5440,1,0.999996
5790,1,0.999997
5830,1,0.999997
6130,1,0.999998
6140,1,0.999998
6610,1,0.999999
6790,1,0.999999
7900,1,1.000000
