#latency,cnt,cdf
0,440,0.000220
10,24,0.000232
40,71,0.000267
50,31,0.000283
60,152,0.000359
70,1025,0.000872
80,11580,0.006661
90,4067,0.008695
100,1566,0.009478
110,214728,0.116842
120,276131,0.254907
130,19296,0.264556
140,36735,0.282923
150,411376,0.488611
160,7567,0.492395
170,1795,0.493292
180,5598,0.496091
190,12474,0.502328
200,352631,0.678644
210,38190,0.697739
220,41158,0.718318
230,2257,0.719446
240,7729,0.723310
250,29732,0.738177
260,7479,0.741916
270,8340,0.746086
280,39891,0.766032
290,40255,0.786159
300,9369,0.790843
310,14534,0.798110
320,46900,0.821561
330,26674,0.834898
340,60506,0.865151
350,14225,0.872263
360,21158,0.882842
370,78914,0.922299
380,6708,0.925653
390,12842,0.932074
400,4912,0.934530
410,8294,0.938677
420,46641,0.961998
430,15776,0.969886
440,7220,0.973495
450,8124,0.977557
460,12537,0.983826
470,951,0.984302
480,952,0.984778
490,251,0.984903
500,1372,0.985589
510,15276,0.993227
520,1342,0.993898
530,1228,0.994512
540,294,0.994659
550,207,0.994762
560,168,0.994847
570,186,0.994940
580,166,0.995022
590,147,0.995096
600,153,0.995173
610,184,0.995264
620,144,0.995336
630,136,0.995404
640,108,0.995458
650,105,0.995511
660,90,0.995556
670,89,0.995601
680,97,0.995649
690,93,0.995695
700,94,0.995742
710,104,0.995794
720,72,0.995830
730,81,0.995871
740,79,0.995911
750,53,0.995937
760,79,0.995977
770,80,0.996017
780,79,0.996056
790,62,0.996087
800,59,0.996117
810,75,0.996154
820,64,0.996186
830,65,0.996219
840,77,0.996257
850,76,0.996295
860,78,0.996334
870,92,0.996380
880,66,0.996413
890,69,0.996448
900,97,0.996496
910,91,0.996542
920,111,0.996597
930,96,0.996645
940,102,0.996696
950,94,0.996743
960,93,0.996790
970,104,0.996841
980,87,0.996885
990,86,0.996928
1000,78,0.996967
1010,100,0.997017
1020,72,0.997053
1030,88,0.997097
1040,65,0.997129
1050,53,0.997156
1060,60,0.997186
1070,52,0.997212
1080,56,0.997240
1090,62,0.997271
1100,54,0.997298
1110,57,0.997326
1120,48,0.997351
1130,50,0.997375
1140,46,0.997398
1150,45,0.997421
1160,40,0.997441
1170,50,0.997466
1180,47,0.997490
1190,50,0.997514
1200,39,0.997534
1210,34,0.997551
1220,39,0.997571
1230,39,0.997590
1240,40,0.997610
1250,44,0.997632
1260,36,0.997650
1270,42,0.997671
1280,25,0.997684
1290,42,0.997705
1300,30,0.997720
1310,35,0.997737
1320,26,0.997750
1330,29,0.997765
1340,21,0.997775
1350,29,0.997790
1360,26,0.997802
1370,35,0.997820
1380,28,0.997834
1390,14,0.997841
1400,22,0.997852
1410,18,0.997861
1420,26,0.997874
1430,18,0.997883
1440,21,0.997894
1450,23,0.997905
1460,23,0.997917
1470,18,0.997926
1480,11,0.997931
1490,10,0.997936
1500,13,0.997943
1510,20,0.997953
1520,28,0.997967
1530,14,0.997974
1540,22,0.997985
1550,19,0.997994
1560,17,0.998003
1570,25,0.998015
1580,23,0.998026
1590,13,0.998033
1600,22,0.998044
1610,15,0.998052
1620,20,0.998061
1630,16,0.998070
1640,22,0.998080
1650,15,0.998088
1660,17,0.998097
1670,20,0.998106
1680,12,0.998112
1690,15,0.998120
1700,12,0.998126
1710,14,0.998133
1720,22,0.998144
1730,19,0.998154
1740,17,0.998162
1750,22,0.998173
1760,22,0.998184
1770,19,0.998194
1780,19,0.998203
1790,8,0.998207
1800,15,0.998214
1810,21,0.998225
1820,18,0.998234
1830,26,0.998247
1840,13,0.998254
1850,17,0.998262
1860,13,0.998268
1870,20,0.998278
1880,15,0.998286
1890,13,0.998293
1900,14,0.998299
1910,17,0.998308
1920,20,0.998318
1930,25,0.998330
1940,16,0.998339
1950,11,0.998344
1960,16,0.998352
1970,20,0.998362
1980,20,0.998372
1990,22,0.998383
2000,17,0.998392
2010,20,0.998402
2020,11,0.998407
2030,17,0.998416
2040,19,0.998425
2050,7,0.998429
2060,18,0.998438
2070,21,0.998448
2080,18,0.998457
2090,11,0.998462
2100,16,0.998470
2110,22,0.998482
2120,11,0.998487
2130,22,0.998498
2140,23,0.998510
2150,10,0.998514
2160,20,0.998524
2170,16,0.998532
2180,14,0.998540
2190,25,0.998552
2200,10,0.998557
2210,8,0.998561
2220,23,0.998573
2230,17,0.998581
2240,16,0.998589
2250,23,0.998600
2260,13,0.998607
2270,17,0.998616
2280,15,0.998623
2290,21,0.998634
2300,18,0.998643
2310,21,0.998653
2320,15,0.998661
2330,17,0.998669
2340,23,0.998680
2350,23,0.998692
2360,22,0.998703
2370,18,0.998712
2380,15,0.998720
2390,18,0.998729
2400,26,0.998742
2410,31,0.998757
2420,16,0.998765
2430,24,0.998777
2440,23,0.998788
2450,22,0.998800
2460,26,0.998812
2470,21,0.998823
2480,22,0.998834
2490,10,0.998839
2500,13,0.998846
2510,24,0.998857
2520,28,0.998872
2530,18,0.998881
2540,19,0.998890
2550,17,0.998899
2560,15,0.998906
2570,27,0.998919
2580,27,0.998933
2590,22,0.998944
2600,19,0.998954
2610,14,0.998960
2620,13,0.998967
2630,26,0.998980
2640,13,0.998986
2650,22,0.998998
2660,19,0.999007
2670,20,0.999017
2680,15,0.999025
2690,22,0.999035
2700,16,0.999044
2710,14,0.999050
2720,29,0.999065
