#latency,cnt,cdf
0,26853,0.026840
10,66840,0.093647
20,7226,0.100870
30,410,0.101279
40,180,0.101459
50,813,0.102272
60,245,0.102517
70,148,0.102665
80,187,0.102852
90,1231,0.104082
100,1522,0.105603
110,3199,0.108801
120,23863,0.132652
130,37568,0.170202
140,47183,0.217361
150,49477,0.266814
160,40028,0.306823
170,39578,0.346381
180,40226,0.386588
190,17964,0.404543
200,27309,0.431838
210,51327,0.483140
220,52195,0.535310
230,51945,0.587229
240,22373,0.609591
250,17661,0.627244
260,20585,0.647819
270,15113,0.662924
280,8328,0.671248
290,1903,0.673150
300,1092,0.674242
310,819,0.675060
320,648,0.675708
330,520,0.676228
340,417,0.676644
350,353,0.676997
360,304,0.677301
370,215,0.677516
380,262,0.677778
390,677,0.678455
400,1169,0.679623
410,957,0.680580
420,633,0.681212
430,265,0.681477
440,213,0.681690
450,219,0.681909
460,195,0.682104
470,211,0.682315
480,250,0.682565
490,323,0.682887
500,305,0.683192
510,306,0.683498
520,384,0.683882
530,393,0.684275
540,413,0.684687
550,384,0.685071
560,407,0.685478
570,419,0.685897
580,495,0.686392
590,482,0.686873
600,490,0.687363
610,481,0.687844
620,531,0.688375
630,454,0.688828
640,459,0.689287
650,465,0.689752
660,461,0.690213
670,452,0.690665
680,457,0.691121
690,429,0.691550
700,389,0.691939
710,340,0.692279
720,348,0.692627
730,351,0.692977
740,342,0.693319
750,298,0.693617
760,261,0.693878
770,252,0.694130
780,258,0.694388
790,221,0.694609
800,212,0.694821
810,234,0.695054
820,211,0.695265
830,233,0.695498
840,201,0.695699
850,216,0.695915
860,192,0.696107
870,178,0.696285
880,190,0.696475
890,213,0.696688
900,189,0.696877
910,166,0.697042
920,177,0.697219
930,177,0.697396
940,141,0.697537
950,185,0.697722
960,186,0.697908
970,173,0.698081
980,185,0.698266
990,213,0.698479
1000,197,0.698676
1010,217,0.698893
1020,185,0.699077
1030,237,0.699314
1040,206,0.699520
1050,216,0.699736
1060,242,0.699978
1070,244,0.700222
1080,240,0.700462
1090,240,0.700702
1100,243,0.700945
1110,274,0.701218
1120,230,0.701448
1130,275,0.701723
1140,279,0.702002
1150,259,0.702261
1160,234,0.702495
1170,278,0.702773
1180,259,0.703032
1190,270,0.703301
1200,273,0.703574
1210,278,0.703852
1220,256,0.704108
1230,273,0.704381
1240,263,0.704644
1250,259,0.704903
1260,263,0.705165
1270,269,0.705434
1280,275,0.705709
1290,261,0.705970
1300,272,0.706242
1310,243,0.706485
1320,266,0.706751
1330,240,0.706991
1340,225,0.707215
1350,253,0.707468
1360,238,0.707706
1370,211,0.707917
1380,237,0.708154
1390,230,0.708384
1400,249,0.708633
1410,252,0.708885
1420,214,0.709099
1430,260,0.709358
1440,206,0.709564
1450,240,0.709804
1460,242,0.710046
1470,232,0.710278
1480,250,0.710528
1490,212,0.710740
1500,199,0.710939
1510,249,0.711188
1520,196,0.711383
1530,217,0.711600
1540,229,0.711829
1550,188,0.712017
1560,247,0.712264
1570,254,0.712518
1580,226,0.712744
1590,224,0.712968
1600,269,0.713237
1610,225,0.713461
1620,217,0.713678
1630,192,0.713870
1640,194,0.714064
1650,197,0.714261
1660,232,0.714493
1670,250,0.714743
1680,230,0.714973
1690,219,0.715192
1700,220,0.715411
1710,221,0.715632
1720,221,0.715853
1730,229,0.716082
1740,211,0.716293
1750,241,0.716534
1760,234,0.716768
1770,226,0.716994
1780,217,0.717211
1790,248,0.717458
1800,219,0.717677
1810,218,0.717895
1820,242,0.718137
1830,283,0.718420
1840,262,0.718682
1850,292,0.718974
1860,258,0.719232
1870,283,0.719514
1880,238,0.719752
1890,261,0.720013
1900,249,0.720262
1910,252,0.720514
1920,253,0.720767
1930,269,0.721036
1940,255,0.721291
1950,271,0.721561
1960,281,0.721842
1970,250,0.722092
1980,256,0.722348
1990,253,0.722601
2000,252,0.722853
2010,242,0.723095
2020,219,0.723314
2030,246,0.723559
2040,231,0.723790
2050,246,0.724036
2060,243,0.724279
2070,267,0.724546
2080,242,0.724788
2090,250,0.725038
2100,246,0.725284
2110,220,0.725504
2120,237,0.725740
2130,253,0.725993
2140,253,0.726246
2150,237,0.726483
2160,212,0.726695
2170,251,0.726946
2180,215,0.727161
2190,258,0.727419
2200,246,0.727664
2210,221,0.727885
2220,238,0.728123
2230,203,0.728326
2240,249,0.728575
2250,219,0.728794
2260,256,0.729050
2270,233,0.729283
2280,180,0.729463
2290,226,0.729688
2300,226,0.729914
2310,196,0.730110
2320,232,0.730342
2330,240,0.730582
2340,219,0.730801
2350,215,0.731016
2360,210,0.731226
2370,250,0.731476
2380,244,0.731719
2390,217,0.731936
2400,192,0.732128
2410,223,0.732351
2420,237,0.732588
2430,244,0.732832
2440,221,0.733053
2450,236,0.733289
2460,224,0.733513
2470,224,0.733736
2480,256,0.733992
2490,206,0.734198
2500,245,0.734443
2510,233,0.734676
2520,238,0.734914
2530,229,0.735143
2540,267,0.735410
2550,240,0.735650
2560,206,0.735855
2570,227,0.736082
2580,225,0.736307
2590,214,0.736521
2600,226,0.736747
2610,237,0.736984
2620,258,0.737242
2630,207,0.737449
2640,220,0.737669
2650,229,0.737897
2660,223,0.738120
2670,240,0.738360
2680,229,0.738589
2690,202,0.738791
2700,241,0.739032
2710,254,0.739286
2720,230,0.739516
2730,268,0.739784
2740,253,0.740036
2750,257,0.740293
2760,248,0.740541
2770,220,0.740761
2780,231,0.740992
2790,220,0.741212
2800,241,0.741453
2810,210,0.741663
2820,219,0.741881
2830,231,0.742112
2840,234,0.742346
2850,223,0.742569
2860,274,0.742843
2870,220,0.743063
2880,225,0.743288
2890,223,0.743511
2900,220,0.743731
2910,231,0.743961
2920,229,0.744190
2930,238,0.744428
2940,247,0.744675
2950,224,0.744899
2960,240,0.745139
2970,240,0.745379
2980,223,0.745602
2990,228,0.745830
3000,240,0.746069
3010,238,0.746307
3020,224,0.746531
3030,256,0.746787
3040,249,0.747036
3050,209,0.747245
3060,222,0.747467
3070,191,0.747658
3080,219,0.747877
3090,263,0.748139
3100,213,0.748352
3110,247,0.748599
3120,239,0.748838
3130,240,0.749078
3140,226,0.749304
3150,205,0.749509
3160,215,0.749724
3170,273,0.749996
3180,222,0.750218
3190,244,0.750462
3200,226,0.750688
3210,230,0.750918
3220,226,0.751144
3230,231,0.751375
3240,257,0.751632
3250,220,0.751852
3260,237,0.752088
3270,232,0.752320
3280,242,0.752562
3290,210,0.752772
3300,253,0.753025
3310,224,0.753249
3320,245,0.753494
3330,242,0.753736
3340,213,0.753949
3350,213,0.754161
3360,271,0.754432
3370,236,0.754668
3380,257,0.754925
3390,209,0.755134
3400,243,0.755377
3410,242,0.755619
3420,219,0.755838
3430,243,0.756081
3440,255,0.756335
3450,243,0.756578
3460,271,0.756849
3470,253,0.757102
3480,238,0.757340
3490,250,0.757590
3500,250,0.757840
3510,266,0.758106
3520,281,0.758386
3530,269,0.758655
3540,246,0.758901
3550,255,0.759156
3560,274,0.759430
3570,251,0.759681
3580,287,0.759968
3590,268,0.760235
3600,286,0.760521
3610,287,0.760808
3620,300,0.761108
3630,280,0.761388
3640,283,0.761671
3650,266,0.761937
3660,300,0.762236
3670,312,0.762548
3680,313,0.762861
3690,299,0.763160
3700,265,0.763425
3710,333,0.763758
3720,357,0.764115
3730,310,0.764424
3740,296,0.764720
3750,329,0.765049
3760,360,0.765409
3770,332,0.765741
3780,332,0.766073
3790,384,0.766456
3800,365,0.766821
3810,348,0.767169
3820,383,0.767552
3830,347,0.767899
3840,420,0.768319
3850,392,0.768710
3860,397,0.769107
3870,393,0.769500
3880,396,0.769896
3890,374,0.770270
3900,437,0.770706
3910,416,0.771122
3920,442,0.771564
3930,438,0.772002
3940,474,0.772475
3950,488,0.772963
3960,456,0.773419
3970,505,0.773924
3980,479,0.774403
3990,532,0.774934
4000,522,0.775456
4010,513,0.775969
4020,494,0.776463
4030,496,0.776958
4040,486,0.777444
4050,538,0.777982
4060,506,0.778488
4070,499,0.778986
4080,511,0.779497
4090,544,0.780041
4100,601,0.780641
4110,560,0.781201
4120,572,0.781773
4130,610,0.782383
4140,555,0.782937
4150,613,0.783550
4160,625,0.784175
4170,563,0.784737
4180,568,0.785305
4190,609,0.785914
4200,641,0.786555
4210,637,0.787191
4220,605,0.787796
4230,595,0.788391
4240,631,0.789021
4250,615,0.789636
4260,690,0.790326
4270,645,0.790970
4280,640,0.791610
4290,690,0.792300
4300,688,0.792987
4310,711,0.793698
4320,695,0.794393
4330,703,0.795095
4340,726,0.795821
4350,758,0.796579
4360,709,0.797287
4370,766,0.798053
4380,754,0.798807
4390,827,0.799633
4400,813,0.800446
4410,807,0.801252
4420,806,0.802058
4430,820,0.802878
4440,811,0.803688
4450,852,0.804540
4460,759,0.805298
4470,787,0.806085
4480,867,0.806952
4490,800,0.807751
4500,826,0.808577
4510,893,0.809469
4520,877,0.810346
4530,929,0.811274
4540,838,0.812112
4550,916,0.813028
4560,889,0.813916
4570,918,0.814834
4580,969,0.815802
4590,950,0.816752
4600,953,0.817704
4610,974,0.818678
4620,972,0.819649
4630,988,0.820637
4640,975,0.821611
4650,958,0.822569
4660,982,0.823550
4670,1010,0.824560
4680,1020,0.825579
4690,1008,0.826587
4700,1056,0.827642
4710,1045,0.828687
4720,1049,0.829735
4730,1092,0.830827
4740,1104,0.831930
4750,1084,0.833014
4760,1144,0.834157
4770,1122,0.835279
4780,1043,0.836321
4790,1084,0.837405
4800,1058,0.838462
4810,1093,0.839555
4820,1093,0.840647
4830,1107,0.841754
4840,1167,0.842920
4850,1197,0.844116
4860,1134,0.845250
4870,1226,0.846475
4880,1169,0.847644
4890,1142,0.848785
4900,1134,0.849919
4910,1180,0.851098
4920,1151,0.852248
4930,1196,0.853444
4940,1278,0.854721
4950,1211,0.855932
4960,1126,0.857057
4970,1231,0.858287
4980,1229,0.859516
4990,1156,0.860671
5000,1227,0.861898
5010,1271,0.863168
5020,1217,0.864384
5030,1143,0.865527
5040,1173,0.866699
5050,1173,0.867872
5060,1240,0.869111
5070,1179,0.870290
5080,1184,0.871473
5090,1236,0.872708
5100,1269,0.873977
5110,1227,0.875203
5120,1232,0.876435
5130,1212,0.877646
5140,1274,0.878919
5150,1183,0.880102
5160,1241,0.881342
5170,1269,0.882610
5180,1213,0.883823
5190,1245,0.885067
5200,1180,0.886247
5210,1208,0.887454
5220,1222,0.888676
5230,1141,0.889816
5240,1141,0.890956
5250,1229,0.892185
5260,1185,0.893369
5270,1144,0.894513
5280,1138,0.895650
5290,1240,0.896890
5300,1188,0.898077
5310,1206,0.899282
5320,1157,0.900439
5330,1148,0.901586
5340,1197,0.902783
5350,1199,0.903981
5360,1139,0.905119
5370,1153,0.906272
5380,1132,0.907403
5390,1149,0.908552
5400,1118,0.909669
5410,1150,0.910819
5420,1098,0.911916
5430,1085,0.913001
5440,1086,0.914086
5450,1033,0.915119
5460,1096,0.916214
5470,1052,0.917266
5480,1035,0.918300
5490,1020,0.919320
5500,1047,0.920366
5510,1068,0.921434
5520,1076,0.922509
5530,1062,0.923570
5540,1045,0.924615
5550,1017,0.925631
5560,1064,0.926695
5570,985,0.927679
5580,1034,0.928713
5590,1006,0.929718
5600,1005,0.930723
5610,1022,0.931744
5620,993,0.932737
5630,1043,0.933779
5640,919,0.934698
5650,987,0.935685
5660,914,0.936598
5670,918,0.937516
5680,954,0.938469
5690,934,0.939403
5700,866,0.940268
5710,891,0.941159
5720,920,0.942078
5730,907,0.942985
5740,921,0.943905
5750,876,0.944781
5760,831,0.945612
5770,881,0.946492
5780,808,0.947300
