#latency,cnt,cdf
0,43744,0.023023
10,130645,0.091783
20,16632,0.100537
30,2100,0.101642
40,651,0.101985
50,2486,0.103293
60,583,0.103600
70,362,0.103790
80,575,0.104093
90,2481,0.105399
100,3342,0.107158
110,6016,0.110324
120,47526,0.135338
130,78475,0.176640
140,99470,0.228992
150,102861,0.283129
160,83745,0.327205
170,87115,0.373055
180,86833,0.418756
190,34289,0.436803
200,46793,0.461431
210,87639,0.507556
220,91614,0.555774
230,99088,0.607925
240,44166,0.631170
250,28637,0.646242
260,33243,0.663738
270,16641,0.672496
280,7204,0.676288
290,2547,0.677629
300,1678,0.678512
310,1227,0.679157
320,1025,0.679697
330,843,0.680141
340,698,0.680508
350,656,0.680853
360,554,0.681145
370,518,0.681417
380,441,0.681650
390,1047,0.682201
400,2050,0.683280
410,1123,0.683871
420,537,0.684153
430,260,0.684290
440,220,0.684406
450,204,0.684513
460,187,0.684612
470,162,0.684697
480,224,0.684815
490,259,0.684951
500,209,0.685061
510,220,0.685177
520,248,0.685307
530,265,0.685447
540,278,0.685593
550,339,0.685772
560,341,0.685951
570,415,0.686170
580,484,0.686424
590,533,0.686705
600,532,0.686985
610,568,0.687284
620,498,0.687546
630,499,0.687808
640,568,0.688107
650,677,0.688464
660,721,0.688843
670,753,0.689240
680,751,0.689635
690,709,0.690008
700,721,0.690387
710,735,0.690774
720,737,0.691162
730,744,0.691554
740,750,0.691948
750,742,0.692339
760,736,0.692726
770,717,0.693104
780,611,0.693425
790,586,0.693734
800,629,0.694065
810,686,0.694426
820,758,0.694825
830,633,0.695158
840,566,0.695456
850,510,0.695724
860,497,0.695986
870,492,0.696245
880,508,0.696512
890,519,0.696785
900,493,0.697045
910,467,0.697290
920,386,0.697494
930,396,0.697702
940,299,0.697859
950,306,0.698020
960,393,0.698227
970,368,0.698421
980,337,0.698598
990,318,0.698766
1000,326,0.698937
1010,297,0.699094
1020,269,0.699235
1030,259,0.699372
1040,275,0.699516
1050,242,0.699644
1060,324,0.699814
1070,289,0.699966
1080,218,0.700081
1090,199,0.700186
1100,225,0.700304
1110,254,0.700438
1120,246,0.700567
1130,253,0.700700
1140,233,0.700823
1150,263,0.700962
1160,260,0.701098
1170,247,0.701228
1180,252,0.701361
1190,254,0.701495
1200,259,0.701631
1210,272,0.701774
1220,285,0.701924
1230,305,0.702085
1240,295,0.702240
1250,318,0.702407
1260,333,0.702583
1270,349,0.702766
1280,310,0.702929
1290,352,0.703115
1300,349,0.703298
1310,398,0.703508
1320,388,0.703712
1330,390,0.703917
1340,406,0.704131
1350,385,0.704334
1360,464,0.704578
1370,441,0.704810
1380,512,0.705079
1390,489,0.705337
1400,498,0.705599
1410,475,0.705849
1420,474,0.706098
1430,458,0.706339
1440,468,0.706586
1450,505,0.706851
1460,511,0.707120
1470,473,0.707369
1480,508,0.707637
1490,459,0.707878
1500,455,0.708118
1510,486,0.708374
1520,452,0.708611
1530,444,0.708845
1540,470,0.709092
1550,467,0.709338
1560,448,0.709574
1570,444,0.709808
1580,389,0.710012
1590,439,0.710244
1600,424,0.710467
1610,421,0.710688
1620,385,0.710891
1630,400,0.711101
1640,383,0.711303
1650,421,0.711525
1660,388,0.711729
1670,380,0.711929
1680,332,0.712104
1690,312,0.712268
1700,364,0.712459
1710,360,0.712649
1720,319,0.712817
1730,333,0.712992
1740,293,0.713146
1750,286,0.713297
1760,321,0.713466
1770,379,0.713665
1780,353,0.713851
1790,321,0.714020
1800,300,0.714178
1810,312,0.714342
1820,303,0.714501
1830,274,0.714646
1840,288,0.714797
1850,295,0.714952
1860,325,0.715124
1870,321,0.715292
1880,309,0.715455
1890,316,0.715621
1900,283,0.715770
1910,329,0.715944
1920,363,0.716135
1930,326,0.716306
1940,363,0.716497
1950,345,0.716679
1960,326,0.716850
1970,384,0.717052
1980,367,0.717246
1990,345,0.717427
2000,382,0.717628
2010,364,0.717820
2020,395,0.718028
2030,348,0.718211
