#latency,cnt,cdf
30,117,0.000059
40,5411,0.002764
50,1213,0.003370
60,175,0.003458
70,8192,0.007554
80,7781,0.011444
90,6256,0.014573
100,8859,0.019002
110,15786,0.026895
120,72891,0.063340
130,118988,0.122835
140,133018,0.189343
150,123875,0.251281
160,107565,0.305063
170,106599,0.358363
180,114213,0.415469
190,56230,0.443585
200,78427,0.482798
210,96131,0.530864
220,86729,0.574228
230,109067,0.628761
240,54969,0.656246
250,16943,0.664717
260,6512,0.667974
270,4923,0.670435
280,4625,0.672747
290,3675,0.674585
300,1868,0.675519
310,1608,0.676323
320,1104,0.676875
330,1080,0.677415
340,1375,0.678102
350,3277,0.679741
360,2364,0.680923
370,3528,0.682687
380,930,0.683152
390,344,0.683324
400,301,0.683474
410,250,0.683599
420,259,0.683729
430,226,0.683842
440,211,0.683948
450,206,0.684051
460,179,0.684140
470,212,0.684246
480,203,0.684348
490,242,0.684469
500,245,0.684591
510,265,0.684723
520,292,0.684870
530,329,0.685034
540,303,0.685185
550,336,0.685354
560,322,0.685515
570,402,0.685715
580,408,0.685920
590,435,0.686137
600,395,0.686334
610,423,0.686546
620,480,0.686786
630,450,0.687011
640,490,0.687256
650,581,0.687546
660,669,0.687881
670,614,0.688188
680,692,0.688534
690,617,0.688842
700,618,0.689152
710,666,0.689484
720,686,0.689828
730,766,0.690211
740,763,0.690592
750,820,0.691002
760,763,0.691383
770,676,0.691721
780,556,0.691999
790,658,0.692329
800,647,0.692652
810,695,0.692999
820,725,0.693362
830,708,0.693716
840,657,0.694044
850,581,0.694335
860,517,0.694593
870,586,0.694887
880,570,0.695171
890,636,0.695490
900,580,0.695780
910,577,0.696068
920,524,0.696330
930,487,0.696573
940,405,0.696776
950,431,0.696992
960,441,0.697212
970,463,0.697443
980,415,0.697651
990,401,0.697851
1000,435,0.698069
1010,389,0.698264
1020,348,0.698438
1030,361,0.698618
1040,350,0.698793
1050,312,0.698949
1060,352,0.699125
1070,301,0.699275
1080,320,0.699435
1090,290,0.699580
1100,338,0.699750
1110,317,0.699908
1120,293,0.700055
1130,275,0.700192
1140,298,0.700341
1150,343,0.700513
1160,288,0.700656
1170,263,0.700788
1180,264,0.700920
1190,252,0.701046
1200,264,0.701178
1210,265,0.701311
1220,249,0.701435
1230,278,0.701574
1240,316,0.701732
1250,259,0.701862
1260,303,0.702013
1270,313,0.702169
1280,301,0.702320
1290,288,0.702464
1300,331,0.702630
1310,308,0.702784
1320,347,0.702957
1330,322,0.703118
1340,330,0.703283
1350,386,0.703476
1360,360,0.703656
1370,347,0.703830
1380,373,0.704016
1390,416,0.704224
1400,416,0.704432
1410,476,0.704670
1420,417,0.704879
1430,403,0.705080
1440,408,0.705284
1450,406,0.705487
1460,443,0.705709
1470,420,0.705918
1480,446,0.706141
1490,474,0.706379
1500,471,0.706614
1510,458,0.706843
1520,458,0.707072
1530,455,0.707299
1540,467,0.707533
1550,483,0.707775
1560,452,0.708000
1570,458,0.708229
1580,444,0.708452
1590,471,0.708687
1600,460,0.708917
1610,465,0.709149
1620,456,0.709378
1630,434,0.709594
1640,427,0.709808
1650,468,0.710042
1660,415,0.710249
1670,483,0.710491
1680,398,0.710690
1690,401,0.710890
1700,453,0.711117
1710,423,0.711329
1720,426,0.711541
1730,442,0.711762
1740,391,0.711958
1750,431,0.712174
1760,375,0.712361
1770,340,0.712531
1780,384,0.712723
