#latency,cnt,cdf
0,33560,0.017667
10,228654,0.138034
20,280445,0.285665
30,21293,0.296874
40,1826,0.297836
50,1395,0.298570
60,2805,0.300047
70,1801,0.300995
80,903,0.301470
90,1243,0.302124
100,2288,0.303329
110,5094,0.306010
120,14194,0.313482
130,35801,0.332329
140,110839,0.390676
150,128275,0.458202
160,46861,0.482871
170,76745,0.523271
180,131465,0.592476
190,27938,0.607183
200,24013,0.619824
210,66028,0.654583
220,113877,0.714529
230,175794,0.807071
240,80865,0.849639
250,26756,0.863724
260,24373,0.876554
270,47378,0.901495
280,51999,0.928868
290,8659,0.933427
300,2475,0.934729
310,1574,0.935558
320,1025,0.936098
330,816,0.936527
340,592,0.936839
350,477,0.937090
360,406,0.937304
370,368,0.937497
380,323,0.937667
390,309,0.937830
400,1090,0.938404
410,2746,0.939849
420,3609,0.941749
430,777,0.942158
440,246,0.942288
450,138,0.942360
460,152,0.942440
470,102,0.942494
480,117,0.942556
490,113,0.942615
500,127,0.942682
510,116,0.942743
520,138,0.942816
530,169,0.942905
540,162,0.942990
550,169,0.943079
560,166,0.943166
570,211,0.943277
580,172,0.943368
590,184,0.943465
600,228,0.943585
610,210,0.943695
620,228,0.943815
630,251,0.943948
640,239,0.944073
650,205,0.944181
660,251,0.944313
670,272,0.944457
680,212,0.944568
690,223,0.944686
700,186,0.944784
710,182,0.944879
720,232,0.945001
730,190,0.945101
740,188,0.945200
750,211,0.945311
760,186,0.945409
770,169,0.945498
780,171,0.945588
790,166,0.945676
800,116,0.945737
810,138,0.945809
820,130,0.945878
830,138,0.945951
840,125,0.946016
850,132,0.946086
860,112,0.946145
870,112,0.946204
880,116,0.946265
890,96,0.946315
900,106,0.946371
910,93,0.946420
920,104,0.946475
930,117,0.946536
940,71,0.946574
950,110,0.946632
960,128,0.946699
970,85,0.946744
980,109,0.946801
990,83,0.946845
1000,89,0.946892
1010,85,0.946937
1020,116,0.946998
1030,133,0.947068
1040,96,0.947118
1050,81,0.947161
1060,108,0.947218
1070,104,0.947272
1080,106,0.947328
1090,81,0.947371
1100,100,0.947424
1110,109,0.947481
1120,94,0.947530
1130,115,0.947591
1140,110,0.947649
1150,108,0.947706
1160,110,0.947764
1170,110,0.947821
1180,110,0.947879
1190,117,0.947941
1200,102,0.947995
1210,121,0.948058
1220,118,0.948120
1230,109,0.948178
1240,127,0.948245
1250,104,0.948299
1260,123,0.948364
1270,132,0.948434
1280,108,0.948491
1290,114,0.948551
1300,122,0.948615
1310,136,0.948686
1320,117,0.948748
1330,120,0.948811
1340,110,0.948869
1350,107,0.948925
1360,109,0.948983
1370,117,0.949044
1380,130,0.949113
1390,97,0.949164
1400,116,0.949225
1410,134,0.949295
1420,126,0.949362
1430,118,0.949424
1440,125,0.949490
1450,145,0.949566
1460,120,0.949629
1470,147,0.949707
1480,107,0.949763
1490,121,0.949827
1500,120,0.949890
1510,115,0.949950
1520,99,0.950002
1530,122,0.950067
1540,108,0.950123
1550,109,0.950181
1560,105,0.950236
1570,138,0.950309
1580,110,0.950367
1590,119,0.950429
1600,114,0.950489
1610,117,0.950551
1620,110,0.950609
1630,117,0.950670
1640,115,0.950731
1650,100,0.950784
1660,104,0.950838
1670,91,0.950886
1680,91,0.950934
1690,94,0.950984
1700,109,0.951041
1710,99,0.951093
1720,113,0.951153
1730,86,0.951198
1740,97,0.951249
1750,107,0.951305
1760,91,0.951353
1770,87,0.951399
1780,104,0.951454
1790,82,0.951497
1800,87,0.951543
1810,101,0.951596
1820,103,0.951650
1830,116,0.951711
1840,101,0.951764
1850,105,0.951820
1860,102,0.951873
1870,100,0.951926
1880,102,0.951980
1890,106,0.952035
1900,121,0.952099
1910,125,0.952165
1920,103,0.952219
1930,114,0.952279
1940,100,0.952332
1950,127,0.952399
1960,121,0.952462
1970,111,0.952521
1980,120,0.952584
1990,108,0.952641
2000,105,0.952696
2010,121,0.952760
2020,110,0.952818
2030,104,0.952872
2040,88,0.952919
2050,125,0.952985
2060,106,0.953040
2070,106,0.953096
2080,138,0.953169
2090,122,0.953233
2100,114,0.953293
2110,99,0.953345
2120,94,0.953395
2130,90,0.953442
2140,111,0.953500
2150,100,0.953553
2160,119,0.953616
2170,104,0.953671
2180,115,0.953731
2190,95,0.953781
2200,108,0.953838
2210,94,0.953887
2220,112,0.953946
2230,101,0.954000
2240,85,0.954044
2250,108,0.954101
2260,95,0.954151
2270,110,0.954209
2280,94,0.954259
2290,114,0.954319
2300,108,0.954375
2310,113,0.954435
2320,88,0.954481
2330,117,0.954543
2340,116,0.954604
2350,102,0.954658
2360,127,0.954724
2370,101,0.954778
2380,120,0.954841
2390,95,0.954891
2400,101,0.954944
2410,78,0.954985
2420,93,0.955034
2430,102,0.955088
2440,93,0.955137
2450,79,0.955178
2460,85,0.955223
2470,97,0.955274
2480,82,0.955317
2490,97,0.955368
2500,101,0.955421
2510,108,0.955478
2520,95,0.955528
2530,121,0.955592
2540,108,0.955649
2550,83,0.955692
2560,101,0.955746
2570,82,0.955789
2580,106,0.955845
2590,92,0.955893
2600,97,0.955944
2610,102,0.955998
2620,97,0.956049
2630,95,0.956099
2640,90,0.956146
2650,95,0.956196
2660,97,0.956247
2670,96,0.956298
2680,94,0.956347
2690,91,0.956395
2700,109,0.956453
2710,94,0.956502
2720,87,0.956548
2730,84,0.956592
2740,82,0.956635
2750,92,0.956684
2760,98,0.956735
2770,89,0.956782
2780,104,0.956837
2790,118,0.956899
2800,88,0.956945
2810,93,0.956994
2820,105,0.957050
2830,93,0.957099
2840,101,0.957152
2850,106,0.957208
2860,122,0.957272
2870,109,0.957329
2880,101,0.957382
2890,104,0.957437
2900,110,0.957495
2910,97,0.957546
2920,88,0.957592
2930,91,0.957640
2940,95,0.957690
2950,114,0.957750
2960,114,0.957810
2970,105,0.957866
2980,114,0.957926
2990,101,0.957979
3000,121,0.958042
3010,101,0.958096
3020,89,0.958142
3030,107,0.958199
3040,99,0.958251
3050,107,0.958307
3060,88,0.958354
3070,81,0.958396
3080,96,0.958447
3090,95,0.958497
3100,104,0.958551
3110,89,0.958598
3120,91,0.958646
3130,83,0.958690
3140,94,0.958739
3150,98,0.958791
3160,85,0.958836
3170,86,0.958881
3180,85,0.958926
3190,80,0.958968
3200,93,0.959017
3210,96,0.959067
3220,87,0.959113
3230,80,0.959155
3240,97,0.959206
3250,92,0.959255
3260,91,0.959303
3270,94,0.959352
3280,93,0.959401
3290,110,0.959459
3300,89,0.959506
3310,86,0.959551
3320,100,0.959604
3330,89,0.959651
3340,99,0.959703
3350,105,0.959758
3360,93,0.959807
3370,105,0.959862
3380,95,0.959912
3390,88,0.959959
3400,102,0.960012
3410,116,0.960073
3420,112,0.960132
3430,102,0.960186
3440,122,0.960250
3450,102,0.960304
3460,93,0.960353
3470,92,0.960401
3480,109,0.960459
3490,89,0.960505
3500,114,0.960566
3510,106,0.960621
3520,99,0.960673
