#latency,cnt,cdf
0,65314,0.032657
10,111592,0.088453
20,23571,0.100239
30,2335,0.101406
40,446,0.101629
50,1349,0.102303
60,465,0.102536
70,375,0.102724
80,456,0.102951
90,2649,0.104276
100,2991,0.105771
110,7936,0.109739
120,53430,0.136454
130,72276,0.172593
140,93817,0.219501
150,101755,0.270379
160,77714,0.309236
170,77878,0.348175
180,79895,0.388122
190,33267,0.404756
200,52032,0.430771
210,101681,0.481612
220,103046,0.533135
230,110949,0.588610
240,44243,0.610731
250,33314,0.627388
260,32968,0.643872
270,35878,0.661811
280,21010,0.672316
290,4017,0.674325
300,2531,0.675590
310,1813,0.676497
320,1367,0.677180
330,1120,0.677740
340,901,0.678191
350,728,0.678554
360,649,0.678879
370,583,0.679170
380,540,0.679440
390,1256,0.680068
400,1792,0.680965
410,2047,0.681988
420,1488,0.682732
430,528,0.682996
440,471,0.683231
450,439,0.683451
460,379,0.683640
470,465,0.683873
480,499,0.684123
490,620,0.684433
500,671,0.684768
510,689,0.685112
520,725,0.685475
530,818,0.685884
540,851,0.686310
550,874,0.686746
560,867,0.687180
570,954,0.687657
580,900,0.688107
590,920,0.688567
600,948,0.689041
610,993,0.689538
620,970,0.690023
630,907,0.690476
640,844,0.690898
650,869,0.691333
660,902,0.691783
670,856,0.692212
680,815,0.692619
690,715,0.692976
700,755,0.693354
710,644,0.693676
720,645,0.693999
730,614,0.694305
740,637,0.694624
750,578,0.694913
760,604,0.695215
770,546,0.695488
780,514,0.695745
790,416,0.695953
800,411,0.696159
810,433,0.696375
820,384,0.696567
830,381,0.696757
840,379,0.696947
850,418,0.697156
860,365,0.697339
870,373,0.697525
880,317,0.697684
890,349,0.697858
900,327,0.698021
910,336,0.698189
920,381,0.698380
930,403,0.698582
940,274,0.698718
950,397,0.698917
960,494,0.699164
970,425,0.699377
980,395,0.699574
990,375,0.699762
1000,384,0.699953
1010,398,0.700153
1020,438,0.700372
1030,484,0.700613
1040,490,0.700858
1050,487,0.701102
1060,533,0.701369
1070,532,0.701635
1080,494,0.701882
1090,551,0.702157
1100,530,0.702422
1110,585,0.702715
1120,508,0.702968
1130,529,0.703233
1140,551,0.703508
1150,560,0.703789
1160,547,0.704062
1170,549,0.704337
1180,503,0.704588
1190,595,0.704885
1200,562,0.705167
1210,542,0.705437
1220,517,0.705696
1230,555,0.705974
1240,584,0.706266
1250,566,0.706549
1260,547,0.706822
1270,515,0.707080
1280,482,0.707321
1290,505,0.707573
1300,468,0.707807
1310,509,0.708062
1320,473,0.708298
1330,497,0.708547
1340,458,0.708776
1350,481,0.709016
1360,501,0.709266
1370,422,0.709477
1380,476,0.709715
1390,423,0.709927
1400,489,0.710172
1410,441,0.710392
1420,426,0.710605
1430,513,0.710862
1440,461,0.711092
1450,477,0.711330
1460,440,0.711550
1470,436,0.711769
1480,414,0.711976
1490,382,0.712166
1500,437,0.712385
1510,431,0.712601
1520,439,0.712820
1530,435,0.713037
1540,409,0.713242
1550,441,0.713462
1560,434,0.713679
1570,399,0.713879
1580,442,0.714100
1590,464,0.714332
1600,496,0.714580
1610,420,0.714790
1620,459,0.715020
1630,445,0.715242
1640,468,0.715476
1650,480,0.715716
1660,424,0.715928
1670,455,0.716156
1680,477,0.716394
1690,511,0.716649
1700,444,0.716872
1710,446,0.717094
1720,448,0.717318
1730,472,0.717555
1740,452,0.717780
1750,439,0.718000
1760,460,0.718230
1770,490,0.718475
1780,435,0.718692
1790,479,0.718932
1800,485,0.719175
1810,491,0.719420
1820,530,0.719685
1830,485,0.719927
1840,544,0.720200
1850,520,0.720460
1860,543,0.720731
1870,525,0.720994
1880,499,0.721243
1890,497,0.721492
1900,470,0.721726
1910,462,0.721958
1920,450,0.722183
1930,474,0.722420
1940,533,0.722686
1950,525,0.722948
1960,509,0.723203
1970,517,0.723462
1980,480,0.723701
1990,429,0.723916
2000,440,0.724136
2010,509,0.724391
2020,464,0.724622
2030,508,0.724877
2040,495,0.725124
2050,497,0.725372
2060,462,0.725604
2070,420,0.725814
2080,462,0.726044
2090,479,0.726284
2100,446,0.726507
2110,440,0.726727
2120,440,0.726947
2130,444,0.727169
2140,439,0.727389
2150,466,0.727621
2160,457,0.727850
2170,449,0.728074
2180,449,0.728299
2190,486,0.728542
2200,468,0.728776
2210,480,0.729016
2220,466,0.729249
2230,435,0.729466
2240,485,0.729709
2250,442,0.729930
2260,447,0.730154
2270,462,0.730385
2280,447,0.730608
2290,459,0.730838
2300,458,0.731067
2310,455,0.731294
2320,479,0.731534
2330,480,0.731773
