#latency,cnt,cdf
40,7,0.000004
60,4,0.000006
70,27,0.000019
80,139,0.000088
90,265,0.000221
100,341,0.000392
110,2277,0.001530
120,10102,0.006581
130,18422,0.015792
140,20209,0.025897
150,24413,0.038103
160,130037,0.103121
170,110001,0.158122
180,36639,0.176442
190,21381,0.187132
200,85678,0.229971
210,48406,0.254174
220,23467,0.265907
230,18770,0.275292
240,61933,0.306259
250,96490,0.354504
260,42611,0.375809
270,17974,0.384797
280,18479,0.394036
290,27515,0.407793
300,19651,0.417619
310,12540,0.423889
320,11498,0.429638
330,17119,0.438197
340,15076,0.445736
350,10596,0.451034
360,8963,0.455515
370,10763,0.460896
380,11535,0.466664
390,9331,0.471330
400,8111,0.475385
410,8469,0.479620
420,8708,0.483974
430,7681,0.487814
440,6897,0.491262
450,6834,0.494680
460,7199,0.498279
470,6733,0.501646
480,6442,0.504866
490,5920,0.507827
500,6211,0.510932
510,5913,0.513888
520,5835,0.516806
530,5473,0.519543
540,5600,0.522343
550,5391,0.525038
560,5195,0.527636
570,5022,0.530146
580,4984,0.532638
590,4794,0.535035
600,4716,0.537394
610,4557,0.539672
620,4401,0.541873
630,4266,0.544006
640,4273,0.546142
650,4152,0.548218
660,3955,0.550196
670,3974,0.552182
680,3866,0.554115
690,3831,0.556031
700,3635,0.557849
710,3587,0.559642
720,3534,0.561409
730,3378,0.563098
740,3257,0.564726
750,3190,0.566321
760,3011,0.567827
770,3021,0.569337
780,2997,0.570836
790,2942,0.572307
800,2863,0.573739
810,2722,0.575100
820,2613,0.576406
830,2586,0.577699
840,2512,0.578955
850,2472,0.580191
860,2455,0.581419
870,2360,0.582599
880,2357,0.583777
890,2172,0.584863
900,2240,0.585983
910,2157,0.587062
920,2142,0.588133
930,2126,0.589195
940,2001,0.590196
950,2014,0.591203
960,2007,0.592206
970,1990,0.593202
980,1994,0.594199
990,1847,0.595122
1000,1868,0.596056
1010,1848,0.596980
1020,1756,0.597858
1030,1734,0.598725
1040,1642,0.599546
