#latency,cnt,cdf
0,63,0.000031
10,101,0.000082
20,2004,0.001084
30,313,0.001241
40,12,0.001246
50,44,0.001268
60,31,0.001284
70,400,0.001484
80,147,0.001557
90,570,0.001842
100,929,0.002307
110,9071,0.006843
120,5462,0.009573
130,16769,0.017958
140,308202,0.172059
150,253056,0.298587
160,36151,0.316662
170,192986,0.413155
180,326620,0.576465
190,32178,0.592555
200,7071,0.596090
210,29627,0.610904
220,87963,0.654885
230,370926,0.840348
240,97402,0.889049
250,38269,0.908184
260,7958,0.912162
270,25012,0.924668
280,20005,0.934671
290,2648,0.935995
300,1269,0.936629
310,935,0.937097
320,720,0.937457
330,583,0.937748
340,477,0.937987
350,439,0.938206
360,369,0.938391
370,333,0.938558
380,247,0.938681
390,272,0.938817
400,288,0.938961
410,1274,0.939598
420,1286,0.940241
430,274,0.940378
440,148,0.940452
450,130,0.940517
460,136,0.940585
470,102,0.940636
480,135,0.940704
490,98,0.940753
500,94,0.940799
510,104,0.940852
520,121,0.940912
530,106,0.940965
540,116,0.941023
550,115,0.941081
560,111,0.941136
570,111,0.941191
580,118,0.941251
590,87,0.941294
600,116,0.941352
610,104,0.941404
620,83,0.941446
630,71,0.941481
640,77,0.941519
650,80,0.941559
660,74,0.941597
670,72,0.941633
680,61,0.941663
690,62,0.941694
700,50,0.941719
710,30,0.941734
720,76,0.941772
730,36,0.941790
740,37,0.941809
750,41,0.941829
760,44,0.941851
770,36,0.941869
780,37,0.941887
790,34,0.941904
800,32,0.941921
810,28,0.941935
820,45,0.941957
830,42,0.941978
840,47,0.942002
850,61,0.942032
860,76,0.942070
870,62,0.942101
880,75,0.942138
890,79,0.942178
900,98,0.942227
910,79,0.942267
920,75,0.942304
930,92,0.942350
940,99,0.942400
950,76,0.942438
960,84,0.942479
970,95,0.942527
980,75,0.942564
990,90,0.942609
1000,93,0.942656
1010,78,0.942695
1020,81,0.942735
1030,80,0.942775
1040,77,0.942814
1050,77,0.942852
1060,64,0.942885
1070,72,0.942921
1080,57,0.942949
1090,64,0.942981
1100,70,0.943016
1110,59,0.943045
1120,48,0.943070
1130,34,0.943087
1140,40,0.943106
1150,32,0.943123
1160,30,0.943138
1170,30,0.943152
1180,30,0.943168
1190,29,0.943182
1200,28,0.943196
1210,19,0.943205
1220,27,0.943219
1230,21,0.943229
1240,21,0.943240
1250,18,0.943249
1260,19,0.943259
1270,16,0.943267
1280,8,0.943271
1290,14,0.943277
1300,18,0.943286
1310,22,0.943298
1320,18,0.943307
1330,25,0.943319
1340,16,0.943327
1350,20,0.943337
1360,15,0.943344
1370,22,0.943356
1380,22,0.943367
1390,14,0.943374
1400,20,0.943384
1410,23,0.943395
1420,17,0.943403
1430,19,0.943413
1440,25,0.943425
1450,12,0.943431
1460,23,0.943443
1470,23,0.943455
1480,17,0.943463
1490,23,0.943474
1500,17,0.943483
1510,21,0.943493
1520,25,0.943506
1530,21,0.943516
1540,39,0.943536
1550,30,0.943551
1560,18,0.943560
1570,28,0.943574
1580,36,0.943592
1590,20,0.943602
1600,17,0.943610
1610,24,0.943623
1620,16,0.943631
1630,10,0.943636
1640,25,0.943648
1650,26,0.943661
1660,29,0.943676
1670,12,0.943681
1680,22,0.943693
1690,27,0.943706
1700,22,0.943717
1710,26,0.943730
1720,24,0.943742
1730,29,0.943757
1740,17,0.943765
1750,32,0.943781
1760,25,0.943793
1770,26,0.943807
1780,26,0.943820
1790,25,0.943832
1800,29,0.943847
1810,28,0.943860
1820,25,0.943873
1830,28,0.943887
1840,26,0.943900
1850,31,0.943915
1860,25,0.943928
1870,29,0.943942
1880,27,0.943956
1890,29,0.943971
1900,12,0.943977
1910,24,0.943989
1920,25,0.944001
1930,27,0.944014
1940,23,0.944026
1950,35,0.944044
1960,26,0.944057
1970,27,0.944070
1980,24,0.944082
1990,33,0.944098
2000,29,0.944113
2010,20,0.944123
2020,19,0.944133
2030,20,0.944143
2040,21,0.944153
2050,25,0.944166
2060,29,0.944180
2070,19,0.944189
2080,20,0.944200
2090,13,0.944206
2100,11,0.944211
2110,26,0.944224
2120,21,0.944235
2130,31,0.944251
2140,15,0.944258
2150,16,0.944266
2160,15,0.944273
2170,29,0.944288
2180,17,0.944296
2190,13,0.944303
2200,25,0.944315
2210,19,0.944325
