#latency,cnt,cdf
0,4,0.000004
10,7,0.000011
20,140,0.000151
30,97,0.000248
40,7,0.000255
70,8,0.000263
80,26,0.000289
90,322,0.000610
100,833,0.001443
110,5583,0.007020
120,7789,0.014801
130,8458,0.023251
140,90763,0.113922
150,119929,0.233730
160,32395,0.266093
170,55932,0.321968
180,134527,0.456360
190,28323,0.484654
200,5487,0.490135
210,5866,0.495996
220,17991,0.513968
230,101893,0.615759
240,54372,0.670076
250,30708,0.700753
260,7066,0.707812
270,3721,0.711529
280,3562,0.715087
290,1516,0.716602
300,1033,0.717634
310,767,0.718400
320,634,0.719033
330,510,0.719543
340,419,0.719962
350,342,0.720303
360,268,0.720571
370,234,0.720805
380,196,0.721000
390,160,0.721160
400,143,0.721303
410,167,0.721470
420,213,0.721683
430,118,0.721801
440,90,0.721891
450,64,0.721955
460,57,0.722012
470,70,0.722081
480,59,0.722140
490,58,0.722198
500,59,0.722257
510,69,0.722326
520,60,0.722386
530,75,0.722461
540,76,0.722537
550,62,0.722599
560,81,0.722680
570,84,0.722764
580,83,0.722847
590,72,0.722919
600,79,0.722997
610,70,0.723067
620,67,0.723134
630,63,0.723197
640,56,0.723253
650,40,0.723293
660,50,0.723343
670,51,0.723394
680,36,0.723430
690,52,0.723482
700,41,0.723523
710,40,0.723563
720,38,0.723601
730,35,0.723636
740,45,0.723681
750,40,0.723721
760,52,0.723773
770,41,0.723814
780,46,0.723860
790,35,0.723895
800,34,0.723929
810,25,0.723954
820,42,0.723996
830,35,0.724030
840,47,0.724077
850,40,0.724117
860,48,0.724165
870,29,0.724194
880,55,0.724249
890,40,0.724289
900,49,0.724338
910,44,0.724382
920,53,0.724435
930,48,0.724483
940,40,0.724523
950,40,0.724563
960,84,0.724647
970,52,0.724699
980,46,0.724745
990,54,0.724799
1000,46,0.724845
1010,65,0.724910
1020,51,0.724961
1030,53,0.725013
1040,50,0.725063
1050,27,0.725090
1060,34,0.725124
1070,46,0.725170
1080,41,0.725211
1090,51,0.725262
1100,42,0.725304
1110,35,0.725339
1120,45,0.725384
1130,32,0.725416
1140,41,0.725457
1150,32,0.725489
1160,43,0.725532
1170,42,0.725574
1180,37,0.725611
1190,30,0.725641
1200,23,0.725664
1210,37,0.725701
1220,31,0.725732
1230,19,0.725751
1240,28,0.725779
1250,26,0.725805
1260,30,0.725835
1270,33,0.725868
1280,31,0.725899
1290,28,0.725927
1300,34,0.725960
1310,27,0.725987
1320,23,0.726010
1330,21,0.726031
1340,22,0.726053
1350,28,0.726081
1360,37,0.726118
1370,29,0.726147
1380,30,0.726177
1390,32,0.726209
1400,34,0.726243
1410,33,0.726276
1420,34,0.726310
1430,32,0.726342
1440,27,0.726369
1450,25,0.726394
1460,21,0.726415
1470,26,0.726441
1480,37,0.726478
1490,30,0.726508
1500,44,0.726552
1510,32,0.726584
1520,27,0.726611
1530,31,0.726642
1540,29,0.726671
1550,21,0.726692
1560,32,0.726724
1570,47,0.726771
1580,40,0.726811
1590,37,0.726848
1600,32,0.726880
1610,28,0.726908
1620,37,0.726945
1630,45,0.726989
1640,19,0.727008
1650,27,0.727035
1660,34,0.727069
1670,34,0.727103
1680,24,0.727127
1690,26,0.727153
1700,33,0.727186
1710,36,0.727222
1720,16,0.727238
1730,25,0.727263
1740,30,0.727293
1750,34,0.727327
1760,34,0.727361
1770,30,0.727391
1780,24,0.727415
1790,25,0.727440
1800,40,0.727480
1810,26,0.727506
1820,25,0.727531
1830,40,0.727571
1840,27,0.727598
1850,36,0.727634
1860,28,0.727662
