#latency,cnt,cdf
10,2,0.000001
20,125,0.000067
30,265,0.000206
40,32,0.000223
50,17,0.000232
60,6,0.000235
70,58,0.000266
80,44,0.000289
90,240,0.000415
100,406,0.000629
110,1331,0.001330
120,3940,0.003403
130,10846,0.009112
140,198063,0.113365
150,224676,0.231626
160,37172,0.251192
170,122863,0.315862
180,265300,0.455506
190,47966,0.480753
200,10835,0.486456
210,9638,0.491530
220,46975,0.516255
230,263121,0.654752
240,90613,0.702447
250,16586,0.711178
260,6299,0.714493
270,4609,0.716919
280,3720,0.718877
290,2001,0.719930
300,1559,0.720751
310,1243,0.721405
320,1012,0.721938
330,862,0.722392
340,732,0.722777
350,649,0.723119
360,530,0.723398
370,476,0.723648
380,398,0.723858
390,359,0.724047
400,297,0.724203
410,316,0.724369
420,328,0.724542
430,219,0.724657
440,158,0.724740
450,133,0.724810
460,135,0.724881
470,107,0.724938
480,109,0.724995
490,81,0.725038
500,70,0.725075
510,81,0.725117
520,77,0.725158
530,59,0.725189
540,57,0.725219
550,61,0.725251
560,64,0.725285
570,46,0.725309
580,84,0.725353
590,74,0.725392
600,64,0.725426
610,71,0.725463
620,67,0.725498
630,70,0.725535
640,80,0.725577
650,61,0.725609
660,77,0.725650
670,89,0.725697
680,81,0.725739
690,83,0.725783
700,81,0.725826
710,75,0.725865
720,80,0.725907
730,73,0.725946
740,84,0.725990
750,92,0.726038
760,80,0.726080
770,71,0.726118
780,74,0.726157
790,96,0.726207
800,63,0.726240
810,74,0.726279
820,86,0.726325
830,82,0.726368
840,68,0.726404
850,73,0.726442
860,78,0.726483
870,76,0.726523
880,62,0.726556
890,60,0.726587
900,65,0.726622
910,70,0.726658
920,73,0.726697
930,71,0.726734
940,68,0.726770
950,51,0.726797
960,55,0.726826
970,51,0.726853
980,54,0.726881
990,66,0.726916
1000,57,0.726946
1010,49,0.726972
1020,51,0.726998
1030,53,0.727026
1040,34,0.727044
1050,41,0.727066
1060,31,0.727082
1070,47,0.727107
1080,32,0.727124
1090,35,0.727142
1100,33,0.727159
1110,22,0.727171
1120,26,0.727185
1130,35,0.727203
1140,38,0.727223
1150,22,0.727235
1160,21,0.727246
1170,29,0.727261
1180,32,0.727278
1190,30,0.727294
1200,40,0.727315
1210,23,0.727327
1220,33,0.727344
1230,39,0.727365
1240,33,0.727382
1250,42,0.727404
1260,38,0.727424
1270,39,0.727445
1280,33,0.727462
1290,48,0.727487
1300,31,0.727504
1310,43,0.727526
1320,40,0.727547
1330,45,0.727571
1340,53,0.727599
1350,46,0.727623
1360,46,0.727647
1370,53,0.727675
1380,54,0.727704
1390,66,0.727738
1400,50,0.727765
1410,46,0.727789
1420,48,0.727814
1430,62,0.727847
1440,52,0.727874
1450,43,0.727897
1460,53,0.727925
1470,45,0.727948
1480,39,0.727969
1490,53,0.727997
1500,45,0.728021
1510,41,0.728042
1520,58,0.728073
1530,47,0.728097
1540,43,0.728120
1550,58,0.728151
1560,51,0.728177
1570,39,0.728198
1580,46,0.728222
1590,44,0.728245
1600,43,0.728268
1610,34,0.728286
1620,62,0.728319
1630,50,0.728345
1640,48,0.728370
1650,64,0.728404
1660,36,0.728423
1670,36,0.728442
1680,33,0.728459
1690,28,0.728474
1700,42,0.728496
1710,40,0.728517
1720,39,0.728537
1730,29,0.728553
1740,33,0.728570
1750,34,0.728588
1760,32,0.728605
1770,35,0.728623
1780,33,0.728641
1790,39,0.728661
1800,30,0.728677
1810,49,0.728703
1820,30,0.728719
1830,40,0.728740
1840,41,0.728761
1850,33,0.728779
1860,32,0.728795
