#latency,cnt,cdf
50,6,0.000003
60,2,0.000004
70,46,0.000028
80,50,0.000055
90,189,0.000154
100,286,0.000305
110,405,0.000518
120,3134,0.002167
130,9727,0.007286
140,196616,0.110756
150,217713,0.225328
160,37458,0.245040
170,123479,0.310022
180,257728,0.445652
190,50049,0.471990
200,11895,0.478250
210,9311,0.483150
220,48485,0.508666
230,260774,0.645899
240,86517,0.691429
250,14703,0.699166
260,6554,0.702615
270,4208,0.704830
280,2917,0.706365
290,2197,0.707521
300,1849,0.708494
310,1381,0.709221
320,1128,0.709814
330,942,0.710310
340,787,0.710724
350,695,0.711090
360,598,0.711405
370,508,0.711672
380,444,0.711906
390,394,0.712113
400,340,0.712292
410,264,0.712431
420,247,0.712561
430,246,0.712690
440,176,0.712783
450,139,0.712856
460,144,0.712932
470,113,0.712991
480,97,0.713042
490,111,0.713101
500,80,0.713143
510,73,0.713181
520,68,0.713217
530,85,0.713262
540,75,0.713301
550,65,0.713336
560,65,0.713370
570,67,0.713405
580,72,0.713443
590,81,0.713485
600,70,0.713522
610,79,0.713564
620,89,0.713611
630,81,0.713653
640,78,0.713694
650,95,0.713744
660,98,0.713796
670,80,0.713838
680,77,0.713879
690,91,0.713926
700,83,0.713970
710,85,0.714015
720,100,0.714068
730,85,0.714112
740,102,0.714166
750,91,0.714214
760,75,0.714253
770,83,0.714297
780,58,0.714328
790,75,0.714367
800,64,0.714401
810,64,0.714434
820,66,0.714469
830,73,0.714508
840,70,0.714544
850,69,0.714581
860,60,0.714612
870,44,0.714635
880,54,0.714664
890,63,0.714697
900,59,0.714728
910,56,0.714757
920,51,0.714784
930,40,0.714805
940,34,0.714823
950,58,0.714854
960,45,0.714877
970,57,0.714907
980,50,0.714934
990,49,0.714960
1000,35,0.714978
1010,39,0.714998
1020,58,0.715029
1030,35,0.715047
1040,35,0.715066
1050,37,0.715085
1060,43,0.715108
1070,35,0.715126
1080,35,0.715145
1090,27,0.715159
1100,36,0.715178
1110,41,0.715200
1120,33,0.715217
1130,43,0.715240
1140,33,0.715257
1150,34,0.715275
1160,33,0.715292
1170,28,0.715307
1180,41,0.715328
1190,33,0.715346
1200,29,0.715361
1210,33,0.715378
1220,43,0.715401
1230,43,0.715424
1240,36,0.715443
1250,34,0.715461
1260,46,0.715485
1270,35,0.715503
1280,43,0.715526
1290,45,0.715549
1300,42,0.715572
1310,43,0.715594
1320,36,0.715613
1330,42,0.715635
1340,49,0.715661
1350,51,0.715688
1360,50,0.715714
1370,32,0.715731
1380,53,0.715759
1390,46,0.715783
1400,51,0.715810
1410,48,0.715835
1420,38,0.715855
1430,53,0.715883
1440,43,0.715906
1450,46,0.715930
1460,59,0.715961
1470,46,0.715985
1480,52,0.716013
1490,39,0.716033
1500,45,0.716057
1510,36,0.716076
1520,37,0.716095
1530,46,0.716119
1540,31,0.716136
1550,50,0.716162
1560,42,0.716184
1570,38,0.716204
1580,47,0.716229
1590,55,0.716258
1600,46,0.716282
1610,45,0.716306
1620,47,0.716330
1630,48,0.716356
1640,36,0.716375
1650,34,0.716393
1660,36,0.716411
1670,41,0.716433
1680,30,0.716449
1690,41,0.716470
1700,43,0.716493
1710,28,0.716508
1720,26,0.716521
1730,32,0.716538
1740,33,0.716556
1750,29,0.716571
1760,36,0.716590
1770,31,0.716606
1780,41,0.716628
1790,33,0.716645
1800,27,0.716659
1810,40,0.716680
1820,30,0.716696
1830,41,0.716718
1840,44,0.716741
1850,32,0.716758
1860,35,0.716776
1870,33,0.716794
1880,39,0.716814
1890,37,0.716834
1900,33,0.716851
1910,35,0.716869
1920,37,0.716889
1930,43,0.716911
1940,29,0.716927
1950,40,0.716948
1960,32,0.716965
1970,36,0.716983
1980,41,0.717005
1990,39,0.717026
2000,35,0.717044
2010,45,0.717068
2020,40,0.717089
2030,36,0.717108
2040,42,0.717130
2050,47,0.717155
2060,46,0.717179
2070,35,0.717197
2080,34,0.717215
2090,49,0.717241
2100,42,0.717263
2110,41,0.717285
2120,42,0.717307
2130,49,0.717332
2140,45,0.717356
2150,45,0.717380
2160,40,0.717401
2170,37,0.717420
2180,52,0.717448
2190,46,0.717472
2200,46,0.717496
2210,36,0.717515
2220,46,0.717539
2230,40,0.717560
2240,45,0.717584
2250,38,0.717604
2260,46,0.717628
2270,40,0.717649
2280,38,0.717669
2290,47,0.717694
2300,46,0.717718
2310,44,0.717741
2320,40,0.717762
2330,34,0.717780
2340,42,0.717802
2350,46,0.717827
2360,30,0.717842
2370,47,0.717867
2380,48,0.717892
2390,28,0.717907
2400,31,0.717923
2410,41,0.717945
2420,36,0.717964
2430,48,0.717989
2440,34,0.718007
2450,46,0.718031
2460,29,0.718047
2470,48,0.718072
2480,38,0.718092
2490,54,0.718120
2500,42,0.718142
2510,26,0.718156
2520,35,0.718174
2530,38,0.718194
2540,36,0.718213
2550,40,0.718234
2560,36,0.718253
2570,36,0.718272
2580,32,0.718289
2590,41,0.718311
2600,31,0.718327
2610,42,0.718349
2620,43,0.718372
2630,34,0.718390
2640,38,0.718410
2650,46,0.718434
2660,46,0.718458
2670,36,0.718477
2680,30,0.718493
2690,42,0.718515
2700,41,0.718536
2710,42,0.718559
2720,44,0.718582
2730,42,0.718604
2740,45,0.718628
2750,35,0.718646
2760,42,0.718668
2770,48,0.718693
2780,37,0.718713
2790,45,0.718736
2800,41,0.718758
2810,32,0.718775
2820,37,0.718794
2830,44,0.718818
2840,49,0.718843
2850,35,0.718862
2860,42,0.718884
2870,40,0.718905
2880,52,0.718932
2890,40,0.718953
2900,45,0.718977
2910,44,0.719000
2920,31,0.719016
2930,41,0.719038
2940,36,0.719057
2950,51,0.719084
2960,30,0.719100
2970,36,0.719119
2980,46,0.719143
2990,43,0.719165
3000,36,0.719184
3010,47,0.719209
3020,40,0.719230
3030,46,0.719254
3040,43,0.719277
3050,44,0.719300
3060,37,0.719320
3070,44,0.719343
3080,42,0.719365
3090,39,0.719385
3100,48,0.719411
3110,39,0.719431
3120,42,0.719453
3130,43,0.719476
3140,37,0.719495
3150,36,0.719514
3160,43,0.719537
3170,37,0.719556
3180,41,0.719578
3190,23,0.719590
3200,50,0.719616
3210,44,0.719640
3220,43,0.719662
3230,34,0.719680
3240,34,0.719698
3250,43,0.719721
3260,46,0.719745
3270,36,0.719764
3280,32,0.719781
3290,32,0.719797
3300,42,0.719819
3310,32,0.719836
3320,46,0.719861
3330,39,0.719881
3340,31,0.719897
3350,41,0.719919
3360,47,0.719944
3370,52,0.719971
3380,31,0.719987
3390,36,0.720006
3400,43,0.720029
3410,43,0.720052
3420,39,0.720072
3430,44,0.720095
3440,49,0.720121
3450,33,0.720138
3460,47,0.720163
3470,38,0.720183
3480,43,0.720206
3490,38,0.720226
3500,44,0.720249
3510,39,0.720269
3520,40,0.720290
3530,46,0.720315
3540,33,0.720332
3550,26,0.720346
3560,42,0.720368
3570,41,0.720389
3580,44,0.720413
3590,34,0.720430
3600,44,0.720454
3610,42,0.720476
3620,53,0.720504
3630,44,0.720527
3640,51,0.720554
3650,44,0.720577
3660,48,0.720602
3670,44,0.720625
3680,40,0.720646
3690,50,0.720673
3700,48,0.720698
3710,71,0.720735
3720,58,0.720766
3730,48,0.720791
3740,64,0.720825
3750,54,0.720853
3760,41,0.720875
3770,46,0.720899
3780,50,0.720925
3790,61,0.720957
3800,59,0.720988
3810,59,0.721019
3820,62,0.721052
3830,65,0.721086
3840,62,0.721119
3850,59,0.721150
3860,70,0.721187
3870,71,0.721224
3880,59,0.721255
3890,71,0.721292
3900,75,0.721332
3910,85,0.721377
3920,79,0.721418
3930,79,0.721460
3940,100,0.721512
3950,84,0.721557
3960,98,0.721608
3970,98,0.721660
3980,99,0.721712
3990,105,0.721767
4000,110,0.721825
4010,117,0.721887
4020,120,0.721950
4030,147,0.722027
4040,150,0.722106
4050,129,0.722174
4060,138,0.722247
4070,184,0.722343
4080,156,0.722426
4090,161,0.722510
4100,210,0.722621
4110,204,0.722728
4120,181,0.722823
4130,209,0.722933
4140,215,0.723046
4150,227,0.723166
4160,211,0.723277
4170,231,0.723399
4180,237,0.723523
4190,224,0.723641
4200,263,0.723780
4210,234,0.723903
4220,259,0.724039
4230,256,0.724174
4240,283,0.724323
4250,289,0.724475
4260,290,0.724627
4270,258,0.724763
4280,300,0.724921
4290,307,0.725083
4300,283,0.725231
4310,321,0.725400
4320,362,0.725591
4330,331,0.725765
4340,377,0.725964
4350,368,0.726157
4360,397,0.726366
4370,352,0.726551
4380,406,0.726765
4390,381,0.726965
4400,432,0.727193
4410,417,0.727412
4420,434,0.727641
4430,471,0.727889
4440,467,0.728134
4450,438,0.728365
4460,481,0.728618
4470,512,0.728887
4480,510,0.729156
4490,494,0.729416
4500,524,0.729692
4510,492,0.729950
4520,540,0.730235
4530,540,0.730519
4540,536,0.730801
4550,549,0.731090
4560,520,0.731363
4570,564,0.731660
4580,525,0.731936
4590,602,0.732253
4600,574,0.732555
4610,583,0.732862
4620,591,0.733173
4630,578,0.733477
4640,594,0.733790
4650,608,0.734110
4660,614,0.734433
4670,617,0.734758
4680,583,0.735065
4690,608,0.735384
4700,569,0.735684
4710,652,0.736027
4720,619,0.736353
4730,654,0.736697
4740,639,0.737033
4750,619,0.737359
4760,642,0.737697
4770,580,0.738002
4780,619,0.738328
4790,626,0.738657
4800,621,0.738984
4810,661,0.739332
4820,667,0.739683
4830,654,0.740027
4840,662,0.740375
4850,630,0.740707
4860,671,0.741060
4870,621,0.741387
4880,657,0.741733
4890,659,0.742079
4900,668,0.742431
4910,662,0.742779
4920,694,0.743145
4930,711,0.743519
4940,631,0.743851
4950,762,0.744252
4960,685,0.744612
4970,700,0.744981
4980,749,0.745375
4990,750,0.745770
5000,728,0.746153
5010,710,0.746526
5020,741,0.746916
5030,725,0.747298
5040,710,0.747671
5050,777,0.748080
5060,763,0.748482
5070,767,0.748886
5080,744,0.749277
5090,735,0.749664
5100,757,0.750062
5110,754,0.750459
5120,778,0.750868
5130,798,0.751288
5140,787,0.751703
5150,785,0.752116
5160,811,0.752542
5170,733,0.752928
5180,768,0.753332
5190,858,0.753784
5200,884,0.754249
5210,890,0.754717
5220,825,0.755152
5230,821,0.755584
5240,810,0.756010
5250,935,0.756502
5260,842,0.756945
5270,820,0.757377
5280,854,0.757826
5290,890,0.758294
5300,878,0.758756
5310,906,0.759233
5320,870,0.759691
5330,950,0.760191
5340,898,0.760664
5350,932,0.761154
5360,957,0.761658
5370,1022,0.762196
5380,1031,0.762738
5390,1011,0.763270
5400,1042,0.763819
5410,1061,0.764377
5420,964,0.764884
5430,1028,0.765425
5440,1068,0.765987
5450,1097,0.766564
5460,1080,0.767133
5470,1108,0.767716
5480,1134,0.768313
5490,1108,0.768896
5500,1165,0.769509
5510,1135,0.770106
5520,1124,0.770698
5530,1169,0.771313
5540,1227,0.771959
5550,1187,0.772583
5560,1283,0.773258
5570,1281,0.773933
5580,1253,0.774592
5590,1303,0.775278
5600,1334,0.775980
5610,1339,0.776684
5620,1317,0.777377
5630,1318,0.778071
5640,1378,0.778796
5650,1358,0.779511
5660,1329,0.780210
5670,1357,0.780924
5680,1321,0.781620
5690,1440,0.782377
5700,1385,0.783106
5710,1388,0.783837
5720,1482,0.784617
5730,1442,0.785375
5740,1536,0.786184
5750,1517,0.786982
5760,1517,0.787780
5770,1506,0.788573
5780,1549,0.789388
5790,1537,0.790197
5800,1636,0.791058
5810,1617,0.791909
5820,1595,0.792748
5830,1597,0.793589
5840,1697,0.794482
5850,1728,0.795391
5860,1685,0.796278
5870,1724,0.797185
5880,1783,0.798123
5890,1755,0.799047
5900,1718,0.799951
5910,1831,0.800915
5920,1799,0.801861
5930,1782,0.802799
5940,1783,0.803737
5950,1807,0.804688
5960,1832,0.805652
5970,1900,0.806652
5980,1977,0.807693
5990,1974,0.808732
6000,2031,0.809800
6010,1926,0.810814
6020,1991,0.811862
6030,2038,0.812934
6040,2006,0.813990
6050,2150,0.815121
6060,2119,0.816236
6070,2030,0.817305
6080,2141,0.818431
6090,2145,0.819560
6100,2098,0.820664
6110,2088,0.821763
6120,2130,0.822884
6130,2183,0.824033
6140,2202,0.825192
6150,2243,0.826372
6160,2349,0.827608
6170,2264,0.828800
6180,2358,0.830041
6190,2282,0.831242
6200,2305,0.832455
6210,2355,0.833694
6220,2364,0.834938
6230,2515,0.836262
6240,2449,0.837550
6250,2453,0.838841
6260,2493,0.840153
6270,2453,0.841444
6280,2538,0.842780
6290,2554,0.844124
6300,2512,0.845446
6310,2557,0.846791
6320,2569,0.848143
6330,2610,0.849517
6340,2580,0.850874
6350,2624,0.852255
6360,2529,0.853586
6370,2620,0.854965
6380,2633,0.856351
6390,2669,0.857755
6400,2619,0.859134
6410,2592,0.860498
6420,2748,0.861944
6430,2689,0.863359
6440,2632,0.864744
6450,2714,0.866172
6460,2743,0.867616
6470,2707,0.869040
6480,2689,0.870455
6490,2670,0.871860
6500,2754,0.873310
6510,2768,0.874766
6520,2833,0.876257
6530,2738,0.877698
6540,2626,0.879080
6550,2729,0.880516
6560,2660,0.881916
6570,2789,0.883384
6580,2679,0.884794
6590,2711,0.886220
6600,2615,0.887596
6610,2763,0.889050
6620,2621,0.890430
6630,2786,0.891896
6640,2682,0.893307
6650,2661,0.894708
6660,2723,0.896141
6670,2669,0.897545
6680,2631,0.898930
6690,2668,0.900334
6700,2721,0.901766
6710,2648,0.903159
6720,2603,0.904529
6730,2570,0.905882
6740,2522,0.907209
6750,2682,0.908620
6760,2546,0.909960
6770,2571,0.911313
6780,2489,0.912623
6790,2503,0.913940
6800,2517,0.915265
6810,2442,0.916550
6820,2468,0.917849
6830,2433,0.919129
6840,2435,0.920410
6850,2406,0.921677
6860,2411,0.922945
6870,2316,0.924164
6880,2310,0.925380
6890,2356,0.926620
6900,2361,0.927862
6910,2338,0.929093
6920,2231,0.930267
6930,2173,0.931410
6940,2155,0.932544
6950,2158,0.933680
6960,2183,0.934829
6970,2108,0.935938
6980,2028,0.937005
6990,2099,0.938110
7000,2080,0.939205
7010,2062,0.940290
7020,2045,0.941366
7030,1969,0.942402
7040,1983,0.943446
7050,1897,0.944444
7060,1911,0.945450
7070,1859,0.946428
7080,1846,0.947399
7090,1834,0.948365
7100,1799,0.949311
7110,1793,0.950255
7120,1816,0.951210
7130,1660,0.952084
7140,1649,0.952952
7150,1708,0.953851
7160,1581,0.954683
7170,1615,0.955533
7180,1479,0.956311
7190,1555,0.957129
7200,1565,0.957953
7210,1509,0.958747
7220,1422,0.959495
7230,1379,0.960221
7240,1374,0.960944
7250,1316,0.961637
7260,1268,0.962304
7270,1300,0.962988
7280,1213,0.963626
7290,1218,0.964267
7300,1179,0.964888
7310,1161,0.965499
7320,1179,0.966119
7330,1132,0.966715
7340,1025,0.967254
7350,1093,0.967830
7360,1068,0.968392
7370,988,0.968912
7380,1068,0.969474
7390,1027,0.970014
7400,962,0.970520
7410,954,0.971022
7420,964,0.971530
7430,886,0.971996
7440,894,0.972466
7450,838,0.972907
7460,869,0.973365
7470,840,0.973807
7480,833,0.974245
7490,749,0.974639
7500,767,0.975043
7510,728,0.975426
7520,734,0.975812
7530,752,0.976208
7540,675,0.976563
7550,686,0.976924
7560,669,0.977276
7570,670,0.977629
7580,573,0.977930
7590,601,0.978247
7600,607,0.978566
7610,604,0.978884
7620,580,0.979189
7630,578,0.979493
7640,545,0.979780
7650,536,0.980062
7660,499,0.980325
7670,496,0.980586
7680,487,0.980842
7690,485,0.981098
7700,478,0.981349
7710,412,0.981566
7720,447,0.981801
7730,406,0.982015
7740,382,0.982216
7750,404,0.982428
7760,425,0.982652
7770,359,0.982841
7780,363,0.983032
7790,337,0.983209
7800,354,0.983396
7810,339,0.983574
7820,329,0.983747
7830,318,0.983915
7840,323,0.984084
7850,291,0.984238
7860,288,0.984389
7870,303,0.984549
7880,302,0.984708
7890,248,0.984838
7900,237,0.984963
7910,269,0.985104
7920,230,0.985225
7930,221,0.985342
7940,225,0.985460
7950,219,0.985575
7960,224,0.985693
7970,227,0.985813
7980,219,0.985928
7990,216,0.986042
8000,202,0.986148
8010,203,0.986255
8020,206,0.986363
8030,170,0.986453
8040,176,0.986545
8050,193,0.986647
8060,203,0.986754
8070,166,0.986841
8080,166,0.986928
8090,169,0.987017
8100,153,0.987098
8110,140,0.987172
8120,160,0.987256
8130,164,0.987342
8140,153,0.987423
