#latency,cnt,cdf
0,513845,0.102742
10,172831,0.137300
20,83475,0.153990
30,40263,0.162041
40,20342,0.166108
50,30962,0.172299
60,48696,0.182036
70,57264,0.193485
80,57272,0.204937
90,44835,0.213901
100,45872,0.223073
110,71572,0.237384
120,59313,0.249244
130,54505,0.260142
140,46022,0.269344
150,41884,0.277718
160,49038,0.287524
170,51200,0.297761
180,64707,0.310699
190,54954,0.321687
200,48591,0.331403
210,45978,0.340596
220,52153,0.351024
230,54417,0.361904
240,48582,0.371618
250,46310,0.380878
260,44721,0.389820
270,43965,0.398610
280,42850,0.407178
290,41775,0.415531
300,41256,0.423780
310,40329,0.431844
320,39301,0.439702
330,38762,0.447452
340,37505,0.454951
350,36612,0.462272
360,36306,0.469531
370,35485,0.476626
380,34960,0.483616
390,34198,0.490454
400,33822,0.497217
410,33041,0.503823
420,32231,0.510268
430,31345,0.516535
440,30986,0.522731
450,30171,0.528763
460,29564,0.534675
470,28993,0.540472
480,28743,0.546219
490,27747,0.551767
500,27592,0.557284
510,27015,0.562685
520,26486,0.567981
530,25903,0.573160
540,25331,0.578225
550,25162,0.583256
560,24704,0.588196
570,24391,0.593073
580,23714,0.597815
590,23038,0.602421
600,23206,0.607061
610,22501,0.611560
620,22227,0.616004
630,21715,0.620346
640,21469,0.624639
650,20966,0.628831
660,20797,0.632989
670,20141,0.637016
680,19883,0.640992
690,19674,0.644926
700,19174,0.648759
710,18876,0.652534
720,18870,0.656307
730,18374,0.659981
740,18274,0.663634
750,17962,0.667226
760,17646,0.670754
770,17324,0.674218
780,16920,0.677601
790,16715,0.680943
800,16655,0.684273
810,16472,0.687567
820,16288,0.690824
830,15546,0.693932
840,15439,0.697019
850,15371,0.700092
860,14917,0.703075
870,15020,0.706078
880,14433,0.708964
890,14387,0.711841
900,14054,0.714651
910,14066,0.717463
920,13696,0.720202
930,13617,0.722925
940,13431,0.725610
950,13181,0.728246
960,13000,0.730845
970,12832,0.733411
