#latency,cnt,cdf
0,1646925,0.173412
10,70881,0.180876
20,7495,0.181665
30,1448,0.181817
40,304,0.181849
50,78960,0.190163
60,152341,0.206204
70,168901,0.223988
80,153512,0.240152
90,93670,0.250015
100,106443,0.261223
110,206592,0.282976
120,137558,0.297460
130,109644,0.309005
140,88268,0.318299
150,83595,0.327101
160,105155,0.338173
170,106274,0.349364
180,134949,0.363573
190,102540,0.374370
200,88936,0.383734
210,85690,0.392757
220,102713,0.403572
230,103975,0.414520
240,87859,0.423771
250,84505,0.432669
260,83657,0.441478
270,82072,0.450119
280,79483,0.458489
290,77904,0.466691
300,76110,0.474705
310,75103,0.482613
320,73599,0.490363
330,72356,0.497982
340,70440,0.505399
350,68177,0.512577
360,67358,0.519670
370,65961,0.526615
380,64372,0.533393
390,62835,0.540009
400,61910,0.546528
410,60405,0.552888
420,59427,0.559146
430,58207,0.565274
440,56961,0.571272
450,56120,0.577181
460,54647,0.582935
470,53720,0.588592
480,52668,0.594137
490,51938,0.599606
500,50662,0.604941
510,49673,0.610171
520,48778,0.615307
530,47882,0.620349
540,46763,0.625273
550,46096,0.630126
560,45294,0.634895
570,44650,0.639597
580,43811,0.644210
590,43188,0.648757
600,41886,0.653168
610,41462,0.657533
620,40324,0.661779
630,39893,0.665980
640,39011,0.670087
650,38284,0.674119
660,37376,0.678054
670,37075,0.681958
680,35830,0.685730
690,36080,0.689529
700,35132,0.693229
710,34437,0.696855
720,34120,0.700447
730,33254,0.703949
740,32590,0.707380
750,32080,0.710758
760,31991,0.714127
770,31128,0.717404
780,30656,0.720632
790,30589,0.723853
800,29375,0.726946
810,29189,0.730020
820,28700,0.733042
830,28267,0.736018
840,27760,0.738941
850,27114,0.741796
860,26942,0.744633
870,26119,0.747383
880,25670,0.750086
890,25304,0.752750
900,25109,0.755394
910,24809,0.758006
920,24252,0.760560
930,23981,0.763085
940,23476,0.765557
950,23262,0.768006
960,22866,0.770414
970,22337,0.772766
980,22131,0.775096
990,21682,0.777379
1000,21592,0.779653
1010,20971,0.781861
1020,20793,0.784050
1030,20493,0.786208
1040,20178,0.788332
1050,19893,0.790427
1060,19692,0.792501
1070,19191,0.794521
1080,19103,0.796533
1090,18955,0.798529
1100,18464,0.800473
1110,18167,0.802386
1120,17905,0.804271
1130,17652,0.806130
1140,17481,0.807970
1150,17276,0.809789
1160,17108,0.811591
1170,16739,0.813353
1180,16535,0.815094
1190,16308,0.816811
1200,16290,0.818527
1210,15908,0.820202
1220,15795,0.821865
1230,15591,0.823506
1240,15197,0.825107
1250,15029,0.826689
1260,14868,0.828255
1270,14687,0.829801
1280,14348,0.831312
1290,14169,0.832804
1300,13975,0.834275
1310,13906,0.835739
1320,13817,0.837194
1330,13472,0.838613
1340,13387,0.840022
1350,13060,0.841398
1360,13103,0.842777
1370,12917,0.844137
1380,12562,0.845460
1390,12611,0.846788
1400,12369,0.848090
1410,12302,0.849386
1420,12089,0.850659
1430,11932,0.851915
1440,11798,0.853157
1450,11656,0.854384
1460,11490,0.855594
1470,11477,0.856803
1480,11224,0.857985
1490,10980,0.859141
1500,10877,0.860286
1510,10787,0.861422
1520,10795,0.862558
1530,10542,0.863669
1540,10425,0.864766
1550,10374,0.865858
1560,10150,0.866927
1570,9953,0.867975
1580,10002,0.869028
1590,9830,0.870063
1600,9921,0.871108
1610,9832,0.872143
1620,9710,0.873166
1630,9440,0.874160
1640,9246,0.875133
1650,9232,0.876105
1660,9103,0.877064
1670,9012,0.878013
1680,8928,0.878953
1690,8663,0.879865
1700,8613,0.880772
1710,8621,0.881680
1720,8577,0.882583
1730,8487,0.883476
1740,8475,0.884369
1750,8466,0.885260
1760,8190,0.886123
1770,8269,0.886993
1780,8105,0.887847
1790,7967,0.888686
1800,7905,0.889518
1810,8042,0.890365
1820,7870,0.891193
1830,7751,0.892009
1840,7577,0.892807
1850,7462,0.893593
1860,7506,0.894383
1870,7362,0.895158
1880,7319,0.895929
1890,7206,0.896688
1900,7289,0.897455
1910,7104,0.898203
1920,6899,0.898930
1930,6911,0.899657
1940,6880,0.900382
1950,6845,0.901103
1960,6750,0.901813
1970,6623,0.902511
1980,6549,0.903200
1990,6553,0.903890
2000,6655,0.904591
2010,6539,0.905280
2020,6429,0.905957
2030,6356,0.906626
2040,6378,0.907297
2050,6184,0.907948
2060,6139,0.908595
2070,6134,0.909241
2080,6137,0.909887
2090,6039,0.910523
2100,6001,0.911155
2110,5963,0.911783
2120,5898,0.912404
2130,5797,0.913014
2140,5943,0.913640
2150,5781,0.914248
2160,5588,0.914837
2170,5614,0.915428
2180,5555,0.916013
2190,5559,0.916598
2200,5503,0.917178
2210,5326,0.917738
2220,5342,0.918301
2230,5260,0.918855
2240,5296,0.919412
2250,5214,0.919961
2260,5317,0.920521
2270,5119,0.921060
2280,5201,0.921608
2290,5100,0.922145
2300,4961,0.922667
2310,4970,0.923191
2320,4837,0.923700
2330,4756,0.924201
2340,4857,0.924712
2350,4791,0.925217
2360,4756,0.925717
2370,4842,0.926227
2380,4685,0.926720
2390,4751,0.927221
2400,4646,0.927710
2410,4576,0.928192
2420,4534,0.928669
2430,4538,0.929147
2440,4514,0.929622
2450,4439,0.930090
2460,4491,0.930563
2470,4327,0.931018
2480,4372,0.931479
2490,4231,0.931924
2500,4380,0.932385
2510,4231,0.932831
2520,4238,0.933277
2530,4242,0.933724
2540,4192,0.934165
2550,4239,0.934611
2560,4058,0.935039
2570,3984,0.935458
2580,4177,0.935898
2590,4056,0.936325
2600,3955,0.936741
2610,3992,0.937162
2620,3916,0.937574
2630,3962,0.937991
2640,3912,0.938403
2650,3747,0.938798
2660,3806,0.939199
2670,3833,0.939602
2680,3710,0.939993
2690,3634,0.940375
2700,3567,0.940751
2710,3607,0.941131
2720,3592,0.941509
2730,3567,0.941885
2740,3495,0.942253
2750,3513,0.942622
2760,3448,0.942986
2770,3368,0.943340
2780,3428,0.943701
2790,3461,0.944066
2800,3369,0.944420
2810,3411,0.944779
2820,3301,0.945127
2830,3355,0.945480
2840,3226,0.945820
2850,3259,0.946163
2860,3335,0.946514
2870,3137,0.946845
2880,3168,0.947178
2890,3134,0.947508
2900,3130,0.947838
2910,3152,0.948170
2920,3085,0.948494
2930,3018,0.948812
2940,3078,0.949136
2950,3079,0.949461
2960,2936,0.949770
2970,2829,0.950068
2980,3037,0.950387
2990,3028,0.950706
3000,3025,0.951025
3010,2948,0.951335
3020,2889,0.951639
3030,2975,0.951953
3040,2876,0.952255
3050,2890,0.952560
3060,2953,0.952871
3070,2811,0.953167
3080,2880,0.953470
3090,2850,0.953770
3100,2809,0.954066
3110,2667,0.954347
3120,2745,0.954636
3130,2719,0.954922
3140,2664,0.955202
3150,2675,0.955484
3160,2653,0.955763
3170,2669,0.956044
3180,2777,0.956337
3190,2712,0.956622
3200,2561,0.956892
3210,2623,0.957168
3220,2555,0.957437
3230,2574,0.957708
3240,2589,0.957981
3250,2514,0.958246
3260,2607,0.958520
3270,2560,0.958790
3280,2488,0.959052
3290,2528,0.959318
3300,2627,0.959594
3310,2516,0.959859
3320,2491,0.960122
3330,2451,0.960380
3340,2432,0.960636
3350,2410,0.960890
3360,2389,0.961141
3370,2445,0.961399
3380,2411,0.961652
3390,2408,0.961906
3400,2297,0.962148
3410,2267,0.962386
3420,2208,0.962619
3430,2277,0.962859
