#latency,cnt,cdf
0,1,0.000000
10,20,0.000010
20,31,0.000026
30,8529,0.004291
40,11529,0.010055
50,783,0.010447
60,194,0.010544
70,2544,0.011816
80,10987,0.017309
90,17404,0.026011
100,2372,0.027197
110,162114,0.108254
120,417573,0.317041
130,41035,0.337558
140,22646,0.348881
150,511544,0.604653
160,12528,0.610917
170,14000,0.617917
180,70993,0.653413
190,130018,0.718422
200,361753,0.899299
210,87969,0.943283
220,90627,0.988597
230,2316,0.989755
240,1054,0.990282
250,1190,0.990877
260,1316,0.991535
270,160,0.991615
280,71,0.991651
290,248,0.991774
300,119,0.991834
310,132,0.991900
320,173,0.991987
330,2812,0.993393
340,3612,0.995198
350,5382,0.997890
360,1101,0.998440
370,716,0.998798
380,45,0.998820
390,41,0.998841
400,28,0.998855
410,35,0.998873
420,24,0.998884
430,36,0.998902
440,16,0.998910
450,20,0.998921
460,13,0.998927
470,19,0.998936
480,16,0.998945
490,14,0.998951
500,17,0.998960
510,16,0.998968
520,19,0.998977
530,19,0.998987
540,12,0.998993
550,15,0.999000
560,15,0.999008
570,15,0.999016
580,18,0.999025
590,10,0.999030
600,11,0.999035
610,9,0.999039
620,10,0.999044
630,7,0.999048
640,15,0.999056
650,16,0.999063
660,4,0.999066
670,11,0.999071
680,8,0.999075
690,8,0.999079
700,13,0.999085
710,10,0.999090
720,13,0.999097
730,8,0.999101
740,7,0.999104
750,10,0.999110
760,15,0.999117
770,10,0.999122
780,15,0.999129
790,10,0.999134
800,7,0.999138
810,9,0.999143
820,11,0.999148
830,12,0.999154
840,9,0.999159
850,7,0.999162
860,13,0.999169
870,11,0.999174
880,12,0.999180
890,8,0.999184
900,13,0.999191
910,7,0.999194
920,3,0.999196
930,6,0.999198
940,5,0.999201
950,4,0.999203
960,11,0.999209
970,6,0.999211
980,4,0.999214
990,4,0.999215
1000,1,0.999216
1010,4,0.999218
1020,5,0.999220
1030,2,0.999222
1040,2,0.999223
1050,2,0.999223
1060,4,0.999225
1070,4,0.999228
1080,10,0.999232
1090,4,0.999234
1100,6,0.999237
1110,4,0.999240
1120,6,0.999242
1130,7,0.999246
1140,6,0.999249
1150,1,0.999250
1160,6,0.999252
1170,4,0.999255
1180,4,0.999256
1190,5,0.999259
1200,6,0.999262
1210,4,0.999264
1220,5,0.999267
1230,6,0.999269
1240,1,0.999270
1250,5,0.999273
1260,2,0.999273
1270,3,0.999275
1280,5,0.999277
1290,3,0.999279
1300,4,0.999281
1310,5,0.999283
1320,4,0.999286
1330,1,0.999286
1340,3,0.999287
1350,1,0.999288
1360,4,0.999290
1370,4,0.999292
1380,1,0.999292
1390,3,0.999294
1400,5,0.999296
1410,5,0.999299
1420,3,0.999300
1430,3,0.999302
1440,3,0.999304
1450,4,0.999305
1460,5,0.999308
1470,6,0.999311
1480,5,0.999313
1490,2,0.999314
1500,3,0.999316
1520,5,0.999318
1530,3,0.999320
1540,1,0.999321
1550,4,0.999322
1560,5,0.999325
1570,5,0.999327
