#latency,cnt,cdf
0,3583260,0.377154
10,13806,0.378607
20,1170,0.378730
30,57595,0.384792
40,669,0.384863
50,14696,0.386410
60,788281,0.469380
70,58879,0.475577
80,750336,0.554553
90,25118,0.557197
100,576546,0.617881
110,369834,0.656808
120,417284,0.700729
130,439521,0.746990
140,75137,0.754899
150,2353,0.755146
160,9565,0.756153
170,603223,0.819645
180,212269,0.841987
190,854618,0.931939
200,7510,0.932730
210,745,0.932808
220,9265,0.933783
230,587533,0.995624
240,28329,0.998606
250,1123,0.998724
260,1639,0.998896
270,896,0.998991
280,472,0.999040
290,605,0.999104
300,836,0.999192
310,1162,0.999314
320,532,0.999370
330,231,0.999395
340,117,0.999407
350,426,0.999452
360,220,0.999475
370,103,0.999486
380,186,0.999505
390,62,0.999512
400,61,0.999518
410,50,0.999524
420,73,0.999531
430,75,0.999539
440,48,0.999544
450,45,0.999549
460,32,0.999552
470,33,0.999556
480,48,0.999561
490,48,0.999566
500,34,0.999570
510,30,0.999573
520,37,0.999577
530,38,0.999581
540,28,0.999583
550,26,0.999586
560,19,0.999588
570,28,0.999591
580,25,0.999594
590,28,0.999597
600,16,0.999598
610,31,0.999602
620,15,0.999603
630,21,0.999605
640,26,0.999608
650,23,0.999611
660,33,0.999614
670,29,0.999617
680,25,0.999620
690,21,0.999622
700,23,0.999624
710,27,0.999627
720,20,0.999629
730,24,0.999632
740,19,0.999634
750,28,0.999637
760,18,0.999639
770,17,0.999641
780,27,0.999643
790,26,0.999646
800,22,0.999648
810,28,0.999651
820,27,0.999654
830,22,0.999657
840,24,0.999659
850,21,0.999661
860,19,0.999663
870,13,0.999665
880,20,0.999667
890,24,0.999669
900,27,0.999672
910,21,0.999674
920,15,0.999676
930,14,0.999677
940,18,0.999679
950,10,0.999680
960,7,0.999681
970,13,0.999682
980,14,0.999684
990,12,0.999685
1000,15,0.999687
1010,12,0.999688
1020,21,0.999690
1030,7,0.999691
1040,13,0.999692
1050,11,0.999694
1060,16,0.999695
1070,11,0.999696
1080,16,0.999698
1090,15,0.999700
1100,7,0.999700
1110,14,0.999702
1120,11,0.999703
1130,7,0.999704
1140,6,0.999704
1150,10,0.999705
1160,6,0.999706
1170,11,0.999707
1180,9,0.999708
1190,13,0.999709
1200,10,0.999711
1210,13,0.999712
1220,16,0.999714
1230,9,0.999715
1240,6,0.999715
1250,15,0.999717
1260,17,0.999719
1270,6,0.999719
1280,14,0.999721
1290,6,0.999721
1300,13,0.999723
1310,10,0.999724
1320,9,0.999725
1330,11,0.999726
1340,7,0.999727
1350,5,0.999727
1360,7,0.999728
1370,5,0.999728
1380,10,0.999729
1390,9,0.999730
1400,9,0.999731
1410,4,0.999732
1420,5,0.999732
1430,4,0.999733
1440,5,0.999733
1450,10,0.999734
1460,11,0.999735
1470,8,0.999736
1480,11,0.999737
1490,7,0.999738
1500,3,0.999738
1510,7,0.999739
1520,5,0.999740
1530,5,0.999740
1540,6,0.999741
1550,11,0.999742
1560,11,0.999743
1570,11,0.999744
1580,5,0.999745
1590,5,0.999745
1600,3,0.999746
1610,9,0.999747
1620,7,0.999747
1630,7,0.999748
1640,10,0.999749
1650,6,0.999750
1660,9,0.999751
1670,6,0.999751
1680,5,0.999752
1690,9,0.999753
1700,5,0.999753
1710,10,0.999754
1720,4,0.999755
1730,3,0.999755
1740,9,0.999756
1750,3,0.999756
1760,8,0.999757
1770,3,0.999758
1780,6,0.999758
1790,10,0.999759
1800,7,0.999760
1810,9,0.999761
1820,10,0.999762
1830,12,0.999763
1840,12,0.999765
1850,16,0.999766
1860,21,0.999768
1870,30,0.999772
1880,35,0.999775
1890,14,0.999777
1900,14,0.999778
1910,8,0.999779
1920,10,0.999780
1930,7,0.999781
1940,10,0.999782
1950,13,0.999783
1960,28,0.999786
1970,29,0.999789
1980,53,0.999795
1990,39,0.999799
2000,20,0.999801
2010,17,0.999803
2020,8,0.999804
2030,17,0.999806
2040,6,0.999806
2050,8,0.999807
2060,4,0.999807
2070,4,0.999808
2080,3,0.999808
2100,5,0.999809
2110,7,0.999809
2120,7,0.999810
2130,7,0.999811
2140,7,0.999812
2150,8,0.999812
2160,9,0.999813
2170,4,0.999814
2180,4,0.999814
2190,7,0.999815
2200,5,0.999815
2210,13,0.999817
2220,8,0.999818
2230,8,0.999819
2240,15,0.999820
2250,20,0.999822
2260,23,0.999825
2270,24,0.999827
2280,13,0.999829
2290,11,0.999830
2300,4,0.999830
2310,9,0.999831
2320,5,0.999832
2330,6,0.999832
2340,8,0.999833
2350,20,0.999835
2360,17,0.999837
2370,12,0.999838
2380,17,0.999840
2390,14,0.999842
2400,19,0.999843
2410,28,0.999846
2420,29,0.999849
2430,10,0.999851
2440,12,0.999852
2450,8,0.999853
2460,11,0.999854
2470,15,0.999855
2480,15,0.999857
2490,13,0.999858
2500,9,0.999859
2510,11,0.999860
2520,12,0.999862
2530,10,0.999863
2540,9,0.999864
2550,5,0.999864
2560,10,0.999865
2570,11,0.999866
2580,5,0.999867
2590,9,0.999868
2600,6,0.999869
2610,4,0.999869
2620,6,0.999870
2630,2,0.999870
2640,6,0.999870
2650,7,0.999871
2660,12,0.999872
2670,7,0.999873
2680,1,0.999873
2690,4,0.999874
2700,7,0.999874
2710,6,0.999875
2720,9,0.999876
2730,5,0.999877
2740,7,0.999877
2750,8,0.999878
2760,3,0.999878
2770,7,0.999879
2780,5,0.999880
2790,4,0.999880
2800,2,0.999880
2810,6,0.999881
2820,5,0.999882
2830,1,0.999882
2840,8,0.999882
2850,6,0.999883
2860,6,0.999884
2870,8,0.999885
2880,9,0.999885
2890,5,0.999886
2900,3,0.999886
2910,9,0.999887
2920,5,0.999888
2930,9,0.999889
2940,3,0.999889
2950,7,0.999890
2960,5,0.999890
2970,4,0.999891
2980,5,0.999891
2990,4,0.999892
3000,7,0.999892
3010,9,0.999893
3020,7,0.999894
3030,3,0.999894
3040,6,0.999895
3050,6,0.999896
3060,7,0.999896
3070,5,0.999897
3080,8,0.999898
3090,11,0.999899
3100,3,0.999899
3110,4,0.999900
3120,7,0.999900
3130,7,0.999901
3140,8,0.999902
3150,5,0.999903
3160,4,0.999903
3170,4,0.999903
3180,5,0.999904
3190,11,0.999905
3200,2,0.999905
3210,5,0.999906
3220,6,0.999906
3230,3,0.999907
3240,4,0.999907
3250,5,0.999908
3260,7,0.999908
3270,9,0.999909
3280,9,0.999910
3290,7,0.999911
3300,6,0.999912
3310,4,0.999912
3320,7,0.999913
3330,8,0.999914
3340,5,0.999914
3350,3,0.999915
3360,4,0.999915
3370,2,0.999915
3380,2,0.999915
3390,5,0.999916
3400,2,0.999916
3410,3,0.999916
3420,2,0.999917
3430,4,0.999917
3440,4,0.999918
3450,7,0.999918
3460,4,0.999919
3470,2,0.999919
3480,4,0.999919
3490,2,0.999919
3500,7,0.999920
3510,5,0.999921
3520,7,0.999922
3530,1,0.999922
3550,4,0.999922
3560,4,0.999922
3570,7,0.999923
3580,3,0.999923
3590,5,0.999924
3600,3,0.999924
3610,3,0.999925
3620,3,0.999925
3630,5,0.999925
3650,4,0.999926
3660,5,0.999926
3680,3,0.999927
3690,1,0.999927
3700,2,0.999927
3710,3,0.999927
3720,4,0.999928
3730,4,0.999928
3740,2,0.999928
3750,1,0.999929
3760,3,0.999929
3770,2,0.999929
3780,4,0.999929
3790,1,0.999930
3800,2,0.999930
3820,1,0.999930
3830,2,0.999930
3850,1,0.999930
3880,3,0.999931
3890,2,0.999931
3900,2,0.999931
3910,1,0.999931
3920,3,0.999931
3940,1,0.999931
3960,2,0.999932
3970,1,0.999932
3980,1,0.999932
3990,2,0.999932
4000,1,0.999932
4060,1,0.999932
4080,2,0.999933
4090,1,0.999933
4100,1,0.999933
4110,1,0.999933
4120,1,0.999933
4130,1,0.999933
4140,1,0.999933
4150,1,0.999933
4160,1,0.999933
4170,1,0.999933
4200,2,0.999934
4210,1,0.999934
4220,1,0.999934
4260,1,0.999934
4320,1,0.999934
4340,1,0.999934
4370,1,0.999934
4380,1,0.999934
4400,1,0.999935
4420,1,0.999935
4460,3,0.999935
4470,1,0.999935
4490,2,0.999935
4520,2,0.999936
4550,2,0.999936
4580,4,0.999936
4590,2,0.999936
4600,2,0.999937
4620,2,0.999937
4630,4,0.999937
4640,2,0.999937
4650,1,0.999937
4660,1,0.999938
4670,2,0.999938
4680,1,0.999938
4690,4,0.999938
4700,8,0.999939
4710,13,0.999941
4720,4,0.999941
4730,8,0.999942
4740,8,0.999943
4750,7,0.999943
4760,5,0.999944
4770,8,0.999945
4780,9,0.999946
4790,12,0.999947
4800,10,0.999948
4810,11,0.999949
4820,14,0.999951
4830,10,0.999952
4840,15,0.999953
4850,25,0.999956
4860,20,0.999958
4870,20,0.999960
4880,12,0.999961
4890,19,0.999963
4900,16,0.999965
4910,10,0.999966
4920,9,0.999967
4930,4,0.999967
4940,10,0.999969
4950,8,0.999969
4960,14,0.999971
4970,9,0.999972
4980,9,0.999973
4990,9,0.999974
5000,16,0.999975
5010,11,0.999977
5020,11,0.999978
5030,12,0.999979
5040,12,0.999980
5050,11,0.999981
5060,10,0.999982
5070,9,0.999983
5080,6,0.999984
5090,3,0.999984
5100,6,0.999985
5110,6,0.999986
5120,3,0.999986
5130,2,0.999986
5140,9,0.999987
5150,1,0.999987
5160,6,0.999988
5170,3,0.999988
5180,2,0.999988
5190,3,0.999989
5200,2,0.999989
5210,1,0.999989
5220,2,0.999989
5230,2,0.999989
5260,2,0.999990
5280,1,0.999990
5310,2,0.999990
5320,1,0.999990
5330,2,0.999990
5350,1,0.999990
5370,1,0.999990
5380,1,0.999991
5390,4,0.999991
5400,1,0.999991
5410,1,0.999991
5450,1,0.999991
5470,2,0.999991
5490,2,0.999992
5500,3,0.999992
5510,3,0.999992
5520,1,0.999992
5530,2,0.999993
5550,1,0.999993
5560,1,0.999993
5570,2,0.999993
5580,2,0.999993
5590,3,0.999994
5610,1,0.999994
5630,1,0.999994
5640,1,0.999994
5660,2,0.999994
5680,1,0.999994
5690,1,0.999994
5710,2,0.999995
5740,2,0.999995
5750,2,0.999995
5760,2,0.999995
5770,1,0.999995
5790,1,0.999995
5800,1,0.999995
5840,2,0.999996
5870,3,0.999996
5880,1,0.999996
5920,2,0.999996
5930,1,0.999996
5940,1,0.999997
5950,3,0.999997
5960,1,0.999997
5970,2,0.999997
5990,2,0.999997
6030,1,0.999997
6040,2,0.999998
6090,1,0.999998
6100,1,0.999998
6130,2,0.999998
6150,1,0.999998
6190,1,0.999998
6210,2,0.999999
6230,1,0.999999
6240,1,0.999999
6290,2,0.999999
6350,1,0.999999
6390,1,0.999999
6450,1,0.999999
6490,1,0.999999
6530,1,0.999999
6550,2,1.000000
6730,1,1.000000
7090,1,1.000000
7310,1,1.000000
