#latency,cnt,cdf
0,198163,0.099082
10,5641,0.101902
20,215,0.102009
30,77,0.102048
40,6134,0.105115
50,1799,0.106014
60,84,0.106056
70,976,0.106545
80,6179,0.109634
90,8785,0.114027
100,955,0.114504
110,134039,0.181524
120,380470,0.371758
130,21795,0.382656
140,14942,0.390127
150,442892,0.611573
160,8975,0.616060
170,1091,0.616606
180,52860,0.643036
190,60832,0.673452
200,440653,0.893779
210,44613,0.916085
220,45110,0.938640
230,2891,0.940085
240,35549,0.957860
250,68995,0.992357
260,1349,0.993032
270,415,0.993240
280,328,0.993403
290,198,0.993502
300,198,0.993602
310,156,0.993680
320,174,0.993766
330,121,0.993827
340,125,0.993890
350,137,0.993958
360,77,0.993997
370,60,0.994026
380,989,0.994521
390,2488,0.995765
400,137,0.995834
410,45,0.995856
420,57,0.995884
430,61,0.995915
440,54,0.995942
450,62,0.995973
460,63,0.996005
470,46,0.996028
480,61,0.996058
490,61,0.996089
500,61,0.996119
510,82,0.996160
520,83,0.996202
530,78,0.996240
540,80,0.996280
550,103,0.996332
560,99,0.996382
570,66,0.996414
580,92,0.996460
590,95,0.996508
600,98,0.996557
610,85,0.996599
620,88,0.996643
630,60,0.996674
640,58,0.996702
650,59,0.996732
660,56,0.996760
670,50,0.996785
680,47,0.996809
690,48,0.996832
700,46,0.996855
710,40,0.996876
720,32,0.996891
730,39,0.996911
740,30,0.996926
750,40,0.996946
760,28,0.996960
770,27,0.996974
780,31,0.996989
790,29,0.997003
800,28,0.997018
810,22,0.997029
820,34,0.997046
830,30,0.997060
840,30,0.997075
850,24,0.997087
860,27,0.997101
870,27,0.997114
880,37,0.997133
890,52,0.997159
900,47,0.997182
910,58,0.997212
920,89,0.997256
930,71,0.997292
940,58,0.997320
950,63,0.997352
960,81,0.997392
970,85,0.997435
980,77,0.997473
990,73,0.997510
1000,90,0.997555
1010,75,0.997593
1020,99,0.997642
1030,59,0.997671
1040,62,0.997702
1050,42,0.997724
1060,37,0.997742
1070,30,0.997757
1080,39,0.997777
1090,33,0.997793
1100,26,0.997806
1110,29,0.997820
1120,19,0.997830
1130,18,0.997839
1140,17,0.997847
1150,18,0.997856
1160,19,0.997866
1170,14,0.997873
1180,14,0.997880
1190,15,0.997887
1200,13,0.997894
1210,6,0.997897
1220,9,0.997901
1230,17,0.997910
1240,12,0.997916
1250,14,0.997923
1260,6,0.997926
1270,15,0.997934
1280,8,0.997938
1290,6,0.997940
1300,7,0.997944
1310,10,0.997949
1320,7,0.997953
1330,5,0.997955
1340,6,0.997958
1350,11,0.997963
1360,8,0.997967
1370,13,0.997974
1380,8,0.997978
1390,10,0.997983
1400,4,0.997985
1410,5,0.997988
1420,8,0.997992
1430,11,0.997997
1440,9,0.998002
1450,5,0.998004
1460,6,0.998007
1470,6,0.998010
1480,9,0.998015
1490,4,0.998016
1500,12,0.998022
1510,4,0.998025
1520,7,0.998028
1530,10,0.998033
1540,8,0.998037
1550,6,0.998040
1560,6,0.998043
1570,2,0.998044
1580,5,0.998047
1590,5,0.998049
1600,3,0.998051
1610,5,0.998053
1620,6,0.998056
1630,8,0.998060
1640,6,0.998063
1650,8,0.998067
1660,8,0.998071
1670,9,0.998075
1680,9,0.998080
1690,13,0.998087
1700,18,0.998096
1710,4,0.998097
1720,7,0.998101
1730,10,0.998106
1740,11,0.998111
1750,6,0.998115
1760,13,0.998121
1770,6,0.998124
1780,15,0.998132
1790,43,0.998153
1800,77,0.998191
1810,79,0.998231
1820,232,0.998347
1830,155,0.998424
1840,286,0.998568
1850,130,0.998632
1860,69,0.998667
1870,30,0.998682
1880,21,0.998693
1890,14,0.998699
1900,9,0.998704
1910,8,0.998708
1920,18,0.998717
1930,106,0.998770
1940,90,0.998815
1950,109,0.998869
1960,117,0.998928
1970,75,0.998966
1980,86,0.999008
1990,40,0.999029
2000,18,0.999038
2010,55,0.999065
2020,24,0.999077
2030,11,0.999083
2040,14,0.999089
2050,4,0.999092
2060,5,0.999094
2070,2,0.999095
2080,4,0.999097
2090,3,0.999098
2100,7,0.999102
2110,9,0.999107
2120,17,0.999115
2130,5,0.999117
2140,7,0.999121
2150,5,0.999124
2160,10,0.999129
2170,2,0.999129
2180,7,0.999133
2190,8,0.999137
2200,12,0.999143
2210,47,0.999166
2220,24,0.999179
2230,17,0.999187
2240,9,0.999192
2250,7,0.999195
2260,7,0.999198
2270,8,0.999202
2280,3,0.999204
2290,5,0.999206
2300,7,0.999210
2310,7,0.999214
2320,14,0.999220
2330,13,0.999227
2340,46,0.999250
2350,5,0.999252
2360,13,0.999259
2370,10,0.999264
2380,10,0.999269
2390,6,0.999272
2400,5,0.999274
2410,5,0.999277
2420,5,0.999279
2430,6,0.999282
2440,14,0.999290
2450,4,0.999291
2460,8,0.999295
2470,9,0.999300
2480,13,0.999306
2490,11,0.999312
2500,9,0.999317
2510,22,0.999327
2520,9,0.999332
