#latency,cnt,cdf
30,1,0.000000
40,461,0.000231
50,37,0.000250
60,1802,0.001151
70,4502,0.003401
80,62207,0.034505
90,8410,0.038710
100,3415,0.040417
110,410079,0.245457
120,299261,0.395088
130,70822,0.430499
140,83808,0.472403
150,498565,0.721685
160,3242,0.723306
170,2319,0.724465
180,1857,0.725394
190,8603,0.729695
200,311515,0.885453
210,49533,0.910219
220,177522,0.998981
230,1191,0.999576
240,266,0.999709
250,125,0.999771
260,31,0.999787
270,92,0.999833
280,16,0.999841
290,105,0.999893
300,3,0.999895
310,5,0.999897
320,1,0.999898
330,1,0.999898
340,6,0.999901
350,10,0.999906
360,4,0.999909
380,2,0.999910
420,2,0.999910
430,1,0.999911
450,1,0.999911
470,1,0.999912
490,1,0.999913
520,1,0.999913
540,1,0.999914
560,1,0.999914
570,1,0.999915
590,1,0.999915
600,1,0.999915
660,1,0.999916
740,1,0.999916
750,1,0.999917
770,1,0.999918
780,1,0.999918
790,3,0.999919
820,1,0.999920
830,1,0.999920
840,1,0.999921
850,2,0.999922
860,1,0.999923
890,4,0.999924
910,1,0.999925
920,1,0.999925
930,1,0.999926
940,2,0.999927
960,1,0.999928
970,2,0.999928
990,2,0.999929
1000,1,0.999930
1010,1,0.999931
1040,2,0.999932
1060,2,0.999933
1070,1,0.999933
1090,1,0.999933
1100,2,0.999934
1170,2,0.999936
1190,1,0.999936
1280,1,0.999937
1310,1,0.999937
1320,1,0.999937
1330,1,0.999938
1340,2,0.999939
1390,1,0.999940
1450,2,0.999941
1500,1,0.999941
1580,1,0.999942
1640,1,0.999942
1720,1,0.999942
1790,1,0.999943
1800,1,0.999943
1810,1,0.999944
1830,2,0.999945
1840,2,0.999946
1850,4,0.999948
1860,7,0.999951
1870,7,0.999955
1880,8,0.999959
1890,3,0.999960
1900,5,0.999963
1910,5,0.999965
1920,2,0.999967
1930,1,0.999967
1940,1,0.999968
1950,1,0.999968
1960,1,0.999969
1980,3,0.999970
2020,1,0.999970
2030,1,0.999971
2040,1,0.999972
2050,1,0.999972
2130,1,0.999973
2550,1,0.999973
3150,1,0.999973
3520,1,0.999974
4610,1,0.999974
4650,1,0.999975
4720,2,0.999976
4730,1,0.999977
4740,1,0.999977
4750,1,0.999978
4770,2,0.999978
4870,2,0.999979
4880,1,0.999980
4890,3,0.999982
4900,3,0.999983
4910,1,0.999983
4920,2,0.999985
4930,3,0.999986
4940,6,0.999989
4950,7,0.999992
4960,1,0.999993
4970,1,0.999994
4990,1,0.999994
5010,1,0.999995
5030,1,0.999995
5100,1,0.999996
5140,1,0.999996
5150,1,0.999996
5160,1,0.999997
5200,3,0.999999
5210,1,0.999999
5250,2,1.000000
