#latency,cnt,cdf
0,2357,0.001179
10,129,0.001243
20,6,0.001246
30,2,0.001247
40,428,0.001461
50,243,0.001582
60,82,0.001624
70,1284,0.002265
80,10096,0.007314
90,9592,0.012110
100,1415,0.012817
110,188834,0.107234
120,436272,0.325370
130,28736,0.339738
140,34775,0.357125
150,540427,0.627339
160,13222,0.633950
170,1473,0.634687
180,21923,0.645648
190,38611,0.664953
200,476681,0.903294
210,62796,0.934692
220,67970,0.968677
230,3579,0.970466
240,16647,0.978790
250,30962,0.994271
260,1196,0.994869
270,488,0.995113
280,381,0.995304
290,187,0.995397
300,166,0.995480
310,120,0.995540
320,109,0.995595
330,126,0.995658
340,121,0.995718
350,113,0.995775
360,82,0.995816
370,55,0.995843
380,676,0.996181
390,1676,0.997019
400,99,0.997069
410,41,0.997089
420,72,0.997125
430,45,0.997148
440,44,0.997169
450,58,0.997199
460,62,0.997230
470,50,0.997254
480,63,0.997286
490,62,0.997317
500,64,0.997349
510,92,0.997395
520,88,0.997439
530,96,0.997487
540,116,0.997545
550,100,0.997595
560,88,0.997639
570,99,0.997688
580,112,0.997745
590,114,0.997801
600,134,0.997868
610,125,0.997931
620,102,0.997982
630,92,0.998028
640,74,0.998065
650,70,0.998100
660,66,0.998133
670,55,0.998160
680,67,0.998194
690,76,0.998232
700,42,0.998253
710,40,0.998273
720,45,0.998295
730,34,0.998312
740,45,0.998335
750,40,0.998355
760,29,0.998370
770,45,0.998392
780,41,0.998412
790,42,0.998433
800,27,0.998447
810,31,0.998462
820,39,0.998482
830,25,0.998495
840,25,0.998507
850,27,0.998520
860,38,0.998540
870,32,0.998555
880,47,0.998579
890,39,0.998599
900,39,0.998618
910,49,0.998643
920,61,0.998673
930,67,0.998707
940,65,0.998739
950,65,0.998771
960,82,0.998812
970,64,0.998845
980,81,0.998885
990,62,0.998916
1000,73,0.998953
1010,57,0.998981
1020,67,0.999014
1030,51,0.999040
1040,65,0.999072
1050,42,0.999093
1060,43,0.999115
1070,31,0.999130
1080,27,0.999144
1090,29,0.999159
1100,19,0.999168
1110,24,0.999180
1120,19,0.999189
1130,12,0.999196
1140,17,0.999204
1150,15,0.999211
1160,11,0.999217
1170,10,0.999222
1180,14,0.999229
1190,15,0.999237
1200,18,0.999246
1210,9,0.999250
1220,10,0.999255
1230,18,0.999264
1240,7,0.999268
1250,15,0.999275
1260,9,0.999279
1270,7,0.999283
1280,12,0.999289
1290,8,0.999293
1300,5,0.999295
1310,7,0.999299
1320,6,0.999302
1330,6,0.999305
1340,5,0.999308
1350,10,0.999313
1360,12,0.999318
1370,7,0.999322
1380,8,0.999326
1390,10,0.999331
1400,4,0.999333
1410,8,0.999337
1420,3,0.999339
1430,6,0.999341
1440,7,0.999345
1450,7,0.999349
1460,5,0.999351
1470,5,0.999354
1480,6,0.999357
1490,6,0.999359
1500,6,0.999363
1510,3,0.999364
1520,5,0.999367
1530,7,0.999370
1540,7,0.999373
1550,5,0.999376
1560,4,0.999378
1570,3,0.999380
1580,5,0.999382
1590,4,0.999384
1600,4,0.999386
1610,3,0.999388
1620,3,0.999389
1630,8,0.999393
1640,6,0.999396
1650,6,0.999399
1660,5,0.999402
1670,5,0.999404
1680,5,0.999407
1690,7,0.999410
1700,6,0.999413
1710,5,0.999416
1720,4,0.999417
1730,5,0.999420
1740,7,0.999424
1750,5,0.999426
1760,6,0.999429
1770,6,0.999432
1780,11,0.999438
1790,6,0.999440
1800,10,0.999445
1810,7,0.999449
1820,23,0.999461
1830,13,0.999467
1840,11,0.999472
1850,6,0.999475
1860,4,0.999478
1870,4,0.999479
1880,3,0.999481
1890,8,0.999485
1900,10,0.999490
1910,7,0.999493
1920,7,0.999497
1930,9,0.999502
1940,10,0.999506
1950,4,0.999509
1960,4,0.999511
1970,4,0.999512
1980,9,0.999517
1990,6,0.999520
2000,9,0.999524
2010,10,0.999529
2020,4,0.999532
2030,7,0.999535
2040,5,0.999538
2050,3,0.999539
2060,5,0.999542
2070,6,0.999545
2080,9,0.999549
2090,5,0.999551
2100,1,0.999552
2110,4,0.999554
2120,7,0.999557
2130,7,0.999561
2140,2,0.999562
2150,5,0.999565
2160,5,0.999567
2170,6,0.999570
2180,3,0.999572
2190,5,0.999574
2200,2,0.999575
2210,4,0.999577
2220,8,0.999581
2230,5,0.999583
2240,7,0.999587
2250,1,0.999587
2260,3,0.999589
2270,7,0.999592
2280,3,0.999594
2290,7,0.999597
2300,3,0.999599
2310,3,0.999601
2320,4,0.999602
2330,7,0.999606
2340,3,0.999608
2350,6,0.999610
2360,1,0.999611
2370,6,0.999614
2380,8,0.999618
2390,5,0.999620
2400,5,0.999623
2420,8,0.999627
2430,1,0.999627
2440,3,0.999629
2450,5,0.999632
2460,7,0.999635
2470,6,0.999638
2480,4,0.999640
2490,5,0.999642
2500,3,0.999644
2510,5,0.999646
2520,4,0.999649
2530,5,0.999651
2540,5,0.999654
2550,6,0.999656
2560,4,0.999659
2570,5,0.999661
2580,3,0.999663
2590,5,0.999665
2600,4,0.999667
2610,2,0.999668
2620,4,0.999670
2630,7,0.999673
2640,5,0.999676
2650,6,0.999679
2660,8,0.999683
2670,5,0.999686
2680,4,0.999687
2690,1,0.999688
2700,5,0.999690
2710,3,0.999692
2720,6,0.999695
2730,2,0.999696
2740,2,0.999697
2750,3,0.999699
2760,2,0.999699
2770,6,0.999703
2780,1,0.999703
2790,6,0.999706
2800,5,0.999708
2810,4,0.999711
