#latency,cnt,cdf
0,94,0.000094
40,34,0.000128
50,1,0.000129
60,164,0.000292
70,925,0.001215
80,12535,0.013722
90,2269,0.015986
100,1655,0.017637
110,184162,0.201384
120,158944,0.359971
130,16524,0.376457
140,35294,0.411672
150,273568,0.684624
160,3816,0.688431
170,927,0.689356
180,2302,0.691653
190,6421,0.698059
200,233677,0.931210
210,24984,0.956138
220,31784,0.987850
230,1146,0.988994
240,1637,0.990627
250,1406,0.992030
260,495,0.992524
270,316,0.992839
280,244,0.993083
290,122,0.993204
300,88,0.993292
310,79,0.993371
320,83,0.993454
330,66,0.993520
340,70,0.993589
350,51,0.993640
360,70,0.993710
370,53,0.993763
380,101,0.993864
390,114,0.993978
400,48,0.994025
410,49,0.994074
420,34,0.994108
430,47,0.994155
440,48,0.994203
450,51,0.994254
460,57,0.994311
470,64,0.994375
480,53,0.994428
490,70,0.994497
500,72,0.994569
510,70,0.994639
520,60,0.994699
530,67,0.994766
540,59,0.994825
550,64,0.994889
560,58,0.994946
570,91,0.995037
580,63,0.995100
590,65,0.995165
600,66,0.995231
610,78,0.995309
620,52,0.995360
630,52,0.995412
640,50,0.995462
650,52,0.995514
660,52,0.995566
670,45,0.995611
680,51,0.995662
690,38,0.995700
700,39,0.995739
710,28,0.995767
720,27,0.995794
730,30,0.995823
740,37,0.995860
750,32,0.995892
760,33,0.995925
770,32,0.995957
780,32,0.995989
790,28,0.996017
800,35,0.996052
810,21,0.996073
820,26,0.996099
830,39,0.996138
840,36,0.996174
850,45,0.996219
860,48,0.996266
870,46,0.996312
880,62,0.996374
890,57,0.996431
900,58,0.996489
910,57,0.996546
920,73,0.996619
930,64,0.996682
940,53,0.996735
950,53,0.996788
960,72,0.996860
970,53,0.996913
980,47,0.996960
990,42,0.997002
1000,43,0.997045
1010,50,0.997095
1020,33,0.997127
1030,40,0.997167
1040,34,0.997201
1050,26,0.997227
1060,27,0.997254
1070,22,0.997276
1080,31,0.997307
1090,27,0.997334
1100,22,0.997356
1110,17,0.997373
1120,20,0.997393
1130,10,0.997403
1140,19,0.997422
1150,23,0.997445
1160,15,0.997460
1170,19,0.997479
1180,21,0.997500
1190,15,0.997515
1200,15,0.997530
1210,18,0.997548
1220,17,0.997564
1230,16,0.997580
1240,19,0.997599
1250,16,0.997615
1260,14,0.997629
1270,12,0.997641
1280,11,0.997652
1290,17,0.997669
1300,5,0.997674
1310,14,0.997688
1320,16,0.997704
1330,11,0.997715
1340,12,0.997727
1350,12,0.997739
1360,12,0.997751
1370,14,0.997765
1380,14,0.997779
1390,9,0.997788
1400,12,0.997800
1410,17,0.997817
1420,13,0.997830
1430,9,0.997839
1440,12,0.997851
1450,12,0.997863
1460,7,0.997870
1470,9,0.997879
1480,8,0.997887
1490,11,0.997898
1500,10,0.997908
1510,8,0.997916
1520,10,0.997926
1530,13,0.997939
1540,8,0.997947
1550,6,0.997953
1560,6,0.997959
1570,7,0.997966
1580,14,0.997980
1590,15,0.997995
1600,6,0.998001
1610,12,0.998012
1620,5,0.998017
1630,10,0.998027
1640,11,0.998038
1650,7,0.998045
1660,7,0.998052
1670,10,0.998062
1680,8,0.998070
1690,10,0.998080
1700,12,0.998092
1710,12,0.998104
1720,14,0.998118
1730,9,0.998127
1740,12,0.998139
1750,10,0.998149
1760,12,0.998161
1770,16,0.998177
1780,10,0.998187
1790,14,0.998201
1800,10,0.998211
1810,8,0.998219
1820,9,0.998228
1830,12,0.998240
1840,9,0.998249
1850,14,0.998263
1860,15,0.998278
1870,14,0.998292
1880,13,0.998305
1890,15,0.998320
1900,17,0.998337
1910,5,0.998342
1920,8,0.998350
1930,9,0.998359
1940,9,0.998368
1950,6,0.998374
1960,14,0.998388
1970,12,0.998400
1980,10,0.998410
1990,13,0.998423
2000,6,0.998429
2010,10,0.998439
2020,6,0.998444
2030,4,0.998448
2040,11,0.998459
2050,14,0.998473
2060,7,0.998480
2070,7,0.998487
2080,5,0.998492
2090,11,0.998503
2100,7,0.998510
2110,6,0.998516
2120,9,0.998525
2130,6,0.998531
2140,14,0.998545
2150,7,0.998552
2160,10,0.998562
2170,8,0.998570
2180,10,0.998580
2190,10,0.998590
2200,13,0.998603
2210,8,0.998611
2220,6,0.998617
2230,8,0.998625
2240,8,0.998633
2250,10,0.998643
2260,8,0.998651
2270,8,0.998659
2280,11,0.998670
2290,10,0.998680
2300,7,0.998687
2310,9,0.998696
2320,3,0.998699
2330,7,0.998706
2340,6,0.998712
2350,14,0.998726
2360,11,0.998737
2370,10,0.998747
2380,7,0.998754
2390,13,0.998767
2400,14,0.998781
2410,9,0.998790
2420,15,0.998805
2430,12,0.998817
