#latency,cnt,cdf
0,1467,0.000154
10,79,0.000163
20,4,0.000163
50,31525,0.003482
60,132076,0.017386
70,154253,0.033625
80,179726,0.052546
90,129549,0.066184
100,124025,0.079240
110,219194,0.102316
120,199072,0.123273
130,163555,0.140491
140,151606,0.156451
150,151451,0.172395
160,151177,0.188310
170,146674,0.203751
180,149358,0.219475
190,145486,0.234791
200,141045,0.249639
210,135162,0.263868
220,131534,0.277716
230,129466,0.291345
240,128037,0.304824
250,125339,0.318019
260,124032,0.331076
270,123092,0.344035
280,123107,0.356995
290,122396,0.369880
300,120567,0.382573
310,118213,0.395017
320,116615,0.407294
330,114998,0.419400
340,112448,0.431238
350,110135,0.442833
360,107517,0.454151
370,105099,0.465216
380,101646,0.475916
390,99701,0.486412
400,97361,0.496662
410,95961,0.506764
420,93486,0.516606
430,91984,0.526289
440,89142,0.535674
450,86966,0.544829
460,84901,0.553767
470,83119,0.562517
480,81033,0.571048
490,79794,0.579448
500,78164,0.587677
510,76748,0.595756
520,75496,0.603704
530,74989,0.611599
540,74419,0.619433
550,73396,0.627160
560,72252,0.634766
570,71455,0.642288
580,70218,0.649681
590,69088,0.656954
600,67462,0.664056
610,66595,0.671067
620,64656,0.677873
630,63433,0.684551
640,61394,0.691014
650,60061,0.697337
660,59173,0.703566
670,57898,0.709662
680,56554,0.715615
690,55179,0.721424
700,53990,0.727108
710,52689,0.732655
720,51512,0.738078
730,50097,0.743352
740,48868,0.748496
750,47553,0.753502
760,46783,0.758427
770,46378,0.763310
780,45491,0.768099
790,44931,0.772829
800,44492,0.777513
810,44142,0.782160
820,43209,0.786709
830,42870,0.791222
840,41567,0.795598
850,40901,0.799904
860,40046,0.804119
870,39488,0.808276
880,38666,0.812347
890,37306,0.816274
900,36460,0.820113
910,35890,0.823891
920,34950,0.827570
930,34101,0.831160
940,33624,0.834700
950,32722,0.838145
960,31897,0.841503
970,31172,0.844784
980,30147,0.847958
990,29586,0.851073
1000,28717,0.854096
1010,28232,0.857068
1020,27637,0.859977
1030,27190,0.862840
1040,26308,0.865609
1050,26328,0.868381
1060,26204,0.871140
1070,25324,0.873806
1080,24891,0.876426
1090,24358,0.878990
1100,24187,0.881536
1110,23831,0.884045
1120,23275,0.886496
1130,22411,0.888855
1140,22328,0.891205
1150,21735,0.893494
1160,21338,0.895740
1170,20903,0.897940
1180,20215,0.900069
1190,20062,0.902181
1200,19446,0.904228
1210,19103,0.906239
1220,18516,0.908188
1230,17954,0.910078
1240,17908,0.911963
1250,17320,0.913787
1260,16818,0.915557
1270,16494,0.917294
1280,16154,0.918994
1290,15724,0.920650
1300,15461,0.922277
1310,14979,0.923854
1320,15043,0.925438
1330,14796,0.926995
1340,14589,0.928531
1350,13924,0.929997
1360,13922,0.931463
1370,13806,0.932916
1380,13322,0.934319
1390,13188,0.935707
1400,12649,0.937039
1410,12513,0.938356
1420,11920,0.939611
1430,11594,0.940831
1440,11710,0.942064
1450,11474,0.943272
1460,10842,0.944413
1470,10799,0.945550
1480,10670,0.946674
1490,10241,0.947752
1500,10110,0.948816
1510,9871,0.949855
1520,9317,0.950836
1530,9385,0.951824
1540,9087,0.952781
1550,8836,0.953711
1560,8826,0.954640
1570,8612,0.955547
1580,8492,0.956441
1590,8214,0.957305
1600,8036,0.958151
1610,7962,0.958989
1620,7806,0.959811
1630,7681,0.960620
1640,7609,0.961421
1650,7344,0.962194
1660,6997,0.962931
1670,7029,0.963671
1680,6804,0.964387
1690,6701,0.965092
1700,6531,0.965780
1710,6446,0.966458
1720,6278,0.967119
1730,6084,0.967760
1740,5950,0.968386
1750,5855,0.969003
1760,5634,0.969596
1770,5619,0.970187
1780,5345,0.970750
1790,5393,0.971318
1800,5098,0.971854
1810,4987,0.972379
1820,5020,0.972908
1830,4848,0.973418
1840,4851,0.973929
1850,4627,0.974416
1860,4648,0.974905
1870,4586,0.975388
1880,4489,0.975861
1890,4356,0.976319
1900,4246,0.976766
1910,4111,0.977199
1920,4056,0.977626
1930,3945,0.978041
1940,3787,0.978440
1950,3763,0.978836
1960,3805,0.979237
1970,3609,0.979617
1980,3573,0.979993
1990,3378,0.980348
2000,3381,0.980704
2010,3373,0.981059
2020,3156,0.981392
2030,3108,0.981719
2040,3004,0.982035
2050,2977,0.982349
2060,2912,0.982655
2070,2817,0.982952
2080,2786,0.983245
2090,2622,0.983521
2100,2710,0.983806
2110,2645,0.984085
2120,2554,0.984354
2130,2502,0.984617
2140,2389,0.984869
2150,2412,0.985122
2160,2205,0.985355
2170,2241,0.985590
2180,2137,0.985815
2190,2128,0.986039
2200,2045,0.986255
2210,2004,0.986466
2220,2033,0.986680
2230,1923,0.986882
2240,1927,0.987085
2250,1936,0.987289
2260,1867,0.987485
2270,1755,0.987670
2280,1794,0.987859
2290,1808,0.988049
2300,1617,0.988220
2310,1704,0.988399
2320,1694,0.988577
2330,1530,0.988738
2340,1511,0.988897
2350,1520,0.989057
2360,1529,0.989218
2370,1409,0.989367
2380,1384,0.989512
2390,1476,0.989668
2400,1379,0.989813
2410,1339,0.989954
2420,1319,0.990093
2430,1308,0.990231
2440,1208,0.990358
2450,1210,0.990485
2460,1185,0.990610
2470,1195,0.990736
2480,1177,0.990860
2490,1162,0.990982
2500,1035,0.991091
2510,1079,0.991204
2520,1030,0.991313
2530,1043,0.991423
2540,1015,0.991530
2550,1024,0.991637
2560,932,0.991735
2570,930,0.991833
2580,866,0.991925
2590,938,0.992023
2600,875,0.992115
2610,873,0.992207
2620,842,0.992296
2630,849,0.992385
2640,843,0.992474
2650,783,0.992556
2660,797,0.992640
2670,802,0.992725
2680,796,0.992809
2690,709,0.992883
2700,742,0.992961
2710,738,0.993039
2720,697,0.993112
2730,723,0.993189
2740,651,0.993257
2750,667,0.993327
2760,626,0.993393
2770,656,0.993462
2780,679,0.993534
2790,611,0.993598
2800,649,0.993666
2810,629,0.993733
2820,595,0.993795
2830,605,0.993859
2840,576,0.993920
2850,584,0.993981
2860,598,0.994044
2870,636,0.994111
2880,563,0.994170
2890,593,0.994233
2900,567,0.994292
2910,604,0.994356
2920,538,0.994413
2930,580,0.994474
2940,525,0.994529
2950,520,0.994584
2960,494,0.994636
2970,485,0.994687
2980,495,0.994739
2990,477,0.994789
3000,486,0.994840
3010,472,0.994890
3020,470,0.994939
3030,439,0.994986
3040,463,0.995034
3050,464,0.995083
3060,426,0.995128
3070,466,0.995177
3080,431,0.995222
3090,433,0.995268
3100,442,0.995315
3110,437,0.995361
