#latency,cnt,cdf
30,31,0.000003
50,10304,0.001088
60,3067415,0.323984
70,95621,0.334049
80,2912074,0.640593
90,31853,0.643946
100,210665,0.666122
110,1692448,0.844279
120,1080437,0.958013
130,188982,0.977906
140,17739,0.979774
150,930,0.979872
160,200,0.979893
170,1193,0.980018
180,34430,0.983643
190,150915,0.999529
200,1081,0.999643
210,796,0.999727
220,126,0.999740
230,836,0.999828
240,255,0.999855
250,31,0.999858
260,25,0.999861
270,26,0.999863
280,20,0.999865
290,18,0.999867
300,30,0.999870
310,18,0.999872
320,9,0.999873
330,31,0.999876
340,18,0.999878
350,11,0.999880
360,15,0.999881
370,17,0.999883
380,25,0.999886
390,25,0.999888
400,37,0.999892
410,27,0.999895
420,19,0.999897
430,14,0.999898
440,15,0.999900
450,15,0.999902
460,14,0.999903
470,10,0.999904
480,8,0.999905
490,7,0.999906
500,7,0.999906
510,12,0.999908
520,12,0.999909
530,1,0.999909
540,5,0.999910
550,3,0.999910
560,6,0.999911
570,14,0.999912
580,11,0.999913
590,12,0.999914
600,8,0.999915
610,8,0.999916
620,10,0.999917
630,7,0.999918
640,9,0.999919
650,7,0.999920
660,18,0.999922
670,23,0.999924
680,19,0.999926
690,10,0.999927
700,10,0.999928
710,14,0.999929
720,11,0.999931
730,3,0.999931
740,9,0.999932
750,7,0.999933
760,8,0.999933
770,6,0.999934
780,10,0.999935
790,8,0.999936
800,5,0.999937
810,5,0.999937
820,7,0.999938
830,8,0.999939
840,5,0.999939
850,3,0.999940
860,6,0.999940
870,4,0.999941
880,10,0.999942
890,5,0.999942
900,2,0.999942
910,3,0.999943
920,6,0.999943
930,2,0.999943
940,2,0.999944
950,2,0.999944
960,4,0.999944
970,3,0.999945
980,4,0.999945
990,1,0.999945
1000,4,0.999946
1010,3,0.999946
1020,2,0.999946
1030,2,0.999946
1040,4,0.999947
1050,3,0.999947
1060,6,0.999948
1070,2,0.999948
1080,6,0.999949
1090,7,0.999949
1100,4,0.999950
1110,3,0.999950
1120,6,0.999951
1130,6,0.999951
1140,2,0.999951
1150,2,0.999952
1160,4,0.999952
1170,2,0.999952
1180,2,0.999952
1190,3,0.999953
1200,2,0.999953
1220,1,0.999953
1230,6,0.999954
1240,2,0.999954
1250,2,0.999954
1260,1,0.999954
1270,2,0.999955
1280,1,0.999955
1290,1,0.999955
1300,1,0.999955
1310,1,0.999955
1320,2,0.999955
1330,3,0.999955
1340,1,0.999956
1350,2,0.999956
1360,2,0.999956
1370,2,0.999956
1380,2,0.999956
1400,1,0.999957
1410,2,0.999957
1420,2,0.999957
1430,1,0.999957
1440,2,0.999957
1460,1,0.999957
1480,1,0.999958
1500,1,0.999958
1520,1,0.999958
1530,1,0.999958
1540,1,0.999958
1550,3,0.999958
1560,2,0.999958
1570,1,0.999959
1580,1,0.999959
1590,2,0.999959
1600,3,0.999959
1610,2,0.999959
1620,1,0.999959
1690,1,0.999960
1700,2,0.999960
1720,1,0.999960
1730,1,0.999960
1760,1,0.999960
1790,2,0.999960
1800,1,0.999960
1810,2,0.999961
1820,4,0.999961
1830,3,0.999961
1840,1,0.999961
1850,1,0.999962
1860,1,0.999962
1880,2,0.999962
1890,2,0.999962
1900,1,0.999962
1920,2,0.999962
1930,5,0.999963
1940,7,0.999964
1950,2,0.999964
1960,1,0.999964
1970,1,0.999964
1990,2,0.999964
2010,1,0.999964
2050,2,0.999965
2060,1,0.999965
2090,1,0.999965
2110,2,0.999965
2130,1,0.999965
2140,3,0.999965
2150,1,0.999966
2160,2,0.999966
2180,1,0.999966
2190,1,0.999966
2220,2,0.999966
2230,1,0.999966
2240,1,0.999966
2250,1,0.999967
2270,1,0.999967
2310,1,0.999967
2320,1,0.999967
2330,1,0.999967
2340,3,0.999967
2350,2,0.999967
2360,1,0.999968
2370,1,0.999968
2380,1,0.999968
2390,1,0.999968
2400,3,0.999968
2410,1,0.999968
2420,3,0.999969
2440,3,0.999969
2450,4,0.999969
2460,2,0.999970
2470,6,0.999970
2480,6,0.999971
2490,4,0.999971
2500,4,0.999972
2510,3,0.999972
2520,6,0.999973
2530,6,0.999973
2540,5,0.999974
2550,4,0.999974
2560,7,0.999975
2570,3,0.999975
2580,9,0.999976
2590,3,0.999977
2600,7,0.999977
2610,2,0.999977
2630,6,0.999978
2640,6,0.999979
2650,4,0.999979
2660,6,0.999980
2670,2,0.999980
2680,2,0.999980
2690,1,0.999980
2700,6,0.999981
2710,3,0.999981
2730,4,0.999982
2740,2,0.999982
2750,1,0.999982
2760,3,0.999982
2770,4,0.999983
2780,2,0.999983
2800,3,0.999983
2810,2,0.999983
2820,3,0.999984
2840,1,0.999984
2860,1,0.999984
2880,1,0.999984
2890,1,0.999984
2900,1,0.999984
2910,2,0.999985
2920,1,0.999985
2930,1,0.999985
2940,1,0.999985
2960,1,0.999985
2970,3,0.999985
2980,2,0.999985
2990,2,0.999986
3010,2,0.999986
3020,3,0.999986
3040,1,0.999986
3050,1,0.999986
3070,1,0.999987
3080,5,0.999987
3090,4,0.999987
3100,3,0.999988
3110,1,0.999988
3120,1,0.999988
3140,2,0.999988
3150,2,0.999988
3160,6,0.999989
3180,1,0.999989
3190,4,0.999990
3210,3,0.999990
3220,1,0.999990
3230,1,0.999990
3240,2,0.999990
3250,2,0.999991
3260,3,0.999991
3270,1,0.999991
3280,1,0.999991
3290,1,0.999991
3300,1,0.999991
3310,2,0.999991
3320,5,0.999992
3340,2,0.999992
3350,2,0.999992
3360,2,0.999993
3370,3,0.999993
3380,1,0.999993
3390,2,0.999993
3400,6,0.999994
3410,4,0.999994
3420,2,0.999995
3430,3,0.999995
3450,1,0.999995
3470,1,0.999995
3490,2,0.999995
3510,3,0.999996
3540,3,0.999996
3550,2,0.999996
3560,1,0.999996
3580,3,0.999997
3590,1,0.999997
3600,1,0.999997
3610,1,0.999997
3620,1,0.999997
3630,1,0.999997
3650,1,0.999997
3660,1,0.999997
3670,2,0.999997
3680,1,0.999998
3690,2,0.999998
3710,2,0.999998
3720,1,0.999998
3730,1,0.999998
3740,1,0.999998
3810,1,0.999998
3840,1,0.999999
3890,1,0.999999
3960,1,0.999999
4060,1,0.999999
4100,2,0.999999
4220,1,0.999999
4250,1,0.999999
4750,1,0.999999
4780,1,0.999999
4930,1,1.000000
5060,1,1.000000
5100,1,1.000000
5240,1,1.000000
7610,1,1.000000
