#latency,cnt,cdf
0,683726,0.136773
10,4617,0.137697
20,284,0.137754
30,12385,0.140231
40,287,0.140289
50,1591,0.140607
60,214473,0.183510
70,51152,0.193743
80,229680,0.239688
90,12695,0.242228
100,155801,0.273395
110,67541,0.286906
120,186873,0.324288
130,112136,0.346720
140,77304,0.362184
150,75047,0.377196
160,11791,0.379555
170,320558,0.443680
180,195150,0.482718
190,455413,0.573819
200,182552,0.610337
210,159537,0.642251
220,110491,0.664354
230,434431,0.751258
240,182664,0.787798
250,64061,0.800613
260,84309,0.817479
270,239207,0.865330
280,92532,0.883840
290,111441,0.906133
300,59150,0.917965
310,75952,0.933159
320,116016,0.956367
330,46335,0.965636
340,69058,0.979450
350,7284,0.980907
360,8570,0.982622
370,7817,0.984185
380,12318,0.986649
390,28635,0.992378
400,7331,0.993844
410,2006,0.994245
420,1907,0.994627
430,3273,0.995282
440,2697,0.995821
450,507,0.995923
460,401,0.996003
470,774,0.996158
480,2406,0.996639
490,406,0.996720
500,401,0.996800
510,450,0.996890
520,213,0.996933
530,264,0.996986
540,114,0.997009
550,98,0.997028
560,98,0.997048
570,126,0.997073
580,289,0.997131
590,168,0.997164
600,151,0.997195
610,143,0.997223
620,121,0.997247
630,167,0.997281
640,182,0.997317
650,132,0.997344
660,132,0.997370
670,104,0.997391
680,123,0.997415
690,134,0.997442
700,130,0.997468
710,120,0.997492
720,120,0.997516
730,113,0.997539
740,76,0.997554
750,81,0.997570
760,80,0.997586
770,83,0.997603
780,59,0.997615
790,79,0.997631
800,67,0.997644
810,73,0.997658
820,61,0.997671
830,58,0.997682
840,65,0.997695
850,67,0.997709
860,54,0.997720
870,52,0.997730
880,63,0.997743
890,72,0.997757
900,88,0.997775
910,74,0.997789
920,71,0.997804
930,78,0.997819
940,84,0.997836
950,64,0.997849
960,67,0.997862
970,58,0.997874
980,71,0.997888
990,60,0.997900
1000,53,0.997911
1010,58,0.997922
1020,69,0.997936
1030,71,0.997950
1040,35,0.997957
1050,55,0.997968
1060,52,0.997979
1070,55,0.997990
1080,49,0.997999
1090,40,0.998007
1100,46,0.998017
1110,49,0.998026
1120,51,0.998037
1130,48,0.998046
1140,51,0.998056
1150,36,0.998064
1160,41,0.998072
1170,41,0.998080
1180,45,0.998089
1190,43,0.998098
1200,39,0.998105
1210,28,0.998111
1220,41,0.998119
1230,52,0.998130
1240,49,0.998139
1250,76,0.998155
1260,66,0.998168
1270,68,0.998181
1280,75,0.998196
1290,74,0.998211
1300,78,0.998227
1310,88,0.998244
1320,62,0.998257
1330,62,0.998269
1340,81,0.998285
1350,70,0.998299
1360,67,0.998313
1370,55,0.998324
1380,68,0.998337
1390,59,0.998349
1400,57,0.998361
1410,62,0.998373
1420,49,0.998383
1430,41,0.998391
1440,34,0.998398
1450,42,0.998406
1460,30,0.998412
1470,28,0.998418
1480,29,0.998424
1490,26,0.998429
1500,20,0.998433
1510,25,0.998438
1520,28,0.998443
1530,13,0.998446
1540,24,0.998451
1550,19,0.998455
1560,15,0.998458
1570,15,0.998461
1580,13,0.998463
1590,11,0.998465
1600,14,0.998468
1610,19,0.998472
1620,24,0.998477
1630,16,0.998480
1640,18,0.998484
1650,17,0.998487
1660,16,0.998490
1670,23,0.998495
1680,21,0.998499
1690,15,0.998502
1700,16,0.998505
1710,17,0.998509
1720,20,0.998513
1730,14,0.998515
1740,19,0.998519
1750,11,0.998522
1760,22,0.998526
1770,20,0.998530
1780,43,0.998538
1790,77,0.998554
1800,189,0.998592
1810,388,0.998669
1820,109,0.998691
1830,164,0.998724
1840,283,0.998781
1850,87,0.998798
1860,67,0.998811
1870,49,0.998821
1880,40,0.998829
1890,62,0.998842
1900,21,0.998846
1910,21,0.998850
1920,17,0.998853
1930,31,0.998860
1940,132,0.998886
1950,134,0.998913
1960,42,0.998921
1970,63,0.998934
1980,32,0.998940
1990,38,0.998948
2000,35,0.998955
2010,8,0.998956
2020,28,0.998962
2030,22,0.998966
2040,7,0.998968
2050,6,0.998969
2060,13,0.998972
2070,23,0.998976
2080,37,0.998984
2090,50,0.998994
2100,15,0.998997
2110,19,0.999000
2120,22,0.999005
2130,15,0.999008
2140,20,0.999012
2150,22,0.999016
2160,16,0.999019
2170,14,0.999022
2180,14,0.999025
2190,18,0.999029
2200,28,0.999034
2210,12,0.999037
2220,18,0.999040
2230,22,0.999045
2240,26,0.999050
2250,10,0.999052
2260,13,0.999054
2270,22,0.999059
2280,22,0.999063
2290,21,0.999067
2300,43,0.999076
2310,25,0.999081
2320,50,0.999091
2330,27,0.999096
2340,17,0.999100
2350,23,0.999104
2360,20,0.999108
2370,9,0.999110
2380,23,0.999115
2390,16,0.999118
2400,15,0.999121
2410,7,0.999122
2420,9,0.999124
2430,8,0.999126
2440,13,0.999128
2450,20,0.999132
2460,22,0.999137
2470,22,0.999141
2480,23,0.999146
2490,23,0.999150
2500,19,0.999154
2510,14,0.999157
2520,11,0.999159
2530,14,0.999162
2540,16,0.999165
2550,17,0.999169
2560,16,0.999172
2570,12,0.999174
2580,12,0.999177
2590,11,0.999179
2600,17,0.999182
2610,14,0.999185
2620,14,0.999188
2630,11,0.999190
2640,19,0.999194
2650,9,0.999196
2660,18,0.999199
2670,13,0.999202
2680,13,0.999204
2690,12,0.999207
2700,13,0.999209
2710,18,0.999213
2720,11,0.999215
2730,12,0.999218
2740,14,0.999220
2750,18,0.999224
2760,16,0.999227
2770,24,0.999232
2780,23,0.999237
2790,13,0.999239
2800,15,0.999242
2810,17,0.999246
2820,12,0.999248
2830,14,0.999251
2840,21,0.999255
2850,13,0.999258
2860,10,0.999260
2870,12,0.999262
2880,18,0.999266
2890,18,0.999269
2900,11,0.999271
2910,17,0.999275
2920,22,0.999279
2930,20,0.999283
2940,20,0.999287
2950,17,0.999291
2960,25,0.999296
2970,17,0.999299
2980,17,0.999302
2990,15,0.999305
3000,13,0.999308
3010,19,0.999312
3020,14,0.999315
3030,16,0.999318
3040,13,0.999320
3050,23,0.999325
3060,18,0.999329
3070,18,0.999332
3080,16,0.999335
3090,17,0.999339
3100,14,0.999342
3110,23,0.999346
3120,22,0.999351
3130,20,0.999355
3140,10,0.999357
3150,21,0.999361
3160,12,0.999363
3170,21,0.999367
3180,16,0.999371
3190,21,0.999375
3200,17,0.999378
3210,27,0.999384
3220,19,0.999388
3230,19,0.999391
3240,21,0.999395
3250,14,0.999398
3260,22,0.999403
3270,20,0.999407
3280,16,0.999410
3290,17,0.999413
3300,19,0.999417
3310,21,0.999421
3320,30,0.999427
3330,28,0.999433
3340,28,0.999438
3350,31,0.999445
3360,14,0.999447
3370,16,0.999451
3380,18,0.999454
3390,25,0.999459
3400,19,0.999463
3410,16,0.999466
3420,24,0.999471
3430,16,0.999474
3440,19,0.999478
3450,21,0.999482
3460,15,0.999485
3470,20,0.999489
3480,21,0.999493
3490,22,0.999498
3500,24,0.999503
3510,19,0.999506
3520,27,0.999512
3530,24,0.999517
3540,20,0.999521
3550,14,0.999524
3560,22,0.999528
3570,19,0.999532
3580,16,0.999535
3590,21,0.999539
3600,18,0.999543
3610,16,0.999546
3620,26,0.999551
3630,14,0.999554
3640,19,0.999558
3650,16,0.999561
3660,17,0.999564
3670,23,0.999569
3680,15,0.999572
3690,13,0.999574
3700,16,0.999578
3710,15,0.999581
3720,15,0.999584
3730,16,0.999587
3740,19,0.999591
3750,9,0.999593
3760,15,0.999596
3770,13,0.999598
3780,8,0.999600
3790,9,0.999602
3800,7,0.999603
3810,8,0.999605
3820,10,0.999606
3830,10,0.999609
3840,8,0.999610
3850,11,0.999612
3860,7,0.999614
3870,12,0.999616
3880,7,0.999618
3890,8,0.999619
3900,5,0.999620
3910,14,0.999623
3920,10,0.999625
3930,4,0.999626
3940,5,0.999627
3950,9,0.999629
3960,8,0.999630
3970,8,0.999632
