#latency,cnt,cdf
0,167049,0.087930
10,1502,0.088720
20,148,0.088798
30,376,0.088996
40,7815,0.093110
50,832,0.093548
60,91,0.093595
70,108,0.093652
80,1549,0.094468
90,360,0.094657
100,1336,0.095360
110,48875,0.121087
120,33048,0.138482
130,2273,0.139679
140,8908,0.144368
150,67577,0.179938
160,2287,0.181142
170,6567,0.184599
180,107134,0.240991
190,87509,0.287053
200,199158,0.391884
210,42039,0.414012
220,108685,0.471220
230,79617,0.513128
240,150073,0.592122
250,74330,0.631247
260,78257,0.672439
270,127669,0.739641
280,21663,0.751043
290,109783,0.808830
300,19061,0.818863
310,84787,0.863492
320,48520,0.889032
330,26708,0.903090
340,82328,0.946425
350,14094,0.953844
360,10868,0.959564
370,3401,0.961354
380,8637,0.965901
390,22645,0.977820
400,19617,0.988146
410,6254,0.991438
420,3620,0.993344
430,1761,0.994270
440,4049,0.996402
450,529,0.996680
460,421,0.996902
470,163,0.996988
480,925,0.997474
490,659,0.997821
500,107,0.997878
510,56,0.997907
520,45,0.997931
530,53,0.997959
540,36,0.997978
550,49,0.998003
560,83,0.998047
570,60,0.998079
580,106,0.998135
590,27,0.998149
600,31,0.998165
610,30,0.998181
620,58,0.998211
630,67,0.998247
640,32,0.998263
650,20,0.998274
660,17,0.998283
670,14,0.998290
680,23,0.998302
690,20,0.998313
700,25,0.998326
710,19,0.998336
720,14,0.998344
730,16,0.998352
740,22,0.998363
750,31,0.998380
760,24,0.998392
770,26,0.998406
780,17,0.998415
790,21,0.998426
800,15,0.998434
810,20,0.998445
820,17,0.998453
830,21,0.998465
840,29,0.998480
850,24,0.998492
860,20,0.998503
870,29,0.998518
880,14,0.998526
890,20,0.998536
900,18,0.998546
910,20,0.998556
920,17,0.998565
930,15,0.998573
940,19,0.998583
950,23,0.998595
960,13,0.998602
970,20,0.998612
980,18,0.998622
990,23,0.998634
1000,18,0.998644
1010,27,0.998658
1020,11,0.998664
1030,13,0.998670
1040,20,0.998681
1050,12,0.998687
1060,19,0.998697
1070,15,0.998705
1080,19,0.998715
1090,14,0.998722
1100,15,0.998730
1110,10,0.998736
1120,15,0.998744
1130,12,0.998750
1140,9,0.998755
1150,12,0.998761
1160,13,0.998768
1170,19,0.998778
1180,10,0.998783
1190,10,0.998788
1200,16,0.998797
1210,7,0.998800
1220,14,0.998808
1230,6,0.998811
1240,6,0.998814
1250,8,0.998818
1260,7,0.998822
1270,8,0.998826
1280,9,0.998831
1290,6,0.998834
1300,9,0.998839
1310,7,0.998843
1320,16,0.998851
1330,16,0.998859
1340,17,0.998868
1350,21,0.998879
1360,9,0.998884
1370,18,0.998894
1380,13,0.998900
1390,14,0.998908
1400,15,0.998916
1410,18,0.998925
1420,14,0.998933
1430,12,0.998939
1440,8,0.998943
1450,10,0.998948
1460,8,0.998953
1470,5,0.998955
1480,8,0.998959
1490,9,0.998964
1500,13,0.998971
1510,7,0.998975
1520,11,0.998980
1530,3,0.998982
1540,7,0.998986
1550,6,0.998989
1560,8,0.998993
1570,4,0.998995
1580,6,0.998998
1590,7,0.999002
1600,9,0.999007
1610,7,0.999010
1620,4,0.999013
1630,3,0.999014
1640,3,0.999016
1650,9,0.999020
1660,7,0.999024
1670,10,0.999029
1680,10,0.999035
1690,4,0.999037
1700,4,0.999039
1710,9,0.999044
1720,2,0.999045
1730,6,0.999048
1740,5,0.999050
1750,6,0.999054
1760,7,0.999057
1770,3,0.999059
1780,5,0.999061
1790,4,0.999064
1800,7,0.999067
1810,11,0.999073
1820,10,0.999078
1830,5,0.999081
1840,6,0.999084
1850,6,0.999087
1860,5,0.999090
1870,9,0.999095
1880,6,0.999098
1890,6,0.999101
1900,19,0.999111
1910,14,0.999118
1920,8,0.999123
1930,2,0.999124
1940,9,0.999128
1950,5,0.999131
1960,3,0.999133
1970,9,0.999137
1980,8,0.999142
1990,6,0.999145
2000,6,0.999148
2010,7,0.999151
2020,4,0.999154
2030,9,0.999158
2040,3,0.999160
2050,3,0.999161
2060,6,0.999165
2070,6,0.999168
2080,1,0.999168
2090,8,0.999173
2100,2,0.999174
2110,2,0.999175
2120,6,0.999178
2130,2,0.999179
2140,5,0.999182
2150,6,0.999185
2160,10,0.999190
2170,7,0.999194
2180,6,0.999197
2190,5,0.999199
2200,3,0.999201
2210,6,0.999204
2220,2,0.999205
2230,1,0.999206
2240,4,0.999208
2250,4,0.999210
2260,4,0.999212
2270,6,0.999215
2280,3,0.999217
2290,10,0.999222
2300,4,0.999224
2310,7,0.999228
2320,6,0.999231
2330,4,0.999233
2340,3,0.999235
2350,4,0.999237
2360,7,0.999240
2370,7,0.999244
2380,5,0.999247
2390,10,0.999252
2400,6,0.999255
2410,10,0.999260
2420,7,0.999264
2430,13,0.999271
2440,2,0.999272
2450,5,0.999275
2460,5,0.999277
2470,9,0.999282
2480,12,0.999288
2490,7,0.999292
2500,6,0.999295
2510,7,0.999299
2520,4,0.999301
2530,5,0.999304
2540,8,0.999308
2550,7,0.999312
2560,8,0.999316
2570,7,0.999319
2580,3,0.999321
2590,6,0.999324
2600,5,0.999327
2610,8,0.999331
2620,7,0.999335
2630,4,0.999337
2640,5,0.999339
2650,9,0.999344
2660,7,0.999348
2670,3,0.999349
2680,6,0.999353
2690,4,0.999355
2700,4,0.999357
2710,2,0.999358
2720,8,0.999362
