#latency,cnt,cdf
20,11,0.000006
30,10959,0.005485
40,4364,0.007667
50,214,0.007774
60,265,0.007907
70,331,0.008072
80,5791,0.010967
90,998,0.011467
100,933,0.011933
110,70965,0.047415
120,71345,0.083088
130,6047,0.086112
140,10933,0.091578
150,125348,0.154252
160,3446,0.155975
170,31080,0.171515
180,95619,0.219324
190,200362,0.319506
200,201450,0.420231
210,44451,0.442456
220,121208,0.503060
230,67414,0.536767
240,127529,0.600532
250,22865,0.611964
260,95776,0.659852
270,131971,0.725838
280,20511,0.736093
290,123003,0.797594
300,15584,0.805386
310,96881,0.853827
320,35646,0.871650
330,49068,0.896184
340,81230,0.936799
350,39052,0.956325
360,14721,0.963686
370,2936,0.965154
380,5148,0.967727
390,11232,0.973343
400,36585,0.991636
410,6284,0.994778
420,3384,0.996470
430,810,0.996875
440,2795,0.998272
450,839,0.998692
460,682,0.999033
470,104,0.999085
480,468,0.999319
490,136,0.999387
500,22,0.999398
510,15,0.999406
520,21,0.999416
530,78,0.999455
540,6,0.999458
550,10,0.999463
560,2,0.999464
570,1,0.999465
580,2,0.999466
590,6,0.999469
600,4,0.999470
610,4,0.999472
620,3,0.999474
630,6,0.999477
640,2,0.999478
660,3,0.999479
680,2,0.999480
690,1,0.999481
700,2,0.999482
710,1,0.999483
740,3,0.999484
760,1,0.999484
780,1,0.999485
790,1,0.999485
800,1,0.999486
820,2,0.999487
840,1,0.999488
850,1,0.999488
860,1,0.999488
890,1,0.999489
920,3,0.999490
940,1,0.999491
960,1,0.999492
970,1,0.999492
980,2,0.999493
990,3,0.999494
1000,1,0.999495
1010,1,0.999496
1020,3,0.999497
1040,1,0.999497
1050,2,0.999498
1070,3,0.999500
1080,1,0.999501
1090,2,0.999502
1100,1,0.999502
1120,2,0.999503
1130,1,0.999503
1150,2,0.999505
1160,1,0.999505
1180,1,0.999506
1190,1,0.999506
1200,1,0.999506
1210,1,0.999507
1230,1,0.999507
1240,4,0.999510
1260,5,0.999512
1270,1,0.999512
1290,2,0.999514
1300,1,0.999514
1310,1,0.999515
1320,4,0.999516
1330,1,0.999517
1340,2,0.999518
1350,3,0.999520
1360,1,0.999520
1370,3,0.999521
1380,1,0.999522
1390,3,0.999524
1410,1,0.999524
