#latency,cnt,cdf
0,2406643,0.253394
10,299294,0.284906
20,51965,0.290377
30,10318,0.291464
40,2578,0.291735
50,6855,0.292457
60,15540,0.294093
70,14759,0.295647
80,15831,0.297314
90,17075,0.299112
100,20177,0.301236
110,23402,0.303700
120,20472,0.305856
130,24617,0.308448
140,16264,0.310160
150,13927,0.311626
160,37420,0.315566
170,43955,0.320194
180,68122,0.327367
190,42262,0.331816
200,29978,0.334973
210,28731,0.337998
220,49965,0.343259
230,57886,0.349353
240,39418,0.353504
250,36433,0.357340
260,36636,0.361197
270,36640,0.365055
280,36697,0.368919
290,36625,0.372775
300,37021,0.376673
310,37058,0.380575
320,37610,0.384535
330,37436,0.388476
340,36860,0.392357
350,36313,0.396181
360,36072,0.399978
370,36291,0.403800
380,36393,0.407631
390,35557,0.411375
400,35305,0.415092
410,34753,0.418751
420,35196,0.422457
430,34871,0.426129
440,34454,0.429756
450,34038,0.433340
460,34243,0.436946
470,33867,0.440511
480,33574,0.444046
490,33189,0.447541
500,33401,0.451058
510,33186,0.454552
520,32717,0.457997
530,32373,0.461405
540,32423,0.464819
550,32174,0.468206
560,31985,0.471574
570,31537,0.474895
580,31493,0.478211
590,31295,0.481506
600,31044,0.484774
610,30980,0.488036
620,30807,0.491280
630,30474,0.494488
640,30150,0.497663
650,30150,0.500837
660,30021,0.503998
670,29679,0.507123
680,29827,0.510263
690,29551,0.513375
700,29335,0.516463
710,29154,0.519533
720,28820,0.522568
730,28712,0.525591
740,28295,0.528570
750,27944,0.531512
760,28329,0.534495
770,27784,0.537420
780,27956,0.540363
790,27718,0.543282
800,27366,0.546163
810,27487,0.549057
820,27256,0.551927
830,26956,0.554765
840,26850,0.557592
850,26747,0.560408
860,26595,0.563209
870,26259,0.565973
880,26156,0.568727
890,25827,0.571447
900,25701,0.574153
910,25315,0.576818
920,25566,0.579510
930,25085,0.582151
940,25120,0.584796
950,24775,0.587404
960,25062,0.590043
970,24666,0.592640
980,24619,0.595232
990,24251,0.597786
1000,24283,0.600343
1010,24127,0.602883
1020,23940,0.605403
1030,23678,0.607897
1040,23267,0.610346
1050,23342,0.612804
1060,23278,0.615255
1070,23121,0.617689
1080,23362,0.620149
1090,22969,0.622567
1100,22954,0.624984
1110,22359,0.627338
1120,22290,0.629685
1130,22261,0.632029
1140,22091,0.634355
1150,21985,0.636670
1160,21906,0.638976
1170,21503,0.641240
1180,21646,0.643519
1190,21433,0.645776
1200,21228,0.648011
1210,21053,0.650228
1220,20865,0.652425
1230,20617,0.654595
1240,20761,0.656781
1250,20812,0.658973
1260,20379,0.661118
1270,20426,0.663269
1280,20207,0.665397
1290,20035,0.667506
1300,20023,0.669614
1310,20015,0.671722
1320,19670,0.673793
1330,19449,0.675840
1340,19447,0.677888
1350,19274,0.679917
1360,19146,0.681933
1370,19163,0.683951
1380,19219,0.685974
1390,18760,0.687950
1400,18675,0.689916
1410,18483,0.691862
1420,18409,0.693800
1430,18361,0.695733
1440,18141,0.697643
1450,18377,0.699578
1460,17961,0.701469
1470,17741,0.703337
1480,18016,0.705234
1490,17492,0.707076
1500,17496,0.708918
1510,17414,0.710752
1520,17300,0.712573
1530,17114,0.714375
1540,16936,0.716158
1550,17164,0.717965
1560,16817,0.719736
1570,16951,0.721521
1580,16486,0.723257
1590,16377,0.724981
1600,16279,0.726695
1610,16268,0.728408
1620,16137,0.730107
1630,16047,0.731796
1640,15891,0.733470
1650,15657,0.735118
1660,15578,0.736758
1670,15756,0.738417
1680,15388,0.740037
1690,15492,0.741669
1700,15479,0.743298
1710,15111,0.744889
1720,15089,0.746478
1730,14798,0.748036
1740,14921,0.749607
1750,14828,0.751168
1760,14679,0.752714
1770,14445,0.754235
1780,14600,0.755772
1790,14422,0.757291
1800,14359,0.758802
1810,14191,0.760297
1820,14214,0.761793
1830,13734,0.763239
1840,14043,0.764718
1850,14041,0.766196
1860,13701,0.767639
1870,13591,0.769070
1880,13508,0.770492
1890,13618,0.771926
1900,13414,0.773338
1910,13421,0.774751
1920,13180,0.776139
