#latency,cnt,cdf
0,1027191,0.102744
10,175744,0.120322
20,55126,0.125836
30,17789,0.127616
40,6439,0.128260
50,21911,0.130451
60,40989,0.134551
70,43491,0.138901
80,40940,0.142996
90,34229,0.146420
100,38762,0.150297
110,59250,0.156224
120,44688,0.160694
130,46613,0.165356
140,33282,0.168685
150,29174,0.171603
160,55221,0.177127
170,61315,0.183260
180,93606,0.192622
190,64567,0.199081
200,51621,0.204244
210,48646,0.209110
220,71462,0.216258
230,76150,0.223875
240,58213,0.229697
250,56318,0.235330
260,56616,0.240993
270,56275,0.246622
280,54455,0.252069
290,53324,0.257403
300,53687,0.262773
310,53909,0.268165
320,53620,0.273528
330,52438,0.278773
340,51002,0.283875
350,50429,0.288919
360,49637,0.293884
370,49540,0.298839
380,48929,0.303733
390,48404,0.308574
400,47451,0.313321
410,46567,0.317979
420,45760,0.322556
430,45125,0.327069
440,44887,0.331559
450,44115,0.335972
460,43633,0.340336
470,43019,0.344639
480,42523,0.348892
490,41947,0.353088
500,41674,0.357256
510,41286,0.361386
520,40699,0.365457
530,40212,0.369479
540,39746,0.373455
550,38819,0.377337
560,38775,0.381216
570,38196,0.385036
580,37887,0.388826
590,37320,0.392559
600,37513,0.396311
610,36373,0.399949
620,36102,0.403560
630,35655,0.407127
640,35634,0.410691
650,35222,0.414214
660,34309,0.417646
670,34422,0.421089
680,34007,0.424490
690,33384,0.427829
700,33206,0.431151
710,32766,0.434428
720,32490,0.437678
730,32180,0.440897
740,31882,0.444086
750,31509,0.447237
760,30951,0.450333
770,31007,0.453435
780,30651,0.456501
790,30324,0.459534
800,29900,0.462524
810,29932,0.465518
820,29638,0.468483
830,29126,0.471396
840,28746,0.474271
850,28889,0.477161
860,28231,0.479985
870,28051,0.482791
880,27997,0.485591
890,27477,0.488339
900,27157,0.491056
910,26974,0.493754
920,26736,0.496428
930,26486,0.499077
940,26510,0.501729
950,26118,0.504341
960,25656,0.506907
970,25233,0.509431
980,25543,0.511986
990,25040,0.514491
1000,24942,0.516986
1010,24749,0.519461
1020,24465,0.521908
1030,24364,0.524345
1040,24114,0.526757
1050,23734,0.529131
1060,23996,0.531531
1070,23458,0.533878
1080,23073,0.536186
1090,23019,0.538488
1100,23014,0.540790
1110,22965,0.543087
1120,22660,0.545354
1130,22408,0.547595
1140,22026,0.549798
1150,22253,0.552024
1160,21889,0.554213
1170,21888,0.556403
1180,21647,0.558568
1190,21261,0.560695
1200,21066,0.562802
1210,20890,0.564891
1220,20789,0.566971
1230,20713,0.569042
1240,20776,0.571120
1250,20475,0.573168
1260,20270,0.575196
1270,20244,0.577221
1280,20106,0.579232
1290,19886,0.581221
1300,19639,0.583185
1310,19397,0.585126
1320,19465,0.587072
1330,19240,0.588997
1340,18984,0.590896
1350,19166,0.592813
1360,18955,0.594709
1370,18747,0.596584
1380,18709,0.598455
1390,18670,0.600323
1400,18454,0.602169
1410,18392,0.604008
1420,17966,0.605805
1430,17954,0.607601
1440,17919,0.609393
1450,17685,0.611162
1460,17798,0.612943
1470,17421,0.614685
1480,17377,0.616423
1490,17141,0.618138
1500,17143,0.619852
1510,17027,0.621556
1520,16952,0.623251
1530,16753,0.624927
1540,16572,0.626584
1550,16631,0.628248
1560,16362,0.629885
1570,16257,0.631511
1580,15806,0.633092
1590,16274,0.634719
1600,15896,0.636309
1610,15855,0.637895
1620,15611,0.639457
1630,15473,0.641004
1640,15627,0.642568
1650,15572,0.644125
1660,15045,0.645630
1670,15108,0.647141
1680,15135,0.648655
1690,14923,0.650148
1700,14739,0.651622
1710,14845,0.653107
1720,14832,0.654590
1730,14549,0.656046
1740,14644,0.657510
1750,14400,0.658951
1760,14483,0.660399
1770,14265,0.661826
1780,13976,0.663224
1790,14167,0.664641
