#latency,cnt,cdf
30,91,0.000009
40,3,0.000009
50,2753,0.000285
60,989822,0.099267
70,140810,0.113348
80,1016796,0.215027
90,38863,0.218914
100,134385,0.232352
110,359750,0.268327
120,648579,0.333185
130,145144,0.347700
140,60786,0.353778
150,124040,0.366182
160,12596,0.367442
170,224641,0.389906
180,378269,0.427733
190,466992,0.474432
200,470413,0.521473
210,433302,0.564803
220,376965,0.602500
230,604225,0.662923
240,350202,0.697943
250,123330,0.710276
260,531650,0.763441
270,595367,0.822977
280,353135,0.858291
290,245918,0.882883
300,167763,0.899659
310,292765,0.928936
320,304829,0.959418
330,101937,0.969612
340,124624,0.982074
350,19318,0.984006
360,30266,0.987033
370,9870,0.988020
380,31658,0.991186
390,51560,0.996342
400,10606,0.997402
410,3868,0.997789
420,4478,0.998237
430,8259,0.999063
440,1448,0.999208
450,335,0.999241
460,408,0.999282
470,1224,0.999404
480,3924,0.999797
490,261,0.999823
500,49,0.999828
510,58,0.999834
520,129,0.999846
530,78,0.999854
540,63,0.999861
550,43,0.999865
560,12,0.999866
570,4,0.999866
580,15,0.999868
590,17,0.999870
600,10,0.999871
610,2,0.999871
620,9,0.999872
630,5,0.999872
640,14,0.999874
650,12,0.999875
660,11,0.999876
670,8,0.999877
680,4,0.999877
690,11,0.999878
700,8,0.999879
710,4,0.999879
720,11,0.999880
730,10,0.999882
740,4,0.999882
750,6,0.999883
760,10,0.999883
770,6,0.999884
780,8,0.999885
790,5,0.999885
800,5,0.999886
810,1,0.999886
820,2,0.999886
830,2,0.999886
840,1,0.999887
850,2,0.999887
860,3,0.999887
890,4,0.999887
900,5,0.999888
910,4,0.999888
920,2,0.999888
930,3,0.999889
940,7,0.999889
950,2,0.999890
960,5,0.999890
970,3,0.999891
980,7,0.999891
990,6,0.999892
1000,8,0.999893
1010,4,0.999893
1020,8,0.999894
1030,1,0.999894
1040,10,0.999895
1050,4,0.999895
1060,4,0.999896
1070,2,0.999896
1080,6,0.999897
1090,5,0.999897
1100,5,0.999897
1110,4,0.999898
1120,4,0.999898
1130,4,0.999899
1140,5,0.999899
1150,3,0.999900
1160,3,0.999900
1170,3,0.999900
1180,3,0.999900
1190,1,0.999901
1200,3,0.999901
1210,4,0.999901
1220,5,0.999902
1230,2,0.999902
1240,5,0.999902
1250,3,0.999903
1260,3,0.999903
1270,1,0.999903
1280,2,0.999903
1290,4,0.999904
1300,8,0.999905
1310,4,0.999905
1320,2,0.999905
1330,3,0.999905
1340,5,0.999906
1350,4,0.999906
1360,5,0.999907
1370,4,0.999907
1380,2,0.999907
1390,5,0.999908
1400,3,0.999908
1410,2,0.999908
1420,7,0.999909
1430,8,0.999910
1440,8,0.999911
1450,10,0.999912
1460,1,0.999912
1470,10,0.999913
1480,10,0.999914
1490,6,0.999914
1500,4,0.999915
1510,4,0.999915
1520,2,0.999915
1530,2,0.999916
1540,4,0.999916
1550,4,0.999916
1560,7,0.999917
1570,2,0.999917
1580,3,0.999918
1590,5,0.999918
1600,1,0.999918
1610,4,0.999919
1620,1,0.999919
1630,4,0.999919
1640,6,0.999920
1650,3,0.999920
1660,4,0.999920
1670,5,0.999921
1680,2,0.999921
1690,2,0.999921
1700,1,0.999921
1710,2,0.999922
1720,5,0.999922
1730,6,0.999923
1740,1,0.999923
1750,7,0.999924
1760,6,0.999924
1770,4,0.999924
1780,2,0.999925
1790,5,0.999925
1800,3,0.999925
1810,4,0.999926
1820,1,0.999926
1830,4,0.999926
1840,6,0.999927
1850,4,0.999927
1860,1,0.999928
1870,5,0.999928
1880,4,0.999928
1890,1,0.999928
1900,5,0.999929
1910,4,0.999929
1920,9,0.999930
1930,5,0.999931
1940,6,0.999931
1950,6,0.999932
1960,6,0.999933
1970,2,0.999933
1980,1,0.999933
2000,3,0.999933
2010,1,0.999933
2020,2,0.999933
2030,2,0.999934
2050,4,0.999934
2060,3,0.999934
2070,10,0.999935
2080,3,0.999936
2090,7,0.999936
2100,2,0.999937
2110,5,0.999937
2120,4,0.999937
2130,11,0.999939
2140,3,0.999939
2150,6,0.999940
2160,7,0.999940
2170,5,0.999941
2180,2,0.999941
2190,4,0.999941
2200,2,0.999942
2210,4,0.999942
2220,3,0.999942
2230,4,0.999943
2240,8,0.999943
2250,7,0.999944
2260,5,0.999945
2270,3,0.999945
2280,5,0.999945
2290,7,0.999946
2300,6,0.999947
2310,6,0.999947
2320,4,0.999948
2330,5,0.999948
2340,3,0.999949
2350,4,0.999949
2360,4,0.999949
2370,5,0.999950
2380,2,0.999950
2390,6,0.999951
2400,7,0.999951
2410,5,0.999952
2420,1,0.999952
2430,5,0.999952
2440,5,0.999953
2450,2,0.999953
2460,3,0.999953
2470,4,0.999954
2480,2,0.999954
2490,1,0.999954
2500,4,0.999955
2510,3,0.999955
2520,1,0.999955
2530,3,0.999955
2540,5,0.999956
2550,4,0.999956
2560,1,0.999956
2570,2,0.999956
2580,4,0.999957
2590,2,0.999957
2600,2,0.999957
2610,2,0.999957
2620,1,0.999958
2630,3,0.999958
2640,5,0.999958
2650,1,0.999958
2660,2,0.999959
2670,2,0.999959
2680,5,0.999959
2690,1,0.999959
2700,2,0.999960
2710,4,0.999960
2720,3,0.999960
2730,4,0.999961
2750,5,0.999961
2760,1,0.999961
2770,1,0.999961
2780,5,0.999962
2790,5,0.999962
2800,3,0.999963
2810,3,0.999963
2820,2,0.999963
2830,1,0.999963
2840,2,0.999964
2850,5,0.999964
2860,1,0.999964
2890,3,0.999964
2900,1,0.999964
2910,2,0.999965
2920,2,0.999965
2930,5,0.999965
2940,2,0.999966
2950,1,0.999966
2970,3,0.999966
2980,2,0.999966
2990,1,0.999966
3000,5,0.999967
3010,5,0.999967
3020,4,0.999968
3030,5,0.999968
3040,4,0.999969
3050,6,0.999969
3060,3,0.999969
3070,8,0.999970
3080,5,0.999971
3090,3,0.999971
3100,4,0.999972
3110,5,0.999972
3120,5,0.999973
3130,4,0.999973
3140,6,0.999973
3150,3,0.999974
3160,7,0.999974
3170,5,0.999975
3180,5,0.999976
3190,8,0.999976
3200,11,0.999977
3210,5,0.999978
3220,10,0.999979
3230,9,0.999980
3240,5,0.999980
3250,5,0.999981
3260,5,0.999981
3270,7,0.999982
3280,2,0.999982
3290,5,0.999983
3310,3,0.999983
3320,3,0.999983
3330,3,0.999984
3340,6,0.999984
3350,1,0.999984
3360,3,0.999985
3370,6,0.999985
3390,1,0.999985
3400,1,0.999985
3410,1,0.999986
3420,2,0.999986
3430,1,0.999986
3450,2,0.999986
3480,1,0.999986
3490,1,0.999986
3500,3,0.999987
3530,2,0.999987
3560,2,0.999987
3570,1,0.999987
3590,2,0.999987
3600,3,0.999987
3610,1,0.999988
3620,1,0.999988
3630,2,0.999988
3650,4,0.999988
3660,2,0.999988
3680,1,0.999989
3710,1,0.999989
3720,2,0.999989
3730,2,0.999989
3770,2,0.999989
3790,2,0.999990
3810,2,0.999990
3840,2,0.999990
3850,1,0.999990
3890,2,0.999990
3900,1,0.999990
3920,1,0.999990
3950,1,0.999991
3960,1,0.999991
3970,1,0.999991
3990,1,0.999991
4040,1,0.999991
4060,1,0.999991
4090,1,0.999991
4100,1,0.999991
4130,1,0.999991
4140,2,0.999991
4160,1,0.999992
4230,2,0.999992
4270,1,0.999992
4290,1,0.999992
4300,1,0.999992
4310,1,0.999992
4380,1,0.999992
4440,2,0.999992
4470,1,0.999993
4480,1,0.999993
4490,1,0.999993
4500,2,0.999993
4540,2,0.999993
4570,1,0.999993
4600,1,0.999993
4630,3,0.999994
4640,2,0.999994
4650,2,0.999994
4660,3,0.999994
4670,1,0.999995
4680,2,0.999995
4690,2,0.999995
4700,1,0.999995
4710,1,0.999995
4720,1,0.999995
4730,2,0.999995
4740,1,0.999996
4760,3,0.999996
4770,1,0.999996
4780,3,0.999996
4790,1,0.999996
4800,1,0.999996
4820,1,0.999996
4830,2,0.999997
4840,4,0.999997
4850,1,0.999997
4860,1,0.999997
4870,2,0.999997
4880,2,0.999998
4900,2,0.999998
4910,3,0.999998
4930,1,0.999998
4940,1,0.999998
4960,2,0.999999
4970,2,0.999999
4980,1,0.999999
5030,1,0.999999
5070,1,0.999999
5100,1,0.999999
5120,1,0.999999
5340,1,0.999999
5370,1,1.000000
5390,1,1.000000
5580,1,1.000000
5620,1,1.000000
5860,1,1.000000
6350,1,1.000000
