#latency,cnt,cdf
30,2,0.000001
40,137,0.000073
50,37,0.000093
60,24,0.000105
70,386,0.000308
80,3110,0.001946
90,2250,0.003130
100,511,0.003399
110,36156,0.022433
120,96973,0.073482
130,6851,0.077088
140,7616,0.081098
150,119374,0.143939
160,6145,0.147174
170,5610,0.150128
180,30312,0.166085
190,85228,0.210951
200,167041,0.298886
210,68017,0.334692
220,135096,0.405810
230,71301,0.443345
240,171184,0.533461
250,27462,0.547918
260,105112,0.603252
270,156651,0.685717
280,33979,0.703605
290,145212,0.780048
300,19628,0.790381
310,99834,0.842936
320,45901,0.867100
330,56186,0.896678
340,76741,0.937076
350,31561,0.953691
360,14711,0.961435
370,5049,0.964093
380,4899,0.966672
390,13102,0.973569
400,30282,0.989510
410,6381,0.992870
420,4578,0.995280
430,1047,0.995831
440,2518,0.997156
450,505,0.997422
460,527,0.997699
470,110,0.997757
480,467,0.998003
490,87,0.998049
500,74,0.998088
510,50,0.998114
520,41,0.998136
530,75,0.998175
540,31,0.998192
550,27,0.998206
560,37,0.998225
570,39,0.998246
580,31,0.998262
590,29,0.998278
600,37,0.998297
610,40,0.998318
620,26,0.998332
630,43,0.998354
640,53,0.998382
650,29,0.998398
660,25,0.998411
670,33,0.998428
680,26,0.998442
690,23,0.998454
700,22,0.998465
710,37,0.998485
720,17,0.998494
730,21,0.998505
740,21,0.998516
750,27,0.998530
760,21,0.998541
770,11,0.998547
780,20,0.998558
790,16,0.998566
800,12,0.998572
810,22,0.998584
820,25,0.998597
830,15,0.998605
840,14,0.998612
850,17,0.998621
860,19,0.998631
870,12,0.998638
880,13,0.998644
890,16,0.998653
900,24,0.998666
910,18,0.998675
920,18,0.998684
930,10,0.998690
940,16,0.998698
950,26,0.998712
960,21,0.998723
970,16,0.998731
980,17,0.998740
990,18,0.998750
1000,21,0.998761
1010,21,0.998772
1020,14,0.998779
1030,10,0.998784
1040,13,0.998791
1050,21,0.998802
1060,6,0.998806
1070,18,0.998815
1080,14,0.998822
1090,12,0.998829
1100,16,0.998837
1110,16,0.998846
1120,12,0.998852
1130,18,0.998861
1140,14,0.998869
1150,12,0.998875
1160,12,0.998881
1170,17,0.998890
1180,12,0.998897
1190,7,0.998900
1200,12,0.998907
1210,17,0.998916
1220,9,0.998920
1230,16,0.998929
1240,15,0.998937
1250,17,0.998946
1260,10,0.998951
1270,10,0.998956
1280,10,0.998961
1290,14,0.998969
1300,11,0.998975
1310,12,0.998981
1320,15,0.998989
1330,8,0.998993
1340,12,0.998999
1350,13,0.999006
1360,7,0.999010
1370,7,0.999013
1380,16,0.999022
1390,10,0.999027
1400,13,0.999034
1410,10,0.999039
1420,7,0.999043
1430,9,0.999048
1440,4,0.999050
1450,4,0.999052
1460,12,0.999058
1470,6,0.999061
1480,15,0.999069
1490,8,0.999074
1500,7,0.999077
1510,13,0.999084
1520,7,0.999088
1530,11,0.999093
1540,9,0.999098
1550,4,0.999100
1560,10,0.999106
1570,8,0.999110
1580,7,0.999114
1590,13,0.999120
1600,7,0.999124
1610,8,0.999128
1620,9,0.999133
1630,7,0.999137
1640,6,0.999140
1650,9,0.999145
1660,10,0.999150
1670,7,0.999153
1680,5,0.999156
1690,4,0.999158
1700,5,0.999161
1710,7,0.999165
1720,9,0.999169
1730,10,0.999175
1740,8,0.999179
1750,9,0.999184
1760,6,0.999187
1770,6,0.999190
1780,6,0.999193
1790,9,0.999198
1800,10,0.999203
1810,9,0.999208
1820,3,0.999209
1830,9,0.999214
1840,12,0.999220
1850,11,0.999226
1860,7,0.999230
1870,6,0.999233
1880,6,0.999236
1890,8,0.999240
1900,4,0.999242
1910,4,0.999245
1920,7,0.999248
1930,7,0.999252
1940,12,0.999258
1950,8,0.999262
1960,9,0.999267
1970,9,0.999272
1980,7,0.999276
1990,6,0.999279
2000,7,0.999282
2010,5,0.999285
2020,7,0.999289
2030,6,0.999292
2040,9,0.999297
2050,7,0.999300
2060,9,0.999305
2070,6,0.999308
2080,9,0.999313
2090,7,0.999317
2100,5,0.999319
2110,5,0.999322
2120,9,0.999327
2130,10,0.999332
2140,4,0.999334
2150,8,0.999338
2160,6,0.999341
2170,4,0.999344
2180,7,0.999347
2190,3,0.999349
2200,2,0.999350
2210,8,0.999354
2220,4,0.999356
2230,2,0.999357
2240,5,0.999360
2250,4,0.999362
2260,5,0.999365
2270,7,0.999368
2280,8,0.999372
2290,11,0.999378
2300,6,0.999381
2310,5,0.999384
2320,6,0.999387
2330,9,0.999392
2340,7,0.999396
2350,4,0.999398
2360,5,0.999400
2370,3,0.999402
2380,5,0.999405
2390,8,0.999409
2400,8,0.999413
2410,7,0.999417
2420,5,0.999419
2430,7,0.999423
2440,14,0.999430
2450,7,0.999434
2460,5,0.999437
2470,6,0.999440
2480,8,0.999444
2490,8,0.999448
2500,6,0.999451
2510,10,0.999457
2520,12,0.999463
2530,15,0.999471
2540,10,0.999476
2550,9,0.999481
2560,5,0.999484
2570,6,0.999487
2580,8,0.999491
2590,7,0.999495
2600,7,0.999498
2610,6,0.999501
2620,12,0.999508
2630,1,0.999508
2640,5,0.999511
2650,3,0.999513
2660,7,0.999516
2670,5,0.999519
2680,8,0.999523
2690,7,0.999527
2700,6,0.999530
2710,7,0.999534
2720,9,0.999538
2730,8,0.999543
2740,8,0.999547
2750,10,0.999552
2760,7,0.999556
2770,7,0.999559
2780,4,0.999561
2790,3,0.999563
2800,7,0.999567
2810,2,0.999568
2820,2,0.999569
2830,5,0.999572
2840,3,0.999573
2850,4,0.999575
2860,6,0.999578
2870,8,0.999583
2880,7,0.999586
2890,2,0.999587
2900,7,0.999591
2910,3,0.999593
2920,3,0.999594
2930,6,0.999597
2940,4,0.999599
2950,7,0.999603
2960,5,0.999606
2970,6,0.999609
2980,1,0.999609
2990,6,0.999613
3000,12,0.999619
3010,4,0.999621
3020,8,0.999625
3030,8,0.999629
3040,5,0.999632
3050,9,0.999637
3060,5,0.999639
3070,8,0.999644
3080,6,0.999647
3090,7,0.999650
3100,3,0.999652
3110,7,0.999656
3120,5,0.999658
3130,6,0.999662
3140,2,0.999663
3150,5,0.999665
3160,8,0.999669
3170,3,0.999671
3180,4,0.999673
3190,5,0.999676
3200,7,0.999679
3210,4,0.999682
3220,2,0.999683
3230,5,0.999685
3240,7,0.999689
3250,4,0.999691
3260,6,0.999694
3270,3,0.999696
3280,10,0.999701
3290,2,0.999702
3300,2,0.999703
3310,1,0.999704
3320,8,0.999708
3330,5,0.999710
3340,4,0.999713
3350,4,0.999715
3360,1,0.999715
3370,3,0.999717
3380,4,0.999719
3390,2,0.999720
3400,2,0.999721
3410,5,0.999724
3420,5,0.999726
3430,4,0.999728
3440,6,0.999732
3450,8,0.999736
3460,3,0.999737
3470,3,0.999739
3480,8,0.999743
3490,6,0.999746
3500,9,0.999751
3510,8,0.999755
3520,7,0.999759
3530,2,0.999760
3540,8,0.999764
3550,4,0.999766
3560,8,0.999770
3570,3,0.999772
3580,3,0.999774
3590,7,0.999777
3600,7,0.999781
3610,7,0.999785
3620,3,0.999786
3630,5,0.999789
3640,4,0.999791
3650,5,0.999794
3660,2,0.999795
3670,3,0.999796
3680,3,0.999798
3690,5,0.999801
3710,1,0.999801
3720,3,0.999803
3730,1,0.999803
3740,4,0.999805
3750,3,0.999807
3760,5,0.999809
3770,1,0.999810
3780,3,0.999812
3790,3,0.999813
3800,3,0.999815
3810,3,0.999816
3830,3,0.999818
3840,2,0.999819
3850,2,0.999820
3860,1,0.999820
3880,5,0.999823
3890,3,0.999825
3900,4,0.999827
3910,5,0.999829
3920,1,0.999830
3930,1,0.999830
3940,3,0.999832
3950,6,0.999835
3970,4,0.999837
3980,2,0.999838
3990,1,0.999839
4000,2,0.999840
4010,2,0.999841
4020,8,0.999845
