#latency,cnt,cdf
0,4101,0.000410
10,837,0.000494
20,247,0.000519
30,92,0.000528
40,42,0.000532
50,8722,0.001404
60,26704,0.004075
70,26840,0.006759
80,30774,0.009836
90,25114,0.012347
100,29294,0.015277
110,41390,0.019416
120,36066,0.023022
130,38560,0.026878
140,29290,0.029807
150,26218,0.032429
160,27874,0.035217
170,30399,0.038256
180,43633,0.042620
190,38586,0.046478
200,34267,0.049905
210,33398,0.053245
220,35401,0.056785
230,37716,0.060557
240,35070,0.064064
250,36004,0.067664
260,36283,0.071292
270,36496,0.074942
280,36324,0.078574
290,36618,0.082236
300,37024,0.085938
310,37088,0.089647
320,37278,0.093375
330,37848,0.097160
340,37380,0.100898
350,37280,0.104626
360,37246,0.108350
370,37308,0.112081
380,37435,0.115825
390,37576,0.119582
400,37302,0.123313
410,37416,0.127054
420,37425,0.130797
430,37392,0.134536
440,37511,0.138287
450,37161,0.142003
460,37228,0.145726
470,37576,0.149484
480,37106,0.153194
490,37237,0.156918
500,37336,0.160651
510,36931,0.164345
520,36907,0.168035
530,36781,0.171713
540,36813,0.175395
550,37190,0.179114
560,36876,0.182801
570,36928,0.186494
580,36718,0.190166
590,36823,0.193848
600,36663,0.197514
610,36975,0.201212
620,36864,0.204898
630,36318,0.208530
640,36539,0.212184
650,36203,0.215804
660,36257,0.219430
670,36057,0.223036
680,36112,0.226647
690,36171,0.230264
700,35895,0.233854
710,35767,0.237430
720,35877,0.241018
730,35690,0.244587
740,35775,0.248165
750,35846,0.251749
760,35889,0.255338
770,35725,0.258911
780,35652,0.262476
790,35751,0.266051
800,35734,0.269624
810,35285,0.273153
820,35660,0.276719
830,35416,0.280260
840,35422,0.283803
850,35046,0.287307
860,35000,0.290807
870,34879,0.294295
880,34914,0.297786
890,35004,0.301287
900,34501,0.304737
910,34649,0.308202
920,34533,0.311655
930,34207,0.315076
940,34084,0.318484
950,34313,0.321916
960,34164,0.325332
970,34354,0.328767
980,34010,0.332168
990,33684,0.335537
1000,33735,0.338910
1010,33611,0.342271
1020,33561,0.345627
1030,33310,0.348958
1040,33342,0.352293
1050,33278,0.355620
1060,33272,0.358948
1070,33148,0.362262
1080,32867,0.365549
1090,32784,0.368828
1100,32625,0.372090
1110,32620,0.375352
1120,32430,0.378595
1130,32768,0.381872
1140,32093,0.385081
1150,32545,0.388336
1160,32020,0.391538
1170,32195,0.394757
1180,32058,0.397963
1190,32017,0.401165
1200,31848,0.404350
1210,31893,0.407539
1220,31437,0.410683
1230,31352,0.413818
1240,31380,0.416956
1250,31219,0.420078
1260,30939,0.423172
1270,31314,0.426303
1280,31054,0.429408
1290,31048,0.432513
1300,31198,0.435633
1310,30818,0.438715
1320,30267,0.441741
1330,30505,0.444792
1340,30553,0.447847
1350,30640,0.450911
1360,30205,0.453932
1370,30143,0.456946
1380,30089,0.459955
1390,29864,0.462941
1400,29730,0.465914
1410,29761,0.468890
1420,29609,0.471851
1430,29315,0.474783
1440,29211,0.477704
1450,28861,0.480590
1460,28935,0.483484
1470,28959,0.486379
1480,28490,0.489228
1490,28592,0.492088
1500,28463,0.494934
1510,28429,0.497777
1520,28315,0.500608
1530,28161,0.503425
1540,27876,0.506212
1550,27701,0.508982
1560,27349,0.511717
1570,27571,0.514474
1580,27673,0.517242
1590,26963,0.519938
1600,27188,0.522657
1610,26880,0.525345
1620,26795,0.528024
1630,26303,0.530654
1640,26694,0.533324
1650,26514,0.535975
1660,26404,0.538616
1670,26470,0.541263
1680,25874,0.543850
1690,26250,0.546475
1700,26045,0.549080
1710,25913,0.551671
1720,25754,0.554246
1730,25763,0.556823
1740,25464,0.559369
1750,25297,0.561899
1760,25389,0.564438
1770,24772,0.566915
1780,24683,0.569383
1790,24812,0.571864
1800,24362,0.574300
1810,24384,0.576739
1820,24320,0.579171
1830,24306,0.581601
1840,24380,0.584039
1850,24206,0.586460
1860,23948,0.588855
1870,23804,0.591235
1880,23506,0.593586
1890,23839,0.595970
1900,23573,0.598327
1910,23464,0.600673
1920,23103,0.602984
1930,23281,0.605312
1940,22967,0.607609
1950,22677,0.609876
1960,22710,0.612147
1970,22178,0.614365
1980,22466,0.616612
1990,22414,0.618853
2000,21951,0.621048
2010,22029,0.623251
2020,21816,0.625433
2030,21687,0.627601
2040,21968,0.629798
2050,21739,0.631972
2060,21416,0.634114
2070,21167,0.636230
2080,21430,0.638373
2090,21237,0.640497
2100,20902,0.642587
2110,21190,0.644706
2120,21027,0.646809
2130,20613,0.648870
2140,20678,0.650938
2150,20575,0.652996
2160,20528,0.655048
2170,20286,0.657077
2180,20377,0.659115
2190,19975,0.661112
2200,19545,0.663067
2210,19756,0.665042
2220,19396,0.666982
2230,19564,0.668938
2240,19270,0.670865
2250,19509,0.672816
2260,19402,0.674756
2270,19096,0.676666
2280,19041,0.678570
2290,18976,0.680468
2300,18921,0.682360
2310,18809,0.684241
2320,18702,0.686111
2330,18452,0.687956
2340,18469,0.689803
2350,18350,0.691638
2360,18118,0.693450
2370,18306,0.695280
2380,18006,0.697081
2390,17845,0.698866
2400,17754,0.700641
2410,17610,0.702402
2420,17540,0.704156
2430,17589,0.705915
2440,17582,0.707673
2450,17153,0.709388
2460,17189,0.711107
2470,17359,0.712843
2480,17043,0.714547
2490,16833,0.716231
2500,16635,0.717894
2510,16806,0.719575
2520,16627,0.721238
2530,16541,0.722892
2540,16466,0.724538
