#latency,cnt,cdf
0,76,0.000076
10,8,0.000084
40,7,0.000091
70,74,0.000165
80,465,0.000630
90,493,0.001123
100,62,0.001185
110,6253,0.007437
120,17444,0.024877
130,1455,0.026332
140,1319,0.027650
150,21665,0.049311
160,2671,0.051982
170,2818,0.054799
180,17406,0.072202
190,39301,0.111495
200,54960,0.166444
210,41722,0.208157
220,69663,0.277806
230,45178,0.322975
240,92227,0.415184
250,25316,0.440495
260,73038,0.513518
270,74146,0.587649
280,29625,0.617269
290,85241,0.702492
300,16368,0.718857
310,65885,0.784729
320,27441,0.812165
330,37093,0.849250
340,46676,0.895917
350,23501,0.919413
360,16636,0.936046
370,7066,0.943110
380,4075,0.947185
390,9387,0.956570
400,16349,0.972915
410,5607,0.978521
420,6157,0.984677
430,1516,0.986193
440,1827,0.988019
450,599,0.988618
460,591,0.989209
470,199,0.989408
480,376,0.989784
490,137,0.989921
500,134,0.990055
510,101,0.990156
520,92,0.990248
530,97,0.990345
540,75,0.990420
550,81,0.990501
560,71,0.990572
570,86,0.990658
580,102,0.990760
590,111,0.990871
600,105,0.990976
610,116,0.991092
620,113,0.991205
630,117,0.991322
640,120,0.991442
650,87,0.991529
660,89,0.991618
670,102,0.991720
680,104,0.991824
690,80,0.991904
700,100,0.992004
710,73,0.992077
720,79,0.992156
730,90,0.992246
740,94,0.992340
750,86,0.992426
760,77,0.992503
770,77,0.992579
780,66,0.992645
790,85,0.992730
800,74,0.992804
810,74,0.992878
820,64,0.992942
830,41,0.992983
840,58,0.993041
850,60,0.993101
860,67,0.993168
870,67,0.993235
880,73,0.993308
890,69,0.993377
900,63,0.993440
910,84,0.993524
920,67,0.993591
930,63,0.993654
940,46,0.993700
950,79,0.993779
960,64,0.993843
970,84,0.993927
980,75,0.994002
990,90,0.994092
1000,71,0.994163
1010,79,0.994242
1020,83,0.994325
1030,72,0.994397
1040,78,0.994475
1050,67,0.994542
1060,74,0.994616
1070,80,0.994696
1080,79,0.994775
1090,70,0.994845
1100,71,0.994916
1110,57,0.994973
1120,77,0.995050
1130,55,0.995105
1140,73,0.995178
1150,74,0.995252
1160,45,0.995297
1170,67,0.995364
1180,68,0.995432
1190,55,0.995487
1200,54,0.995541
1210,56,0.995597
1220,49,0.995646
1230,38,0.995684
1240,33,0.995717
1250,39,0.995756
1260,41,0.995797
1270,35,0.995832
1280,29,0.995861
1290,39,0.995900
1300,34,0.995934
1310,30,0.995964
1320,32,0.995996
1330,25,0.996021
1340,36,0.996057
1350,33,0.996090
1360,34,0.996124
1370,40,0.996164
1380,27,0.996191
1390,21,0.996212
1400,35,0.996247
1410,21,0.996268
1420,23,0.996291
1430,11,0.996302
1440,25,0.996327
1450,17,0.996344
1460,18,0.996362
1470,21,0.996383
1480,19,0.996402
1490,16,0.996418
1500,16,0.996434
1510,34,0.996468
1520,18,0.996486
1530,11,0.996497
1540,11,0.996508
1550,7,0.996515
1560,17,0.996532
1570,14,0.996546
1580,13,0.996559
1590,16,0.996575
1600,16,0.996591
1610,22,0.996613
1620,16,0.996629
1630,10,0.996639
