#latency,cnt,cdf
0,136,0.000072
10,1,0.000072
40,14,0.000080
50,1,0.000080
60,31,0.000096
70,132,0.000166
80,1645,0.001032
90,245,0.001161
100,292,0.001315
110,26555,0.015299
120,22023,0.026896
130,2177,0.028042
140,5687,0.031037
150,44553,0.054498
160,2099,0.055604
170,8228,0.059936
180,68446,0.095980
190,66856,0.131186
200,144527,0.207293
210,53260,0.235339
220,156944,0.317985
230,108657,0.375203
240,151064,0.454752
250,46457,0.479216
260,111138,0.537741
270,187245,0.636343
280,29274,0.651758
290,160246,0.736143
300,27236,0.750485
310,117684,0.812457
320,72578,0.850676
330,36893,0.870104
340,116516,0.931460
350,18260,0.941076
360,15682,0.949334
370,4418,0.951660
380,6698,0.955187
390,29885,0.970925
400,30385,0.986925
410,9395,0.991873
420,3644,0.993791
430,1717,0.994696
440,3508,0.996543
450,502,0.996807
460,559,0.997102
470,159,0.997185
480,895,0.997657
490,465,0.997901
500,73,0.997940
510,65,0.997974
520,80,0.998016
530,67,0.998052
540,33,0.998069
550,31,0.998085
560,53,0.998113
570,59,0.998144
580,41,0.998166
590,34,0.998184
600,29,0.998199
610,38,0.998219
620,57,0.998249
630,71,0.998286
640,34,0.998304
650,29,0.998320
660,32,0.998336
670,35,0.998355
680,26,0.998369
690,30,0.998384
700,29,0.998400
710,30,0.998415
720,25,0.998429
730,33,0.998446
740,19,0.998456
750,15,0.998464
760,26,0.998478
770,14,0.998485
780,32,0.998502
790,19,0.998512
800,23,0.998524
810,26,0.998538
820,22,0.998549
830,15,0.998557
840,26,0.998571
850,16,0.998579
860,32,0.998596
870,14,0.998603
880,28,0.998618
890,35,0.998637
900,29,0.998652
910,31,0.998668
920,34,0.998686
930,33,0.998704
940,26,0.998717
950,26,0.998731
960,34,0.998749
970,28,0.998764
980,30,0.998779
990,32,0.998796
1000,30,0.998812
1010,44,0.998835
1020,39,0.998856
1030,27,0.998870
1040,33,0.998887
1050,23,0.998899
1060,26,0.998913
1070,29,0.998928
1080,25,0.998942
1090,25,0.998955
1100,17,0.998964
1110,17,0.998973
1120,20,0.998983
1130,24,0.998996
1140,23,0.999008
1150,7,0.999012
1160,14,0.999019
1170,19,0.999029
1180,8,0.999033
1190,11,0.999039
1200,8,0.999043
1210,13,0.999050
1220,7,0.999054
1230,13,0.999061
1240,13,0.999067
1250,9,0.999072
1260,11,0.999078
1270,13,0.999085
1280,17,0.999094
1290,13,0.999101
1300,8,0.999105
1310,10,0.999110
1320,17,0.999119
1330,10,0.999124
1340,13,0.999131
1350,14,0.999138
1360,10,0.999144
1370,10,0.999149
1380,10,0.999154
1390,10,0.999160
1400,16,0.999168
1410,7,0.999172
1420,9,0.999176
1430,9,0.999181
1440,15,0.999189
1450,10,0.999194
1460,8,0.999198
1470,13,0.999205
1480,12,0.999212
1490,13,0.999219
1500,14,0.999226
1510,11,0.999232
1520,13,0.999239
1530,11,0.999244
1540,4,0.999246
1550,9,0.999251
1560,12,0.999258
1570,13,0.999264
1580,5,0.999267
1590,7,0.999271
1600,9,0.999275
1610,11,0.999281
1620,4,0.999283
1630,7,0.999287
1640,6,0.999290
1650,7,0.999294
1660,11,0.999300
1670,7,0.999303
1680,7,0.999307
1690,2,0.999308
1700,5,0.999311
1710,9,0.999315
1720,7,0.999319
1730,15,0.999327
1740,8,0.999331
1750,6,0.999334
1760,6,0.999338
1770,4,0.999340
1780,10,0.999345
1790,7,0.999349
1800,5,0.999351
1810,4,0.999353
1820,6,0.999357
1830,6,0.999360
1840,8,0.999364
1850,8,0.999368
1860,9,0.999373
1870,8,0.999377
1880,11,0.999383
1890,3,0.999384
1900,8,0.999389
1910,8,0.999393
1920,4,0.999395
1930,10,0.999400
1940,5,0.999403
1950,5,0.999406
1960,8,0.999410
1970,7,0.999413
1980,6,0.999417
1990,6,0.999420
2000,8,0.999424
2010,7,0.999428
2020,5,0.999430
2030,9,0.999435
2040,6,0.999438
2050,5,0.999441
2060,6,0.999444
2070,6,0.999447
2080,8,0.999451
2090,4,0.999453
2100,5,0.999456
2110,4,0.999458
2120,7,0.999462
2130,6,0.999465
2140,8,0.999469
2150,9,0.999474
2160,5,0.999477
2170,6,0.999480
2180,1,0.999480
2190,4,0.999482
2200,7,0.999486
2210,4,0.999488
2220,7,0.999492
2230,6,0.999495
2240,3,0.999497
2250,12,0.999503
2260,4,0.999505
2270,6,0.999508
2280,9,0.999513
2290,4,0.999515
2300,8,0.999519
2310,3,0.999521
2320,6,0.999524
2330,6,0.999527
2340,4,0.999529
2350,5,0.999532
2360,6,0.999535
2370,2,0.999536
2380,5,0.999539
2390,4,0.999541
2400,8,0.999545
2410,2,0.999546
2420,1,0.999547
2430,2,0.999548
2450,6,0.999551
2460,4,0.999553
2470,7,0.999557
2480,5,0.999559
2490,7,0.999563
2500,3,0.999565
2510,7,0.999568
2520,4,0.999570
2530,5,0.999573
2540,6,0.999576
2550,4,0.999578
2560,4,0.999580
2570,5,0.999583
2580,6,0.999586
2590,8,0.999590
2600,1,0.999591
2610,6,0.999594
2620,3,0.999596
2630,5,0.999598
2640,6,0.999601
2650,8,0.999606
2660,6,0.999609
2670,6,0.999612
2680,7,0.999616
2690,2,0.999617
2700,8,0.999621
2710,4,0.999623
2720,7,0.999627
2730,4,0.999629
2740,3,0.999630
2750,5,0.999633
2760,7,0.999637
2770,2,0.999638
