#latency,cnt,cdf
0,909596,0.181955
10,1904,0.182335
20,489,0.182433
30,15730,0.185580
40,191,0.185618
50,7267,0.187072
60,478154,0.282721
70,68845,0.296493
80,486169,0.393746
90,14913,0.396729
100,147759,0.426286
110,121831,0.450657
120,375284,0.525729
130,151717,0.556078
140,53994,0.566879
150,102860,0.587455
160,23121,0.592080
170,339191,0.659931
180,160358,0.692009
190,357814,0.763586
200,134553,0.790502
210,39951,0.798493
220,70807,0.812658
230,299623,0.872594
240,89235,0.890444
250,49422,0.900331
260,54524,0.911238
270,62599,0.923760
280,35253,0.930812
290,43327,0.939479
300,32842,0.946048
310,50724,0.956195
320,31074,0.962411
330,29568,0.968326
340,23166,0.972960
350,18941,0.976749
360,14397,0.979629
370,11652,0.981960
380,14716,0.984904
390,11273,0.987159
400,7670,0.988693
410,6713,0.990036
420,7428,0.991522
430,4135,0.992349
440,4021,0.993153
450,3189,0.993791
460,3107,0.994413
470,2682,0.994949
480,2147,0.995379
490,1763,0.995731
500,1737,0.996079
510,1708,0.996421
520,1321,0.996685
530,1369,0.996959
540,850,0.997129
550,774,0.997283
560,506,0.997385
570,517,0.997488
580,598,0.997608
590,471,0.997702
600,593,0.997821
610,276,0.997876
620,209,0.997918
630,204,0.997958
640,285,0.998015
650,322,0.998080
660,162,0.998112
670,144,0.998141
680,141,0.998169
690,161,0.998201
700,113,0.998224
710,107,0.998245
720,117,0.998269
730,105,0.998290
740,90,0.998308
750,85,0.998325
760,81,0.998341
770,86,0.998358
780,70,0.998372
790,100,0.998392
800,83,0.998409
810,73,0.998424
820,66,0.998437
830,86,0.998454
840,64,0.998467
850,74,0.998482
860,67,0.998495
870,65,0.998508
880,66,0.998521
890,55,0.998532
900,73,0.998547
910,71,0.998561
920,59,0.998573
930,40,0.998581
940,46,0.998590
950,26,0.998595
960,47,0.998605
970,41,0.998613
980,40,0.998621
990,42,0.998629
1000,32,0.998636
1010,32,0.998642
1020,66,0.998655
1030,65,0.998668
1040,65,0.998681
1050,66,0.998694
1060,68,0.998708
1070,53,0.998719
1080,49,0.998728
1090,58,0.998740
1100,70,0.998754
1110,54,0.998765
1120,61,0.998777
1130,47,0.998786
1140,49,0.998796
1150,28,0.998802
1160,46,0.998811
1170,34,0.998818
1180,35,0.998825
1190,27,0.998830
1200,29,0.998836
1210,27,0.998841
1220,31,0.998848
1230,30,0.998854
1240,32,0.998860
1250,26,0.998865
1260,24,0.998870
1270,18,0.998874
1280,33,0.998880
1290,21,0.998884
1300,26,0.998890
1310,21,0.998894
1320,21,0.998898
1330,19,0.998902
1340,17,0.998905
1350,21,0.998909
1360,22,0.998914
1370,22,0.998918
1380,23,0.998923
1390,27,0.998928
1400,19,0.998932
1410,14,0.998935
1420,20,0.998939
1430,19,0.998943
1440,16,0.998946
1450,11,0.998948
1460,26,0.998953
1470,19,0.998957
1480,20,0.998961
1490,20,0.998965
1500,11,0.998967
1510,16,0.998970
1520,19,0.998974
1530,24,0.998979
1540,13,0.998982
1550,17,0.998985
1560,14,0.998988
1570,15,0.998991
1580,22,0.998995
1590,20,0.998999
1600,16,0.999002
1610,24,0.999007
1620,15,0.999010
1630,15,0.999013
1640,23,0.999018
1650,22,0.999022
1660,19,0.999026
1670,20,0.999030
1680,25,0.999035
1690,18,0.999039
1700,15,0.999042
1710,17,0.999045
1720,15,0.999048
1730,25,0.999053
1740,12,0.999055
1750,15,0.999058
1760,15,0.999061
1770,23,0.999066
1780,33,0.999073
1790,21,0.999077
1800,56,0.999088
1810,44,0.999097
1820,34,0.999104
1830,32,0.999110
1840,34,0.999117
1850,30,0.999123
1860,34,0.999130
1870,36,0.999137
1880,25,0.999142
1890,32,0.999148
1900,17,0.999152
1910,17,0.999155
1920,18,0.999159
1930,24,0.999163
1940,37,0.999171
1950,29,0.999177
1960,35,0.999184
1970,21,0.999188
1980,23,0.999192
1990,26,0.999198
2000,30,0.999204
2010,19,0.999207
2020,28,0.999213
2030,22,0.999217
2040,18,0.999221
2050,13,0.999224
2060,16,0.999227
2070,21,0.999231
2080,34,0.999238
2090,18,0.999241
2100,14,0.999244
2110,17,0.999248
2120,10,0.999250
2130,11,0.999252
2140,22,0.999256
2150,22,0.999261
2160,27,0.999266
2170,11,0.999268
2180,24,0.999273
2190,22,0.999277
2200,20,0.999281
2210,20,0.999285
2220,15,0.999288
2230,19,0.999292
2240,21,0.999296
2250,23,0.999301
2260,20,0.999305
2270,24,0.999310
2280,14,0.999313
2290,23,0.999317
2300,16,0.999320
2310,15,0.999323
2320,19,0.999327
2330,17,0.999331
2340,15,0.999334
2350,16,0.999337
2360,18,0.999340
2370,20,0.999344
2380,26,0.999350
2390,21,0.999354
2400,15,0.999357
2410,11,0.999359
2420,16,0.999362
2430,14,0.999365
2440,22,0.999370
2450,9,0.999371
2460,19,0.999375
2470,19,0.999379
2480,11,0.999381
2490,15,0.999384
2500,14,0.999387
2510,16,0.999390
2520,11,0.999392
2530,9,0.999394
2540,16,0.999397
2550,14,0.999400
2560,14,0.999403
2570,9,0.999405
2580,18,0.999408
2590,18,0.999412
2600,12,0.999414
2610,12,0.999417
2620,8,0.999418
2630,14,0.999421
2640,12,0.999424
2650,18,0.999427
2660,13,0.999430
2670,18,0.999433
2680,10,0.999435
2690,11,0.999438
2700,8,0.999439
2710,10,0.999441
2720,13,0.999444
2730,20,0.999448
2740,15,0.999451
2750,18,0.999454
2760,17,0.999458
2770,13,0.999460
2780,10,0.999462
2790,19,0.999466
2800,8,0.999468
2810,15,0.999471
2820,10,0.999473
2830,16,0.999476
2840,17,0.999479
2850,12,0.999482
2860,10,0.999484
2870,13,0.999486
2880,15,0.999489
2890,7,0.999491
2900,11,0.999493
2910,26,0.999498
2920,10,0.999500
2930,14,0.999503
2940,14,0.999506
2950,9,0.999507
2960,17,0.999511
2970,19,0.999515
2980,12,0.999517
2990,13,0.999520
3000,15,0.999523
3010,13,0.999525
3020,16,0.999529
3030,23,0.999533
3040,13,0.999536
3050,20,0.999540
3060,25,0.999545
3070,10,0.999547
3080,17,0.999550
3090,18,0.999554
3100,9,0.999556
3110,11,0.999558
3120,7,0.999559
3130,12,0.999561
3140,17,0.999565
3150,18,0.999569
3160,14,0.999571
3170,17,0.999575
3180,11,0.999577
3190,8,0.999579
3200,11,0.999581
3210,21,0.999585
3220,19,0.999589
3230,10,0.999591
3240,9,0.999593
3250,12,0.999595
3260,11,0.999597
3270,9,0.999599
3280,10,0.999601
3290,12,0.999603
3300,12,0.999606
3310,16,0.999609
3320,14,0.999612
3330,8,0.999613
3340,17,0.999617
3350,15,0.999620
3360,18,0.999623
3370,10,0.999625
3380,19,0.999629
3390,8,0.999631
3400,11,0.999633
3410,10,0.999635
3420,11,0.999637
3430,11,0.999639
3440,14,0.999642
3450,12,0.999645
3460,12,0.999647
3470,8,0.999649
3480,10,0.999651
3490,7,0.999652
3500,7,0.999653
3510,5,0.999654
3520,14,0.999657
3530,11,0.999659
3540,8,0.999661
3550,7,0.999662
3560,15,0.999665
3570,7,0.999667
3580,12,0.999669
3590,9,0.999671
3600,10,0.999673
3610,9,0.999675
3620,5,0.999676
3630,8,0.999677
3640,18,0.999681
3650,8,0.999683
3660,4,0.999683
3670,7,0.999685
3680,12,0.999687
3690,6,0.999688
3700,6,0.999690
3710,6,0.999691
3720,9,0.999693
3730,5,0.999694
3740,5,0.999695
3750,10,0.999697
3760,6,0.999698
3770,5,0.999699
3780,4,0.999700
3800,5,0.999701
3810,5,0.999702
3820,2,0.999702
3830,5,0.999703
3840,1,0.999703
3850,1,0.999703
3860,4,0.999704
3870,2,0.999705
3880,3,0.999705
3890,3,0.999706
3900,3,0.999706
3910,7,0.999708
3920,3,0.999708
3930,4,0.999709
3940,2,0.999710
3950,3,0.999710
3960,1,0.999710
3970,3,0.999711
3980,2,0.999711
3990,2,0.999712
4000,4,0.999713
4010,2,0.999713
4020,3,0.999714
4030,4,0.999714
4040,2,0.999715
4050,3,0.999715
4060,3,0.999716
4070,2,0.999716
4080,4,0.999717
4090,4,0.999718
4100,6,0.999719
4110,3,0.999720
4120,3,0.999720
4130,5,0.999721
4140,2,0.999722
4150,5,0.999723
4160,2,0.999723
4170,3,0.999724
4190,1,0.999724
4200,2,0.999724
4210,1,0.999725
4220,2,0.999725
4230,3,0.999726
4240,6,0.999727
4250,6,0.999728
4260,3,0.999729
4270,4,0.999729
4280,2,0.999730
4290,4,0.999731
4300,4,0.999731
4310,3,0.999732
4320,5,0.999733
4330,6,0.999734
4340,1,0.999734
4350,5,0.999735
4360,2,0.999736
4370,6,0.999737
4380,4,0.999738
4390,6,0.999739
4400,3,0.999740
4410,5,0.999741
4420,2,0.999741
4430,5,0.999742
4440,4,0.999743
4450,1,0.999743
4460,5,0.999744
4470,4,0.999745
4480,5,0.999746
4490,3,0.999746
4500,6,0.999748
4510,2,0.999748
4520,6,0.999749
4530,3,0.999750
4540,4,0.999751
4550,9,0.999752
4560,16,0.999756
4570,5,0.999757
4580,11,0.999759
4590,14,0.999762
4600,8,0.999763
4610,25,0.999768
4620,37,0.999776
4630,17,0.999779
4640,10,0.999781
4650,12,0.999783
4660,8,0.999785
4670,15,0.999788
4680,25,0.999793
4690,18,0.999797
4700,14,0.999799
4710,16,0.999803
4720,14,0.999805
4730,7,0.999807
4740,16,0.999810
4750,11,0.999812
4760,13,0.999815
4770,6,0.999816
4780,11,0.999818
4790,12,0.999821
4800,23,0.999825
4810,22,0.999830
4820,28,0.999835
4830,33,0.999842
4840,44,0.999851
4850,49,0.999860
4860,27,0.999866
4870,39,0.999874
4880,28,0.999879
4890,33,0.999886
4900,63,0.999898
4910,37,0.999906
4920,16,0.999909
4930,20,0.999913
4940,24,0.999918
4950,10,0.999920
4960,14,0.999923
4970,19,0.999926
4980,11,0.999929
4990,13,0.999931
5000,11,0.999933
5010,18,0.999937
5020,7,0.999938
5030,21,0.999943
5040,11,0.999945
5050,5,0.999946
5060,7,0.999947
5070,10,0.999949
5080,9,0.999951
5090,6,0.999952
5100,8,0.999954
5110,5,0.999955
5120,3,0.999955
5130,5,0.999956
5140,7,0.999958
5150,2,0.999958
5160,9,0.999960
5170,7,0.999961
5180,5,0.999962
5190,3,0.999963
5200,2,0.999963
5210,3,0.999964
5220,4,0.999965
5230,2,0.999965
5240,2,0.999966
5250,2,0.999966
5260,1,0.999966
5270,7,0.999968
5280,4,0.999968
5290,3,0.999969
5300,3,0.999970
5310,4,0.999970
5330,1,0.999971
5340,5,0.999972
5350,6,0.999973
5360,2,0.999973
5370,2,0.999974
5380,4,0.999974
5390,1,0.999975
5400,3,0.999975
5410,2,0.999976
5420,2,0.999976
5440,4,0.999977
5450,3,0.999977
5460,3,0.999978
5470,2,0.999978
5480,1,0.999979
5490,2,0.999979
5500,4,0.999980
5520,2,0.999980
5530,5,0.999981
5550,3,0.999982
5560,1,0.999982
5570,1,0.999982
5580,4,0.999983
5590,1,0.999983
5600,1,0.999983
5610,3,0.999984
5620,1,0.999984
5630,1,0.999984
5640,1,0.999985
5650,1,0.999985
5660,1,0.999985
5670,1,0.999985
5680,3,0.999986
5700,1,0.999986
5720,3,0.999987
5730,1,0.999987
5750,2,0.999987
5760,4,0.999988
5770,2,0.999988
5790,3,0.999989
5800,1,0.999989
5810,3,0.999990
5820,1,0.999990
5830,1,0.999990
5840,2,0.999991
5850,1,0.999991
5860,1,0.999991
5870,1,0.999991
5880,1,0.999991
5900,3,0.999992
5910,1,0.999992
5920,2,0.999993
5930,1,0.999993
5940,2,0.999993
5950,2,0.999994
5960,1,0.999994
5980,1,0.999994
5990,2,0.999994
6000,1,0.999995
6030,2,0.999995
6050,1,0.999995
6060,1,0.999995
6070,1,0.999996
6080,1,0.999996
6110,1,0.999996
6150,1,0.999996
6170,2,0.999997
6250,1,0.999997
6310,1,0.999997
6320,1,0.999997
6410,2,0.999998
6440,1,0.999998
6540,1,0.999998
6710,1,0.999998
6740,1,0.999998
6800,1,0.999999
6840,1,0.999999
7010,1,0.999999
7160,1,0.999999
7420,1,0.999999
7580,1,1.000000
7610,1,1.000000
9090,1,1.000000
