#latency,cnt,cdf
0,280,0.000029
10,29,0.000033
20,17,0.000034
30,18,0.000036
40,15,0.000038
50,19,0.000040
60,22,0.000042
70,31,0.000045
80,22,0.000048
90,26,0.000050
100,29,0.000053
110,34,0.000057
120,24,0.000060
130,33,0.000063
140,28,0.000066
150,23,0.000068
160,20,0.000071
170,33,0.000074
180,41,0.000078
190,34,0.000082
200,31,0.000085
210,35,0.000089
220,36,0.000093
230,31,0.000096
240,35,0.000100
250,32,0.000103
260,39,0.000107
270,37,0.000111
280,35,0.000115
290,22,0.000117
300,32,0.000120
310,50,0.000126
320,43,0.000130
330,43,0.000135
340,37,0.000139
350,39,0.000143
360,49,0.000148
370,40,0.000152
380,42,0.000156
390,52,0.000162
400,45,0.000167
410,45,0.000171
420,37,0.000175
430,40,0.000180
440,61,0.000186
450,42,0.000190
460,66,0.000197
470,70,0.000205
480,55,0.000211
490,42,0.000215
500,56,0.000221
510,64,0.000228
520,53,0.000233
530,66,0.000240
540,65,0.000247
550,63,0.000254
560,76,0.000262
570,72,0.000269
580,59,0.000275
590,67,0.000282
600,72,0.000290
610,99,0.000300
620,70,0.000308
630,94,0.000318
640,89,0.000327
650,89,0.000336
660,102,0.000347
670,86,0.000356
680,101,0.000367
690,113,0.000379
700,94,0.000389
710,114,0.000401
720,102,0.000411
730,121,0.000424
740,125,0.000437
750,130,0.000451
760,130,0.000465
770,119,0.000477
780,143,0.000492
790,124,0.000505
800,151,0.000521
810,156,0.000538
820,170,0.000556
830,153,0.000572
840,154,0.000588
850,159,0.000605
860,161,0.000622
870,174,0.000640
880,221,0.000663
890,191,0.000683
900,226,0.000707
910,190,0.000727
920,249,0.000753
930,236,0.000778
940,265,0.000806
950,258,0.000833
960,242,0.000859
970,280,0.000888
980,267,0.000916
990,279,0.000946
1000,277,0.000975
1010,285,0.001005
1020,348,0.001042
1030,311,0.001074
1040,330,0.001109
1050,317,0.001142
1060,382,0.001183
1070,368,0.001221
1080,390,0.001262
1090,408,0.001305
1100,410,0.001349
1110,433,0.001394
1120,472,0.001444
1130,463,0.001493
1140,478,0.001543
1150,487,0.001594
1160,499,0.001647
1170,571,0.001707
1180,556,0.001766
1190,581,0.001827
1200,613,0.001891
1210,645,0.001959
1220,712,0.002034
1230,719,0.002110
1240,677,0.002181
1250,701,0.002255
1260,757,0.002335
1270,759,0.002415
1280,802,0.002499
1290,846,0.002588
1300,871,0.002680
1310,876,0.002772
1320,895,0.002866
1330,957,0.002967
1340,1020,0.003075
1350,988,0.003179
1360,1086,0.003293
1370,1003,0.003399
1380,1080,0.003512
1390,1171,0.003636
1400,1139,0.003756
1410,1170,0.003879
1420,1358,0.004022
1430,1243,0.004153
1440,1304,0.004290
1450,1439,0.004442
1460,1407,0.004590
1470,1455,0.004743
1480,1457,0.004896
1490,1547,0.005059
1500,1589,0.005227
1510,1632,0.005398
1520,1650,0.005572
1530,1775,0.005759
1540,1757,0.005944
1550,1797,0.006133
1560,1850,0.006328
1570,1918,0.006530
1580,2085,0.006750
1590,1970,0.006957
1600,2141,0.007183
1610,2082,0.007402
1620,2221,0.007636
1630,2170,0.007864
1640,2216,0.008098
1650,2259,0.008335
1660,2376,0.008586
1670,2450,0.008844
1680,2379,0.009094
1690,2525,0.009360
1700,2458,0.009619
1710,2547,0.009887
1720,2549,0.010156
1730,2554,0.010424
1740,2631,0.010702
1750,2848,0.011001
1760,2831,0.011300
1770,2867,0.011601
1780,3098,0.011928
1790,3052,0.012249
1800,3069,0.012572
1810,3085,0.012897
1820,3272,0.013242
1830,3220,0.013581
1840,3295,0.013928
1850,3407,0.014287
1860,3520,0.014657
1870,3471,0.015023
1880,3667,0.015409
1890,3672,0.015796
1900,3785,0.016194
1910,3838,0.016598
1920,3854,0.017004
1930,3886,0.017413
1940,4056,0.017840
1950,4108,0.018273
1960,4082,0.018703
1970,4283,0.019154
1980,4275,0.019604
1990,4420,0.020069
2000,4506,0.020544
2010,4467,0.021014
2020,4526,0.021491
2030,4769,0.021993
2040,4732,0.022491
2050,4774,0.022994
2060,4885,0.023509
2070,5054,0.024041
2080,5045,0.024572
2090,5159,0.025115
2100,5047,0.025647
2110,5253,0.026200
2120,5386,0.026767
2130,5566,0.027353
2140,5631,0.027946
2150,5584,0.028534
2160,5632,0.029127
2170,5733,0.029731
2180,5793,0.030341
2190,5908,0.030963
2200,6081,0.031604
2210,6244,0.032261
2220,6205,0.032914
2230,6272,0.033575
2240,6398,0.034249
2250,6464,0.034929
2260,6537,0.035618
2270,6685,0.036322
2280,6938,0.037052
2290,6929,0.037782
2300,7118,0.038532
2310,7216,0.039291
2320,7419,0.040073
2330,7435,0.040856
2340,7504,0.041646
2350,7680,0.042455
