#latency,cnt,cdf
20,8,0.000001
30,193,0.000021
40,4,0.000022
50,27188,0.002883
60,1271715,0.136744
70,110610,0.148386
80,1288245,0.283986
90,25892,0.286712
100,97673,0.296993
110,414418,0.340614
120,705004,0.414823
130,398974,0.456818
140,78887,0.465122
150,612919,0.529638
160,146105,0.545017
170,413950,0.588589
180,596454,0.651371
190,368770,0.690188
200,748697,0.768995
210,95905,0.779090
220,356733,0.816640
230,155624,0.833021
240,265497,0.860967
250,268835,0.889264
260,158606,0.905959
270,238381,0.931051
280,65626,0.937959
290,82123,0.946603
300,78560,0.954872
310,169646,0.972729
320,67066,0.979788
330,39799,0.983978
340,24968,0.986606
350,32677,0.990045
360,14859,0.991609
370,11560,0.992826
380,18269,0.994749
390,8338,0.995627
400,5503,0.996206
410,4621,0.996692
420,5516,0.997273
430,3176,0.997607
440,2126,0.997831
450,1898,0.998031
460,1804,0.998221
470,1550,0.998384
480,1318,0.998523
490,923,0.998620
500,751,0.998699
510,577,0.998760
520,531,0.998816
530,649,0.998884
540,341,0.998920
550,214,0.998942
560,175,0.998961
570,213,0.998983
580,186,0.999003
590,138,0.999017
600,138,0.999032
610,86,0.999041
620,112,0.999053
630,103,0.999063
640,108,0.999075
650,109,0.999086
660,121,0.999099
670,86,0.999108
680,89,0.999117
690,88,0.999127
700,108,0.999138
710,92,0.999148
720,99,0.999158
730,90,0.999168
740,92,0.999177
750,91,0.999187
760,98,0.999197
770,72,0.999205
780,68,0.999212
790,88,0.999221
800,83,0.999230
810,100,0.999240
820,92,0.999250
830,74,0.999258
840,63,0.999265
850,85,0.999273
860,69,0.999281
870,60,0.999287
880,83,0.999296
890,73,0.999304
900,61,0.999310
910,43,0.999314
920,61,0.999321
930,47,0.999326
940,45,0.999331
950,55,0.999336
960,47,0.999341
970,56,0.999347
980,55,0.999353
990,46,0.999358
1000,45,0.999363
1010,45,0.999367
1020,40,0.999371
1030,36,0.999375
1040,36,0.999379
1050,45,0.999384
1060,43,0.999388
1070,44,0.999393
1080,24,0.999395
1090,35,0.999399
1100,39,0.999403
1110,44,0.999408
1120,37,0.999412
1130,37,0.999416
1140,31,0.999419
1150,32,0.999422
1160,36,0.999426
1170,36,0.999430
1180,40,0.999434
1190,33,0.999438
1200,33,0.999441
1210,36,0.999445
1220,30,0.999448
1230,34,0.999452
1240,22,0.999454
1250,26,0.999457
1260,34,0.999460
1270,28,0.999463
1280,33,0.999467
1290,25,0.999469
1300,32,0.999473
1310,23,0.999475
1320,32,0.999478
1330,30,0.999482
1340,34,0.999485
1350,39,0.999489
1360,29,0.999492
1370,28,0.999495
1380,26,0.999498
1390,26,0.999501
1400,22,0.999503
1410,20,0.999505
1420,26,0.999508
1430,21,0.999510
1440,31,0.999513
1450,29,0.999516
1460,15,0.999518
1470,20,0.999520
1480,28,0.999523
1490,25,0.999526
1500,28,0.999529
1510,27,0.999532
1520,26,0.999534
1530,18,0.999536
1540,35,0.999540
1550,26,0.999543
1560,22,0.999545
1570,26,0.999548
1580,23,0.999550
1590,19,0.999552
1600,28,0.999555
1610,24,0.999557
1620,23,0.999560
1630,21,0.999562
1640,23,0.999565
1650,21,0.999567
1660,20,0.999569
1670,20,0.999571
1680,24,0.999573
1690,19,0.999575
1700,28,0.999578
1710,26,0.999581
1720,24,0.999584
1730,18,0.999586
1740,25,0.999588
1750,11,0.999589
1760,22,0.999592
1770,18,0.999594
1780,24,0.999596
1790,26,0.999599
1800,25,0.999601
1810,21,0.999604
1820,25,0.999606
1830,28,0.999609
1840,27,0.999612
1850,23,0.999615
1860,36,0.999618
1870,33,0.999622
1880,38,0.999626
1890,37,0.999630
1900,35,0.999633
1910,33,0.999637
1920,39,0.999641
1930,45,0.999646
1940,36,0.999649
1950,34,0.999653
1960,26,0.999656
1970,25,0.999658
1980,28,0.999661
1990,32,0.999665
2000,29,0.999668
2010,28,0.999671
2020,20,0.999673
2030,20,0.999675
2040,21,0.999677
2050,30,0.999680
2060,23,0.999683
2070,25,0.999685
2080,24,0.999688
2090,15,0.999689
2100,20,0.999692
2110,19,0.999694
2120,20,0.999696
2130,19,0.999698
2140,16,0.999699
2150,14,0.999701
2160,23,0.999703
2170,23,0.999706
2180,22,0.999708
2190,23,0.999710
2200,24,0.999713
2210,25,0.999716
2220,21,0.999718
2230,18,0.999720
2240,19,0.999722
2250,21,0.999724
2260,22,0.999726
2270,20,0.999728
2280,15,0.999730
2290,26,0.999733
2300,22,0.999735
2310,28,0.999738
2320,11,0.999739
2330,20,0.999741
2340,16,0.999743
2350,18,0.999745
2360,26,0.999747
2370,23,0.999750
2380,19,0.999752
2390,24,0.999754
2400,25,0.999757
2410,16,0.999759
2420,22,0.999761
2430,20,0.999763
2440,18,0.999765
2450,19,0.999767
2460,20,0.999769
2470,19,0.999771
2480,16,0.999773
