#latency,cnt,cdf
70,3,0.000000
80,3,0.000001
100,1,0.000001
120,1,0.000001
130,1,0.000001
180,1,0.000001
200,1,0.000001
210,2,0.000001
220,1,0.000001
230,1,0.000002
240,1,0.000002
250,1,0.000002
260,1,0.000002
270,1,0.000002
280,3,0.000002
290,1,0.000002
300,1,0.000002
310,2,0.000003
320,1,0.000003
330,1,0.000003
350,1,0.000003
360,1,0.000003
400,2,0.000003
410,2,0.000003
430,2,0.000004
440,3,0.000004
450,3,0.000004
460,2,0.000004
470,6,0.000005
480,5,0.000006
490,2,0.000006
500,4,0.000006
510,2,0.000006
520,3,0.000007
530,4,0.000007
540,3,0.000007
550,2,0.000007
560,1,0.000008
570,1,0.000008
580,4,0.000008
590,2,0.000008
610,1,0.000008
620,2,0.000009
630,5,0.000009
640,4,0.000009
650,1,0.000010
660,4,0.000010
670,2,0.000010
690,2,0.000010
700,2,0.000011
710,1,0.000011
720,1,0.000011
740,5,0.000011
770,4,0.000012
780,3,0.000012
800,1,0.000012
810,1,0.000012
820,2,0.000012
870,1,0.000012
890,2,0.000013
900,2,0.000013
910,2,0.000013
930,3,0.000013
940,2,0.000014
950,3,0.000014
960,2,0.000014
970,3,0.000014
980,2,0.000015
990,2,0.000015
1000,4,0.000015
1010,1,0.000015
1020,5,0.000016
1030,2,0.000016
1040,1,0.000016
1050,2,0.000016
1060,3,0.000017
1070,3,0.000017
1080,1,0.000017
1090,3,0.000017
1100,2,0.000018
1110,1,0.000018
1120,1,0.000018
1130,3,0.000018
1140,1,0.000018
1150,3,0.000018
1160,2,0.000019
1170,1,0.000019
1200,2,0.000019
1210,1,0.000019
1220,1,0.000019
1230,2,0.000019
1240,2,0.000019
1260,2,0.000020
1270,3,0.000020
1280,4,0.000020
1290,2,0.000021
1300,1,0.000021
1310,3,0.000021
1320,1,0.000021
1330,3,0.000021
1340,8,0.000022
1350,1,0.000022
1360,3,0.000023
1370,2,0.000023
1380,1,0.000023
1390,2,0.000023
1400,4,0.000024
1410,3,0.000024
1420,3,0.000024
1430,3,0.000024
1440,4,0.000025
1450,5,0.000025
1470,5,0.000026
1480,7,0.000026
1490,10,0.000028
1500,3,0.000028
1510,4,0.000028
1520,3,0.000029
1530,5,0.000029
1540,6,0.000030
1550,3,0.000030
1560,5,0.000030
1570,5,0.000031
1580,2,0.000031
1590,3,0.000031
1600,7,0.000032
1610,2,0.000032
1620,9,0.000033
1630,9,0.000034
1640,8,0.000035
1650,3,0.000035
1660,7,0.000036
1670,3,0.000036
1680,5,0.000037
1690,8,0.000038
1700,5,0.000038
1710,5,0.000038
1720,4,0.000039
1730,3,0.000039
1740,3,0.000039
1750,1,0.000040
1760,5,0.000040
1770,3,0.000040
1780,2,0.000041
1790,3,0.000041
1800,7,0.000042
1810,7,0.000042
1820,7,0.000043
1830,10,0.000044
1840,6,0.000045
1850,8,0.000045
1860,9,0.000046
1870,6,0.000047
1880,8,0.000048
1890,11,0.000049
1900,10,0.000050
1910,13,0.000051
1920,14,0.000052
1930,18,0.000054
1940,12,0.000056
1950,8,0.000056
1960,19,0.000058
1970,17,0.000060
1980,16,0.000062
1990,18,0.000063
2000,19,0.000065
2010,23,0.000067
2020,26,0.000070
2030,26,0.000073
2040,24,0.000075
2050,28,0.000078
2060,24,0.000080
2070,34,0.000084
2080,38,0.000087
2090,45,0.000092
2100,29,0.000095
2110,29,0.000098
2120,44,0.000102
2130,39,0.000106
2140,39,0.000110
2150,26,0.000113
2160,40,0.000117
2170,40,0.000121
2180,38,0.000124
2190,45,0.000129
2200,38,0.000133
2210,43,0.000137
2220,42,0.000141
2230,52,0.000146
2240,51,0.000152
2250,54,0.000157
2260,44,0.000161
2270,47,0.000166
2280,54,0.000171
2290,49,0.000176
2300,65,0.000183
2310,64,0.000189
2320,62,0.000195
2330,54,0.000201
2340,73,0.000208
2350,75,0.000216
2360,67,0.000222
2370,74,0.000230
2380,73,0.000237
2390,66,0.000244
2400,75,0.000251
2410,73,0.000258
2420,101,0.000269
2430,108,0.000279
2440,75,0.000287
2450,82,0.000295
2460,87,0.000304
2470,92,0.000313
2480,110,0.000324
2490,107,0.000335
2500,117,0.000346
2510,100,0.000356
2520,119,0.000368
2530,114,0.000380
2540,120,0.000392
2550,140,0.000406
2560,116,0.000417
2570,138,0.000431
2580,137,0.000445
2590,125,0.000457
2600,167,0.000474
2610,152,0.000489
2620,189,0.000508
2630,170,0.000525
2640,167,0.000542
2650,162,0.000558
2660,157,0.000574
2670,171,0.000591
2680,190,0.000610
2690,191,0.000629
2700,214,0.000650
2710,205,0.000671
2720,213,0.000692
2730,225,0.000715
2740,210,0.000736
2750,244,0.000760
2760,212,0.000781
2770,218,0.000803
2780,213,0.000824
2790,242,0.000848
2800,223,0.000871
2810,235,0.000894
2820,228,0.000917
2830,271,0.000944
2840,267,0.000971
2850,309,0.001002
2860,278,0.001030
2870,318,0.001061
2880,305,0.001092
2890,322,0.001124
2900,320,0.001156
2910,324,0.001188
2920,341,0.001222
2930,322,0.001255
2940,359,0.001291
2950,343,0.001325
2960,400,0.001365
2970,386,0.001403
2980,403,0.001444
2990,392,0.001483
3000,396,0.001523
3010,361,0.001559
3020,410,0.001600
3030,411,0.001641
3040,458,0.001687
3050,408,0.001727
3060,416,0.001769
3070,454,0.001814
3080,480,0.001862
3090,469,0.001909
3100,470,0.001956
3110,448,0.002001
3120,500,0.002051
3130,444,0.002096
3140,536,0.002149
3150,486,0.002198
3160,528,0.002251
3170,591,0.002310
3180,559,0.002365
3190,574,0.002423
3200,538,0.002477
3210,594,0.002536
3220,582,0.002594
3230,592,0.002654
3240,652,0.002719
3250,615,0.002780
3260,682,0.002848
3270,596,0.002908
3280,625,0.002970
3290,705,0.003041
3300,669,0.003108
3310,693,0.003177
3320,736,0.003251
3330,708,0.003322
3340,656,0.003387
3350,709,0.003458
3360,707,0.003529
3370,723,0.003601
3380,804,0.003681
3390,767,0.003758
3400,779,0.003836
3410,839,0.003920
3420,765,0.003996
3430,866,0.004083
3440,841,0.004167
3450,843,0.004252
3460,821,0.004334
3470,853,0.004419
3480,884,0.004507
3490,899,0.004597
3500,844,0.004682
3510,935,0.004775
3520,873,0.004862
3530,934,0.004956
3540,967,0.005052
3550,931,0.005146
3560,921,0.005238
3570,997,0.005337
3580,982,0.005436
3590,964,0.005532
3600,1014,0.005633
3610,1058,0.005739
3620,998,0.005839
3630,1013,0.005940
3640,1032,0.006043
3650,1014,0.006145
3660,1035,0.006248
3670,1048,0.006353
3680,1076,0.006461
3690,1066,0.006567
3700,1115,0.006679
3710,997,0.006779
3720,1173,0.006896
3730,1107,0.007007
3740,1169,0.007124
3750,1059,0.007229
3760,1154,0.007345
3770,1139,0.007459
3780,1134,0.007572
3790,1131,0.007685
3800,1239,0.007809
3810,1220,0.007931
3820,1206,0.008052
