#latency,cnt,cdf
0,849,0.000170
10,3,0.000170
30,27,0.000176
40,1,0.000176
50,8646,0.001905
60,755931,0.153064
70,109543,0.174968
80,777032,0.330347
90,20202,0.334386
100,123541,0.359090
110,172841,0.393652
120,607168,0.515064
130,162439,0.547546
140,78573,0.563258
150,161266,0.595505
160,33668,0.602237
170,141235,0.630479
180,170176,0.664508
190,233436,0.711187
200,216114,0.754402
210,67591,0.767918
220,110927,0.790099
230,90859,0.808268
240,121414,0.832546
250,83946,0.849332
260,92142,0.867757
270,103887,0.888531
280,57129,0.899955
290,68361,0.913625
300,53946,0.924412
310,80540,0.940517
320,48165,0.950148
330,41846,0.958516
340,34186,0.965352
350,28670,0.971085
360,19431,0.974970
370,14844,0.977939
380,17301,0.981398
390,15356,0.984469
400,9376,0.986344
410,7374,0.987818
420,7567,0.989331
430,5033,0.990338
440,4442,0.991226
450,3162,0.991858
460,3258,0.992510
470,3019,0.993113
480,3023,0.993718
490,2369,0.994192
500,2396,0.994671
510,1892,0.995049
520,1938,0.995437
530,2215,0.995880
540,1411,0.996162
550,907,0.996343
560,674,0.996478
570,744,0.996627
580,777,0.996782
590,517,0.996885
600,541,0.996994
610,334,0.997060
620,315,0.997123
630,268,0.997177
640,291,0.997235
650,351,0.997305
660,252,0.997356
670,268,0.997409
680,224,0.997454
690,283,0.997511
700,250,0.997561
710,214,0.997603
720,238,0.997651
730,209,0.997693
740,203,0.997733
750,179,0.997769
760,185,0.997806
770,170,0.997840
780,173,0.997875
790,195,0.997914
800,159,0.997946
810,176,0.997981
820,144,0.998010
830,125,0.998035
840,123,0.998059
850,121,0.998083
860,149,0.998113
870,146,0.998142
880,97,0.998162
890,108,0.998183
900,113,0.998206
910,105,0.998227
920,88,0.998245
930,100,0.998264
940,89,0.998282
950,60,0.998294
960,70,0.998308
970,56,0.998320
980,78,0.998335
990,67,0.998348
1000,63,0.998361
1010,71,0.998375
1020,67,0.998389
1030,80,0.998405
1040,96,0.998424
1050,73,0.998438
1060,80,0.998454
1070,61,0.998467
1080,68,0.998480
1090,57,0.998492
1100,64,0.998504
1110,71,0.998519
1120,66,0.998532
1130,56,0.998543
1140,53,0.998554
1150,51,0.998564
1160,56,0.998575
1170,66,0.998588
1180,49,0.998598
1190,58,0.998610
1200,57,0.998621
1210,49,0.998631
1220,39,0.998639
1230,38,0.998646
1240,45,0.998655
1250,34,0.998662
1260,45,0.998671
1270,53,0.998682
1280,43,0.998690
1290,40,0.998698
1300,39,0.998706
1310,45,0.998715
1320,41,0.998723
1330,43,0.998732
1340,34,0.998739
1350,34,0.998745
1360,39,0.998753
1370,47,0.998763
1380,43,0.998771
1390,46,0.998780
1400,36,0.998788
1410,41,0.998796
1420,31,0.998802
1430,42,0.998810
1440,40,0.998818
1450,42,0.998827
1460,35,0.998834
1470,44,0.998843
1480,40,0.998851
1490,44,0.998859
1500,41,0.998868
1510,28,0.998873
1520,41,0.998881
1530,35,0.998888
1540,37,0.998896
1550,36,0.998903
1560,30,0.998909
1570,34,0.998916
1580,40,0.998924
1590,35,0.998931
1600,43,0.998939
1610,43,0.998948
1620,41,0.998956
1630,33,0.998963
1640,33,0.998969
1650,48,0.998979
1660,30,0.998985
1670,32,0.998991
1680,35,0.998998
1690,35,0.999005
1700,24,0.999010
1710,29,0.999016
1720,33,0.999023
1730,38,0.999030
1740,35,0.999037
1750,29,0.999043
1760,31,0.999049
1770,31,0.999055
1780,35,0.999062
1790,35,0.999069
1800,24,0.999074
1810,30,0.999080
1820,34,0.999087
1830,38,0.999095
1840,36,0.999102
1850,27,0.999107
1860,23,0.999112
1870,33,0.999118
1880,31,0.999125
1890,29,0.999130
1900,31,0.999137
1910,31,0.999143
1920,32,0.999149
1930,34,0.999156
1940,27,0.999161
1950,26,0.999167
1960,31,0.999173
1970,38,0.999180
1980,27,0.999186
1990,28,0.999191
2000,31,0.999198
2010,24,0.999202
2020,30,0.999208
2030,27,0.999214
2040,27,0.999219
2050,35,0.999226
2060,29,0.999232
2070,22,0.999236
2080,31,0.999243
