#latency,cnt,cdf
0,1652,0.000165
10,6,0.000166
30,44,0.000170
40,1,0.000170
50,19280,0.002098
60,1544641,0.156562
70,171966,0.173759
80,1556159,0.329375
90,40433,0.333418
100,242790,0.357697
110,418385,0.399536
120,1142560,0.513792
130,341880,0.547980
140,132052,0.561185
150,331132,0.594298
160,63950,0.600693
170,281474,0.628841
180,356568,0.664497
190,455340,0.710031
200,444174,0.754449
210,129906,0.767439
220,226649,0.790104
230,181448,0.808249
240,244823,0.832731
250,170024,0.849734
260,181843,0.867918
270,212311,0.889149
280,114149,0.900564
290,138871,0.914451
300,106054,0.925057
310,165168,0.941573
320,97778,0.951351
330,84418,0.959793
340,68084,0.966601
350,58170,0.972418
360,39415,0.976360
370,29588,0.979319
380,34753,0.982794
390,30804,0.985874
400,18399,0.987714
410,14256,0.989140
420,15031,0.990643
430,9471,0.991590
440,8771,0.992467
450,6256,0.993093
460,6436,0.993736
470,5907,0.994327
480,5799,0.994907
490,4715,0.995378
500,4605,0.995839
510,3763,0.996215
520,3754,0.996591
530,4411,0.997032
540,2687,0.997300
550,1720,0.997472
560,1196,0.997592
570,1451,0.997737
580,1470,0.997884
590,931,0.997977
600,1028,0.998080
610,634,0.998143
620,485,0.998192
630,468,0.998239
640,464,0.998285
650,551,0.998340
660,376,0.998378
670,395,0.998417
680,334,0.998451
690,348,0.998486
700,294,0.998515
710,299,0.998545
720,273,0.998572
730,268,0.998599
740,237,0.998623
750,204,0.998643
760,234,0.998666
770,221,0.998689
780,221,0.998711
790,225,0.998733
800,205,0.998754
810,190,0.998773
820,188,0.998791
830,144,0.998806
840,173,0.998823
850,162,0.998839
860,160,0.998855
870,178,0.998873
880,141,0.998887
890,120,0.998899
900,108,0.998910
910,125,0.998923
920,119,0.998934
930,118,0.998946
940,110,0.998957
950,106,0.998968
960,98,0.998978
970,85,0.998986
980,73,0.998993
990,93,0.999003
1000,93,0.999012
1010,90,0.999021
1020,95,0.999030
1030,107,0.999041
1040,129,0.999054
1050,131,0.999067
1060,140,0.999081
1070,176,0.999099
1080,178,0.999117
1090,134,0.999130
1100,155,0.999146
1110,156,0.999161
1120,145,0.999176
1130,129,0.999188
1140,111,0.999200
1150,85,0.999208
1160,71,0.999215
1170,81,0.999223
1180,77,0.999231
1190,63,0.999237
1200,67,0.999244
1210,70,0.999251
1220,62,0.999257
1230,56,0.999263
1240,68,0.999270
1250,63,0.999276
1260,52,0.999281
1270,49,0.999286
1280,48,0.999291
1290,50,0.999296
1300,57,0.999301
1310,37,0.999305
1320,43,0.999309
1330,52,0.999315
1340,47,0.999319
1350,40,0.999323
1360,45,0.999328
1370,31,0.999331
1380,47,0.999336
1390,56,0.999341
1400,36,0.999345
1410,46,0.999349
1420,28,0.999352
1430,29,0.999355
1440,40,0.999359
1450,36,0.999363
1460,40,0.999367
1470,46,0.999371
1480,32,0.999375
1490,30,0.999378
1500,30,0.999381
1510,46,0.999385
1520,25,0.999388
1530,45,0.999392
1540,38,0.999396
1550,48,0.999401
1560,42,0.999405
1570,38,0.999409
1580,35,0.999412
1590,30,0.999415
1600,32,0.999418
1610,44,0.999423
1620,31,0.999426
1630,45,0.999430
1640,46,0.999435
1650,39,0.999439
1660,40,0.999443
1670,44,0.999447
1680,29,0.999450
1690,43,0.999455
1700,33,0.999458
1710,45,0.999462
1720,22,0.999465
1730,40,0.999469
1740,36,0.999472
1750,52,0.999477
1760,31,0.999480
1770,33,0.999484
1780,42,0.999488
1790,35,0.999492
1800,41,0.999496
1810,32,0.999499
1820,36,0.999502
1830,28,0.999505
1840,33,0.999509
1850,33,0.999512
1860,32,0.999515
1870,39,0.999519
1880,32,0.999522
1890,47,0.999527
1900,51,0.999532
1910,39,0.999536
1920,44,0.999540
1930,40,0.999544
1940,55,0.999550
1950,41,0.999554
1960,41,0.999558
1970,38,0.999562
1980,34,0.999565
1990,35,0.999569
2000,36,0.999572
2010,31,0.999575
2020,41,0.999579
2030,35,0.999583
2040,22,0.999585
2050,30,0.999588
2060,26,0.999591
2070,37,0.999594
2080,31,0.999597
2090,27,0.999600
2100,33,0.999604
2110,33,0.999607
2120,25,0.999609
2130,29,0.999612
2140,31,0.999615
2150,29,0.999618
2160,36,0.999622
2170,33,0.999625
2180,25,0.999628
2190,35,0.999631
2200,28,0.999634
2210,29,0.999637
2220,24,0.999639
2230,34,0.999643
2240,22,0.999645
2250,28,0.999648
2260,33,0.999651
2270,25,0.999653
2280,40,0.999657
2290,35,0.999661
2300,28,0.999664
2310,21,0.999666
2320,28,0.999669
2330,34,0.999672
2340,32,0.999675
2350,36,0.999679
2360,26,0.999681
2370,32,0.999685
2380,27,0.999687
2390,16,0.999689
2400,31,0.999692
2410,25,0.999695
2420,35,0.999698
2430,41,0.999702
2440,20,0.999704
2450,22,0.999706
2460,35,0.999710
2470,34,0.999713
2480,23,0.999716
2490,17,0.999717
2500,29,0.999720
2510,36,0.999724
2520,30,0.999727
2530,30,0.999730
2540,31,0.999733
2550,41,0.999737
2560,26,0.999740
2570,22,0.999742
2580,32,0.999745
2590,23,0.999747
2600,29,0.999750
2610,25,0.999753
2620,28,0.999755
2630,20,0.999757
2640,28,0.999760
2650,26,0.999763
2660,27,0.999766
2670,26,0.999768
2680,28,0.999771
2690,27,0.999774
2700,26,0.999776
2710,38,0.999780
2720,26,0.999783
2730,20,0.999785
2740,27,0.999787
2750,29,0.999790
2760,32,0.999793
2770,25,0.999796
2780,26,0.999798
2790,28,0.999801
2800,26,0.999804
2810,30,0.999807
2820,18,0.999809
2830,15,0.999810
2840,24,0.999813
2850,27,0.999815
2860,22,0.999817
2870,18,0.999819
2880,17,0.999821
2890,28,0.999824
2900,19,0.999826
2910,30,0.999829
2920,25,0.999831
2930,26,0.999834
2940,18,0.999836
2950,23,0.999838
2960,21,0.999840
2970,23,0.999842
2980,19,0.999844
2990,27,0.999847
3000,35,0.999850
3010,22,0.999853
3020,18,0.999854
3030,27,0.999857
3040,22,0.999859
3050,16,0.999861
3060,24,0.999863
3070,15,0.999865
3080,21,0.999867
