#latency,cnt,cdf
0,912302,0.182444
10,939,0.182632
20,304,0.182692
30,13162,0.185324
40,122,0.185349
50,6724,0.186694
60,420513,0.270788
70,16677,0.274124
80,392796,0.352676
90,6847,0.354045
100,194023,0.392846
110,282799,0.449401
120,118853,0.473169
130,332744,0.539712
140,17594,0.543230
150,322811,0.607786
160,20778,0.611942
170,398537,0.691642
180,393272,0.770289
190,314268,0.833137
200,284217,0.889975
210,25354,0.895045
220,15934,0.898232
230,258082,0.949844
240,150918,0.980024
250,6638,0.981352
260,7343,0.982820
270,12854,0.985391
280,3551,0.986101
290,13260,0.988753
300,8532,0.990459
310,5204,0.991500
320,4800,0.992460
330,14873,0.995434
340,295,0.995493
350,523,0.995598
360,355,0.995669
370,240,0.995717
380,8742,0.997465
390,268,0.997518
400,103,0.997539
410,96,0.997558
420,110,0.997580
430,101,0.997600
440,89,0.997618
450,97,0.997638
460,87,0.997655
470,81,0.997671
480,91,0.997689
490,69,0.997703
500,54,0.997714
510,87,0.997731
520,77,0.997747
530,82,0.997763
540,65,0.997776
550,73,0.997791
560,64,0.997804
570,68,0.997817
580,75,0.997832
590,82,0.997849
600,69,0.997862
610,72,0.997877
620,66,0.997890
630,63,0.997903
640,72,0.997917
650,80,0.997933
660,72,0.997947
670,71,0.997962
680,60,0.997974
690,72,0.997988
700,80,0.998004
710,61,0.998016
720,58,0.998028
730,54,0.998039
740,63,0.998051
750,63,0.998064
760,57,0.998075
770,66,0.998088
780,56,0.998100
790,47,0.998109
800,51,0.998119
810,60,0.998131
820,60,0.998143
830,60,0.998155
840,63,0.998168
850,43,0.998176
860,60,0.998188
870,43,0.998197
880,43,0.998206
890,56,0.998217
900,51,0.998227
910,57,0.998238
920,50,0.998248
930,44,0.998257
940,55,0.998268
950,49,0.998278
960,62,0.998290
970,48,0.998300
980,46,0.998309
990,49,0.998319
1000,52,0.998329
1010,52,0.998340
1020,46,0.998349
1030,51,0.998359
1040,37,0.998367
1050,40,0.998375
1060,41,0.998383
1070,48,0.998392
1080,43,0.998401
1090,39,0.998409
1100,39,0.998417
1110,38,0.998424
1120,46,0.998433
1130,43,0.998442
1140,50,0.998452
1150,43,0.998461
1160,39,0.998468
1170,34,0.998475
1180,36,0.998482
1190,27,0.998488
1200,28,0.998493
1210,34,0.998500
1220,29,0.998506
1230,26,0.998511
1240,32,0.998518
1250,23,0.998522
1260,22,0.998527
1270,22,0.998531
1280,20,0.998535
1290,23,0.998540
1300,29,0.998545
1310,12,0.998548
1320,18,0.998551
1330,25,0.998556
1340,24,0.998561
1350,20,0.998565
1360,12,0.998568
1370,20,0.998572
1380,25,0.998577
1390,15,0.998580
1400,21,0.998584
1410,31,0.998590
1420,26,0.998595
1430,20,0.998599
1440,22,0.998604
1450,23,0.998608
1460,16,0.998611
1470,23,0.998616
1480,16,0.998619
1490,15,0.998622
1500,28,0.998628
1510,26,0.998633
1520,19,0.998637
1530,11,0.998639
1540,21,0.998643
1550,18,0.998647
1560,23,0.998651
1570,23,0.998656
1580,22,0.998660
1590,18,0.998664
1600,19,0.998668
1610,19,0.998672
1620,15,0.998675
1630,18,0.998678
1640,23,0.998683
1650,13,0.998685
1660,22,0.998690
1670,28,0.998695
1680,20,0.998699
1690,18,0.998703
1700,17,0.998706
1710,17,0.998710
1720,12,0.998712
1730,18,0.998716
1740,25,0.998721
1750,16,0.998724
1760,24,0.998729
1770,15,0.998732
1780,38,0.998739
1790,44,0.998748
1800,74,0.998763
1810,116,0.998786
1820,108,0.998808
1830,91,0.998826
1840,108,0.998847
1850,65,0.998860
1860,72,0.998875
1870,76,0.998890
1880,47,0.998900
1890,47,0.998909
1900,36,0.998916
1910,27,0.998922
1920,29,0.998927
1930,54,0.998938
1940,91,0.998956
1950,84,0.998973
1960,51,0.998983
1970,62,0.998996
1980,35,0.999003
1990,39,0.999011
2000,59,0.999022
2010,30,0.999028
2020,42,0.999037
2030,34,0.999043
2040,24,0.999048
2050,21,0.999052
2060,20,0.999056
2070,20,0.999061
2080,23,0.999065
2090,17,0.999068
2100,21,0.999073
2110,18,0.999076
2120,32,0.999083
2130,25,0.999088
2140,24,0.999092
2150,20,0.999096
2160,17,0.999100
2170,20,0.999104
2180,21,0.999108
2190,18,0.999112
2200,23,0.999116
2210,26,0.999121
2220,39,0.999129
2230,24,0.999134
2240,36,0.999141
2250,24,0.999146
2260,36,0.999153
2270,37,0.999161
2280,29,0.999166
2290,29,0.999172
2300,24,0.999177
2310,22,0.999181
2320,31,0.999188
2330,25,0.999193
2340,31,0.999199
2350,33,0.999205
2360,17,0.999209
2370,20,0.999213
2380,30,0.999219
2390,25,0.999224
2400,28,0.999229
2410,24,0.999234
2420,19,0.999238
2430,27,0.999243
2440,24,0.999248
2450,24,0.999253
2460,25,0.999258
2470,19,0.999262
2480,14,0.999265
2490,13,0.999267
2500,13,0.999270
2510,17,0.999273
2520,24,0.999278
2530,15,0.999281
2540,17,0.999284
2550,15,0.999287
2560,17,0.999291
2570,15,0.999294
2580,15,0.999297
2590,14,0.999300
2600,17,0.999303
2610,19,0.999307
2620,26,0.999312
2630,14,0.999315
2640,15,0.999318
2650,21,0.999322
2660,14,0.999325
2670,15,0.999328
2680,15,0.999331
2690,19,0.999335
2700,13,0.999337
2710,10,0.999339
2720,17,0.999343
2730,21,0.999347
2740,21,0.999351
2750,7,0.999352
2760,8,0.999354
2770,13,0.999357
2780,11,0.999359
2790,10,0.999361
2800,20,0.999365
2810,11,0.999367
2820,12,0.999369
2830,14,0.999372
2840,8,0.999374
2850,17,0.999377
2860,12,0.999380
2870,20,0.999384
2880,13,0.999386
2890,13,0.999389
2900,17,0.999392
2910,21,0.999396
2920,12,0.999399
2930,16,0.999402
2940,18,0.999406
2950,4,0.999406
2960,14,0.999409
2970,10,0.999411
2980,21,0.999415
2990,11,0.999418
3000,19,0.999421
3010,17,0.999425
3020,21,0.999429
3030,18,0.999433
3040,17,0.999436
3050,12,0.999438
3060,14,0.999441
3070,16,0.999444
3080,11,0.999447
3090,13,0.999449
3100,14,0.999452
3110,12,0.999454
3120,12,0.999457
3130,13,0.999459
3140,17,0.999463
3150,10,0.999465
3160,10,0.999467
3170,17,0.999470
3180,17,0.999474
3190,22,0.999478
3200,11,0.999480
3210,16,0.999483
3220,17,0.999487
3230,14,0.999490
3240,24,0.999494
3250,17,0.999498
3260,15,0.999501
3270,17,0.999504
3280,16,0.999507
3290,7,0.999509
3300,22,0.999513
3310,12,0.999516
3320,18,0.999519
3330,18,0.999523
3340,19,0.999527
3350,11,0.999529
3360,18,0.999532
3370,12,0.999535
3380,13,0.999537
3390,11,0.999540
3400,21,0.999544
3410,9,0.999546
3420,16,0.999549
3430,20,0.999553
3440,18,0.999556
3450,19,0.999560
3460,21,0.999564
3470,13,0.999567
3480,20,0.999571
3490,13,0.999574
3500,15,0.999577
3510,15,0.999580
3520,17,0.999583
3530,15,0.999586
3540,18,0.999590
3550,14,0.999592
3560,15,0.999595
3570,14,0.999598
3580,18,0.999602
3590,18,0.999605
3600,8,0.999607
3610,7,0.999608
3620,12,0.999611
3630,12,0.999613
3640,22,0.999618
3650,16,0.999621
3660,14,0.999624
3670,14,0.999626
3680,4,0.999627
3690,17,0.999631
3700,14,0.999633
3710,8,0.999635
3720,19,0.999639
3730,12,0.999641
3740,16,0.999644
3750,6,0.999646
3760,9,0.999647
3770,8,0.999649
3780,6,0.999650
3790,12,0.999653
3800,9,0.999654
3810,8,0.999656
3820,7,0.999657
3830,9,0.999659
3840,7,0.999661
3850,11,0.999663
3860,14,0.999666
3870,10,0.999668
3880,14,0.999670
3890,5,0.999671
3900,9,0.999673
3910,9,0.999675
3920,11,0.999677
3930,10,0.999679
3940,6,0.999680
3950,15,0.999683
3960,9,0.999685
3970,4,0.999686
3980,8,0.999688
3990,6,0.999689
4000,9,0.999691
4010,6,0.999692
4020,6,0.999693
4030,4,0.999694
4040,2,0.999694
4050,13,0.999697
4060,6,0.999698
4070,7,0.999699
4090,7,0.999701
4100,4,0.999702
4110,9,0.999703
4120,4,0.999704
4130,11,0.999706
4140,6,0.999708
4150,10,0.999710
4160,10,0.999712
4170,8,0.999713
4180,8,0.999715
4190,4,0.999716
4200,12,0.999718
4210,2,0.999718
4220,3,0.999719
4230,9,0.999721
4240,5,0.999722
4250,6,0.999723
4260,3,0.999724
4270,7,0.999725
4280,4,0.999726
4290,3,0.999726
4300,8,0.999728
4310,6,0.999729
4320,10,0.999731
4330,10,0.999733
4340,3,0.999734
4350,6,0.999735
4360,7,0.999736
4370,10,0.999738
4380,8,0.999740
4390,4,0.999741
4400,2,0.999741
4410,8,0.999743
4420,5,0.999744
4430,9,0.999746
4440,12,0.999748
4450,5,0.999749
4460,3,0.999750
4470,7,0.999751
4480,8,0.999753
4490,8,0.999754
4500,4,0.999755
4510,6,0.999756
4520,9,0.999758
4530,7,0.999759
4540,10,0.999761
4550,10,0.999763
4560,8,0.999765
4570,9,0.999767
4580,13,0.999769
4590,12,0.999772
4600,15,0.999775
4610,18,0.999778
4620,18,0.999782
4630,19,0.999786
4640,11,0.999788
4650,15,0.999791
4660,7,0.999792
4670,17,0.999796
4680,13,0.999798
4690,20,0.999802
4700,16,0.999806
4710,15,0.999809
4720,14,0.999811
4730,13,0.999814
4740,11,0.999816
4750,14,0.999819
4760,10,0.999821
4770,15,0.999824
4780,9,0.999826
4790,15,0.999829
4800,18,0.999832
4810,10,0.999834
4820,13,0.999837
4830,10,0.999839
4840,23,0.999844
4850,12,0.999846
4860,8,0.999848
4870,19,0.999851
4880,21,0.999856
4890,17,0.999859
4900,10,0.999861
4910,17,0.999864
4920,11,0.999867
4930,16,0.999870
4940,16,0.999873
4950,11,0.999875
4960,15,0.999878
4970,13,0.999881
4980,13,0.999883
4990,7,0.999885
5000,8,0.999886
5010,12,0.999889
5020,6,0.999890
5030,12,0.999892
5040,18,0.999896
5050,10,0.999898
5060,8,0.999900
5070,5,0.999901
5080,5,0.999902
5090,13,0.999904
5100,8,0.999906
5110,11,0.999908
5120,7,0.999909
5130,8,0.999911
5140,10,0.999913
5150,9,0.999915
5160,9,0.999917
5170,9,0.999918
5180,12,0.999921
5190,6,0.999922
5200,4,0.999923
5210,5,0.999924
5220,4,0.999925
5230,4,0.999925
5240,3,0.999926
5250,7,0.999927
5260,7,0.999929
5270,6,0.999930
5280,4,0.999931
5290,5,0.999932
5300,2,0.999932
5310,5,0.999933
5320,3,0.999934
5330,8,0.999935
5340,4,0.999936
5350,7,0.999938
5360,2,0.999938
5370,4,0.999939
5380,6,0.999940
5390,2,0.999940
5400,5,0.999941
5410,3,0.999942
5420,1,0.999942
5430,2,0.999943
5440,6,0.999944
5450,5,0.999945
5460,7,0.999946
5470,4,0.999947
5480,2,0.999947
5490,3,0.999948
5500,1,0.999948
5510,5,0.999949
5520,1,0.999949
5530,2,0.999950
5540,2,0.999950
5550,4,0.999951
5560,3,0.999952
5570,9,0.999953
5580,1,0.999954
5590,6,0.999955
5600,2,0.999955
5610,3,0.999956
5620,5,0.999957
5630,6,0.999958
5640,3,0.999959
5650,7,0.999960
5660,2,0.999960
5670,3,0.999961
5680,3,0.999962
5690,3,0.999962
5700,4,0.999963
5710,1,0.999963
5720,2,0.999964
5730,2,0.999964
5740,3,0.999965
5750,1,0.999965
5760,3,0.999965
5770,3,0.999966
5780,3,0.999967
5790,3,0.999967
5800,3,0.999968
5810,1,0.999968
5820,1,0.999968
5830,1,0.999968
5840,4,0.999969
5850,1,0.999969
5860,1,0.999970
5870,6,0.999971
5890,1,0.999971
5900,5,0.999972
5910,1,0.999972
5930,4,0.999973
5940,1,0.999973
5950,3,0.999974
5960,2,0.999974
5970,1,0.999974
5980,1,0.999975
5990,5,0.999976
6000,1,0.999976
6010,2,0.999976
6020,2,0.999977
6040,1,0.999977
6050,1,0.999977
6060,1,0.999977
6070,2,0.999978
6080,2,0.999978
6090,1,0.999978
6100,1,0.999978
6110,1,0.999979
6120,1,0.999979
6130,2,0.999979
6140,3,0.999980
6150,3,0.999980
6160,1,0.999981
6180,1,0.999981
6190,1,0.999981
6210,1,0.999981
6220,6,0.999982
6230,3,0.999983
6240,1,0.999983
6250,3,0.999984
6260,1,0.999984
6310,1,0.999984
6320,2,0.999985
6330,2,0.999985
6360,1,0.999985
6390,1,0.999985
6400,1,0.999986
6410,2,0.999986
6420,2,0.999986
6430,1,0.999987
6440,1,0.999987
6480,1,0.999987
6490,1,0.999987
6510,1,0.999987
6520,1,0.999988
6530,1,0.999988
6540,1,0.999988
6550,1,0.999988
6570,1,0.999988
6580,1,0.999989
6590,2,0.999989
6600,1,0.999989
6610,1,0.999989
6640,1,0.999990
6650,2,0.999990
6670,2,0.999990
6730,1,0.999991
6750,1,0.999991
6770,1,0.999991
6780,1,0.999991
6820,2,0.999992
6830,1,0.999992
6850,1,0.999992
6860,1,0.999992
6890,3,0.999993
6980,1,0.999993
7000,1,0.999993
7070,1,0.999993
7080,2,0.999994
7090,1,0.999994
7100,1,0.999994
7110,1,0.999994
7120,1,0.999995
7190,1,0.999995
7260,1,0.999995
7290,1,0.999995
7300,1,0.999995
7630,1,0.999996
7730,1,0.999996
7740,1,0.999996
7770,1,0.999996
7780,1,0.999996
7800,1,0.999997
7820,1,0.999997
7950,1,0.999997
7970,1,0.999997
8120,1,0.999997
8350,1,0.999998
8430,1,0.999998
8880,1,0.999998
8990,1,0.999998
9040,1,0.999998
9120,1,0.999999
9140,1,0.999999
9160,1,0.999999
9640,1,0.999999
9850,1,0.999999
9950,1,1.000000
10190,1,1.000000
10900,1,1.000000
