#latency,cnt,cdf
0,1730850,0.182195
10,835,0.182283
20,323,0.182317
30,26499,0.185106
40,206,0.185128
50,12115,0.186403
60,969831,0.288490
70,32219,0.291882
80,914574,0.388153
90,10323,0.389240
100,321377,0.423069
110,613453,0.487643
120,294145,0.518605
130,584695,0.580152
140,30266,0.583338
150,583161,0.644723
160,37895,0.648712
170,639748,0.716054
180,631848,0.782565
190,558777,0.841383
200,533684,0.897561
210,42438,0.902028
220,53668,0.907677
230,364563,0.946052
240,273968,0.974891
250,24548,0.977475
260,32904,0.980938
270,36172,0.984746
280,8747,0.985667
290,26226,0.988427
300,19725,0.990504
310,23041,0.992929
320,9205,0.993898
330,30201,0.997077
340,539,0.997134
350,2568,0.997404
360,965,0.997506
370,479,0.997556
380,16451,0.999288
390,368,0.999326
400,75,0.999334
410,60,0.999341
420,171,0.999359
430,158,0.999375
440,42,0.999380
450,45,0.999384
460,46,0.999389
470,52,0.999395
480,51,0.999400
490,40,0.999404
500,39,0.999408
510,39,0.999413
520,39,0.999417
530,38,0.999421
540,41,0.999425
550,30,0.999428
560,48,0.999433
570,44,0.999438
580,42,0.999442
590,36,0.999446
600,36,0.999450
610,34,0.999453
620,40,0.999458
630,39,0.999462
640,39,0.999466
650,28,0.999469
660,36,0.999472
670,46,0.999477
680,32,0.999481
690,37,0.999485
700,32,0.999488
710,23,0.999490
720,34,0.999494
730,26,0.999497
740,29,0.999500
750,32,0.999503
760,28,0.999506
770,28,0.999509
780,31,0.999512
790,25,0.999515
800,28,0.999518
810,35,0.999522
820,28,0.999525
830,22,0.999527
840,32,0.999530
850,38,0.999534
860,27,0.999537
870,37,0.999541
880,35,0.999545
890,19,0.999547
900,30,0.999550
910,36,0.999554
920,29,0.999557
930,33,0.999560
940,38,0.999564
950,40,0.999568
960,24,0.999571
970,35,0.999575
980,32,0.999578
990,26,0.999581
1000,24,0.999583
1010,27,0.999586
1020,28,0.999589
1030,25,0.999592
1040,20,0.999594
1050,29,0.999597
1060,37,0.999601
1070,27,0.999603
1080,21,0.999606
1090,23,0.999608
1100,19,0.999610
1110,20,0.999612
1120,25,0.999615
1130,15,0.999616
1140,21,0.999619
1150,16,0.999620
1160,17,0.999622
1170,23,0.999625
1180,19,0.999627
1190,17,0.999628
1200,14,0.999630
1210,12,0.999631
1220,11,0.999632
1230,12,0.999633
1240,19,0.999635
1250,14,0.999637
1260,17,0.999639
1270,16,0.999640
1280,11,0.999642
1290,6,0.999642
1300,10,0.999643
1310,10,0.999644
1320,6,0.999645
1330,10,0.999646
1340,15,0.999648
1350,6,0.999648
1360,10,0.999649
1370,8,0.999650
1380,9,0.999651
1390,6,0.999652
1400,11,0.999653
1410,13,0.999654
1420,10,0.999655
1430,4,0.999656
1440,11,0.999657
1450,11,0.999658
1460,10,0.999659
1470,12,0.999660
1480,11,0.999661
1490,8,0.999662
1500,7,0.999663
1510,9,0.999664
1520,2,0.999664
1530,7,0.999665
1540,1,0.999665
1550,7,0.999666
1560,8,0.999667
1570,10,0.999668
1580,10,0.999669
1590,7,0.999669
1600,6,0.999670
1610,14,0.999672
1620,9,0.999673
1630,9,0.999673
1640,12,0.999675
1650,11,0.999676
1660,6,0.999677
1670,10,0.999678
1680,6,0.999678
1690,6,0.999679
1700,10,0.999680
1710,10,0.999681
1720,7,0.999682
1730,8,0.999683
1740,10,0.999684
1750,6,0.999684
1760,17,0.999686
1770,10,0.999687
1780,10,0.999688
1790,18,0.999690
1800,20,0.999692
1810,20,0.999694
1820,26,0.999697
1830,23,0.999699
1840,16,0.999701
1850,12,0.999702
1860,15,0.999704
1870,25,0.999707
1880,31,0.999710
1890,36,0.999714
1900,33,0.999717
1910,19,0.999719
1920,24,0.999722
1930,24,0.999724
1940,17,0.999726
1950,20,0.999728
1960,24,0.999731
1970,24,0.999733
1980,34,0.999737
1990,24,0.999739
2000,24,0.999742
2010,14,0.999743
2020,8,0.999744
2030,14,0.999745
2040,10,0.999747
2050,6,0.999747
2060,15,0.999749
2070,13,0.999750
2090,8,0.999751
2100,9,0.999752
2110,10,0.999753
2120,6,0.999754
2130,7,0.999754
2140,5,0.999755
2150,13,0.999756
2160,10,0.999757
2170,10,0.999758
2180,7,0.999759
2190,12,0.999760
2200,7,0.999761
2210,6,0.999762
2220,11,0.999763
2230,6,0.999763
2240,10,0.999765
2250,14,0.999766
2260,12,0.999767
2270,17,0.999769
2280,13,0.999770
2290,6,0.999771
2300,12,0.999772
2310,11,0.999774
2320,5,0.999774
2330,11,0.999775
2340,8,0.999776
2350,14,0.999777
2360,8,0.999778
