#latency,cnt,cdf
0,14,0.000001
10,2,0.000002
20,5511,0.000553
30,3116,0.000864
40,954,0.000960
50,215043,0.022464
60,264135,0.048877
70,329085,0.081786
80,237306,0.105517
90,155078,0.121024
100,195635,0.140588
110,424727,0.183061
120,229429,0.206004
130,194005,0.225404
140,176302,0.243034
150,170978,0.260132
160,216334,0.281765
170,224663,0.304232
180,297148,0.333946
190,220131,0.355960
200,179350,0.373895
210,167567,0.390651
220,166700,0.407321
230,160238,0.423345
240,151082,0.438453
250,142987,0.452752
260,139102,0.466662
270,131486,0.479811
280,122921,0.492103
290,117513,0.503854
300,112455,0.515100
310,106911,0.525791
320,102632,0.536054
330,97323,0.545786
340,93315,0.555118
350,87321,0.563850
360,83849,0.572235
370,79696,0.580204
380,76090,0.587813
390,72198,0.595033
400,69410,0.601974
410,66145,0.608589
420,63234,0.614912
430,60110,0.620923
440,58001,0.626723
450,55425,0.632266
460,53238,0.637590
470,50757,0.642665
480,48905,0.647556
490,46416,0.652197
500,44764,0.656674
510,42924,0.660966
520,41087,0.665075
530,39578,0.669033
540,38071,0.672840
550,36629,0.676503
560,34968,0.679999
570,33704,0.683370
580,32580,0.686628
590,31177,0.689745
600,30049,0.692750
610,28746,0.695625
620,27880,0.698413
630,26816,0.701095
640,25941,0.703689
650,24952,0.706184
660,24392,0.708623
670,23697,0.710993
680,22895,0.713282
690,21782,0.715460
700,21432,0.717604
710,20680,0.719672
720,20284,0.721700
730,19424,0.723643
740,18875,0.725530
750,18344,0.727364
760,17852,0.729150
770,17362,0.730886
780,16782,0.732564
790,16344,0.734198
800,15939,0.735792
810,15523,0.737345
820,15006,0.738845
830,14646,0.740310
840,14263,0.741736
850,14129,0.743149
860,13506,0.744500
870,13294,0.745829
880,13011,0.747130
890,12528,0.748383
900,12467,0.749630
910,12205,0.750850
920,11719,0.752022
930,11406,0.753163
940,11206,0.754283
950,11144,0.755398
960,10771,0.756475
970,10605,0.757535
980,10280,0.758563
990,10009,0.759564
1000,9775,0.760542
1010,9423,0.761484
1020,9398,0.762424
1030,9287,0.763352
1040,9123,0.764265
1050,9027,0.765167
1060,8924,0.766060
1070,8670,0.766927
1080,8331,0.767760
1090,8283,0.768588
1100,8043,0.769392
1110,8112,0.770204
1120,8008,0.771004
1130,7856,0.771790
1140,7839,0.772574
1150,7614,0.773335
1160,7588,0.774094
1170,7329,0.774827
1180,7286,0.775556
1190,7147,0.776270
1200,7037,0.776974
1210,7091,0.777683
1220,6928,0.778376
1230,6759,0.779052
1240,6670,0.779719
1250,6625,0.780381
1260,6532,0.781035
1270,6388,0.781673
1280,6249,0.782298
1290,6187,0.782917
1300,6211,0.783538
1310,6061,0.784144
1320,5897,0.784734
1330,5923,0.785326
1340,5785,0.785905
1350,5809,0.786486
1360,5732,0.787059
1370,5484,0.787607
1380,5599,0.788167
1390,5512,0.788718
1400,5412,0.789259
1410,5370,0.789796
1420,5231,0.790320
1430,5271,0.790847
1440,5131,0.791360
1450,5200,0.791880
1460,4994,0.792379
1470,5021,0.792881
1480,4988,0.793380
1490,4985,0.793879
1500,4939,0.794372
1510,4854,0.794858
1520,4858,0.795344
1530,4664,0.795810
1540,4632,0.796273
1550,4599,0.796733
1560,4590,0.797192
1570,4636,0.797656
1580,4521,0.798108
1590,4508,0.798559
1600,4240,0.798983
1610,4266,0.799409
1620,4256,0.799835
1630,4325,0.800267
1640,4237,0.800691
1650,4171,0.801108
1660,4346,0.801543
1670,4054,0.801948
1680,4190,0.802367
1690,4179,0.802785
1700,4154,0.803200
1710,3990,0.803599
1720,4003,0.804000
1730,3933,0.804393
1740,3905,0.804784
1750,3869,0.805170
1760,3819,0.805552
1770,3836,0.805936
1780,3818,0.806318
1790,3814,0.806699
1800,3727,0.807072
1810,3841,0.807456
1820,3753,0.807831
1830,3793,0.808211
1840,3646,0.808575
1850,3665,0.808942
1860,3672,0.809309
1870,3631,0.809672
1880,3576,0.810030
1890,3436,0.810373
1900,3597,0.810733
1910,3529,0.811086
1920,3540,0.811440
1930,3563,0.811796
1940,3461,0.812142
1950,3437,0.812486
1960,3442,0.812830
1970,3429,0.813173
1980,3505,0.813523
1990,3344,0.813858
2000,3285,0.814186
2010,3304,0.814517
2020,3339,0.814851
2030,3350,0.815186
2040,3274,0.815513
2050,3212,0.815834
2060,3262,0.816161
2070,3249,0.816485
2080,3175,0.816803
2090,3185,0.817121
2100,3228,0.817444
2110,3167,0.817761
2120,3192,0.818080
2130,3189,0.818399
2140,3160,0.818715
2150,3036,0.819019
2160,3191,0.819338
2170,3124,0.819650
2180,2995,0.819950
2190,3072,0.820257
2200,3002,0.820557
2210,2987,0.820856
2220,3006,0.821156
2230,3012,0.821458
2240,3041,0.821762
2250,3163,0.822078
2260,2977,0.822376
2270,2933,0.822669
2280,2948,0.822964
2290,3088,0.823273
2300,2960,0.823569
2310,3003,0.823869
2320,2947,0.824163
2330,2933,0.824457
2340,2905,0.824747
2350,2856,0.825033
2360,2844,0.825317
2370,2895,0.825607
2380,2917,0.825899
2390,2777,0.826176
