#latency,cnt,cdf
0,3229836,0.340182
10,288661,0.370585
20,44093,0.375229
30,15644,0.376877
40,8862,0.377810
50,31367,0.381114
60,48404,0.386212
70,54125,0.391913
80,48342,0.397004
90,48017,0.402062
100,53243,0.407670
110,72020,0.415255
120,59899,0.421564
130,62444,0.428141
140,43339,0.432705
150,38169,0.436726
160,68859,0.443978
170,73769,0.451748
180,113531,0.463706
190,72269,0.471317
200,55813,0.477196
210,53239,0.482803
220,80776,0.491311
230,82280,0.499977
240,62171,0.506525
250,58216,0.512657
260,58213,0.518788
270,57241,0.524817
280,56241,0.530740
290,55636,0.536600
300,54913,0.542384
310,54433,0.548117
320,53542,0.553756
330,52525,0.559289
340,51892,0.564754
350,50637,0.570087
360,49924,0.575346
370,49474,0.580557
380,48766,0.585693
390,47743,0.590721
400,46546,0.595624
410,45457,0.600411
420,44577,0.605107
430,44216,0.609764
440,43692,0.614365
450,42829,0.618876
460,42019,0.623302
470,41195,0.627641
480,40639,0.631921
490,40102,0.636145
500,39249,0.640279
510,39021,0.644389
520,38211,0.648413
530,37575,0.652371
540,36871,0.656254
550,36290,0.660077
560,35727,0.663839
570,35350,0.667563
580,35155,0.671265
590,34474,0.674896
600,33578,0.678433
610,33234,0.681933
620,32485,0.685355
630,32127,0.688739
640,31884,0.692097
650,31361,0.695400
660,30820,0.698646
670,30308,0.701838
680,30124,0.705011
690,29528,0.708121
700,28665,0.711140
710,28790,0.714172
720,28278,0.717151
730,27817,0.720081
740,27680,0.722996
750,27296,0.725871
760,27073,0.728722
770,26545,0.731518
780,26050,0.734262
790,25750,0.736974
800,25306,0.739639
810,25365,0.742311
820,24770,0.744920
830,24627,0.747514
840,23953,0.750037
850,23759,0.752539
860,23412,0.755005
870,23119,0.757440
880,22710,0.759832
890,22490,0.762201
900,22364,0.764556
910,22059,0.766879
920,21821,0.769178
930,21259,0.771417
940,21135,0.773643
950,20749,0.775828
960,20611,0.777999
970,20167,0.780123
980,19954,0.782225
990,19602,0.784289
1000,19380,0.786331
1010,19051,0.788337
1020,18869,0.790324
1030,18532,0.792276
1040,18159,0.794189
1050,18354,0.796122
1060,17884,0.798006
1070,17754,0.799876
1080,17538,0.801723
1090,17567,0.803573
1100,17181,0.805383
1110,17099,0.807184
1120,16668,0.808939
1130,16328,0.810659
1140,16185,0.812364
1150,15986,0.814047
1160,15934,0.815726
1170,15655,0.817374
1180,15416,0.818998
1190,15118,0.820590
1200,15173,0.822188
1210,14996,0.823768
1220,14877,0.825335
1230,14562,0.826869
1240,14566,0.828403
1250,14273,0.829906
1260,14137,0.831395
1270,14135,0.832884
1280,13812,0.834339
1290,13439,0.835754
1300,13480,0.837174
1310,13420,0.838587
1320,13348,0.839993
1330,13114,0.841374
1340,12818,0.842724
1350,12742,0.844066
1360,12480,0.845381
1370,12225,0.846668
1380,12244,0.847958
1390,12279,0.849251
1400,11976,0.850513
1410,11685,0.851743
1420,11726,0.852978
1430,11737,0.854215
1440,11382,0.855413
1450,11447,0.856619
1460,11154,0.857794
1470,11023,0.858955
1480,10832,0.860096
1490,10909,0.861245
1500,10723,0.862374
1510,10496,0.863480
1520,10686,0.864605
1530,10143,0.865673
1540,10271,0.866755
1550,10326,0.867843
1560,10014,0.868898
1570,9933,0.869944
1580,9684,0.870964
1590,9703,0.871986
1600,9529,0.872989
1610,9664,0.874007
1620,9423,0.875000
1630,9402,0.875990
1640,9155,0.876954
1650,9274,0.877931
1660,8984,0.878877
1670,8840,0.879808
1680,9130,0.880770
1690,8664,0.881682
1700,8653,0.882594
1710,8396,0.883478
1720,8230,0.884345
1730,8369,0.885226
1740,8277,0.886098
1750,8125,0.886954
