#latency,cnt,cdf
0,1357966,0.135830
10,314972,0.167335
20,81704,0.175507
30,27867,0.178294
40,12381,0.179533
50,24638,0.181997
60,48815,0.186880
70,54013,0.192282
80,56134,0.197897
90,45845,0.202483
100,50722,0.207556
110,75356,0.215094
120,66825,0.221778
130,66879,0.228467
140,56494,0.234118
150,50860,0.239205
160,66782,0.245885
170,78100,0.253697
180,97309,0.263430
190,84376,0.271870
200,70211,0.278893
210,65499,0.285444
220,79040,0.293350
230,90013,0.302354
240,76282,0.309984
250,70206,0.317006
260,69243,0.323932
270,68384,0.330772
280,67018,0.337476
290,65965,0.344074
300,65259,0.350601
310,65074,0.357110
320,64239,0.363536
330,63832,0.369920
340,62178,0.376140
350,62066,0.382348
360,60945,0.388444
370,60416,0.394487
380,60200,0.400508
390,58959,0.406406
400,57767,0.412184
410,56653,0.417850
420,56057,0.423458
430,55792,0.429038
440,54983,0.434538
450,54337,0.439973
460,53440,0.445318
470,52625,0.450582
480,52405,0.455824
490,51542,0.460979
500,50944,0.466075
510,50389,0.471115
520,49288,0.476045
530,48616,0.480908
540,48126,0.485721
550,47890,0.490512
560,47483,0.495261
570,46524,0.499915
580,46009,0.504517
590,45374,0.509055
600,45032,0.513559
610,44402,0.518001
620,43911,0.522393
630,43106,0.526704
640,43339,0.531039
650,42196,0.535260
660,41767,0.539438
670,41070,0.543546
680,40350,0.547582
690,40424,0.551625
700,39767,0.555603
710,39304,0.559534
720,39244,0.563460
730,38969,0.567357
740,38241,0.571182
750,37743,0.574958
760,37144,0.578673
770,37090,0.582383
780,36270,0.586011
790,36186,0.589630
800,35890,0.593220
810,35178,0.596739
820,34860,0.600226
830,34222,0.603649
840,33828,0.607032
850,33408,0.610374
860,33315,0.613706
870,32917,0.616999
880,32767,0.620276
890,32075,0.623484
900,32016,0.626687
910,31208,0.629808
920,31297,0.632939
930,30854,0.636025
940,30935,0.639119
950,30199,0.642140
960,30118,0.645152
970,30048,0.648158
980,29378,0.651096
990,29135,0.654011
1000,28926,0.656904
1010,28536,0.659758
1020,28356,0.662595
1030,27925,0.665388
1040,27968,0.668185
1050,27514,0.670937
1060,27207,0.673659
1070,26834,0.676343
1080,26521,0.678995
1090,26134,0.681609
1100,26182,0.684228
1110,25810,0.686810
1120,25323,0.689343
1130,25117,0.691855
1140,25173,0.694373
1150,25348,0.696908
1160,24501,0.699359
1170,24511,0.701811
1180,24222,0.704234
1190,24152,0.706649
1200,23543,0.709004
1210,23607,0.711366
1220,23057,0.713672
1230,23201,0.715993
1240,22901,0.718283
1250,22833,0.720567
1260,22406,0.722808
1270,22642,0.725073
1280,21926,0.727266
1290,21840,0.729451
1300,21719,0.731623
1310,21473,0.733771
1320,21315,0.735903
1330,21142,0.738018
1340,20935,0.740112
1350,20722,0.742184
1360,20409,0.744226
1370,20321,0.746258
1380,20112,0.748270
1390,20085,0.750279
1400,19455,0.752225
1410,19520,0.754177
1420,19322,0.756110
1430,18881,0.757999
1440,18749,0.759874
1450,18823,0.761757
1460,18523,0.763610
1470,18260,0.765436
1480,18200,0.767256
1490,17932,0.769050
1500,18062,0.770857
1510,17723,0.772629
1520,17546,0.774384
