#latency,cnt,cdf
40,1,0.000000
50,35916,0.003781
60,131703,0.017644
70,150502,0.033486
80,170315,0.051414
90,121492,0.064202
100,119018,0.076731
110,220798,0.099972
120,197238,0.120734
130,157013,0.137261
140,147372,0.152774
150,148835,0.168441
160,146763,0.183889
170,142201,0.198858
180,146013,0.214227
190,141958,0.229170
200,138253,0.243723
210,131143,0.257527
220,126022,0.270793
230,124692,0.283918
240,122823,0.296847
250,121572,0.309644
260,120442,0.322322
270,119218,0.334871
280,119055,0.347403
290,117759,0.359798
300,115317,0.371937
310,113537,0.383888
320,111764,0.395652
330,109742,0.407204
340,108054,0.418578
350,104743,0.429604
360,103000,0.440446
370,99818,0.450953
380,97575,0.461224
390,94991,0.471222
400,93191,0.481032
410,92069,0.490723
420,90150,0.500213
430,87506,0.509424
440,85869,0.518463
450,82818,0.527180
460,81360,0.535744
470,79380,0.544100
480,77858,0.552296
490,75924,0.560287
500,74465,0.568126
510,73218,0.575833
520,72118,0.583424
530,71941,0.590997
540,70764,0.598446
550,70424,0.605859
560,69148,0.613137
570,68376,0.620335
580,67242,0.627413
590,66332,0.634395
600,64202,0.641153
610,64052,0.647895
620,62590,0.654483
630,60997,0.660904
640,59239,0.667140
650,58326,0.673279
660,57113,0.679291
670,56047,0.685191
680,54515,0.690929
690,53488,0.696559
700,52209,0.702055
710,50838,0.707406
720,49587,0.712626
730,48625,0.717744
740,47548,0.722749
750,46800,0.727676
760,45441,0.732459
770,44628,0.737157
780,44362,0.741826
790,43748,0.746431
800,43098,0.750968
810,42367,0.755427
820,42230,0.759873
830,41657,0.764257
840,40547,0.768526
850,39871,0.772722
860,39543,0.776885
870,38360,0.780923
880,37956,0.784918
890,36840,0.788796
900,36168,0.792603
910,35304,0.796319
920,34554,0.799956
930,33786,0.803513
940,33421,0.807031
950,32842,0.810488
960,32188,0.813876
970,31057,0.817145
980,30465,0.820352
990,29941,0.823504
1000,29075,0.826564
1010,28597,0.829574
1020,28052,0.832527
1030,27618,0.835434
1040,27175,0.838295
1050,26832,0.841119
1060,26389,0.843897
1070,26051,0.846639
1080,25768,0.849351
1090,25484,0.852034
1100,24981,0.854663
1110,24532,0.857246
1120,24204,0.859793
1130,23512,0.862268
1140,23239,0.864715
1150,22591,0.867093
1160,22052,0.869414
1170,21676,0.871695
1180,21286,0.873936
1190,20724,0.876118
1200,20594,0.878285
1210,20223,0.880414
1220,19623,0.882480
1230,18978,0.884477
1240,18868,0.886463
1250,18343,0.888394
1260,18107,0.890300
1270,17720,0.892165
1280,17345,0.893991
1290,16834,0.895763
1300,16779,0.897529
1310,16271,0.899242
1320,16098,0.900937
1330,15996,0.902620
1340,15794,0.904283
1350,15226,0.905886
1360,15160,0.907481
1370,15062,0.909067
1380,14501,0.910593
1390,14213,0.912089
1400,14089,0.913572
1410,13666,0.915011
1420,13693,0.916452
1430,13253,0.917847
1440,13207,0.919237
1450,12850,0.920590
1460,12565,0.921913
1470,12219,0.923199
1480,11932,0.924455
1490,12010,0.925719
1500,11547,0.926935
1510,11203,0.928114
1520,10941,0.929265
1530,10802,0.930402
1540,10635,0.931522
1550,10465,0.932624
1560,10299,0.933708
1570,9910,0.934751
1580,9873,0.935790
1590,9830,0.936825
1600,9657,0.937841
1610,9695,0.938862
1620,9456,0.939857
1630,9268,0.940833
1640,9152,0.941796
1650,8753,0.942717
1660,8812,0.943645
1670,8578,0.944548
1680,8259,0.945417
1690,8095,0.946269
1700,8036,0.947115
1710,8010,0.947958
1720,7766,0.948776
1730,7608,0.949577
1740,7680,0.950385
1750,7191,0.951142
1760,6968,0.951876
1770,6856,0.952597
1780,6743,0.953307
1790,6759,0.954018
1800,6543,0.954707
1810,6409,0.955382
1820,6394,0.956055
1830,6356,0.956724
1840,6256,0.957382
1850,6048,0.958019
1860,5831,0.958633
1870,5848,0.959248
1880,5654,0.959844
1890,5678,0.960441
1900,5684,0.961040
1910,5563,0.961625
1920,5342,0.962187
1930,5218,0.962737
1940,5164,0.963280
1950,4949,0.963801
1960,5004,0.964328
1970,4970,0.964851
1980,4795,0.965356
1990,4783,0.965859
2000,4639,0.966348
2010,4424,0.966813
2020,4389,0.967275
2030,4393,0.967738
2040,4202,0.968180
2050,4185,0.968621
