#latency,cnt,cdf
0,3426,0.000361
10,121,0.000373
20,10,0.000374
30,1,0.000375
40,1,0.000375
50,29224,0.003451
60,99644,0.013940
70,112860,0.025820
80,125771,0.039059
90,85732,0.048083
100,87303,0.057273
110,158013,0.073906
120,136421,0.088266
130,112969,0.100158
140,104271,0.111134
150,103990,0.122080
160,104491,0.133079
170,103957,0.144022
180,111561,0.155765
190,107211,0.167051
200,102473,0.177838
210,98537,0.188210
220,96181,0.198334
230,96039,0.208444
240,94586,0.218400
250,92452,0.228132
260,92728,0.237893
270,92755,0.247657
280,92261,0.257368
290,91898,0.267042
300,90105,0.276527
310,89129,0.285909
320,88251,0.295198
330,86527,0.304306
340,85469,0.313303
350,83662,0.322110
360,82629,0.330808
370,81486,0.339385
380,79544,0.347758
390,78636,0.356036
400,78032,0.364250
410,77517,0.372409
420,76106,0.380420
430,74992,0.388314
440,73668,0.396069
450,72260,0.403675
460,70862,0.411134
470,70075,0.418511
480,69209,0.425796
490,67960,0.432950
500,67736,0.440080
510,66186,0.447047
520,65927,0.453987
530,65707,0.460903
540,65632,0.467812
550,65363,0.474692
560,64293,0.481460
570,63574,0.488152
580,63211,0.494806
590,61917,0.501323
600,61052,0.507750
610,60281,0.514095
620,59187,0.520325
630,58575,0.526491
640,57235,0.532516
650,56912,0.538507
660,56134,0.544416
670,56030,0.550314
680,55051,0.556108
690,53881,0.561780
700,53729,0.567436
710,52886,0.573003
720,52008,0.578477
730,51212,0.583868
740,50963,0.589233
750,49809,0.594476
760,49066,0.599641
770,48297,0.604725
780,48133,0.609791
790,48055,0.614850
800,47436,0.619843
810,47111,0.624802
820,46839,0.629732
830,46008,0.634575
840,45343,0.639348
850,44518,0.644034
860,44313,0.648699
870,43587,0.653287
880,43186,0.657833
890,41768,0.662230
900,41346,0.666582
910,41004,0.670898
920,40815,0.675195
930,40355,0.679442
940,39891,0.683641
950,39109,0.687758
960,38693,0.691831
970,38191,0.695851
980,37591,0.699808
990,36736,0.703675
1000,36520,0.707519
1010,36229,0.711333
1020,35550,0.715075
1030,34886,0.718747
1040,34875,0.722418
1050,34134,0.726012
1060,33943,0.729585
1070,33885,0.733151
1080,33539,0.736682
1090,33176,0.740174
1100,32260,0.743570
1110,31604,0.746897
1120,31267,0.750188
1130,30961,0.753447
1140,30518,0.756659
1150,29840,0.759800
1160,30107,0.762970
1170,29157,0.766039
1180,29297,0.769123
1190,28875,0.772162
1200,28784,0.775192
1210,28099,0.778150
1220,27751,0.781071
1230,27137,0.783928
1240,26848,0.786754
1250,26492,0.789542
1260,26277,0.792308
1270,25555,0.794998
1280,25372,0.797669
1290,25353,0.800338
1300,24759,0.802944
1310,24389,0.805511
1320,24665,0.808108
1330,24167,0.810652
1340,23979,0.813176
1350,23651,0.815665
1360,23464,0.818135
1370,22845,0.820540
1380,22419,0.822900
1390,22308,0.825248
1400,21931,0.827557
1410,21751,0.829846
1420,21134,0.832071
1430,21114,0.834293
1440,20568,0.836458
1450,20623,0.838629
1460,20233,0.840759
1470,20082,0.842873
1480,19872,0.844965
1490,19344,0.847001
1500,18875,0.848988
1510,18764,0.850963
1520,18955,0.852958
1530,18131,0.854867
1540,17891,0.856750
1550,17746,0.858618
1560,17497,0.860460
1570,17717,0.862325
1580,17198,0.864135
1590,16997,0.865924
1600,16799,0.867693
1610,16556,0.869435
1620,16144,0.871135
1630,16181,0.872838
1640,15880,0.874510
1650,15515,0.876143
1660,15222,0.877745
1670,15086,0.879333
1680,14641,0.880874
1690,14588,0.882410
1700,14544,0.883941
1710,14319,0.885448
1720,14234,0.886946
1730,14032,0.888423
1740,13882,0.889885
1750,13805,0.891338
1760,13485,0.892757
1770,13121,0.894139
1780,13000,0.895507
1790,12647,0.896838
1800,12746,0.898180
1810,12305,0.899475
1820,12318,0.900772
1830,12272,0.902064
1840,11952,0.903322
1850,11729,0.904556
1860,11650,0.905783
1870,11616,0.907005
1880,11349,0.908200
1890,11249,0.909384
1900,11123,0.910555
1910,11072,0.911721
1920,10693,0.912846
1930,10567,0.913958
1940,10415,0.915055
1950,10404,0.916150
1960,10299,0.917234
1970,10053,0.918292
1980,9856,0.919330
1990,9721,0.920353
2000,9406,0.921343
2010,9420,0.922335
2020,9490,0.923334
2030,9144,0.924296
2040,8908,0.925234
2050,8871,0.926168
2060,8801,0.927094
2070,8712,0.928011
2080,8412,0.928897
2090,8539,0.929795
2100,8514,0.930692
2110,8224,0.931557
2120,8184,0.932419
2130,8150,0.933277
2140,7978,0.934116
2150,7838,0.934942
2160,7752,0.935758
2170,7641,0.936562
2180,7394,0.937340
2190,7363,0.938115
2200,7211,0.938874
2210,7334,0.939646
2220,7296,0.940414
2230,7148,0.941167
2240,6862,0.941889
2250,6750,0.942600
2260,6763,0.943311
2270,6762,0.944023
2280,6666,0.944725
2290,6524,0.945412
2300,6393,0.946085
2310,6291,0.946747
2320,6217,0.947401
2330,6121,0.948046
2340,6063,0.948684
2350,5978,0.949313
2360,5922,0.949936
2370,5888,0.950556
2380,5737,0.951160
2390,5689,0.951759
2400,5646,0.952353
2410,5594,0.952942
2420,5351,0.953505
2430,5293,0.954063
2440,5225,0.954613
2450,5261,0.955166
2460,5133,0.955707
2470,5114,0.956245
2480,5053,0.956777
2490,4971,0.957300
2500,4920,0.957818
2510,4832,0.958327
2520,4847,0.958837
2530,4795,0.959342
2540,4657,0.959832
2550,4527,0.960308
2560,4515,0.960784
2570,4384,0.961245
2580,4436,0.961712
2590,4215,0.962156
2600,4201,0.962598
2610,4266,0.963047
2620,4132,0.963482
2630,4161,0.963920
2640,4050,0.964346
2650,3918,0.964759
2660,4028,0.965183
2670,3854,0.965588
2680,3809,0.965989
2690,3721,0.966381
2700,3648,0.966765
2710,3656,0.967150
2720,3687,0.967538
2730,3558,0.967912
2740,3607,0.968292
2750,3537,0.968665
2760,3504,0.969033
2770,3458,0.969397
2780,3426,0.969758
2790,3163,0.970091
2800,3351,0.970444
2810,3246,0.970785
2820,3067,0.971108
2830,3139,0.971439
2840,3109,0.971766
2850,2996,0.972081
2860,2981,0.972395
2870,2858,0.972696
2880,2842,0.972995
2890,2949,0.973305
2900,2831,0.973603
2910,2748,0.973893
2920,2701,0.974177
2930,2690,0.974460
2940,2748,0.974750
2950,2624,0.975026
2960,2515,0.975290
2970,2528,0.975557
2980,2456,0.975815
2990,2345,0.976062
3000,2340,0.976308
3010,2380,0.976559
3020,2370,0.976808
3030,2244,0.977044
3040,2339,0.977291
3050,2311,0.977534
3060,2220,0.977768
3070,2146,0.977993
3080,2086,0.978213
3090,2057,0.978430
3100,2122,0.978653
3110,2013,0.978865
3120,2103,0.979086
3130,2035,0.979300
3140,1988,0.979510
3150,1950,0.979715
3160,1862,0.979911
3170,1900,0.980111
3180,1886,0.980309
3190,1853,0.980505
3200,1774,0.980691
3210,1832,0.980884
3220,1752,0.981069
3230,1744,0.981252
3240,1728,0.981434
3250,1753,0.981619
3260,1692,0.981797
3270,1739,0.981980
3280,1634,0.982152
3290,1665,0.982327
3300,1583,0.982494
3310,1513,0.982653
3320,1536,0.982815
3330,1550,0.982978
3340,1510,0.983137
3350,1419,0.983286
3360,1532,0.983447
3370,1397,0.983594
3380,1404,0.983742
3390,1445,0.983894
3400,1406,0.984042
3410,1357,0.984185
3420,1354,0.984328
3430,1279,0.984462
3440,1279,0.984597
3450,1337,0.984738
3460,1282,0.984873
3470,1277,0.985007
3480,1271,0.985141
3490,1250,0.985272
3500,1238,0.985403
3510,1207,0.985530
3520,1187,0.985655
3530,1189,0.985780
3540,1073,0.985893
3550,1197,0.986019
3560,1104,0.986135
3570,1185,0.986260
3580,1073,0.986373
3590,1117,0.986490
3600,1165,0.986613
3610,1044,0.986723
3620,1064,0.986835
3630,1092,0.986950
3640,1042,0.987059
3650,1025,0.987167
3660,1018,0.987274
3670,945,0.987374
3680,957,0.987475
3690,1023,0.987582
3700,956,0.987683
3710,869,0.987774
3720,884,0.987868
3730,899,0.987962
3740,904,0.988057
3750,890,0.988151
3760,900,0.988246
3770,909,0.988341
3780,848,0.988431
3790,862,0.988521
3800,863,0.988612
3810,817,0.988698
3820,755,0.988778
3830,797,0.988862
3840,783,0.988944
3850,802,0.989028
3860,828,0.989116
3870,707,0.989190
3880,787,0.989273
3890,773,0.989354
3900,740,0.989432
3910,747,0.989511
3920,709,0.989585
3930,719,0.989661
3940,707,0.989736
3950,738,0.989813
3960,721,0.989889
3970,676,0.989960
3980,708,0.990035
3990,754,0.990114
4000,638,0.990181
4010,633,0.990248
4020,668,0.990318
4030,711,0.990393
4040,644,0.990461
4050,606,0.990525
4060,616,0.990590
4070,640,0.990657
4080,647,0.990725
4090,633,0.990792
4100,606,0.990855
4110,627,0.990921
4120,577,0.990982
4130,627,0.991048
4140,583,0.991110
4150,581,0.991171
4160,567,0.991230
4170,588,0.991292
4180,600,0.991355
4190,579,0.991416
4200,542,0.991473
4210,571,0.991534
4220,538,0.991590
4230,555,0.991649
4240,531,0.991704
4250,562,0.991764
4260,599,0.991827
4270,536,0.991883
4280,500,0.991936
4290,495,0.991988
4300,527,0.992043
4310,488,0.992095
4320,513,0.992149
4330,550,0.992207
4340,506,0.992260
4350,463,0.992309
4360,483,0.992359
4370,475,0.992409
4380,462,0.992458
4390,480,0.992509
4400,458,0.992557
4410,450,0.992604
4420,442,0.992651
4430,442,0.992697
4440,484,0.992748
4450,462,0.992797
4460,478,0.992847
4470,467,0.992896
4480,474,0.992946
4490,461,0.992995
4500,424,0.993039
4510,439,0.993086
4520,420,0.993130
4530,421,0.993174
4540,422,0.993218
4550,446,0.993265
4560,410,0.993309
4570,440,0.993355
4580,450,0.993402
4590,449,0.993450
4600,397,0.993491
4610,416,0.993535
4620,408,0.993578
4630,383,0.993618
4640,420,0.993663
4650,429,0.993708
4660,384,0.993748
4670,369,0.993787
4680,425,0.993832
4690,363,0.993870
4700,391,0.993911
4710,371,0.993950
4720,352,0.993987
4730,373,0.994026
4740,378,0.994066
4750,380,0.994106
4760,377,0.994146
4770,377,0.994186
4780,363,0.994224
4790,358,0.994262
4800,386,0.994302
4810,381,0.994342
4820,415,0.994386
4830,381,0.994426
4840,334,0.994461
4850,337,0.994497
4860,323,0.994531
4870,351,0.994568
4880,383,0.994608
4890,362,0.994646
4900,363,0.994684
4910,347,0.994721
4920,333,0.994756
4930,300,0.994787
4940,316,0.994821
4950,343,0.994857
4960,339,0.994892
4970,378,0.994932
4980,283,0.994962
4990,309,0.994995
5000,313,0.995028
5010,321,0.995061
5020,338,0.995097
5030,342,0.995133
5040,340,0.995169
5050,313,0.995202
5060,313,0.995235
5070,303,0.995266
5080,328,0.995301
5090,357,0.995339
