#latency,cnt,cdf
0,1,0.000000
30,1,0.000000
40,1,0.000000
50,42019,0.004202
60,135374,0.017740
70,145550,0.032295
80,159880,0.048283
90,95710,0.057854
100,95396,0.067393
110,199802,0.087373
120,157210,0.103094
130,120385,0.115133
140,113359,0.126469
150,114256,0.137894
160,112757,0.149170
170,109266,0.160097
180,111963,0.171293
190,109039,0.182197
200,106041,0.192801
210,99764,0.202777
220,96531,0.212431
230,95854,0.222016
240,93903,0.231406
250,92803,0.240687
260,92753,0.249962
270,91964,0.259158
280,92533,0.268411
290,91411,0.277553
300,89994,0.286552
310,88717,0.295424
320,87627,0.304186
330,86184,0.312805
340,84811,0.321286
350,82839,0.329570
360,81492,0.337719
370,79881,0.345707
380,78818,0.353589
390,78121,0.361401
400,76847,0.369086
410,76074,0.376693
420,75288,0.384222
430,73954,0.391617
440,72934,0.398911
450,70962,0.406007
460,70441,0.413051
470,69229,0.419974
480,68520,0.426826
490,67315,0.433557
500,66839,0.440241
510,66010,0.446842
520,65605,0.453403
530,65704,0.459973
540,65309,0.466504
550,65265,0.473031
560,64739,0.479504
570,63694,0.485874
580,62685,0.492142
590,61710,0.498313
600,61293,0.504443
610,60385,0.510481
620,59460,0.516427
630,58547,0.522282
640,57600,0.528042
650,56836,0.533726
660,56326,0.539358
670,56414,0.544999
680,55793,0.550579
690,54813,0.556060
700,53883,0.561448
710,52874,0.566736
720,51914,0.571927
730,51134,0.577041
740,50617,0.582102
750,50004,0.587103
760,49190,0.592022
770,49044,0.596926
780,48855,0.601812
790,48885,0.606700
800,48408,0.611541
810,48071,0.616348
820,47341,0.621082
830,46973,0.625779
840,46104,0.630390
850,45905,0.634980
860,45541,0.639534
870,44420,0.643976
880,43723,0.648349
890,43654,0.652714
900,42393,0.656953
910,41906,0.661144
920,41715,0.665316
930,41493,0.669465
940,41039,0.673569
950,40452,0.677614
960,39659,0.681580
970,39282,0.685508
980,39155,0.689424
990,38337,0.693257
1000,37917,0.697049
1010,36879,0.700737
1020,36624,0.704399
1030,36744,0.708074
1040,36190,0.711693
1050,36169,0.715310
1060,35746,0.718884
1070,35544,0.722439
1080,35327,0.725971
