#latency,cnt,cdf
0,267,0.000053
10,119,0.000077
20,62,0.000090
30,37,0.000097
40,38,0.000105
50,4103,0.000925
60,10846,0.003093
70,15402,0.006173
80,18563,0.009884
90,17575,0.013398
100,19729,0.017342
110,26778,0.022696
120,28383,0.028370
130,29620,0.034292
140,29447,0.040179
150,30001,0.046177
160,31129,0.052401
170,32832,0.058965
180,35555,0.066073
190,36062,0.073283
200,36761,0.080633
210,36976,0.088025
220,38075,0.095638
230,39110,0.103457
240,39406,0.111335
250,39836,0.119300
260,40137,0.127324
270,40460,0.135413
280,41031,0.143616
290,40558,0.151725
300,40846,0.159891
310,41022,0.168093
320,41039,0.176298
330,40789,0.184453
340,40436,0.192537
350,40270,0.200588
360,40143,0.208614
370,39792,0.216569
380,39297,0.224426
390,38479,0.232119
400,37971,0.239710
410,37953,0.247298
420,37698,0.254835
430,37284,0.262289
440,36657,0.269618
450,36394,0.276894
460,36100,0.284112
470,35459,0.291201
480,34959,0.298190
490,34799,0.305147
500,34099,0.311965
510,33794,0.318721
520,33560,0.325431
530,32928,0.332014
540,33046,0.338621
550,32208,0.345060
560,32070,0.351472
570,31557,0.357781
580,31320,0.364043
590,31228,0.370286
600,30301,0.376344
610,30093,0.382361
620,29547,0.388268
630,29364,0.394139
640,29076,0.399952
650,28834,0.405716
660,28213,0.411357
670,28439,0.417043
680,28143,0.422669
690,27875,0.428242
700,27656,0.433772
710,26816,0.439133
720,26833,0.444498
730,26520,0.449800
740,26601,0.455118
750,26127,0.460341
760,25973,0.465534
770,25505,0.470633
780,25503,0.475732
790,25200,0.480770
800,24810,0.485731
810,24761,0.490681
820,24276,0.495534
830,24153,0.500363
840,23814,0.505124
850,23742,0.509871
860,23463,0.514562
870,23200,0.519200
880,22778,0.523754
890,22704,0.528293
900,22312,0.532754
910,22159,0.537184
920,22073,0.541597
930,21908,0.545978
940,21479,0.550272
950,21228,0.554516
960,21124,0.558739
970,20813,0.562900
980,20797,0.567058
990,20340,0.571125
1000,20292,0.575182
1010,20159,0.579212
1020,19968,0.583204
1030,19832,0.587169
1040,19710,0.591110
1050,19211,0.594951
1060,19288,0.598807
1070,18986,0.602603
1080,18952,0.606392
1090,18689,0.610128
1100,18115,0.613750
1110,18468,0.617442
1120,18241,0.621089
1130,18171,0.624722
1140,17463,0.628213
1150,17559,0.631724
1160,17237,0.635170
1170,17298,0.638628
1180,17437,0.642114
1190,16949,0.645503
1200,16639,0.648830
1210,16737,0.652176
1220,16523,0.655479
1230,16439,0.658766
1240,16268,0.662018
1250,16006,0.665218
1260,16097,0.668437
1270,15838,0.671603
1280,16019,0.674806
1290,15381,0.677881
1300,15380,0.680956
1310,15218,0.683998
1320,15028,0.687003
1330,14951,0.689992
1340,14833,0.692957
1350,14661,0.695889
1360,14395,0.698766
1370,14032,0.701572
1380,14037,0.704378
1390,13837,0.707145
1400,13578,0.709859
1410,13549,0.712568
1420,13390,0.715245
1430,13194,0.717883
1440,12839,0.720450
1450,13007,0.723050
1460,12850,0.725619
1470,12473,0.728113
1480,12364,0.730585
1490,12266,0.733037
1500,12157,0.735468
1510,11743,0.737816
1520,11951,0.740205
1530,11974,0.742599
1540,11342,0.744867
1550,11306,0.747127
1560,11367,0.749400
1570,11098,0.751618
1580,10933,0.753804
1590,10836,0.755971
1600,10906,0.758151
1610,10507,0.760252
1620,10639,0.762379
1630,10504,0.764479
1640,10264,0.766531
1650,10077,0.768545
1660,10148,0.770574
1670,9970,0.772568
1680,9820,0.774531
1690,9694,0.776469
1700,9548,0.778378
1710,9666,0.780310
1720,9310,0.782172
1730,9347,0.784041
1740,9209,0.785882
1750,9042,0.787689
1760,8886,0.789466
1770,8707,0.791207
1780,8711,0.792948
1790,8488,0.794645
1800,8625,0.796370
1810,8392,0.798047
1820,8424,0.799732
1830,8281,0.801387
1840,8187,0.803024
1850,8203,0.804664
1860,7914,0.806246
1870,7842,0.807814
1880,7946,0.809403
1890,7787,0.810960
1900,7697,0.812498
1910,7534,0.814005
1920,7478,0.815500
1930,7480,0.816995
