#latency,cnt,cdf
0,1248,0.000125
10,337,0.000159
20,81,0.000167
30,24,0.000169
40,3,0.000169
50,15082,0.001678
60,55706,0.007248
70,66501,0.013898
80,79537,0.021852
90,61515,0.028003
100,60558,0.034059
110,94081,0.043467
120,93748,0.052842
130,85254,0.061368
140,77771,0.069145
150,74776,0.076622
160,75138,0.084136
170,77115,0.091848
180,84608,0.100309
190,84927,0.108801
200,81488,0.116950
210,79196,0.124870
220,78523,0.132722
230,79197,0.140642
240,78540,0.148496
250,78174,0.156313
260,77626,0.164076
270,77851,0.171861
280,76902,0.179551
290,76601,0.187211
300,75564,0.194768
310,75264,0.202294
320,75205,0.209815
330,73816,0.217196
340,73446,0.224541
350,72548,0.231796
360,72652,0.239061
370,72478,0.246309
380,71894,0.253498
390,71463,0.260644
400,71141,0.267758
410,70274,0.274786
420,69553,0.281741
430,69168,0.288658
440,68864,0.295544
450,68201,0.302365
460,67316,0.309096
470,67537,0.315850
480,66813,0.322531
490,66205,0.329152
500,65778,0.335730
510,65241,0.342254
520,64373,0.348691
530,64395,0.355130
540,64080,0.361538
550,63063,0.367845
560,62677,0.374113
570,61783,0.380291
580,61754,0.386466
590,61242,0.392590
600,61140,0.398704
610,60612,0.404766
620,59993,0.410765
630,59453,0.416710
640,58712,0.422582
650,58457,0.428427
660,57804,0.434208
670,57355,0.439943
680,56794,0.445623
690,56618,0.451284
700,55830,0.456867
710,55531,0.462421
720,55118,0.467932
730,54406,0.473373
740,54242,0.478797
750,53460,0.484143
760,53207,0.489464
770,52940,0.494758
780,52545,0.500012
790,51776,0.505190
800,51051,0.510295
810,51102,0.515405
820,50186,0.520424
830,50047,0.525429
840,49763,0.530405
850,49321,0.535337
860,48439,0.540181
870,47905,0.544972
880,47527,0.549724
890,47539,0.554478
900,46761,0.559154
910,45809,0.563735
920,46356,0.568371
930,45412,0.572912
940,45474,0.577459
950,44904,0.581950
960,44091,0.586359
970,43661,0.590725
980,42882,0.595013
990,42359,0.599249
1000,42269,0.603476
1010,42164,0.607692
1020,41860,0.611878
1030,41100,0.615988
1040,40970,0.620085
1050,40736,0.624159
1060,39990,0.628158
1070,39766,0.632135
1080,39266,0.636061
1090,38982,0.639960
1100,38578,0.643817
1110,37895,0.647607
1120,37581,0.651365
1130,37407,0.655106
1140,36687,0.658774
1150,36627,0.662437
1160,36007,0.666038
1170,35863,0.669624
1180,35551,0.673179
1190,35064,0.676686
1200,34914,0.680177
1210,34582,0.683635
1220,33952,0.687030
1230,33869,0.690417
1240,33359,0.693753
1250,32842,0.697037
1260,32407,0.700278
1270,32201,0.703498
1280,31992,0.706697
1290,31532,0.709851
1300,31645,0.713015
1310,31038,0.716119
1320,30700,0.719189
1330,30280,0.722217
1340,30225,0.725240
1350,29861,0.728226
1360,29447,0.731170
1370,29042,0.734075
1380,28799,0.736954
1390,28550,0.739809
1400,28195,0.742629
1410,27689,0.745398
1420,27206,0.748118
1430,27002,0.750819
1440,27024,0.753521
1450,26456,0.756167
1460,26324,0.758799
1470,25895,0.761389
1480,25425,0.763931
1490,25293,0.766460
1500,25244,0.768985
1510,24662,0.771451
1520,24292,0.773880
1530,24058,0.776286
1540,23984,0.778684
1550,23533,0.781038
1560,23315,0.783369
1570,22787,0.785648
1580,23048,0.787953
1590,22584,0.790211
1600,22316,0.792443
1610,21752,0.794618
1620,21600,0.796778
1630,21227,0.798901
1640,21114,0.801012
1650,20765,0.803089
1660,20406,0.805129
1670,20243,0.807153
1680,20055,0.809159
1690,19743,0.811133
1700,19812,0.813114
1710,19529,0.815067
1720,19087,0.816976
1730,19047,0.818881
1740,18724,0.820753
1750,18707,0.822624
1760,18380,0.824462
1770,17940,0.826256
1780,17722,0.828028
1790,17645,0.829793
1800,17398,0.831532
1810,17221,0.833255
1820,16920,0.834947
1830,16949,0.836641
1840,16521,0.838294
1850,16523,0.839946
1860,16227,0.841569
1870,16371,0.843206
1880,15847,0.844790
1890,15498,0.846340
1900,15480,0.847888
1910,15074,0.849396
1920,15096,0.850905
1930,14891,0.852394
1940,14765,0.853871
1950,14505,0.855321
1960,14336,0.856755
1970,14249,0.858180
1980,13853,0.859565
1990,13949,0.860960
2000,13621,0.862322
2010,13324,0.863654
2020,13375,0.864992
2030,13266,0.866319
2040,13007,0.867619
2050,12868,0.868906
2060,12583,0.870164
2070,12424,0.871407
2080,12106,0.872617
2090,12117,0.873829
2100,11986,0.875028
2110,11801,0.876208
2120,11831,0.877391
2130,11471,0.878538
2140,11291,0.879667
2150,11320,0.880799
2160,11100,0.881909
2170,10871,0.882996
2180,10730,0.884069
2190,10862,0.885155
2200,10594,0.886215
2210,10353,0.887250
2220,10337,0.888284
2230,10043,0.889288
2240,10052,0.890293
2250,9880,0.891281
2260,10004,0.892282
2270,9919,0.893274
2280,9394,0.894213
2290,9489,0.895162
2300,9438,0.896106
2310,9224,0.897028
2320,9159,0.897944
2330,8905,0.898835
2340,8881,0.899723
2350,8897,0.900612
2360,8609,0.901473
2370,8667,0.902340
2380,8573,0.903197
2390,8429,0.904040
2400,8170,0.904857
2410,8093,0.905666
2420,8061,0.906473
2430,8090,0.907282
2440,7912,0.908073
2450,7769,0.908850
2460,7699,0.909620
2470,7544,0.910374
2480,7643,0.911138
2490,7478,0.911886
2500,7499,0.912636
2510,7298,0.913366
2520,7226,0.914088
2530,7194,0.914808
2540,7259,0.915534
2550,6998,0.916234
2560,6984,0.916932
2570,6754,0.917607
2580,6694,0.918277
2590,6682,0.918945
2600,6576,0.919603
2610,6653,0.920268
2620,6334,0.920901
2630,6341,0.921535
2640,6093,0.922145
2650,6168,0.922761
2660,6039,0.923365
2670,6101,0.923975
2680,6004,0.924576
2690,5924,0.925168
2700,5925,0.925761
2710,5784,0.926339
2720,5689,0.926908
2730,5676,0.927476
2740,5577,0.928033
2750,5590,0.928592
2760,5513,0.929144
2770,5366,0.929680
2780,5362,0.930216
2790,5263,0.930743
2800,5286,0.931271
2810,5143,0.931786
2820,5226,0.932308
2830,4967,0.932805
2840,5101,0.933315
2850,5039,0.933819
2860,4984,0.934317
2870,4874,0.934805
2880,4911,0.935296
2890,4678,0.935764
2900,4811,0.936245
2910,4667,0.936711
2920,4552,0.937167
2930,4561,0.937623
2940,4497,0.938072
2950,4375,0.938510
2960,4412,0.938951
2970,4360,0.939387
2980,4333,0.939820
2990,4293,0.940250
3000,4211,0.940671
3010,4149,0.941086
3020,4087,0.941494
3030,4025,0.941897
3040,4180,0.942315
3050,3952,0.942710
3060,3953,0.943105
3070,3942,0.943500
3080,3928,0.943892
3090,3961,0.944289
3100,3780,0.944667
3110,3750,0.945042
3120,3815,0.945423
3130,3740,0.945797
3140,3695,0.946167
3150,3711,0.946538
3160,3735,0.946911
3170,3639,0.947275
3180,3638,0.947639
3190,3586,0.947998
3200,3513,0.948349
3210,3448,0.948694
3220,3449,0.949039
3230,3427,0.949381
3240,3360,0.949717
3250,3472,0.950064
3260,3295,0.950394
3270,3357,0.950730
3280,3312,0.951061
3290,3247,0.951385
3300,3267,0.951712
3310,3274,0.952040
3320,3169,0.952357
3330,3224,0.952679
3340,3152,0.952994
3350,3197,0.953314
3360,3098,0.953624
3370,3076,0.953931
3380,3066,0.954238
3390,3041,0.954542
3400,3124,0.954854
3410,2965,0.955151
3420,2979,0.955449
3430,3019,0.955751
3440,2942,0.956045
3450,2976,0.956342
3460,2968,0.956639
3470,2887,0.956928
3480,2926,0.957220
3490,2861,0.957507
3500,2879,0.957794
3510,2874,0.958082
3520,2735,0.958355
3530,2674,0.958623
3540,2836,0.958906
3550,2732,0.959180
3560,2650,0.959445
3570,2644,0.959709
3580,2705,0.959980
3590,2592,0.960239
3600,2548,0.960494
3610,2604,0.960754
3620,2515,0.961005
3630,2500,0.961255
3640,2539,0.961509
3650,2577,0.961767
3660,2510,0.962018
3670,2483,0.962266
3680,2464,0.962513
3690,2483,0.962761
3700,2463,0.963007
3710,2418,0.963249
3720,2414,0.963491
3730,2358,0.963726
3740,2360,0.963962
3750,2372,0.964200
3760,2280,0.964428
3770,2272,0.964655
3780,2233,0.964878
3790,2259,0.965104
3800,2323,0.965336
3810,2166,0.965553
3820,2138,0.965767
3830,2281,0.965995
3840,2130,0.966208
3850,2159,0.966424
3860,2194,0.966643
3870,2114,0.966854
3880,2141,0.967069
3890,2183,0.967287
3900,2046,0.967491
3910,2008,0.967692
3920,2046,0.967897
3930,1996,0.968096
3940,2035,0.968300
3950,1893,0.968489
3960,1927,0.968682
3970,1926,0.968875
3980,1971,0.969072
3990,1867,0.969258
4000,1958,0.969454
4010,1843,0.969638
4020,1953,0.969834
4030,1800,0.970014
4040,1776,0.970191
4050,1812,0.970373
4060,1848,0.970557
4070,1798,0.970737
4080,1836,0.970921
4090,1717,0.971092
4100,1790,0.971271
4110,1720,0.971443
4120,1689,0.971612
4130,1803,0.971793
4140,1735,0.971966
4150,1738,0.972140
4160,1678,0.972308
4170,1690,0.972477
4180,1623,0.972639
4190,1626,0.972802
4200,1621,0.972964
4210,1623,0.973126
4220,1538,0.973280
4230,1567,0.973437
4240,1635,0.973600
4250,1571,0.973757
4260,1624,0.973920
4270,1515,0.974071
4280,1490,0.974220
4290,1528,0.974373
4300,1555,0.974528
4310,1515,0.974680
4320,1479,0.974828
4330,1513,0.974979
4340,1507,0.975130
4350,1431,0.975273
4360,1446,0.975417
4370,1494,0.975567
4380,1455,0.975712
4390,1426,0.975855
4400,1399,0.975995
4410,1388,0.976134
4420,1496,0.976283
4430,1347,0.976418
4440,1402,0.976558
4450,1398,0.976698
4460,1331,0.976831
4470,1334,0.976964
4480,1339,0.977098
4490,1381,0.977236
4500,1324,0.977369
4510,1410,0.977510
4520,1252,0.977635
4530,1398,0.977775
4540,1346,0.977909
4550,1368,0.978046
4560,1355,0.978182
4570,1274,0.978309
4580,1280,0.978437
4590,1273,0.978564
4600,1212,0.978686
4610,1296,0.978815
4620,1250,0.978940
4630,1172,0.979057
4640,1250,0.979182
4650,1221,0.979305
4660,1217,0.979426
4670,1268,0.979553
4680,1259,0.979679
4690,1184,0.979797
4700,1153,0.979913
4710,1115,0.980024
4720,1164,0.980141
4730,1133,0.980254
4740,1182,0.980372
4750,1137,0.980486
4760,1143,0.980600
4770,1123,0.980712
4780,1093,0.980822
4790,1142,0.980936
4800,1130,0.981049
4810,1127,0.981162
4820,1088,0.981270
4830,1139,0.981384
4840,1063,0.981491
4850,1113,0.981602
4860,1127,0.981715
4870,1066,0.981821
4880,1074,0.981929
4890,1103,0.982039
4900,1107,0.982150
4910,1010,0.982251
4920,1007,0.982351
4930,1029,0.982454
4940,970,0.982551
4950,1053,0.982656
