#latency,cnt,cdf
0,911220,0.182336
10,644,0.182465
20,464,0.182557
30,15709,0.185701
40,130,0.185727
50,15364,0.188801
60,898822,0.368656
70,39426,0.376545
80,851345,0.546900
90,12888,0.549479
100,228307,0.595163
110,421334,0.679472
120,411872,0.761888
130,187273,0.799362
140,18068,0.802977
150,1134,0.803204
160,5744,0.804353
170,273730,0.859127
180,146850,0.888512
190,264602,0.941459
200,2128,0.941884
210,544,0.941993
220,5289,0.943052
230,270518,0.997182
240,4947,0.998172
250,390,0.998250
260,266,0.998304
270,206,0.998345
280,177,0.998380
290,165,0.998413
300,154,0.998444
310,137,0.998471
320,140,0.998499
330,111,0.998522
340,88,0.998539
350,98,0.998559
360,84,0.998576
370,66,0.998589
380,67,0.998602
390,59,0.998614
400,60,0.998626
410,49,0.998636
420,44,0.998645
430,58,0.998656
440,42,0.998665
450,48,0.998674
460,41,0.998683
470,37,0.998690
480,40,0.998698
490,51,0.998708
500,37,0.998716
510,38,0.998723
520,32,0.998730
530,45,0.998739
540,39,0.998746
550,55,0.998757
560,40,0.998765
570,45,0.998774
580,45,0.998783
590,46,0.998793
600,41,0.998801
610,41,0.998809
620,32,0.998815
630,41,0.998824
640,38,0.998831
650,34,0.998838
660,40,0.998846
670,24,0.998851
680,31,0.998857
690,28,0.998863
700,36,0.998870
710,36,0.998877
720,31,0.998883
730,41,0.998891
740,28,0.998897
750,35,0.998904
760,26,0.998909
770,19,0.998913
780,27,0.998918
790,22,0.998923
800,30,0.998929
810,31,0.998935
820,30,0.998941
830,24,0.998946
840,24,0.998951
850,29,0.998957
860,35,0.998963
870,24,0.998968
880,24,0.998973
890,31,0.998979
900,28,0.998985
910,33,0.998991
920,27,0.998997
930,39,0.999005
940,37,0.999012
950,44,0.999021
960,52,0.999031
970,56,0.999043
980,43,0.999051
990,37,0.999059
1000,51,0.999069
1010,48,0.999078
1020,54,0.999089
1030,39,0.999097
1040,41,0.999105
1050,42,0.999114
1060,39,0.999121
1070,32,0.999128
1080,36,0.999135
1090,27,0.999140
1100,21,0.999145
1110,33,0.999151
1120,13,0.999154
1130,16,0.999157
1140,18,0.999161
1150,26,0.999166
1160,15,0.999169
1170,15,0.999172
1180,18,0.999175
1190,17,0.999179
1200,8,0.999180
1210,11,0.999183
1220,20,0.999187
1230,9,0.999188
1240,16,0.999192
1250,12,0.999194
1260,13,0.999197
1270,12,0.999199
1280,8,0.999201
1290,5,0.999202
1300,7,0.999203
1310,8,0.999205
1320,13,0.999207
1330,10,0.999209
1340,10,0.999211
1350,4,0.999212
1360,9,0.999214
1370,10,0.999216
1380,15,0.999219
1390,12,0.999221
1400,8,0.999223
1410,15,0.999226
1420,8,0.999227
1430,11,0.999230
1440,9,0.999231
1450,8,0.999233
1460,6,0.999234
1470,9,0.999236
1480,15,0.999239
1490,13,0.999242
1500,8,0.999243
1510,11,0.999245
1520,10,0.999247
1530,8,0.999249
1540,9,0.999251
1550,5,0.999252
1560,11,0.999254
1570,11,0.999256
1580,7,0.999258
1590,7,0.999259
1600,8,0.999261
1610,11,0.999263
1620,6,0.999264
1630,8,0.999266
1640,16,0.999269
1650,15,0.999272
1660,18,0.999275
1670,11,0.999278
1680,11,0.999280
1690,11,0.999282
1700,12,0.999284
1710,2,0.999285
1720,5,0.999286
1730,9,0.999288
1740,16,0.999291
1750,7,0.999292
1760,5,0.999293
1770,17,0.999297
1780,14,0.999299
1790,9,0.999301
1800,40,0.999309
1810,35,0.999316
1820,14,0.999319
1830,25,0.999324
1840,17,0.999327
1850,11,0.999330
1860,12,0.999332
1870,10,0.999334
1880,12,0.999336
1890,10,0.999338
1900,6,0.999340
1910,6,0.999341
1920,16,0.999344
1930,8,0.999346
1940,16,0.999349
1950,10,0.999351
1960,17,0.999354
1970,8,0.999356
1980,6,0.999357
1990,7,0.999358
2000,10,0.999361
2010,11,0.999363
2020,12,0.999365
2030,9,0.999367
2040,7,0.999368
2050,7,0.999370
2060,4,0.999370
2070,10,0.999372
2080,14,0.999375
2090,7,0.999377
2100,9,0.999379
2110,12,0.999381
2120,9,0.999383
2130,10,0.999385
2140,12,0.999387
2150,7,0.999389
2160,9,0.999390
2170,8,0.999392
2180,13,0.999394
2190,8,0.999396
2200,7,0.999398
2210,14,0.999400
2220,13,0.999403
2230,9,0.999405
2240,13,0.999407
2250,12,0.999410
2260,9,0.999412
2270,12,0.999414
2280,4,0.999415
2290,10,0.999417
2300,12,0.999419
2310,10,0.999421
2320,5,0.999422
2330,9,0.999424
2340,16,0.999427
2350,6,0.999428
2360,10,0.999430
2370,8,0.999432
2380,10,0.999434
2390,11,0.999436
2400,7,0.999438
2410,12,0.999440
2420,11,0.999442
2430,9,0.999444
2440,8,0.999445
2450,8,0.999447
2460,10,0.999449
2470,11,0.999451
2480,5,0.999452
2490,6,0.999454
2500,7,0.999455
2510,8,0.999457
2520,7,0.999458
2530,12,0.999460
2540,12,0.999463
2550,5,0.999464
2560,3,0.999464
2570,10,0.999466
2580,9,0.999468
2590,12,0.999471
2600,13,0.999473
2610,14,0.999476
2620,7,0.999477
2630,14,0.999480
2640,13,0.999483
2650,8,0.999484
2660,16,0.999488
2670,8,0.999489
2680,12,0.999492
2690,9,0.999493
2700,13,0.999496
2710,11,0.999498
2720,13,0.999501
2730,14,0.999504
2740,10,0.999506
2750,15,0.999509
2760,12,0.999511
2770,23,0.999516
2780,14,0.999518
2790,11,0.999521
2800,13,0.999523
2810,10,0.999525
2820,10,0.999527
2830,15,0.999530
2840,12,0.999533
2850,14,0.999535
2860,12,0.999538
2870,8,0.999539
2880,10,0.999541
2890,13,0.999544
2900,8,0.999546
2910,12,0.999548
2920,10,0.999550
