#latency,cnt,cdf
0,1728800,0.181971
10,1103,0.182087
20,718,0.182163
30,33897,0.185730
40,260,0.185758
50,39983,0.189966
60,1829024,0.382487
70,79073,0.390810
80,1713980,0.571221
90,23946,0.573741
100,406723,0.616552
110,966365,0.718270
120,721154,0.794178
130,303172,0.826089
140,21212,0.828322
150,1575,0.828488
160,8618,0.829395
170,465940,0.878439
180,217906,0.901376
190,474158,0.951285
200,3453,0.951648
210,813,0.951734
220,7416,0.952514
230,435445,0.998349
240,7687,0.999158
250,539,0.999215
260,271,0.999243
270,183,0.999262
280,168,0.999280
290,136,0.999294
300,190,0.999314
310,98,0.999325
320,92,0.999334
330,100,0.999345
340,73,0.999353
350,82,0.999361
360,65,0.999368
370,64,0.999375
380,84,0.999384
390,55,0.999389
400,59,0.999396
410,53,0.999401
420,54,0.999407
430,65,0.999414
440,56,0.999420
450,64,0.999426
460,56,0.999432
470,43,0.999437
480,45,0.999442
490,46,0.999446
500,42,0.999451
510,44,0.999455
520,41,0.999460
530,36,0.999463
540,38,0.999467
550,50,0.999473
560,36,0.999477
570,36,0.999480
580,29,0.999483
590,37,0.999487
600,30,0.999490
610,24,0.999493
620,32,0.999496
630,20,0.999498
640,29,0.999501
650,26,0.999504
660,40,0.999508
670,25,0.999511
680,34,0.999515
690,27,0.999518
700,35,0.999521
710,36,0.999525
720,26,0.999528
730,29,0.999531
740,24,0.999533
750,31,0.999537
760,28,0.999539
770,30,0.999543
780,25,0.999545
790,36,0.999549
800,33,0.999553
810,37,0.999556
820,28,0.999559
830,17,0.999561
840,29,0.999564
850,20,0.999566
860,25,0.999569
870,21,0.999571
880,22,0.999573
890,24,0.999576
900,26,0.999579
910,32,0.999582
920,30,0.999585
930,18,0.999587
940,19,0.999589
950,18,0.999591
960,20,0.999593
970,19,0.999595
980,12,0.999596
990,21,0.999599
1000,11,0.999600
1010,27,0.999603
1020,21,0.999605
1030,15,0.999606
1040,21,0.999609
1050,5,0.999609
1060,19,0.999611
1070,10,0.999612
1080,18,0.999614
1090,11,0.999615
1100,16,0.999617
1110,12,0.999618
1120,7,0.999619
1130,6,0.999620
1140,8,0.999620
1150,15,0.999622
1160,15,0.999624
1170,20,0.999626
1180,9,0.999627
1190,13,0.999628
1200,16,0.999630
1210,15,0.999631
1220,10,0.999632
1230,13,0.999634
1240,8,0.999635
1250,12,0.999636
1260,10,0.999637
1270,10,0.999638
1280,5,0.999638
1290,11,0.999640
1300,17,0.999641
1310,14,0.999643
1320,13,0.999644
1330,8,0.999645
1340,15,0.999647
1350,7,0.999647
1360,17,0.999649
1370,15,0.999651
1380,14,0.999652
1390,9,0.999653
1400,11,0.999654
1410,6,0.999655
1420,15,0.999657
1430,14,0.999658
1440,7,0.999659
1450,6,0.999659
1460,18,0.999661
1470,8,0.999662
1480,8,0.999663
1490,10,0.999664
1500,9,0.999665
1510,13,0.999666
1520,5,0.999667
1530,6,0.999667
1540,12,0.999669
1550,9,0.999670
1560,7,0.999670
1570,7,0.999671
1580,5,0.999672
1590,8,0.999673
1600,7,0.999673
1610,4,0.999674
1620,10,0.999675
1630,12,0.999676
1640,4,0.999676
1650,10,0.999677
1660,9,0.999678
1670,9,0.999679
1680,6,0.999680
1690,6,0.999681
1700,7,0.999681
1710,9,0.999682
1720,15,0.999684
1730,10,0.999685
1740,6,0.999686
1750,13,0.999687
1760,7,0.999688
1770,15,0.999689
1780,9,0.999690
1790,10,0.999691
1800,14,0.999693
1810,14,0.999694
1820,24,0.999697
1830,15,0.999698
1840,9,0.999699
1850,23,0.999702
