#latency,cnt,cdf
0,9,0.000001
10,1,0.000001
20,4121,0.000413
30,214135,0.021827
40,1610,0.021988
50,42299,0.026217
60,2534742,0.279692
70,108327,0.290524
80,2451063,0.535631
90,28401,0.538471
100,220489,0.560520
110,840971,0.644617
120,1516535,0.796270
130,146564,0.810927
140,32283,0.814155
150,1447,0.814300
160,14198,0.815719
170,753209,0.891040
180,134031,0.904444
190,935192,0.997963
200,6826,0.998645
210,1054,0.998751
220,582,0.998809
230,807,0.998890
240,630,0.998953
250,215,0.998974
260,179,0.998992
270,149,0.999007
280,142,0.999021
290,115,0.999033
300,137,0.999046
310,114,0.999058
320,112,0.999069
330,147,0.999084
340,96,0.999093
350,85,0.999102
360,101,0.999112
370,87,0.999120
380,103,0.999131
390,70,0.999138
400,81,0.999146
410,83,0.999154
420,90,0.999163
430,79,0.999171
440,88,0.999180
450,57,0.999186
460,88,0.999194
470,73,0.999202
480,69,0.999209
490,68,0.999215
500,49,0.999220
510,57,0.999226
520,54,0.999231
530,44,0.999236
540,44,0.999240
550,53,0.999246
560,44,0.999250
570,42,0.999254
580,49,0.999259
590,37,0.999263
600,41,0.999267
610,47,0.999272
620,37,0.999275
630,40,0.999279
640,42,0.999283
650,47,0.999288
660,34,0.999291
670,33,0.999295
680,31,0.999298
690,40,0.999302
700,41,0.999306
710,34,0.999309
720,43,0.999314
730,41,0.999318
740,44,0.999322
750,38,0.999326
760,35,0.999330
770,36,0.999333
780,42,0.999337
790,55,0.999343
800,40,0.999347
810,30,0.999350
820,33,0.999353
830,37,0.999357
840,37,0.999361
850,44,0.999365
860,32,0.999368
870,28,0.999371
880,24,0.999373
890,29,0.999376
900,20,0.999378
910,29,0.999381
920,28,0.999384
930,28,0.999387
940,24,0.999389
950,20,0.999391
960,28,0.999394
970,13,0.999395
980,20,0.999397
990,15,0.999399
1000,17,0.999400
1010,12,0.999402
1020,13,0.999403
1030,18,0.999405
1040,20,0.999407
1050,13,0.999408
1060,17,0.999410
1070,23,0.999412
1080,17,0.999414
1090,25,0.999416
1100,8,0.999417
1110,8,0.999418
1120,16,0.999419
1130,21,0.999421
1140,20,0.999424
1150,24,0.999426
1160,13,0.999427
1170,17,0.999429
1180,16,0.999430
1190,17,0.999432
1200,18,0.999434
1210,25,0.999436
1220,19,0.999438
1230,24,0.999441
1240,22,0.999443
1250,17,0.999445
1260,20,0.999447
1270,19,0.999449
1280,16,0.999450
1290,15,0.999452
1300,10,0.999453
1310,16,0.999454
1320,19,0.999456
1330,12,0.999457
1340,18,0.999459
1350,18,0.999461
1360,16,0.999463
1370,16,0.999464
1380,19,0.999466
1390,20,0.999468
1400,12,0.999469
1410,11,0.999470
1420,19,0.999472
1430,21,0.999474
1440,20,0.999476
1450,15,0.999478
1460,9,0.999479
1470,15,0.999480
1480,8,0.999481
1490,9,0.999482
1500,15,0.999484
1510,7,0.999484
1520,18,0.999486
1530,11,0.999487
1540,14,0.999488
1550,12,0.999490
1560,8,0.999490
1570,15,0.999492
1580,18,0.999494
1590,14,0.999495
1600,4,0.999496
1610,9,0.999497
1620,20,0.999498
1630,14,0.999500
1640,12,0.999501
1650,9,0.999502
1660,8,0.999503
1670,14,0.999504
1680,14,0.999506
1690,11,0.999507
1700,12,0.999508
1710,8,0.999509
1720,14,0.999510
1730,15,0.999512
1740,15,0.999513
1750,89,0.999522
1760,86,0.999531
1770,13,0.999532
1780,14,0.999533
1790,20,0.999535
1800,14,0.999537
1810,16,0.999538
1820,19,0.999540
1830,27,0.999543
1840,88,0.999552
1850,39,0.999556
1860,63,0.999562
1870,160,0.999578
1880,112,0.999589
1890,242,0.999613
1900,103,0.999624
1910,40,0.999628
1920,146,0.999642
1930,50,0.999647
1940,27,0.999650
1950,27,0.999653
1960,11,0.999654
1970,10,0.999655
1980,27,0.999657
1990,24,0.999660
2000,20,0.999662
2010,27,0.999664
2020,19,0.999666
2030,37,0.999670
2040,18,0.999672
2050,12,0.999673
2060,21,0.999675
2070,13,0.999677
2080,7,0.999677
2090,9,0.999678
2100,12,0.999679
2110,10,0.999680
2120,7,0.999681
2130,12,0.999682
2140,7,0.999683
2150,7,0.999684
2160,4,0.999684
2170,8,0.999685
2180,11,0.999686
2190,12,0.999687
2200,10,0.999688
2210,11,0.999689
2220,14,0.999691
2230,9,0.999691
2240,14,0.999693
2250,8,0.999694
2260,9,0.999695
2270,16,0.999696
2280,11,0.999697
2290,11,0.999698
2300,12,0.999700
2310,6,0.999700
2320,9,0.999701
2330,8,0.999702
2340,13,0.999703
2350,13,0.999704
2360,9,0.999705
2370,15,0.999707
2380,12,0.999708
2390,13,0.999709
2400,24,0.999712
2410,18,0.999714
2420,22,0.999716
2430,14,0.999717
2440,18,0.999719
2450,21,0.999721
2460,21,0.999723
2470,20,0.999725
2480,16,0.999727
2490,23,0.999729
2500,27,0.999732
2510,16,0.999733
2520,25,0.999736
2530,30,0.999739
2540,17,0.999741
2550,26,0.999743
2560,22,0.999745
2570,41,0.999749
2580,16,0.999751
2590,31,0.999754
2600,22,0.999756
2610,16,0.999758
2620,13,0.999759
2630,13,0.999761
2640,21,0.999763
2650,14,0.999764
2660,18,0.999766
2670,10,0.999767
2680,14,0.999768
2690,15,0.999770
2700,13,0.999771
2710,8,0.999772
2720,13,0.999773
2730,12,0.999774
2740,4,0.999775
2750,9,0.999776
2760,10,0.999777
2770,11,0.999778
2780,14,0.999779
2790,21,0.999781
2800,12,0.999783
2810,11,0.999784
2820,9,0.999785
2830,13,0.999786
2840,9,0.999787
2850,13,0.999788
2860,7,0.999789
2870,13,0.999790
2880,16,0.999792
2890,11,0.999793
2900,12,0.999794
2910,16,0.999795
2920,11,0.999797
2930,6,0.999797
2940,8,0.999798
2950,14,0.999799
2960,7,0.999800
2970,10,0.999801
2980,9,0.999802
2990,13,0.999803
3000,8,0.999804
3010,15,0.999806
3020,10,0.999807
3030,13,0.999808
3040,11,0.999809
3050,15,0.999811
3060,7,0.999811
3070,14,0.999813
3080,10,0.999814
3090,4,0.999814
3100,15,0.999816
3110,20,0.999817
3120,10,0.999819
3130,13,0.999820
3140,7,0.999820
3150,9,0.999821
3160,10,0.999822
3170,7,0.999823
3180,14,0.999825
3190,6,0.999825
3200,6,0.999826
3210,11,0.999827
