#latency,cnt,cdf
0,3601065,0.379065
10,2786,0.379358
20,925,0.379455
30,58916,0.385657
40,482,0.385708
50,8776,0.386632
60,812130,0.472120
70,31385,0.475424
80,771284,0.556613
90,12351,0.557913
100,445200,0.604777
110,345662,0.641163
120,423949,0.685790
130,382749,0.726080
140,49192,0.731258
150,1274,0.731392
160,8766,0.732315
170,696031,0.805582
180,251512,0.832058
190,870349,0.923675
200,5489,0.924252
210,427,0.924297
220,7761,0.925114
230,688890,0.997630
240,17174,0.999438
250,690,0.999510
260,600,0.999574
270,344,0.999610
280,133,0.999624
290,277,0.999653
300,273,0.999682
310,326,0.999716
320,237,0.999741
330,63,0.999748
340,33,0.999751
350,172,0.999769
360,72,0.999777
370,27,0.999780
380,52,0.999785
390,8,0.999786
400,6,0.999786
410,14,0.999788
420,9,0.999789
430,15,0.999791
440,6,0.999791
450,8,0.999792
460,8,0.999793
470,5,0.999793
480,3,0.999794
490,3,0.999794
500,7,0.999795
510,2,0.999795
520,4,0.999795
530,8,0.999796
540,12,0.999797
550,7,0.999798
560,6,0.999799
570,6,0.999799
580,8,0.999800
590,6,0.999801
600,6,0.999802
610,9,0.999803
620,6,0.999803
630,11,0.999804
640,7,0.999805
650,4,0.999805
660,4,0.999806
670,6,0.999807
680,1,0.999807
690,3,0.999807
700,2,0.999807
710,10,0.999808
720,4,0.999809
730,4,0.999809
740,2,0.999809
750,4,0.999810
760,5,0.999810
770,2,0.999810
780,3,0.999811
790,2,0.999811
800,3,0.999811
810,2,0.999811
820,1,0.999812
830,6,0.999812
840,2,0.999812
850,9,0.999813
860,6,0.999814
870,5,0.999815
880,9,0.999815
890,6,0.999816
900,1,0.999816
910,4,0.999817
920,4,0.999817
930,3,0.999817
940,5,0.999818
950,2,0.999818
960,3,0.999818
970,4,0.999819
980,2,0.999819
990,7,0.999820
1000,5,0.999820
1010,7,0.999821
1020,3,0.999821
1030,4,0.999822
1040,3,0.999822
1050,3,0.999822
1060,3,0.999823
1070,6,0.999823
1080,2,0.999824
1100,1,0.999824
1110,2,0.999824
1120,4,0.999824
1140,1,0.999824
1150,1,0.999825
1160,1,0.999825
1180,1,0.999825
1190,1,0.999825
1210,1,0.999825
1220,1,0.999825
1230,1,0.999825
1240,3,0.999825
1250,1,0.999826
1260,1,0.999826
1290,2,0.999826
1300,1,0.999826
1310,4,0.999826
1320,1,0.999827
1330,1,0.999827
1360,1,0.999827
1370,1,0.999827
1380,2,0.999827
1390,1,0.999827
1400,1,0.999827
1420,1,0.999827
1460,1,0.999827
1470,1,0.999828
1490,1,0.999828
1500,1,0.999828
1520,4,0.999828
1540,1,0.999828
1570,1,0.999828
1620,2,0.999829
1630,1,0.999829
1640,1,0.999829
1660,4,0.999829
1670,2,0.999829
1680,1,0.999830
1710,1,0.999830
1750,1,0.999830
1760,1,0.999830
1770,4,0.999830
1780,1,0.999830
1790,4,0.999831
1800,3,0.999831
1810,6,0.999832
1820,10,0.999833
1830,11,0.999834
1840,20,0.999836
1850,20,0.999838
1860,36,0.999842
1870,50,0.999847
1880,45,0.999852
1890,27,0.999855
1900,22,0.999857
1910,16,0.999859
1920,6,0.999859
1930,7,0.999860
1940,8,0.999861
1950,8,0.999862
1960,21,0.999864
1970,38,0.999868
1980,33,0.999872
1990,28,0.999875
2000,34,0.999878
2010,36,0.999882
2020,11,0.999883
2030,16,0.999885
2040,9,0.999886
2050,2,0.999886
2060,1,0.999886
2070,1,0.999886
2120,1,0.999886
2150,1,0.999886
2180,1,0.999886
2190,1,0.999887
2200,2,0.999887
2250,4,0.999887
2260,1,0.999887
2270,1,0.999887
2290,1,0.999887
2300,1,0.999888
2350,2,0.999888
2370,2,0.999888
2380,3,0.999888
2390,1,0.999888
2400,1,0.999889
2410,1,0.999889
2420,1,0.999889
2430,3,0.999889
2440,5,0.999890
2450,2,0.999890
2460,3,0.999890
2470,2,0.999890
2480,5,0.999891
2490,1,0.999891
2500,1,0.999891
2510,4,0.999891
2520,3,0.999892
2530,5,0.999892
2540,4,0.999893
2550,6,0.999893
2560,4,0.999894
2570,6,0.999894
2580,3,0.999895
2590,3,0.999895
2600,3,0.999895
2610,1,0.999895
2620,6,0.999896
2630,6,0.999897
2640,7,0.999897
2650,6,0.999898
2660,6,0.999899
2670,6,0.999899
2680,5,0.999900
2690,4,0.999900
2700,6,0.999901
2710,6,0.999902
2720,13,0.999903
2730,11,0.999904
2740,6,0.999905
2750,7,0.999905
2760,7,0.999906
2770,11,0.999907
2780,10,0.999908
2790,5,0.999909
2800,4,0.999909
2810,6,0.999910
2820,4,0.999910
2830,5,0.999911
2840,6,0.999912
2850,7,0.999912
2860,3,0.999913
2870,4,0.999913
2880,4,0.999913
2890,9,0.999914
2900,1,0.999915
2910,4,0.999915
2920,2,0.999915
2930,1,0.999915
2950,2,0.999915
2970,2,0.999916
2980,3,0.999916
2990,2,0.999916
3000,1,0.999916
3010,2,0.999917
3030,1,0.999917
3050,2,0.999917
3070,2,0.999917
3080,1,0.999917
3100,3,0.999917
3110,2,0.999918
3190,2,0.999918
3220,1,0.999918
3240,1,0.999918
3250,2,0.999918
3270,2,0.999919
3290,1,0.999919
3310,1,0.999919
3320,1,0.999919
3330,1,0.999919
3380,1,0.999919
3420,1,0.999919
3430,1,0.999919
3480,1,0.999919
3510,1,0.999919
3520,1,0.999920
3530,1,0.999920
3550,1,0.999920
3590,1,0.999920
3610,2,0.999920
3620,1,0.999920
3680,1,0.999920
3730,2,0.999921
3760,2,0.999921
3780,1,0.999921
3800,1,0.999921
3810,2,0.999921
3830,1,0.999921
3850,1,0.999921
3870,1,0.999922
3880,2,0.999922
3890,2,0.999922
3900,2,0.999922
3920,1,0.999922
3990,1,0.999922
4020,1,0.999922
4030,1,0.999923
4060,1,0.999923
4090,1,0.999923
4130,1,0.999923
4180,2,0.999923
4200,1,0.999923
4210,1,0.999923
4260,1,0.999923
4270,1,0.999923
4280,1,0.999924
4330,1,0.999924
4350,1,0.999924
4360,2,0.999924
4380,1,0.999924
4400,2,0.999924
4410,1,0.999924
4440,1,0.999925
4470,1,0.999925
4480,4,0.999925
4510,1,0.999925
4520,2,0.999925
4530,2,0.999926
4540,7,0.999926
4550,1,0.999926
4560,2,0.999927
4570,3,0.999927
4580,1,0.999927
4590,9,0.999928
4600,13,0.999929
4610,12,0.999931
4620,9,0.999932
4630,6,0.999932
4640,9,0.999933
4650,11,0.999934
4660,7,0.999935
4670,9,0.999936
4680,18,0.999938
4690,2,0.999938
4700,8,0.999939
4710,8,0.999940
4720,5,0.999940
4730,3,0.999941
4740,7,0.999941
4750,4,0.999942
4760,7,0.999943
4770,10,0.999944
4780,7,0.999944
4790,6,0.999945
4800,9,0.999946
4810,12,0.999947
4820,26,0.999950
4830,13,0.999951
4840,11,0.999952
4850,29,0.999955
4860,22,0.999958
4870,22,0.999960
4880,30,0.999963
4890,7,0.999964
4900,8,0.999965
4910,20,0.999967
4920,15,0.999969
4930,12,0.999970
4940,9,0.999971
4950,10,0.999972
4960,10,0.999973
4970,9,0.999974
4980,12,0.999975
4990,11,0.999976
5000,3,0.999977
5010,12,0.999978
5020,10,0.999979
5030,10,0.999980
5040,10,0.999981
5050,12,0.999982
5060,6,0.999983
5070,5,0.999983
5080,13,0.999985
5090,6,0.999985
5100,9,0.999986
5110,8,0.999987
5120,5,0.999988
5130,7,0.999988
5140,2,0.999989
5150,1,0.999989
5160,2,0.999989
5170,5,0.999989
5180,1,0.999990
5190,2,0.999990
5200,4,0.999990
5210,1,0.999990
5220,2,0.999991
5240,4,0.999991
5250,2,0.999991
5260,1,0.999991
5270,2,0.999991
5300,1,0.999992
5310,2,0.999992
5320,3,0.999992
5340,3,0.999992
5350,3,0.999993
5360,1,0.999993
5370,1,0.999993
5390,2,0.999993
5400,2,0.999993
5420,2,0.999994
5430,2,0.999994
5440,2,0.999994
5450,2,0.999994
5460,2,0.999994
5480,3,0.999995
5490,1,0.999995
5510,1,0.999995
5520,2,0.999995
5530,1,0.999995
5540,2,0.999995
5550,1,0.999996
5570,1,0.999996
5630,1,0.999996
5640,1,0.999996
5660,2,0.999996
5680,1,0.999996
5690,3,0.999997
5710,1,0.999997
5720,3,0.999997
5750,1,0.999997
5770,1,0.999997
5830,2,0.999997
5850,1,0.999997
5860,1,0.999998
5880,3,0.999998
5910,1,0.999998
5930,1,0.999998
5950,1,0.999998
5990,2,0.999998
6020,1,0.999999
6030,1,0.999999
6060,2,0.999999
6080,1,0.999999
6090,1,0.999999
6120,1,0.999999
6280,1,0.999999
6320,1,0.999999
6340,1,0.999999
6750,1,1.000000
6770,1,1.000000
6970,1,1.000000
7000,1,1.000000
7420,1,1.000000
