#latency,cnt,cdf
0,1,0.000000
20,6,0.000001
30,490,0.000050
40,5,0.000050
50,8389,0.000889
60,2998595,0.300749
70,94690,0.310218
80,3036132,0.613831
90,29812,0.616812
100,201607,0.636973
110,1093812,0.746354
120,2000476,0.946401
130,177177,0.964119
140,36297,0.967749
150,419,0.967791
160,264,0.967817
170,53929,0.973210
180,16780,0.974888
190,246270,0.999515
200,1414,0.999656
210,701,0.999727
220,253,0.999752
230,1551,0.999907
240,158,0.999923
250,6,0.999923
260,22,0.999926
270,4,0.999926
280,7,0.999927
290,2,0.999927
300,2,0.999927
310,2,0.999927
330,3,0.999928
340,13,0.999929
350,13,0.999930
360,1,0.999930
390,1,0.999930
400,2,0.999931
410,1,0.999931
420,3,0.999931
430,2,0.999931
440,1,0.999931
470,2,0.999932
490,4,0.999932
520,1,0.999932
530,2,0.999932
550,1,0.999932
570,4,0.999933
590,2,0.999933
600,1,0.999933
620,2,0.999933
630,1,0.999933
640,1,0.999933
650,2,0.999934
660,3,0.999934
670,2,0.999934
700,1,0.999934
710,1,0.999934
770,2,0.999934
810,1,0.999935
950,1,0.999935
970,1,0.999935
1060,1,0.999935
1100,1,0.999935
1200,1,0.999935
1460,1,0.999935
1620,1,0.999935
1660,1,0.999935
1750,1,0.999936
1780,2,0.999936
1790,1,0.999936
1800,1,0.999936
1820,4,0.999936
1830,1,0.999936
1840,6,0.999937
1850,8,0.999938
1860,20,0.999940
1870,33,0.999943
1880,25,0.999946
1890,31,0.999949
1900,15,0.999950
1910,13,0.999951
1920,10,0.999952
1930,4,0.999953
1940,2,0.999953
1950,3,0.999953
1960,4,0.999954
1970,5,0.999954
1980,2,0.999955
1990,4,0.999955
2000,12,0.999956
2010,8,0.999957
2020,6,0.999958
2030,10,0.999959
2040,1,0.999959
2070,2,0.999959
2090,1,0.999959
2120,1,0.999959
2160,1,0.999959
2170,1,0.999959
2280,1,0.999959
2330,1,0.999959
2370,1,0.999960
2380,1,0.999960
2400,1,0.999960
2410,1,0.999960
2420,1,0.999960
2430,1,0.999960
2470,1,0.999960
2510,2,0.999960
2520,1,0.999960
2530,2,0.999961
2540,4,0.999961
2550,3,0.999961
2560,9,0.999962
2570,12,0.999963
2580,8,0.999964
2590,4,0.999965
2600,8,0.999965
2610,10,0.999966
2620,16,0.999968
2630,10,0.999969
2640,9,0.999970
2650,7,0.999971
2660,8,0.999971
2670,14,0.999973
2680,13,0.999974
2690,16,0.999976
2700,8,0.999977
2710,8,0.999977
2720,4,0.999978
2730,9,0.999979
2740,11,0.999980
2750,6,0.999980
2760,6,0.999981
2770,2,0.999981
2780,4,0.999982
2790,1,0.999982
2820,1,0.999982
2830,1,0.999982
2860,1,0.999982
2910,1,0.999982
2940,1,0.999982
3010,1,0.999982
3040,1,0.999982
3470,1,0.999982
3520,1,0.999982
3560,1,0.999983
3590,1,0.999983
3660,1,0.999983
3690,1,0.999983
3830,1,0.999983
3910,1,0.999983
4590,1,0.999983
4600,3,0.999983
4610,1,0.999984
4620,2,0.999984
4650,1,0.999984
4660,3,0.999984
4670,3,0.999985
4680,4,0.999985
4690,2,0.999985
4700,1,0.999985
4710,2,0.999985
4720,3,0.999986
4730,5,0.999986
4740,3,0.999987
4750,7,0.999987
4760,5,0.999988
4770,1,0.999988
4780,3,0.999988
4790,2,0.999988
4810,4,0.999989
4820,3,0.999989
4830,2,0.999989
4840,5,0.999990
4850,4,0.999990
4860,8,0.999991
4870,4,0.999991
4880,7,0.999992
4890,2,0.999992
4900,6,0.999993
4910,6,0.999993
4920,8,0.999994
4930,15,0.999996
4940,5,0.999996
4950,9,0.999997
4960,5,0.999998
4970,6,0.999998
4980,7,0.999999
4990,1,0.999999
5000,2,0.999999
5010,3,1.000000
5020,2,1.000000
5070,1,1.000000
5080,1,1.000000
5110,1,1.000000
