#latency,cnt,cdf
40,1,0.000000
50,24058,0.002533
60,120829,0.015253
70,150918,0.031140
80,182488,0.050351
90,136857,0.064758
100,123033,0.077710
110,213117,0.100146
120,209975,0.122250
130,170072,0.140154
140,156810,0.156662
150,157561,0.173248
160,155765,0.189646
170,151505,0.205595
180,151256,0.221519
190,148225,0.237122
200,145681,0.252459
210,138323,0.267020
220,134069,0.281134
230,131860,0.295015
240,130534,0.308757
250,127739,0.322204
260,127106,0.335585
270,126205,0.348871
280,125140,0.362044
290,124475,0.375148
300,123834,0.388184
310,120946,0.400917
320,119283,0.413474
330,117507,0.425844
340,115828,0.438038
350,113293,0.449964
360,111501,0.461702
370,107985,0.473070
380,105715,0.484199
390,102731,0.495014
400,100530,0.505597
410,98408,0.515956
420,96633,0.526129
430,93821,0.536006
440,91696,0.545659
450,89109,0.555039
460,86659,0.564162
470,84991,0.573109
480,82427,0.581787
490,81004,0.590314
500,78908,0.598621
510,77734,0.606804
520,76287,0.614835
530,75698,0.622804
540,74807,0.630679
550,74237,0.638494
560,73582,0.646240
570,72101,0.653831
580,71067,0.661312
590,69637,0.668643
600,68237,0.675826
610,67684,0.682952
620,66028,0.689902
630,64816,0.696726
640,63346,0.703394
650,61898,0.709910
660,60486,0.716278
670,58874,0.722476
680,57519,0.728531
690,56268,0.734454
700,54718,0.740215
710,53380,0.745834
720,51860,0.751293
730,50495,0.756609
740,49366,0.761806
750,48326,0.766893
760,47631,0.771908
770,46264,0.776778
780,45652,0.781584
790,44738,0.786294
800,44186,0.790945
810,44022,0.795579
820,43084,0.800115
830,42481,0.804587
840,41668,0.808973
850,41016,0.813291
860,40407,0.817545
870,39342,0.821687
880,38779,0.825769
890,37413,0.829708
900,36683,0.833569
910,35962,0.837355
920,34679,0.841006
930,34259,0.844612
940,33125,0.848099
950,32354,0.851505
960,31381,0.854809
970,30473,0.858017
980,29783,0.861152
990,28957,0.864201
1000,28184,0.867168
1010,27633,0.870077
1020,26932,0.872912
1030,26535,0.875705
1040,26088,0.878452
1050,25330,0.881118
1060,24862,0.883735
1070,24658,0.886331
1080,24306,0.888890
1090,23866,0.891402
1100,23387,0.893864
1110,23175,0.896304
1120,22689,0.898693
1130,21961,0.901004
1140,21843,0.903304
1150,21358,0.905552
1160,20811,0.907743
1170,20319,0.909882
1180,19605,0.911946
1190,19319,0.913980
1200,18731,0.915952
1210,18295,0.917878
1220,17779,0.919749
1230,17512,0.921593
1240,16778,0.923359
1250,16697,0.925117
1260,15801,0.926780
1270,15712,0.928434
1280,15222,0.930037
1290,14891,0.931604
1300,14554,0.933136
1310,14084,0.934619
1320,14036,0.936097
1330,13728,0.937542
1340,13476,0.938960
1350,13283,0.940359
1360,13203,0.941749
1370,12859,0.943102
1380,12520,0.944420
1390,12258,0.945711
1400,12005,0.946975
1410,11573,0.948193
1420,11477,0.949401
1430,11097,0.950569
1440,10755,0.951702
1450,10450,0.952802
1460,10304,0.953886
1470,10114,0.954951
1480,9811,0.955984
1490,9616,0.956996
1500,9328,0.957978
1510,8968,0.958922
1520,8735,0.959842
1530,8385,0.960725
1540,8178,0.961585
1550,8160,0.962444
1560,7856,0.963271
1570,7753,0.964088
1580,7586,0.964886
1590,7254,0.965650
