#latency,cnt,cdf
0,3758,0.000376
20,1,0.000376
30,358,0.000412
40,1,0.000412
50,15198,0.001932
60,2733805,0.275312
70,77990,0.283111
80,2599779,0.543089
90,25456,0.545635
100,641192,0.609754
110,1369275,0.746681
120,1191524,0.865834
130,562227,0.922056
140,48976,0.926954
150,1758,0.927130
160,1132,0.927243
170,61989,0.933442
180,131655,0.946607
190,460999,0.992707
200,2898,0.992997
210,877,0.993085
220,621,0.993147
230,60909,0.999238
240,1246,0.999362
250,180,0.999380
260,131,0.999394
270,127,0.999406
280,109,0.999417
290,141,0.999431
300,152,0.999446
310,116,0.999458
320,153,0.999473
330,160,0.999489
340,135,0.999503
350,114,0.999514
360,114,0.999526
370,88,0.999534
380,79,0.999542
390,81,0.999550
400,42,0.999555
410,55,0.999560
420,48,0.999565
430,48,0.999570
440,43,0.999574
450,34,0.999577
460,34,0.999581
470,38,0.999585
480,31,0.999588
490,25,0.999590
500,30,0.999593
510,33,0.999596
520,28,0.999599
530,37,0.999603
540,56,0.999609
550,75,0.999616
560,81,0.999624
570,68,0.999631
580,65,0.999637
590,80,0.999645
600,78,0.999653
610,67,0.999660
620,56,0.999666
630,49,0.999671
640,45,0.999675
650,33,0.999678
660,36,0.999682
670,31,0.999685
680,38,0.999689
690,30,0.999692
700,25,0.999694
710,41,0.999698
720,20,0.999700
730,33,0.999704
740,22,0.999706
750,20,0.999708
760,23,0.999710
770,22,0.999712
780,22,0.999715
790,16,0.999716
800,19,0.999718
810,28,0.999721
820,23,0.999723
830,24,0.999726
840,24,0.999728
850,20,0.999730
860,25,0.999732
870,26,0.999735
880,21,0.999737
890,14,0.999739
900,21,0.999741
910,23,0.999743
920,15,0.999744
930,11,0.999746
940,20,0.999748
950,32,0.999751
960,29,0.999754
970,40,0.999758
980,65,0.999764
990,46,0.999769
1000,53,0.999774
1010,41,0.999778
1020,52,0.999783
1030,45,0.999788
1040,46,0.999793
1050,46,0.999797
1060,23,0.999799
1070,26,0.999802
1080,17,0.999804
1090,28,0.999807
1100,22,0.999809
1110,29,0.999812
1120,20,0.999814
1130,15,0.999815
1140,15,0.999817
1150,16,0.999818
1160,10,0.999819
1170,8,0.999820
1180,9,0.999821
1190,10,0.999822
1200,11,0.999823
1210,15,0.999825
1220,12,0.999826
1230,3,0.999826
1240,8,0.999827
1250,15,0.999828
1260,8,0.999829
1270,6,0.999830
1280,16,0.999831
1290,8,0.999832
1300,6,0.999833
1310,12,0.999834
1320,9,0.999835
1330,9,0.999836
1340,13,0.999837
1350,8,0.999838
1360,10,0.999839
1370,6,0.999839
1380,7,0.999840
1390,9,0.999841
1400,4,0.999841
1410,6,0.999842
1420,1,0.999842
1430,11,0.999843
1440,9,0.999844
1450,4,0.999844
1460,4,0.999845
1470,8,0.999846
1480,5,0.999846
1490,11,0.999847
1500,11,0.999848
1510,6,0.999849
1520,9,0.999850
1530,8,0.999851
1540,4,0.999851
1550,5,0.999852
1560,8,0.999852
1570,6,0.999853
1580,2,0.999853
1590,8,0.999854
1600,9,0.999855
1610,6,0.999856
1620,5,0.999856
1630,14,0.999857
1640,7,0.999858
