#latency,cnt,cdf
0,514,0.000103
10,138,0.000130
20,110,0.000152
30,43,0.000161
40,33,0.000168
50,18324,0.003831
60,49269,0.013680
70,64784,0.026631
80,75080,0.041640
90,63384,0.054310
100,64784,0.067261
110,93902,0.086033
120,89045,0.103834
130,81478,0.120122
140,75085,0.135132
150,70268,0.149179
160,67509,0.162674
170,65845,0.175837
180,68556,0.189542
190,66265,0.202789
200,63679,0.215518
210,60474,0.227608
220,58497,0.239301
230,57009,0.250698
240,55936,0.261880
250,54285,0.272732
260,53268,0.283381
270,52443,0.293864
280,50760,0.304011
290,49709,0.313949
300,48662,0.323676
310,47764,0.333225
320,46769,0.342574
330,45995,0.351769
340,45306,0.360826
350,44600,0.369742
360,43706,0.378479
370,42769,0.387029
380,42094,0.395444
390,41336,0.403707
400,40780,0.411859
410,39872,0.419830
420,39605,0.427747
430,38550,0.435454
440,37793,0.443009
450,37769,0.450559
460,36976,0.457951
470,36388,0.465225
480,35644,0.472350
490,34905,0.479328
500,34683,0.486261
510,34068,0.493072
520,33609,0.499790
530,33096,0.506407
540,32701,0.512944
550,32352,0.519411
560,31753,0.525759
570,31153,0.531986
580,30733,0.538130
590,30291,0.544186
600,30048,0.550192
610,29693,0.556128
620,29039,0.561933
630,28537,0.567638
640,28536,0.573343
650,28095,0.578959
660,27438,0.584444
670,27171,0.589876
680,26735,0.595220
690,26408,0.600499
700,26026,0.605702
710,25734,0.610846
720,25289,0.615902
730,25146,0.620929
740,24508,0.625828
750,24373,0.630700
760,24056,0.635509
770,23805,0.640268
780,23559,0.644978
790,23484,0.649672
800,22876,0.654245
810,22927,0.658829
820,22363,0.663299
830,22002,0.667697
840,21789,0.672053
850,21645,0.676380
860,21252,0.680629
870,21025,0.684832
880,20691,0.688968
890,20268,0.693020
900,20122,0.697042
910,19911,0.701023
920,19752,0.704971
930,19254,0.708820
940,18886,0.712596
950,18855,0.716365
960,18118,0.719987
970,18149,0.723615
980,17999,0.727213
990,17813,0.730774
1000,17700,0.734312
1010,17405,0.737792
1020,16879,0.741166
1030,16753,0.744515
1040,16612,0.747836
1050,16441,0.751122
1060,16090,0.754339
1070,16030,0.757543
1080,15844,0.760711
1090,15678,0.763845
1100,15499,0.766943
1110,15015,0.769945
1120,14804,0.772904
1130,14833,0.775869
1140,14654,0.778799
1150,14372,0.781672
1160,14159,0.784502
1170,14101,0.787321
1180,13916,0.790103
1190,13583,0.792818
1200,13529,0.795523
1210,13418,0.798205
1220,13281,0.800860
1230,13167,0.803493
1240,12890,0.806069
1250,12797,0.808628
1260,12932,0.811213
1270,12262,0.813664
1280,12400,0.816143
1290,12241,0.818590
1300,11831,0.820955
1310,11764,0.823307
1320,11771,0.825660
1330,11704,0.827999
1340,11401,0.830279
1350,11171,0.832512
1360,11015,0.834714
1370,10819,0.836877
1380,10742,0.839024
1390,10499,0.841123
1400,10376,0.843197
1410,10185,0.845233
1420,10178,0.847268
1430,9761,0.849219
1440,9681,0.851154
1450,9482,0.853050
1460,9378,0.854924
1470,9242,0.856772
1480,8951,0.858561
1490,8923,0.860345
1500,8828,0.862110
1510,8680,0.863845
1520,8509,0.865546
1530,8214,0.867188
1540,8255,0.868838
1550,8136,0.870465
